name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ジェニーハイラプソディー,0.79,0.648,8,-5.891,0,0.0665,0.378,1.53e-06,0.0897,0.535,131.909,audio_features,7I06RChgJrFMjO1mi59uTO,spotify:track:7I06RChgJrFMjO1mi59uTO,https://api.spotify.com/v1/tracks/7I06RChgJrFMjO1mi59uTO,https://api.spotify.com/v1/audio-analysis/7I06RChgJrFMjO1mi59uTO,199998,4
華奢なリップ (feat. ちゃんみな),0.607,0.722,2,-5.067,0,0.0335,0.0934,0,0.285,0.499,125.061,audio_features,6GG2Jrj5XSA24NSzigyA4A,spotify:track:6GG2Jrj5XSA24NSzigyA4A,https://api.spotify.com/v1/tracks/6GG2Jrj5XSA24NSzigyA4A,https://api.spotify.com/v1/audio-analysis/6GG2Jrj5XSA24NSzigyA4A,268751,4
ジェニーハイのテーマ,0.719,0.735,11,-6.361,0,0.0387,0.0584,0.000926,0.108,0.42,144.98,audio_features,43Xy6P28948Mzggl8fltn9,spotify:track:43Xy6P28948Mzggl8fltn9,https://api.spotify.com/v1/tracks/43Xy6P28948Mzggl8fltn9,https://api.spotify.com/v1/audio-analysis/43Xy6P28948Mzggl8fltn9,255627,4
シャミナミ,0.685,0.791,11,-2.726,0,0.0336,0.0675,0,0.0767,0.726,129.966,audio_features,19DoAguq7yDD3n09TZaGIQ,spotify:track:19DoAguq7yDD3n09TZaGIQ,https://api.spotify.com/v1/tracks/19DoAguq7yDD3n09TZaGIQ,https://api.spotify.com/v1/audio-analysis/19DoAguq7yDD3n09TZaGIQ,226069,4
ジェニーハイウォッシュ,0.681,0.654,7,-6.36,1,0.0392,0.136,0,0.172,0.279,129.917,audio_features,2z3svW4UT9wfBb0xMwIffb,spotify:track:2z3svW4UT9wfBb0xMwIffb,https://api.spotify.com/v1/tracks/2z3svW4UT9wfBb0xMwIffb,https://api.spotify.com/v1/audio-analysis/2z3svW4UT9wfBb0xMwIffb,153872,4
不便な可愛げ feat. アイナ・ジ・エンド(BiSH),0.715,0.763,1,-4.2,0,0.0427,0.291,0,0.131,0.318,135.964,audio_features,114GDozk3l0sNgKwzdGszX,spotify:track:114GDozk3l0sNgKwzdGszX,https://api.spotify.com/v1/tracks/114GDozk3l0sNgKwzdGszX,https://api.spotify.com/v1/audio-analysis/114GDozk3l0sNgKwzdGszX,243320,4
ジェニーハイラプソディー,0.79,0.648,8,-5.891,0,0.0665,0.378,1.53e-06,0.0897,0.535,131.909,audio_features,0dVeq4dFAHwwSNdtJQ3dFX,spotify:track:0dVeq4dFAHwwSNdtJQ3dFX,https://api.spotify.com/v1/tracks/0dVeq4dFAHwwSNdtJQ3dFX,https://api.spotify.com/v1/audio-analysis/0dVeq4dFAHwwSNdtJQ3dFX,199998,4
華奢なリップ (feat. ちゃんみな),0.607,0.722,2,-5.067,0,0.0335,0.0934,0,0.285,0.499,125.061,audio_features,0wOkiindak4Dx5e4CuylaP,spotify:track:0wOkiindak4Dx5e4CuylaP,https://api.spotify.com/v1/tracks/0wOkiindak4Dx5e4CuylaP,https://api.spotify.com/v1/audio-analysis/0wOkiindak4Dx5e4CuylaP,268751,4
ジェニーハイボックス,0.695,0.629,7,-7.442,1,0.0676,0.0187,1.31e-06,0.178,0.526,130.016,audio_features,5GA97Fp5wksgKNTX3cPZiE,spotify:track:5GA97Fp5wksgKNTX3cPZiE,https://api.spotify.com/v1/tracks/5GA97Fp5wksgKNTX3cPZiE,https://api.spotify.com/v1/audio-analysis/5GA97Fp5wksgKNTX3cPZiE,160464,4
夏嵐,0.469,0.804,0,-3.666,1,0.0382,0.00447,0,0.373,0.563,169.925,audio_features,1qthoTt5DwzNCBfmOm5F8i,spotify:track:1qthoTt5DwzNCBfmOm5F8i,https://api.spotify.com/v1/tracks/1qthoTt5DwzNCBfmOm5F8i,https://api.spotify.com/v1/audio-analysis/1qthoTt5DwzNCBfmOm5F8i,196751,4
不便な可愛げ feat. アイナ・ジ・エンド(BiSH),0.715,0.763,1,-4.2,0,0.0427,0.291,0,0.131,0.318,135.964,audio_features,6soBVGy9lZHTZ0MA3jmDVW,spotify:track:6soBVGy9lZHTZ0MA3jmDVW,https://api.spotify.com/v1/tracks/6soBVGy9lZHTZ0MA3jmDVW,https://api.spotify.com/v1/audio-analysis/6soBVGy9lZHTZ0MA3jmDVW,243320,4
