name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ENVY,0.824,0.339,9,-16.403,0,0.117,0.14,0.564,0.0683,0.62,101.283,audio_features,0IrvuNfbZT891cdOowQcUy,spotify:track:0IrvuNfbZT891cdOowQcUy,https://api.spotify.com/v1/tracks/0IrvuNfbZT891cdOowQcUy,https://api.spotify.com/v1/audio-analysis/0IrvuNfbZT891cdOowQcUy,236400,4
LOVE CAN,0.671,0.231,7,-21.94,1,0.226,0.0333,0.0106,0.123,0.396,172.611,audio_features,5MtYrarY1E4pjfNOrv5z9s,spotify:track:5MtYrarY1E4pjfNOrv5z9s,https://api.spotify.com/v1/tracks/5MtYrarY1E4pjfNOrv5z9s,https://api.spotify.com/v1/audio-analysis/5MtYrarY1E4pjfNOrv5z9s,312267,4
愛のささやき(ゴッドファーザー 愛のテーマ),0.662,0.728,5,-8.203,0,0.0305,0.537,0.0474,0.308,0.701,119.439,audio_features,6dYq6uLpoVIcWDj7c4fryh,spotify:track:6dYq6uLpoVIcWDj7c4fryh,https://api.spotify.com/v1/tracks/6dYq6uLpoVIcWDj7c4fryh,https://api.spotify.com/v1/audio-analysis/6dYq6uLpoVIcWDj7c4fryh,256367,4
INTRODUCTION(DAMBALA),0.428,0.0387,2,-33.436,0,0.11,0.965,0,0.633,0.861,150.616,audio_features,00uSNepxI8MHTIxHFcoJUn,spotify:track:00uSNepxI8MHTIxHFcoJUn,https://api.spotify.com/v1/tracks/00uSNepxI8MHTIxHFcoJUn,https://api.spotify.com/v1/audio-analysis/00uSNepxI8MHTIxHFcoJUn,36000,1
RIVER SONG,0.804,0.229,8,-19.709,1,0.268,0.0124,0.000341,0.066,0.459,126.672,audio_features,3wBRTg6X4QG3RbPMCN1XIy,spotify:track:3wBRTg6X4QG3RbPMCN1XIy,https://api.spotify.com/v1/tracks/3wBRTg6X4QG3RbPMCN1XIy,https://api.spotify.com/v1/audio-analysis/3wBRTg6X4QG3RbPMCN1XIy,222347,4
MY REGGAE MUSIC,0.836,0.285,11,-18.011,0,0.124,0.00922,0.0158,0.398,0.854,136.299,audio_features,6LY4FZjARjBTrQnZxS8kAQ,spotify:track:6LY4FZjARjBTrQnZxS8kAQ,https://api.spotify.com/v1/tracks/6LY4FZjARjBTrQnZxS8kAQ,https://api.spotify.com/v1/audio-analysis/6LY4FZjARjBTrQnZxS8kAQ,318800,3
CARIBBEAN LOVE SONG,0.737,0.346,0,-13.069,0,0.0965,0.0442,0.000172,0.0879,0.797,141.091,audio_features,4jTXw0VxyVMHK449RdrqvQ,spotify:track:4jTXw0VxyVMHK449RdrqvQ,https://api.spotify.com/v1/tracks/4jTXw0VxyVMHK449RdrqvQ,https://api.spotify.com/v1/audio-analysis/4jTXw0VxyVMHK449RdrqvQ,221800,4
TOKYO TOWN,0.922,0.187,11,-17.634,0,0.325,0.0259,0.389,0.305,0.669,125.956,audio_features,4iVGEmMdQlrbU72SzZXkD6,spotify:track:4iVGEmMdQlrbU72SzZXkD6,https://api.spotify.com/v1/tracks/4iVGEmMdQlrbU72SzZXkD6,https://api.spotify.com/v1/audio-analysis/4iVGEmMdQlrbU72SzZXkD6,318933,4
ON YOUR OWN,0.72,0.291,0,-13.36,1,0.0465,0.265,1.29e-06,0.253,0.676,127.517,audio_features,0dtz5yC6lExO05ZDiB4P5Y,spotify:track:0dtz5yC6lExO05ZDiB4P5Y,https://api.spotify.com/v1/tracks/0dtz5yC6lExO05ZDiB4P5Y,https://api.spotify.com/v1/audio-analysis/0dtz5yC6lExO05ZDiB4P5Y,234627,4
LIVE LIKE A RASTAMAN,0.926,0.259,9,-17.001,0,0.126,0.0416,0.597,0.104,0.731,130.699,audio_features,6VCUHLJZkvraP4noTcSPh2,spotify:track:6VCUHLJZkvraP4noTcSPh2,https://api.spotify.com/v1/tracks/6VCUHLJZkvraP4noTcSPh2,https://api.spotify.com/v1/audio-analysis/6VCUHLJZkvraP4noTcSPh2,299240,4
