name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
あじさい橋,0.549,0.637,7,-5.824,1,0.0269,0.362,1.19e-06,0.209,0.354,109.839,audio_features,3p7oRCXsCpTqZuN82jL7Ml,spotify:track:3p7oRCXsCpTqZuN82jL7Ml,https://api.spotify.com/v1/tracks/3p7oRCXsCpTqZuN82jL7Ml,https://api.spotify.com/v1/audio-analysis/3p7oRCXsCpTqZuN82jL7Ml,255827,4
空港物語,0.575,0.593,7,-6.329,0,0.033,0.46,6.04e-06,0.19,0.464,134.025,audio_features,74xfcknU5GX98VV1G2tg3s,spotify:track:74xfcknU5GX98VV1G2tg3s,https://api.spotify.com/v1/tracks/74xfcknU5GX98VV1G2tg3s,https://api.spotify.com/v1/audio-analysis/74xfcknU5GX98VV1G2tg3s,317160,4
あじさい橋,0.555,0.616,7,-5.917,1,0.0263,0.445,0,0.202,0.37,110.015,audio_features,2dehACTtqzTvBluH5RzQoZ,spotify:track:2dehACTtqzTvBluH5RzQoZ,https://api.spotify.com/v1/tracks/2dehACTtqzTvBluH5RzQoZ,https://api.spotify.com/v1/audio-analysis/2dehACTtqzTvBluH5RzQoZ,253000,4
別離,0.444,0.499,11,-8.984,1,0.0276,0.681,0.000161,0.052,0.223,80.945,audio_features,0SOcMW6Xhw5yXbksmtuVWu,spotify:track:0SOcMW6Xhw5yXbksmtuVWu,https://api.spotify.com/v1/tracks/0SOcMW6Xhw5yXbksmtuVWu,https://api.spotify.com/v1/audio-analysis/0SOcMW6Xhw5yXbksmtuVWu,316387,4
七つ橋渡り,0.406,0.485,8,-7.201,1,0.0289,0.43,3.68e-06,0.143,0.286,76.477,audio_features,5QwT8hg4G02obUZdFsq2fA,spotify:track:5QwT8hg4G02obUZdFsq2fA,https://api.spotify.com/v1/tracks/5QwT8hg4G02obUZdFsq2fA,https://api.spotify.com/v1/audio-analysis/5QwT8hg4G02obUZdFsq2fA,237893,4
あじさい橋 ニューバージョン,0.652,0.514,7,-7.768,1,0.0316,0.506,0,0.144,0.137,109.927,audio_features,3TZ3cPtwGdUn8DMSLkOFKO,spotify:track:3TZ3cPtwGdUn8DMSLkOFKO,https://api.spotify.com/v1/tracks/3TZ3cPtwGdUn8DMSLkOFKO,https://api.spotify.com/v1/audio-analysis/3TZ3cPtwGdUn8DMSLkOFKO,256293,4
おちょこ鶴,0.33,0.484,6,-7.167,1,0.0296,0.683,5.89e-05,0.152,0.57,146.7,audio_features,1hAy1aCAVxWI66sA2L12Zo,spotify:track:1hAy1aCAVxWI66sA2L12Zo,https://api.spotify.com/v1/tracks/1hAy1aCAVxWI66sA2L12Zo,https://api.spotify.com/v1/audio-analysis/1hAy1aCAVxWI66sA2L12Zo,291933,5
しあわせ岬,0.289,0.46,0,-6.712,0,0.0321,0.505,3.15e-05,0.178,0.436,123.185,audio_features,313kBYFlpT9Q745e5GYI25,spotify:track:313kBYFlpT9Q745e5GYI25,https://api.spotify.com/v1/tracks/313kBYFlpT9Q745e5GYI25,https://api.spotify.com/v1/audio-analysis/313kBYFlpT9Q745e5GYI25,239013,3
佐渡炎歌,0.255,0.492,7,-6.497,0,0.0286,0.138,1.94e-06,0.147,0.159,147.61,audio_features,2NtpEGTy5AgoiUJ4TLp7ws,spotify:track:2NtpEGTy5AgoiUJ4TLp7ws,https://api.spotify.com/v1/tracks/2NtpEGTy5AgoiUJ4TLp7ws,https://api.spotify.com/v1/audio-analysis/2NtpEGTy5AgoiUJ4TLp7ws,261787,4
白鷺の宿,0.383,0.466,0,-7.757,0,0.0276,0.311,0.000166,0.196,0.381,140.103,audio_features,1MhWNawsS324oxB7cZjES5,spotify:track:1MhWNawsS324oxB7cZjES5,https://api.spotify.com/v1/tracks/1MhWNawsS324oxB7cZjES5,https://api.spotify.com/v1/audio-analysis/1MhWNawsS324oxB7cZjES5,293027,4
遠い花火,0.454,0.487,7,-8.188,0,0.029,0.286,0.000102,0.261,0.31,80.189,audio_features,50XLHHONFz4fLTGn8IoQ4z,spotify:track:50XLHHONFz4fLTGn8IoQ4z,https://api.spotify.com/v1/tracks/50XLHHONFz4fLTGn8IoQ4z,https://api.spotify.com/v1/audio-analysis/50XLHHONFz4fLTGn8IoQ4z,249547,4
気がつけばいつでも夕陽,0.459,0.401,11,-9.544,0,0.028,0.737,8.1e-05,0.157,0.272,91.565,audio_features,2ECxSUUgwP4p2gYUcAPtL7,spotify:track:2ECxSUUgwP4p2gYUcAPtL7,https://api.spotify.com/v1/tracks/2ECxSUUgwP4p2gYUcAPtL7,https://api.spotify.com/v1/audio-analysis/2ECxSUUgwP4p2gYUcAPtL7,245667,4
西馬音内 盆唄,0.236,0.382,8,-8.603,0,0.0331,0.582,2.51e-06,0.0798,0.34,81.63,audio_features,3SjT7uFsHZ3FT8HhsnJWIP,spotify:track:3SjT7uFsHZ3FT8HhsnJWIP,https://api.spotify.com/v1/tracks/3SjT7uFsHZ3FT8HhsnJWIP,https://api.spotify.com/v1/audio-analysis/3SjT7uFsHZ3FT8HhsnJWIP,312587,4
豆桜,0.312,0.445,5,-7.337,1,0.0323,0.671,2.05e-06,0.302,0.371,83.219,audio_features,2uqOi9u73bjpC7qMoFFLnv,spotify:track:2uqOi9u73bjpC7qMoFFLnv,https://api.spotify.com/v1/tracks/2uqOi9u73bjpC7qMoFFLnv,https://api.spotify.com/v1/audio-analysis/2uqOi9u73bjpC7qMoFFLnv,246000,3
松山しぐれ,0.316,0.435,0,-7.418,1,0.0287,0.619,1.56e-06,0.291,0.38,142.141,audio_features,1kyUce5Wu0nlxqWgGQxdco,spotify:track:1kyUce5Wu0nlxqWgGQxdco,https://api.spotify.com/v1/tracks/1kyUce5Wu0nlxqWgGQxdco,https://api.spotify.com/v1/audio-analysis/1kyUce5Wu0nlxqWgGQxdco,303893,4
泣き砂 海風,0.343,0.532,1,-6.917,0,0.0309,0.228,0.000209,0.113,0.225,113.884,audio_features,5YgC4UTTDh2SDYvxaapZbu,spotify:track:5YgC4UTTDh2SDYvxaapZbu,https://api.spotify.com/v1/tracks/5YgC4UTTDh2SDYvxaapZbu,https://api.spotify.com/v1/audio-analysis/5YgC4UTTDh2SDYvxaapZbu,314160,3
おニャン子クラブのあぶな~い捕物帳,0.602,0.773,9,-5.095,0,0.119,0.273,0.00349,0.646,0.458,94.455,audio_features,2bruVHgp93IKPHhP3nnTMJ,spotify:track:2bruVHgp93IKPHhP3nnTMJ,https://api.spotify.com/v1/tracks/2bruVHgp93IKPHhP3nnTMJ,https://api.spotify.com/v1/audio-analysis/2bruVHgp93IKPHhP3nnTMJ,256320,4
流氷の手紙,0.206,0.488,8,-6.183,0,0.0314,0.345,0,0.118,0.209,176.311,audio_features,6w17MZ3YYrBSUgJkX2l1vJ,spotify:track:6w17MZ3YYrBSUgJkX2l1vJ,https://api.spotify.com/v1/tracks/6w17MZ3YYrBSUgJkX2l1vJ,https://api.spotify.com/v1/audio-analysis/6w17MZ3YYrBSUgJkX2l1vJ,257720,4
あなたで良かった - オリジナルカラオケ,0.253,0.385,0,-12.773,1,0.0338,0.469,0.918,0.113,0.132,119.886,audio_features,7EhGtbzfQRA0RfQCXKKwad,spotify:track:7EhGtbzfQRA0RfQCXKKwad,https://api.spotify.com/v1/tracks/7EhGtbzfQRA0RfQCXKKwad,https://api.spotify.com/v1/audio-analysis/7EhGtbzfQRA0RfQCXKKwad,280187,3
あじさい橋~令和ヴァージョン~,0.563,0.401,7,-6.167,1,0.027,0.697,0,0.198,0.251,109.893,audio_features,0tJkRCwbnhDpFwRiGhPv8F,spotify:track:0tJkRCwbnhDpFwRiGhPv8F,https://api.spotify.com/v1/tracks/0tJkRCwbnhDpFwRiGhPv8F,https://api.spotify.com/v1/audio-analysis/0tJkRCwbnhDpFwRiGhPv8F,257693,4
恋待ち夜雨 半音下げカラオケ,0.459,0.473,9,-6.138,1,0.0243,0.282,0.641,0.275,0.549,156.804,audio_features,5q5bER4YxT1hl8vBUxmMc1,spotify:track:5q5bER4YxT1hl8vBUxmMc1,https://api.spotify.com/v1/tracks/5q5bER4YxT1hl8vBUxmMc1,https://api.spotify.com/v1/audio-analysis/5q5bER4YxT1hl8vBUxmMc1,282413,3
よりそい蛍,0.254,0.445,7,-6.158,1,0.0323,0.562,6.35e-06,0.382,0.297,176.325,audio_features,1X7APKV7vGAnpbOoioRqN9,spotify:track:1X7APKV7vGAnpbOoioRqN9,https://api.spotify.com/v1/tracks/1X7APKV7vGAnpbOoioRqN9,https://api.spotify.com/v1/audio-analysis/1X7APKV7vGAnpbOoioRqN9,244533,3
恋のしずく,0.544,0.433,6,-6.871,0,0.0259,0.769,0.000139,0.138,0.503,102.052,audio_features,1j5EkRCebu64mHkLrACnGJ,spotify:track:1j5EkRCebu64mHkLrACnGJ,https://api.spotify.com/v1/tracks/1j5EkRCebu64mHkLrACnGJ,https://api.spotify.com/v1/audio-analysis/1j5EkRCebu64mHkLrACnGJ,211733,4
夕暮れ迷子 オリジナルカラオケ,0.676,0.738,10,-7.211,0,0.0264,0.0102,0.864,0.179,0.857,98.083,audio_features,3iC98ODl8Uur0cicnkg3KH,spotify:track:3iC98ODl8Uur0cicnkg3KH,https://api.spotify.com/v1/tracks/3iC98ODl8Uur0cicnkg3KH,https://api.spotify.com/v1/audio-analysis/3iC98ODl8Uur0cicnkg3KH,203600,4
