name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
MOON LIKE A MOON,0.285,0.927,7,-3.702,1,0.058,0.0288,0.00227,0.0724,0.37,136.917,audio_features,745Xqs0OWNADWoc3tRb7kw,spotify:track:745Xqs0OWNADWoc3tRb7kw,https://api.spotify.com/v1/tracks/745Xqs0OWNADWoc3tRb7kw,https://api.spotify.com/v1/audio-analysis/745Xqs0OWNADWoc3tRb7kw,210360,4
SHINING BRAIN,0.339,0.98,9,-2.908,1,0.17,0.459,0.889,0.362,0.242,152.076,audio_features,1WkUZALvBsM1v491hXHRzJ,spotify:track:1WkUZALvBsM1v491hXHRzJ,https://api.spotify.com/v1/tracks/1WkUZALvBsM1v491hXHRzJ,https://api.spotify.com/v1/audio-analysis/1WkUZALvBsM1v491hXHRzJ,121200,4
HARD TIMES,0.504,0.933,4,-6.95,1,0.04,0.249,0.955,0.25,0.579,133.284,audio_features,6958rJQhNGzmATkaqHnsg8,spotify:track:6958rJQhNGzmATkaqHnsg8,https://api.spotify.com/v1/tracks/6958rJQhNGzmATkaqHnsg8,https://api.spotify.com/v1/audio-analysis/6958rJQhNGzmATkaqHnsg8,257880,4
SORAMIMI,0.46,0.932,4,-2.921,1,0.0663,0.328,0.143,0.365,0.495,108.705,audio_features,7vNa6zGvDKQOHkdbbhgPcv,spotify:track:7vNa6zGvDKQOHkdbbhgPcv,https://api.spotify.com/v1/tracks/7vNa6zGvDKQOHkdbbhgPcv,https://api.spotify.com/v1/audio-analysis/7vNa6zGvDKQOHkdbbhgPcv,139200,4
BONE HEAD WOMAN,0.328,0.97,2,-4.431,1,0.329,0.492,0.105,0.217,0.172,163.391,audio_features,5984iEL3S65wYdYMfIpsEw,spotify:track:5984iEL3S65wYdYMfIpsEw,https://api.spotify.com/v1/tracks/5984iEL3S65wYdYMfIpsEw,https://api.spotify.com/v1/audio-analysis/5984iEL3S65wYdYMfIpsEw,208560,4
NATIONAL BLUES,0.32,0.817,1,-5.186,1,0.0709,0.0937,0.674,0.237,0.471,145.841,audio_features,0Bkzzu1E599vOMHGcXlRC8,spotify:track:0Bkzzu1E599vOMHGcXlRC8,https://api.spotify.com/v1/tracks/0Bkzzu1E599vOMHGcXlRC8,https://api.spotify.com/v1/audio-analysis/0Bkzzu1E599vOMHGcXlRC8,170400,4
NOW OR NEVER,0.447,0.97,10,-3.858,1,0.0742,0.133,0.294,0.296,0.448,134.756,audio_features,6O6r0kRvMgODW2G6vaoV5F,spotify:track:6O6r0kRvMgODW2G6vaoV5F,https://api.spotify.com/v1/tracks/6O6r0kRvMgODW2G6vaoV5F,https://api.spotify.com/v1/audio-analysis/6O6r0kRvMgODW2G6vaoV5F,148080,4
TIME TELL YOU WHY,0.476,0.924,11,-3.961,1,0.0661,0.0627,0.763,0.111,0.387,123.079,audio_features,5p3j7qjirU1X6SHVNhWVgR,spotify:track:5p3j7qjirU1X6SHVNhWVgR,https://api.spotify.com/v1/tracks/5p3j7qjirU1X6SHVNhWVgR,https://api.spotify.com/v1/audio-analysis/5p3j7qjirU1X6SHVNhWVgR,145080,4
HARD TIMES,0.439,0.99,4,-3.005,1,0.0636,0.21,0.941,0.221,0.372,133.238,audio_features,3iPCcVisFLlhHFebgUJh1S,spotify:track:3iPCcVisFLlhHFebgUJh1S,https://api.spotify.com/v1/tracks/3iPCcVisFLlhHFebgUJh1S,https://api.spotify.com/v1/audio-analysis/3iPCcVisFLlhHFebgUJh1S,257880,1
SHINING BRAIN,0.387,0.936,9,-7.225,1,0.108,0.37,0.913,0.42,0.506,152.267,audio_features,4BeZzEt1obs2vsVUTo5NwL,spotify:track:4BeZzEt1obs2vsVUTo5NwL,https://api.spotify.com/v1/tracks/4BeZzEt1obs2vsVUTo5NwL,https://api.spotify.com/v1/audio-analysis/4BeZzEt1obs2vsVUTo5NwL,121440,4
SENSUAL HEART,0.394,0.838,9,-4.557,0,0.0449,0.0838,0.854,0.0956,0.43,143.246,audio_features,4KbReikYiOSxcHsBVmqHCu,spotify:track:4KbReikYiOSxcHsBVmqHCu,https://api.spotify.com/v1/tracks/4KbReikYiOSxcHsBVmqHCu,https://api.spotify.com/v1/audio-analysis/4KbReikYiOSxcHsBVmqHCu,179520,4
