name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
泡沫未来 (feat. 初音ミク),0.592,0.877,4,-2.6,1,0.0404,0.453,0,0.0644,0.733,178.973,audio_features,1dV1V1xgkrnWE1GcK5fsdw,spotify:track:1dV1V1xgkrnWE1GcK5fsdw,https://api.spotify.com/v1/tracks/1dV1V1xgkrnWE1GcK5fsdw,https://api.spotify.com/v1/audio-analysis/1dV1V1xgkrnWE1GcK5fsdw,171955,4
フルール (feat. 初音ミク),0.727,0.895,8,-3.352,1,0.0441,0.375,0,0.391,0.33,97.561,audio_features,2jvEN6S8wQg8KqCc7s04Uq,spotify:track:2jvEN6S8wQg8KqCc7s04Uq,https://api.spotify.com/v1/tracks/2jvEN6S8wQg8KqCc7s04Uq,https://api.spotify.com/v1/audio-analysis/2jvEN6S8wQg8KqCc7s04Uq,180000,4
浴びるぜネギシャワー! (feat. 初音ミク),0.656,0.92,0,-2.547,0,0.0601,0.00372,0.000126,0.32,0.551,143.107,audio_features,4x39tujfOEdYzZaiZmQKqz,spotify:track:4x39tujfOEdYzZaiZmQKqz,https://api.spotify.com/v1/tracks/4x39tujfOEdYzZaiZmQKqz,https://api.spotify.com/v1/audio-analysis/4x39tujfOEdYzZaiZmQKqz,198252,4
翡翠の本懐 (feat. 初音ミク),0.72,0.894,1,-2.814,1,0.0503,0.00879,0,0.0454,0.65,99.513,audio_features,5uQX08aZ1gOT7JijDuvTOy,spotify:track:5uQX08aZ1gOT7JijDuvTOy,https://api.spotify.com/v1/tracks/5uQX08aZ1gOT7JijDuvTOy,https://api.spotify.com/v1/audio-analysis/5uQX08aZ1gOT7JijDuvTOy,156784,4
サンフラワーマジック! (feat. 初音ミク),0.648,0.978,10,-2.677,1,0.0736,0.00431,0.000197,0.0698,0.417,93.53,audio_features,5viiyAUbW6x45jHKihFnri,spotify:track:5viiyAUbW6x45jHKihFnri,https://api.spotify.com/v1/tracks/5viiyAUbW6x45jHKihFnri,https://api.spotify.com/v1/audio-analysis/5viiyAUbW6x45jHKihFnri,147433,4
残響の花 (feat. 初音ミク),0.545,0.895,10,-3.385,1,0.106,0.0427,0.00225,0.0921,0.434,179.08,audio_features,0l59dxSPBpvAKGJeDXGtnC,spotify:track:0l59dxSPBpvAKGJeDXGtnC,https://api.spotify.com/v1/tracks/0l59dxSPBpvAKGJeDXGtnC,https://api.spotify.com/v1/audio-analysis/0l59dxSPBpvAKGJeDXGtnC,184022,4
バナナはパワー☆じゃん! (feat. 初音ミク),0.706,0.962,11,-2.039,1,0.0412,0.101,0,0.357,0.845,114.935,audio_features,6jHj65BmBtUiGzyjW5SDzE,spotify:track:6jHj65BmBtUiGzyjW5SDzE,https://api.spotify.com/v1/tracks/6jHj65BmBtUiGzyjW5SDzE,https://api.spotify.com/v1/audio-analysis/6jHj65BmBtUiGzyjW5SDzE,212087,4
ぱりねば! (feat. 初音ミク),0.639,0.955,2,-3.487,1,0.0556,0.00396,9.45e-06,0.103,0.301,162.971,audio_features,2aZelrdhrGfDJ15SDQoXYa,spotify:track:2aZelrdhrGfDJ15SDQoXYa,https://api.spotify.com/v1/tracks/2aZelrdhrGfDJ15SDQoXYa,https://api.spotify.com/v1/audio-analysis/2aZelrdhrGfDJ15SDQoXYa,189202,4
ねこですにゃ (feat. 初音ミク),0.765,0.904,6,-4.026,1,0.0353,0.539,0.89,0.0745,0.977,179.984,audio_features,5jQf0b8noG5aGG1XvwMUUq,spotify:track:5jQf0b8noG5aGG1XvwMUUq,https://api.spotify.com/v1/tracks/5jQf0b8noG5aGG1XvwMUUq,https://api.spotify.com/v1/audio-analysis/5jQf0b8noG5aGG1XvwMUUq,142667,4
ふぁんふぁーれまーち! (feat. 初音ミク),0.695,0.964,2,-3.148,1,0.032,0.0207,3.34e-06,0.055,0.664,120.1,audio_features,1JqFO9QzeZmbtcsgJckJgq,spotify:track:1JqFO9QzeZmbtcsgJckJgq,https://api.spotify.com/v1/tracks/1JqFO9QzeZmbtcsgJckJgq,https://api.spotify.com/v1/audio-analysis/1JqFO9QzeZmbtcsgJckJgq,214250,4
アッチェレランド! (feat. 初音ミク),0.52,0.981,1,-3.171,1,0.137,0.0148,0,0.236,0.323,171.076,audio_features,1rEK3arPb4ln23gtBkEMYJ,spotify:track:1rEK3arPb4ln23gtBkEMYJ,https://api.spotify.com/v1/tracks/1rEK3arPb4ln23gtBkEMYJ,https://api.spotify.com/v1/audio-analysis/1rEK3arPb4ln23gtBkEMYJ,206491,4
ヴァルハラビリティ (feat. 初音ミク),0.558,0.928,10,-3.076,1,0.101,0.0477,0,0.346,0.321,151.006,audio_features,0wPUkRkG4XHpnk4rk3b10R,spotify:track:0wPUkRkG4XHpnk4rk3b10R,https://api.spotify.com/v1/tracks/0wPUkRkG4XHpnk4rk3b10R,https://api.spotify.com/v1/audio-analysis/0wPUkRkG4XHpnk4rk3b10R,150000,4
ネコ祭りにゃ!! (feat. 初音ミク),0.652,0.949,7,-2.808,1,0.0531,0.0484,0,0.111,0.809,133.03,audio_features,3ID7MobrLOwomUVrMARdar,spotify:track:3ID7MobrLOwomUVrMARdar,https://api.spotify.com/v1/tracks/3ID7MobrLOwomUVrMARdar,https://api.spotify.com/v1/audio-analysis/3ID7MobrLOwomUVrMARdar,226128,4
未完のストーリー (feat. 初音ミク),0.518,0.933,8,-3.353,0,0.0457,0.126,2.97e-05,0.186,0.362,178.001,audio_features,6es1qxvcSg3mnOfvRNkboM,spotify:track:6es1qxvcSg3mnOfvRNkboM,https://api.spotify.com/v1/tracks/6es1qxvcSg3mnOfvRNkboM,https://api.spotify.com/v1/audio-analysis/6es1qxvcSg3mnOfvRNkboM,239326,4
電気パレードの舞踏会 (feat. 初音ミク),0.65,0.961,0,-2.998,1,0.144,0.0331,0.000932,0.0361,0.774,208.742,audio_features,5frrTbyclUfNJzMXGu9BNr,spotify:track:5frrTbyclUfNJzMXGu9BNr,https://api.spotify.com/v1/tracks/5frrTbyclUfNJzMXGu9BNr,https://api.spotify.com/v1/audio-analysis/5frrTbyclUfNJzMXGu9BNr,219617,4
アンデッド・パラダイス! (feat. 初音ミク),0.674,0.937,8,-2.445,1,0.0404,0.00751,0,0.126,0.521,94.452,audio_features,1zMjonKgjH7IRo6St5L9Gh,spotify:track:1zMjonKgjH7IRo6St5L9Gh,https://api.spotify.com/v1/tracks/1zMjonKgjH7IRo6St5L9Gh,https://api.spotify.com/v1/audio-analysis/1zMjonKgjH7IRo6St5L9Gh,180635,4
散花火 (feat. 初音ミク),0.91,0.623,7,-7.208,0,0.0789,0.337,0.000719,0.21,0.514,89.962,audio_features,7aa03WPpc48zPLnlJrsj9b,spotify:track:7aa03WPpc48zPLnlJrsj9b,https://api.spotify.com/v1/tracks/7aa03WPpc48zPLnlJrsj9b,https://api.spotify.com/v1/audio-analysis/7aa03WPpc48zPLnlJrsj9b,180958,4
ネギ塩牛タンロック! (feat. 初音ミク),0.619,0.92,6,-3.291,0,0.0516,0.00193,0,0.0939,0.578,98.469,audio_features,5MhfNzitdKwqx8FjTv5NHl,spotify:track:5MhfNzitdKwqx8FjTv5NHl,https://api.spotify.com/v1/tracks/5MhfNzitdKwqx8FjTv5NHl,https://api.spotify.com/v1/audio-analysis/5MhfNzitdKwqx8FjTv5NHl,210457,4
フリーティングスマイル (feat. 初音ミク),0.808,0.892,2,-4.513,1,0.0313,0.347,0.00275,0.077,0.877,139.03,audio_features,5A1gX1ueE6twNyIA41gMEN,spotify:track:5A1gX1ueE6twNyIA41gMEN,https://api.spotify.com/v1/tracks/5A1gX1ueE6twNyIA41gMEN,https://api.spotify.com/v1/audio-analysis/5A1gX1ueE6twNyIA41gMEN,186475,4
ハローマイデイズ! (feat. 初音ミク),0.623,0.918,7,-2.294,0,0.0504,0.00233,0,0.367,0.462,120.945,audio_features,05tCOCmx8gdP56ARg0HazX,spotify:track:05tCOCmx8gdP56ARg0HazX,https://api.spotify.com/v1/tracks/05tCOCmx8gdP56ARg0HazX,https://api.spotify.com/v1/audio-analysis/05tCOCmx8gdP56ARg0HazX,224628,4
ゆらめきせかい (feat. 初音ミク),0.606,0.933,11,-3.248,0,0.0366,0.0169,1.37e-05,0.328,0.81,173.976,audio_features,45IMb3EyIp3viHYBGoovia,spotify:track:45IMb3EyIp3viHYBGoovia,https://api.spotify.com/v1/tracks/45IMb3EyIp3viHYBGoovia,https://api.spotify.com/v1/audio-analysis/45IMb3EyIp3viHYBGoovia,200862,4
