name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
veah,0.735,0.808,9,-4.527,1,0.085,0.0463,0.874,0.0962,0.965,155.008,audio_features,7mqj6RTRIIWC8DN4pFhW8B,spotify:track:7mqj6RTRIIWC8DN4pFhW8B,https://api.spotify.com/v1/tracks/7mqj6RTRIIWC8DN4pFhW8B,https://api.spotify.com/v1/audio-analysis/7mqj6RTRIIWC8DN4pFhW8B,216774,4
Irresponsible,0.89,0.725,4,-4.639,0,0.0593,0.682,0.038,0.0952,0.773,120.02,audio_features,6wx3U2sstb3LqLXLHCK7HT,spotify:track:6wx3U2sstb3LqLXLHCK7HT,https://api.spotify.com/v1/tracks/6wx3U2sstb3LqLXLHCK7HT,https://api.spotify.com/v1/audio-analysis/6wx3U2sstb3LqLXLHCK7HT,242000,4
drizzle,0.778,0.739,11,-5.309,0,0.0508,0.00256,0.86,0.351,0.853,126.01,audio_features,3vRdrDPojKSrVbXG9KbfcJ,spotify:track:3vRdrDPojKSrVbXG9KbfcJ,https://api.spotify.com/v1/tracks/3vRdrDPojKSrVbXG9KbfcJ,https://api.spotify.com/v1/audio-analysis/3vRdrDPojKSrVbXG9KbfcJ,310476,4
rainy season,0.838,0.317,8,-8.407,0,0.34,0.675,0.477,0.364,0.397,149.967,audio_features,1QL0uCNBHIIiWmaycvn28Q,spotify:track:1QL0uCNBHIIiWmaycvn28Q,https://api.spotify.com/v1/tracks/1QL0uCNBHIIiWmaycvn28Q,https://api.spotify.com/v1/audio-analysis/1QL0uCNBHIIiWmaycvn28Q,179200,4
mirai,0.597,0.918,5,-2.922,1,0.132,0.00591,0.0123,0.106,0.307,177.915,audio_features,0fMmYerUZtiZXfEn64hJdb,spotify:track:0fMmYerUZtiZXfEn64hJdb,https://api.spotify.com/v1/tracks/0fMmYerUZtiZXfEn64hJdb,https://api.spotify.com/v1/audio-analysis/0fMmYerUZtiZXfEn64hJdb,199541,4
B2B,0.693,0.94,8,-3.057,1,0.184,0.0527,0.96,0.363,0.87,172.085,audio_features,3HmDOf8O9bpmTWmAQBpz3E,spotify:track:3HmDOf8O9bpmTWmAQBpz3E,https://api.spotify.com/v1/tracks/3HmDOf8O9bpmTWmAQBpz3E,https://api.spotify.com/v1/audio-analysis/3HmDOf8O9bpmTWmAQBpz3E,228178,4
FUYUHANABI,0.623,0.941,1,-3.821,1,0.378,0.0087,0.00764,0.816,0.708,174.873,audio_features,3mYk4YaHwFVlQaxfzgpZwz,spotify:track:3mYk4YaHwFVlQaxfzgpZwz,https://api.spotify.com/v1/tracks/3mYk4YaHwFVlQaxfzgpZwz,https://api.spotify.com/v1/audio-analysis/3mYk4YaHwFVlQaxfzgpZwz,183400,4
Aomori vs Kagoshima,0.708,0.932,9,-3.599,1,0.0517,0.00971,0.000172,0.226,0.751,127.959,audio_features,6xuVekg5m4M6NhSAFomYlh,spotify:track:6xuVekg5m4M6NhSAFomYlh,https://api.spotify.com/v1/tracks/6xuVekg5m4M6NhSAFomYlh,https://api.spotify.com/v1/audio-analysis/6xuVekg5m4M6NhSAFomYlh,189375,4
moonsong,0.834,0.297,6,-15.709,1,0.227,0.608,0.836,0.119,0.156,139.972,audio_features,4bKVE6vl5pxpAMxGUsUuUd,spotify:track:4bKVE6vl5pxpAMxGUsUuUd,https://api.spotify.com/v1/tracks/4bKVE6vl5pxpAMxGUsUuUd,https://api.spotify.com/v1/audio-analysis/4bKVE6vl5pxpAMxGUsUuUd,61753,4
IKUSA,0.724,0.934,2,-3.409,1,0.356,0.000283,0.127,0.335,0.432,160.01,audio_features,6YiF3rYbdjX26cpPSGQqRO,spotify:track:6YiF3rYbdjX26cpPSGQqRO,https://api.spotify.com/v1/tracks/6YiF3rYbdjX26cpPSGQqRO,https://api.spotify.com/v1/audio-analysis/6YiF3rYbdjX26cpPSGQqRO,241381,4
