name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
桜,0.521,0.243,1,-10.323,1,0.0269,0.764,9.66e-06,0.126,0.319,135.773,audio_features,0cgb0afRXsde0fghrAGUok,spotify:track:0cgb0afRXsde0fghrAGUok,https://api.spotify.com/v1/tracks/0cgb0afRXsde0fghrAGUok,https://api.spotify.com/v1/audio-analysis/0cgb0afRXsde0fghrAGUok,277893,4
Ripe Red Autumn,0.699,0.338,0,-12.361,0,0.038,0.738,0.00046,0.0662,0.75,76.102,audio_features,6p5t9Bh8QMfWpPoo4Sevjh,spotify:track:6p5t9Bh8QMfWpPoo4Sevjh,https://api.spotify.com/v1/tracks/6p5t9Bh8QMfWpPoo4Sevjh,https://api.spotify.com/v1/audio-analysis/6p5t9Bh8QMfWpPoo4Sevjh,121307,4
Stay Blue (feat. 川崎鷹也),0.577,0.509,6,-7.345,1,0.0275,0.187,0,0.121,0.237,115.494,audio_features,6hV4xgYEgyC2baPRMVJLLq,spotify:track:6hV4xgYEgyC2baPRMVJLLq,https://api.spotify.com/v1/tracks/6hV4xgYEgyC2baPRMVJLLq,https://api.spotify.com/v1/audio-analysis/6hV4xgYEgyC2baPRMVJLLq,328520,3
渡良瀬橋,0.52,0.346,9,-10.123,1,0.0258,0.516,0.00458,0.0738,0.188,148.024,audio_features,6DV1bAk2WuOyMwInGDKG2W,spotify:track:6DV1bAk2WuOyMwInGDKG2W,https://api.spotify.com/v1/tracks/6DV1bAk2WuOyMwInGDKG2W,https://api.spotify.com/v1/audio-analysis/6DV1bAk2WuOyMwInGDKG2W,270800,4
桜 '09ヴァージョン,0.566,0.251,1,-7.896,1,0.0263,0.841,0,0.103,0.371,133.885,audio_features,1S0Uso8BgXzU80zSm3f99v,spotify:track:1S0Uso8BgXzU80zSm3f99v,https://api.spotify.com/v1/tracks/1S0Uso8BgXzU80zSm3f99v,https://api.spotify.com/v1/audio-analysis/1S0Uso8BgXzU80zSm3f99v,237231,4
桜 '09ヴァージョン,0.569,0.251,1,-7.899,1,0.0263,0.841,0,0.103,0.366,133.784,audio_features,6McQkE2T4BbXiNb0XsWG8c,spotify:track:6McQkE2T4BbXiNb0XsWG8c,https://api.spotify.com/v1/tracks/6McQkE2T4BbXiNb0XsWG8c,https://api.spotify.com/v1/audio-analysis/6McQkE2T4BbXiNb0XsWG8c,237231,4
バラと東京,0.644,0.251,10,-10.827,1,0.0419,0.781,0,0.111,0.288,72.874,audio_features,4GtjDe1bTmtcGZ26sDgHD0,spotify:track:4GtjDe1bTmtcGZ26sDgHD0,https://api.spotify.com/v1/tracks/4GtjDe1bTmtcGZ26sDgHD0,https://api.spotify.com/v1/audio-analysis/4GtjDe1bTmtcGZ26sDgHD0,299872,4
未来色プロポーズ feat.常田真太郎 (from スキマスイッチ),0.612,0.657,11,-5.783,1,0.0262,0.134,1.43e-05,0.0679,0.608,97.035,audio_features,5Z6hkiGLCmbORcrZxAd4ih,spotify:track:5Z6hkiGLCmbORcrZxAd4ih,https://api.spotify.com/v1/tracks/5Z6hkiGLCmbORcrZxAd4ih,https://api.spotify.com/v1/audio-analysis/5Z6hkiGLCmbORcrZxAd4ih,308480,4
Arcadia,0.435,0.124,7,-13.326,1,0.0439,0.984,2.83e-06,0.177,0.1,203.136,audio_features,3xziV1dxglbQ7ULITCCPpA,spotify:track:3xziV1dxglbQ7ULITCCPpA,https://api.spotify.com/v1/tracks/3xziV1dxglbQ7ULITCCPpA,https://api.spotify.com/v1/audio-analysis/3xziV1dxglbQ7ULITCCPpA,267613,3
カレーライス,0.643,0.531,0,-6.074,0,0.0248,0.608,1.37e-06,0.209,0.507,98.592,audio_features,0LM3gYtXBFpUgp98FW1rfh,spotify:track:0LM3gYtXBFpUgp98FW1rfh,https://api.spotify.com/v1/tracks/0LM3gYtXBFpUgp98FW1rfh,https://api.spotify.com/v1/audio-analysis/0LM3gYtXBFpUgp98FW1rfh,263707,4
愛の歌,0.496,0.286,8,-7.034,1,0.0295,0.835,0,0.132,0.369,143.743,audio_features,6grUWhn7iSNJfVSEzOIYRN,spotify:track:6grUWhn7iSNJfVSEzOIYRN,https://api.spotify.com/v1/tracks/6grUWhn7iSNJfVSEzOIYRN,https://api.spotify.com/v1/audio-analysis/6grUWhn7iSNJfVSEzOIYRN,260827,4
