name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Noble Eyes,0.626,0.755,9,-12.029,0,0.0348,0.0801,0.00231,0.106,0.876,129.626,audio_features,7tNP6bnw6DzGiZGMYUBJGR,spotify:track:7tNP6bnw6DzGiZGMYUBJGR,https://api.spotify.com/v1/tracks/7tNP6bnw6DzGiZGMYUBJGR,https://api.spotify.com/v1/audio-analysis/7tNP6bnw6DzGiZGMYUBJGR,336400,4
バスを待っていた,0.673,0.512,10,-12.66,1,0.035,0.0719,0.0577,0.143,0.878,110.118,audio_features,6lwhOEby52s1ujxkELk5dp,spotify:track:6lwhOEby52s1ujxkELk5dp,https://api.spotify.com/v1/tracks/6lwhOEby52s1ujxkELk5dp,https://api.spotify.com/v1/audio-analysis/6lwhOEby52s1ujxkELk5dp,420960,4
DREAM GIRL,0.677,0.403,9,-13.446,0,0.0309,0.118,1.63e-05,0.0438,0.799,100.747,audio_features,4s1xvfzWZaX68obcHQmG14,spotify:track:4s1xvfzWZaX68obcHQmG14,https://api.spotify.com/v1/tracks/4s1xvfzWZaX68obcHQmG14,https://api.spotify.com/v1/audio-analysis/4s1xvfzWZaX68obcHQmG14,291200,4
Belinda,0.67,0.544,5,-12.325,1,0.0277,0.153,0.000181,0.0606,0.956,104.738,audio_features,4eTimBr81mu9JKJ2TldYz7,spotify:track:4eTimBr81mu9JKJ2TldYz7,https://api.spotify.com/v1/tracks/4eTimBr81mu9JKJ2TldYz7,https://api.spotify.com/v1/audio-analysis/4eTimBr81mu9JKJ2TldYz7,312067,4
Night Passage,0.203,0.942,5,-11.51,1,0.0524,0.168,0.000211,0.578,0.475,203.364,audio_features,4xKF9QaTbs4RZvfOBBEUW7,spotify:track:4xKF9QaTbs4RZvfOBBEUW7,https://api.spotify.com/v1/tracks/4xKF9QaTbs4RZvfOBBEUW7,https://api.spotify.com/v1/audio-analysis/4xKF9QaTbs4RZvfOBBEUW7,300627,4
瞳はシリウスの輝き,0.71,0.673,0,-12.902,1,0.0332,0.231,0.00395,0.123,0.879,116.426,audio_features,3mQ822c0fY23pspkq8o0r0,spotify:track:3mQ822c0fY23pspkq8o0r0,https://api.spotify.com/v1/tracks/3mQ822c0fY23pspkq8o0r0,https://api.spotify.com/v1/audio-analysis/3mQ822c0fY23pspkq8o0r0,293933,4
How Many Times Did I Kiss You?,0.594,0.246,0,-9.374,1,0.0358,0.924,0.000151,0.122,0.245,113.431,audio_features,3KylHPDK9TBHcBoTs96vGP,spotify:track:3KylHPDK9TBHcBoTs96vGP,https://api.spotify.com/v1/tracks/3KylHPDK9TBHcBoTs96vGP,https://api.spotify.com/v1/audio-analysis/3KylHPDK9TBHcBoTs96vGP,195597,4
さよならレニングラード,0.69,0.534,10,-13.645,0,0.0265,0.0109,5.41e-05,0.273,0.931,119.701,audio_features,153pcjKqa24ULf6nYH4Dy7,spotify:track:153pcjKqa24ULf6nYH4Dy7,https://api.spotify.com/v1/tracks/153pcjKqa24ULf6nYH4Dy7,https://api.spotify.com/v1/audio-analysis/153pcjKqa24ULf6nYH4Dy7,280507,4
ありふれたセプテンバー,0.609,0.354,5,-15.149,1,0.0299,0.482,4.51e-05,0.0755,0.842,169.256,audio_features,15epzGJaPOHFRw2p9Sw0Yv,spotify:track:15epzGJaPOHFRw2p9Sw0Yv,https://api.spotify.com/v1/tracks/15epzGJaPOHFRw2p9Sw0Yv,https://api.spotify.com/v1/audio-analysis/15epzGJaPOHFRw2p9Sw0Yv,221800,4
優しい関係,0.772,0.614,11,-14.327,0,0.0331,0.619,1.25e-05,0.062,0.928,123.239,audio_features,7Hz4Byg06I8dlTVWNaZgiT,spotify:track:7Hz4Byg06I8dlTVWNaZgiT,https://api.spotify.com/v1/tracks/7Hz4Byg06I8dlTVWNaZgiT,https://api.spotify.com/v1/audio-analysis/7Hz4Byg06I8dlTVWNaZgiT,291067,4
