name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Wokeup,0.713,0.259,10,-14.872,0,0.238,0.245,3.06e-06,0.101,0.467,139.987,audio_features,3jM9VzF2d1AMUyTD8sTmPu,spotify:track:3jM9VzF2d1AMUyTD8sTmPu,https://api.spotify.com/v1/tracks/3jM9VzF2d1AMUyTD8sTmPu,https://api.spotify.com/v1/audio-analysis/3jM9VzF2d1AMUyTD8sTmPu,115347,4
Goin' To Hell,0.606,0.543,9,-14.387,1,0.0509,0.0215,8e-06,0.337,0.569,137.99,audio_features,3opC4kS9RpbNJw7aORFmGF,spotify:track:3opC4kS9RpbNJw7aORFmGF,https://api.spotify.com/v1/tracks/3opC4kS9RpbNJw7aORFmGF,https://api.spotify.com/v1/audio-analysis/3opC4kS9RpbNJw7aORFmGF,68547,4
AMG Cedes,0.805,0.708,9,-4.262,1,0.302,0.00424,0,0.0802,0.384,145.049,audio_features,03vkwUblFQjJ1Ecys00pCF,spotify:track:03vkwUblFQjJ1Ecys00pCF,https://api.spotify.com/v1/tracks/03vkwUblFQjJ1Ecys00pCF,https://api.spotify.com/v1/audio-analysis/03vkwUblFQjJ1Ecys00pCF,96774,4
Groupiez,0.586,0.516,1,-11.552,0,0.126,0.00656,2.61e-05,0.261,0.267,129.638,audio_features,25hAHXz3ss7rmSBQpoqQY5,spotify:track:25hAHXz3ss7rmSBQpoqQY5,https://api.spotify.com/v1/tracks/25hAHXz3ss7rmSBQpoqQY5,https://api.spotify.com/v1/audio-analysis/25hAHXz3ss7rmSBQpoqQY5,88635,4
Fuk Tha Clout (feat. Yeat),0.544,0.34,1,-14.164,1,0.305,0.0176,0,0.257,0.147,154.101,audio_features,2u8p7hcPih3EhieDLnsnUH,spotify:track:2u8p7hcPih3EhieDLnsnUH,https://api.spotify.com/v1/tracks/2u8p7hcPih3EhieDLnsnUH,https://api.spotify.com/v1/audio-analysis/2u8p7hcPih3EhieDLnsnUH,168401,4
hat4hat,0.742,0.24,10,-17.404,0,0.129,5.78e-05,0.00017,0.105,0.157,144.985,audio_features,1DWFO7hrTW9TkSLHzyLeGA,spotify:track:1DWFO7hrTW9TkSLHzyLeGA,https://api.spotify.com/v1/tracks/1DWFO7hrTW9TkSLHzyLeGA,https://api.spotify.com/v1/audio-analysis/1DWFO7hrTW9TkSLHzyLeGA,132817,4
##RR##EFG,0.676,0.468,1,-12.155,1,0.225,0.00175,0.301,0.125,0.153,137.075,audio_features,2ExQHyULPXMFyfwLadlmCg,spotify:track:2ExQHyULPXMFyfwLadlmCg,https://api.spotify.com/v1/tracks/2ExQHyULPXMFyfwLadlmCg,https://api.spotify.com/v1/audio-analysis/2ExQHyULPXMFyfwLadlmCg,140986,5
Kickback,0.611,0.41,9,-13.518,1,0.149,0.000275,0.00175,0.103,0.206,145.018,audio_features,5HtOazXOK8uc3FNRhDClDg,spotify:track:5HtOazXOK8uc3FNRhDClDg,https://api.spotify.com/v1/tracks/5HtOazXOK8uc3FNRhDClDg,https://api.spotify.com/v1/audio-analysis/5HtOazXOK8uc3FNRhDClDg,118667,5
AP Skelly,0.584,0.575,10,-9.224,0,0.0422,0.00524,0.000187,0.155,0.212,144.985,audio_features,5vkaP9pimTrWNd1C0bSk3W,spotify:track:5vkaP9pimTrWNd1C0bSk3W,https://api.spotify.com/v1/tracks/5vkaP9pimTrWNd1C0bSk3W,https://api.spotify.com/v1/audio-analysis/5vkaP9pimTrWNd1C0bSk3W,93871,4
OMG,0.62,0.765,7,-4.595,1,0.228,0.000253,0,0.321,0.652,149.932,audio_features,2qF9R6Q0bAdlN3fkgYqKM8,spotify:track:2qF9R6Q0bAdlN3fkgYqKM8,https://api.spotify.com/v1/tracks/2qF9R6Q0bAdlN3fkgYqKM8,https://api.spotify.com/v1/audio-analysis/2qF9R6Q0bAdlN3fkgYqKM8,135000,4
Far,0.748,0.158,10,-15.597,0,0.101,0.00743,0.776,0.111,0.0956,144.979,audio_features,1DDgiLPt7xCyVzfvr5SlU1,spotify:track:1DDgiLPt7xCyVzfvr5SlU1,https://api.spotify.com/v1/tracks/1DDgiLPt7xCyVzfvr5SlU1,https://api.spotify.com/v1/audio-analysis/1DDgiLPt7xCyVzfvr5SlU1,70344,4
14,0.79,0.326,3,-16.207,1,0.248,0.0183,0,0.1,0.301,121.021,audio_features,3FjbqjPlAFa2FszNtXGGdh,spotify:track:3FjbqjPlAFa2FszNtXGGdh,https://api.spotify.com/v1/tracks/3FjbqjPlAFa2FszNtXGGdh,https://api.spotify.com/v1/audio-analysis/3FjbqjPlAFa2FszNtXGGdh,149921,4
S0what,0.707,0.416,11,-15.458,0,0.244,0.00918,0.000106,0.311,0.527,143.948,audio_features,4r6FUn1zqEPb8nWuqWxNFt,spotify:track:4r6FUn1zqEPb8nWuqWxNFt,https://api.spotify.com/v1/tracks/4r6FUn1zqEPb8nWuqWxNFt,https://api.spotify.com/v1/audio-analysis/4r6FUn1zqEPb8nWuqWxNFt,93458,4
As High As Us,0.602,0.469,10,-11.712,0,0.088,0.000114,0,0.225,0.156,129.984,audio_features,3dCN1m3pAdTl3TWYWOPzN9,spotify:track:3dCN1m3pAdTl3TWYWOPzN9,https://api.spotify.com/v1/tracks/3dCN1m3pAdTl3TWYWOPzN9,https://api.spotify.com/v1/audio-analysis/3dCN1m3pAdTl3TWYWOPzN9,121387,4
