name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
メリーゴーラウンド,0.335,0.951,7,-9.39,1,0.118,0.0683,0.0629,0.346,0.232,154.224,audio_features,7Chi6ZOIxgDWDZAj2ikuqd,spotify:track:7Chi6ZOIxgDWDZAj2ikuqd,https://api.spotify.com/v1/tracks/7Chi6ZOIxgDWDZAj2ikuqd,https://api.spotify.com/v1/audio-analysis/7Chi6ZOIxgDWDZAj2ikuqd,425600,4
アメリカン タンゴ,0.448,0.854,9,-7.812,1,0.0628,0.019,0.866,0.124,0.481,110.751,audio_features,7J6SjMa1He7983I07EoNH2,spotify:track:7J6SjMa1He7983I07EoNH2,https://api.spotify.com/v1/tracks/7J6SjMa1He7983I07EoNH2,https://api.spotify.com/v1/audio-analysis/7J6SjMa1He7983I07EoNH2,454293,4
"Brother ""J""",0.304,0.279,2,-17.095,1,0.0441,0.614,0.0849,0.259,0.137,81.587,audio_features,5TJM1ql5Za5mRF9tjIQnSk,spotify:track:5TJM1ql5Za5mRF9tjIQnSk,https://api.spotify.com/v1/tracks/5TJM1ql5Za5mRF9tjIQnSk,https://api.spotify.com/v1/audio-analysis/5TJM1ql5Za5mRF9tjIQnSk,485320,4
Friday Night,0.421,0.491,8,-17.147,1,0.0465,0.183,0.606,0.153,0.627,119.593,audio_features,3HwRAHeCFRK48XN0vtUzeN,spotify:track:3HwRAHeCFRK48XN0vtUzeN,https://api.spotify.com/v1/tracks/3HwRAHeCFRK48XN0vtUzeN,https://api.spotify.com/v1/audio-analysis/3HwRAHeCFRK48XN0vtUzeN,413600,4
ホット・アイランズ,0.416,0.66,9,-9.196,1,0.038,0.134,0.252,0.324,0.331,125.15,audio_features,0rXf3vsdEClU7ynzJvSpko,spotify:track:0rXf3vsdEClU7ynzJvSpko,https://api.spotify.com/v1/tracks/0rXf3vsdEClU7ynzJvSpko,https://api.spotify.com/v1/audio-analysis/0rXf3vsdEClU7ynzJvSpko,393920,4
シャルダン・スクエア,0.51,0.923,7,-9.85,1,0.0581,0.138,0.772,0.0615,0.446,154.133,audio_features,3ACnKuJH1RdO3ozCnyTNui,spotify:track:3ACnKuJH1RdO3ozCnyTNui,https://api.spotify.com/v1/tracks/3ACnKuJH1RdO3ozCnyTNui,https://api.spotify.com/v1/audio-analysis/3ACnKuJH1RdO3ozCnyTNui,541480,4
A Child In the Wind,0.408,0.312,8,-18.817,0,0.0376,0.0964,0.397,0.127,0.348,139.842,audio_features,7339QN4ZgW2YKeFEABn8PU,spotify:track:7339QN4ZgW2YKeFEABn8PU,https://api.spotify.com/v1/tracks/7339QN4ZgW2YKeFEABn8PU,https://api.spotify.com/v1/audio-analysis/7339QN4ZgW2YKeFEABn8PU,821027,4
Hot Islands,0.469,0.37,9,-18.228,1,0.0348,0.15,0.405,0.154,0.331,124.358,audio_features,3bxsMvvQu1h9YlGVZA9B71,spotify:track:3bxsMvvQu1h9YlGVZA9B71,https://api.spotify.com/v1/tracks/3bxsMvvQu1h9YlGVZA9B71,https://api.spotify.com/v1/audio-analysis/3bxsMvvQu1h9YlGVZA9B71,395267,4
Breeze,0.49,0.394,3,-16.634,1,0.0367,0.137,0.661,0.111,0.287,131.296,audio_features,5Y4a2d4zAq3R4IouXFV2lt,spotify:track:5Y4a2d4zAq3R4IouXFV2lt,https://api.spotify.com/v1/tracks/5Y4a2d4zAq3R4IouXFV2lt,https://api.spotify.com/v1/audio-analysis/5Y4a2d4zAq3R4IouXFV2lt,315733,4
Chardin Square,0.495,0.772,0,-18.167,1,0.0572,0.0543,0.83,0.0453,0.548,155.271,audio_features,3y64HSxdKU1T0TvObN1PnM,spotify:track:3y64HSxdKU1T0TvObN1PnM,https://api.spotify.com/v1/tracks/3y64HSxdKU1T0TvObN1PnM,https://api.spotify.com/v1/audio-analysis/3y64HSxdKU1T0TvObN1PnM,542027,4
バイ・ロード,0.324,0.909,0,-8.447,1,0.0851,0.0209,0.292,0.256,0.234,151.456,audio_features,5jk0lQNuBJwGiPbqRxIE4T,spotify:track:5jk0lQNuBJwGiPbqRxIE4T,https://api.spotify.com/v1/tracks/5jk0lQNuBJwGiPbqRxIE4T,https://api.spotify.com/v1/audio-analysis/5jk0lQNuBJwGiPbqRxIE4T,255520,4
Mum,0.231,0.112,0,-22.475,1,0.0467,0.964,0.829,0.0803,0.0609,80.889,audio_features,7toSvnwgDzSm9BNRSv81cJ,spotify:track:7toSvnwgDzSm9BNRSv81cJ,https://api.spotify.com/v1/tracks/7toSvnwgDzSm9BNRSv81cJ,https://api.spotify.com/v1/audio-analysis/7toSvnwgDzSm9BNRSv81cJ,224573,3
Bessie's Blues,0.529,0.449,5,-15.463,0,0.0348,0.617,0.0964,0.0539,0.568,127.463,audio_features,1qQwsiyVvrMCDhnPAM1ftL,spotify:track:1qQwsiyVvrMCDhnPAM1ftL,https://api.spotify.com/v1/tracks/1qQwsiyVvrMCDhnPAM1ftL,https://api.spotify.com/v1/audio-analysis/1qQwsiyVvrMCDhnPAM1ftL,357707,4
Bitter Waltz,0.365,0.235,7,-20.828,1,0.0309,0.847,0.495,0.188,0.395,149.717,audio_features,7aeKqXqh7683QBEznKtJyD,spotify:track:7aeKqXqh7683QBEznKtJyD,https://api.spotify.com/v1/tracks/7aeKqXqh7683QBEznKtJyD,https://api.spotify.com/v1/audio-analysis/7aeKqXqh7683QBEznKtJyD,498400,4
Medley Chasin'〜Vesper〜After Love Emptiness,0.398,0.503,2,-15.505,1,0.0406,0.437,0.625,0.232,0.272,116.639,audio_features,6PYeEc7oR6PQ630Apbsb7u,spotify:track:6PYeEc7oR6PQ630Apbsb7u,https://api.spotify.com/v1/tracks/6PYeEc7oR6PQ630Apbsb7u,https://api.spotify.com/v1/audio-analysis/6PYeEc7oR6PQ630Apbsb7u,1027827,4
Who Are You,0.413,0.529,2,-14.001,1,0.0436,0.309,0.16,0.0683,0.286,106.1,audio_features,4ecLUb3ZnUmxIHVgCqIR0G,spotify:track:4ecLUb3ZnUmxIHVgCqIR0G,https://api.spotify.com/v1/tracks/4ecLUb3ZnUmxIHVgCqIR0G,https://api.spotify.com/v1/audio-analysis/4ecLUb3ZnUmxIHVgCqIR0G,378760,4
My Funny Valentine,0.417,0.0567,0,-25.702,0,0.0343,0.959,0.411,0.118,0.161,100.01,audio_features,3MqNcsuF86AHRVSSLdMCmr,spotify:track:3MqNcsuF86AHRVSSLdMCmr,https://api.spotify.com/v1/tracks/3MqNcsuF86AHRVSSLdMCmr,https://api.spotify.com/v1/audio-analysis/3MqNcsuF86AHRVSSLdMCmr,692960,4
Starting Off,0.447,0.699,6,-13.655,1,0.0649,0.147,0.00374,0.252,0.482,109.485,audio_features,5xcgwac1RnsgxJBnOYp4yg,spotify:track:5xcgwac1RnsgxJBnOYp4yg,https://api.spotify.com/v1/tracks/5xcgwac1RnsgxJBnOYp4yg,https://api.spotify.com/v1/audio-analysis/5xcgwac1RnsgxJBnOYp4yg,425107,4
Little Island,0.446,0.393,8,-16.76,1,0.0551,0.443,0.32,0.103,0.224,78.008,audio_features,7fwjAMKDcWDA3tuvnBQP4d,spotify:track:7fwjAMKDcWDA3tuvnBQP4d,https://api.spotify.com/v1/tracks/7fwjAMKDcWDA3tuvnBQP4d,https://api.spotify.com/v1/audio-analysis/7fwjAMKDcWDA3tuvnBQP4d,511320,4
Moonflower,0.431,0.258,7,-20.717,1,0.0409,0.767,0.873,0.0684,0.119,106.579,audio_features,71JMXGN5TbMfIQy2gp0oOL,spotify:track:71JMXGN5TbMfIQy2gp0oOL,https://api.spotify.com/v1/tracks/71JMXGN5TbMfIQy2gp0oOL,https://api.spotify.com/v1/audio-analysis/71JMXGN5TbMfIQy2gp0oOL,585373,4
Elegant Evening,0.364,0.576,8,-15.042,1,0.0334,0.617,0.835,0.1,0.336,79.748,audio_features,4l0acAjII4zz9aVxEhus9B,spotify:track:4l0acAjII4zz9aVxEhus9B,https://api.spotify.com/v1/tracks/4l0acAjII4zz9aVxEhus9B,https://api.spotify.com/v1/audio-analysis/4l0acAjII4zz9aVxEhus9B,415173,4
His Mother,0.362,0.348,4,-16.971,0,0.0406,0.206,0.578,0.0947,0.129,175.963,audio_features,0npOpLrRwZbT2VgSQa4zyX,spotify:track:0npOpLrRwZbT2VgSQa4zyX,https://api.spotify.com/v1/tracks/0npOpLrRwZbT2VgSQa4zyX,https://api.spotify.com/v1/audio-analysis/0npOpLrRwZbT2VgSQa4zyX,574733,4
Lament,0.314,0.17,5,-21.174,1,0.0437,0.964,0.903,0.109,0.112,132.903,audio_features,4rPV0CXzMQ0SzHbrVfl0OX,spotify:track:4rPV0CXzMQ0SzHbrVfl0OX,https://api.spotify.com/v1/tracks/4rPV0CXzMQ0SzHbrVfl0OX,https://api.spotify.com/v1/audio-analysis/4rPV0CXzMQ0SzHbrVfl0OX,376653,4
Hangin' Out,0.391,0.739,1,-14.068,1,0.0411,0.0866,0.684,0.288,0.574,134.447,audio_features,2WH8yEEDweR6HSIGBVpVLW,spotify:track:2WH8yEEDweR6HSIGBVpVLW,https://api.spotify.com/v1/tracks/2WH8yEEDweR6HSIGBVpVLW,https://api.spotify.com/v1/audio-analysis/2WH8yEEDweR6HSIGBVpVLW,363107,4
アメリカン・タンゴ,0.437,0.898,9,-8.496,1,0.0914,0.0471,0.814,0.0935,0.343,112.068,audio_features,0OPFg5Jt0UnzqwjKDJOQJZ,spotify:track:0OPFg5Jt0UnzqwjKDJOQJZ,https://api.spotify.com/v1/tracks/0OPFg5Jt0UnzqwjKDJOQJZ,https://api.spotify.com/v1/audio-analysis/0OPFg5Jt0UnzqwjKDJOQJZ,457453,4
American Tango,0.399,0.717,8,-10.909,1,0.0845,0.0107,0.887,0.11,0.617,72.418,audio_features,5P6T5Ml638vI0m6bVH3g10,spotify:track:5P6T5Ml638vI0m6bVH3g10,https://api.spotify.com/v1/tracks/5P6T5Ml638vI0m6bVH3g10,https://api.spotify.com/v1/audio-analysis/5P6T5Ml638vI0m6bVH3g10,288380,3
Ancient Tales,0.454,0.0247,0,-24.862,0,0.0449,0.966,0.819,0.0684,0.112,106.265,audio_features,1lPdNMda2nAGlrN35gGp9n,spotify:track:1lPdNMda2nAGlrN35gGp9n,https://api.spotify.com/v1/tracks/1lPdNMda2nAGlrN35gGp9n,https://api.spotify.com/v1/audio-analysis/1lPdNMda2nAGlrN35gGp9n,310307,4
Portrait,0.419,0.262,9,-18.461,1,0.038,0.0652,0.0876,0.101,0.0974,124.841,audio_features,0xbEmFgeNEbVK0KvnjOwfl,spotify:track:0xbEmFgeNEbVK0KvnjOwfl,https://api.spotify.com/v1/tracks/0xbEmFgeNEbVK0KvnjOwfl,https://api.spotify.com/v1/audio-analysis/0xbEmFgeNEbVK0KvnjOwfl,441960,4
ブリーズ,0.474,0.638,3,-9.491,1,0.045,0.261,0.585,0.136,0.272,129.486,audio_features,4l4aLfVowhRgys3Ge1MEz5,spotify:track:4l4aLfVowhRgys3Ge1MEz5,https://api.spotify.com/v1/tracks/4l4aLfVowhRgys3Ge1MEz5,https://api.spotify.com/v1/audio-analysis/4l4aLfVowhRgys3Ge1MEz5,315653,4
By Road,0.303,0.675,0,-16.035,1,0.0454,0.0141,0.518,0.148,0.283,146.093,audio_features,6RXdSca1eouOD5awfyKu1P,spotify:track:6RXdSca1eouOD5awfyKu1P,https://api.spotify.com/v1/tracks/6RXdSca1eouOD5awfyKu1P,https://api.spotify.com/v1/audio-analysis/6RXdSca1eouOD5awfyKu1P,255840,4
American Tango,0.441,0.645,9,-14.705,1,0.0537,0.0137,0.892,0.113,0.495,112.639,audio_features,6NJxJUZjHAEgPaBInu0T9H,spotify:track:6NJxJUZjHAEgPaBInu0T9H,https://api.spotify.com/v1/tracks/6NJxJUZjHAEgPaBInu0T9H,https://api.spotify.com/v1/audio-analysis/6NJxJUZjHAEgPaBInu0T9H,457507,4
Merry Go Round,0.312,0.727,9,-18.061,0,0.0526,0.0214,0.363,0.342,0.377,154.332,audio_features,0iyqCdagx35doWmv7t0EBW,spotify:track:0iyqCdagx35doWmv7t0EBW,https://api.spotify.com/v1/tracks/0iyqCdagx35doWmv7t0EBW,https://api.spotify.com/v1/audio-analysis/0iyqCdagx35doWmv7t0EBW,425267,4
Cycle of Time,0.353,0.021,1,-26.292,1,0.0406,0.871,0.917,0.0829,0.0767,139.159,audio_features,2gypJW43OIuIOnu8vaQEMS,spotify:track:2gypJW43OIuIOnu8vaQEMS,https://api.spotify.com/v1/tracks/2gypJW43OIuIOnu8vaQEMS,https://api.spotify.com/v1/audio-analysis/2gypJW43OIuIOnu8vaQEMS,227560,3
Nefertiti,0.398,0.73,11,-13.519,0,0.0449,0.272,0.275,0.0798,0.675,89.088,audio_features,4574JKIqHrcNrWoV0Ldn5t,spotify:track:4574JKIqHrcNrWoV0Ldn5t,https://api.spotify.com/v1/tracks/4574JKIqHrcNrWoV0Ldn5t,https://api.spotify.com/v1/audio-analysis/4574JKIqHrcNrWoV0Ldn5t,145787,3
