name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Onnanoko wa Nakanai,0.588,0.786,4,-3.858,1,0.0292,0.0921,0,0.0741,0.816,103.033,audio_features,3HpSdvTi6rp7me9ifECdQK,spotify:track:3HpSdvTi6rp7me9ifECdQK,https://api.spotify.com/v1/tracks/3HpSdvTi6rp7me9ifECdQK,https://api.spotify.com/v1/audio-analysis/3HpSdvTi6rp7me9ifECdQK,237520,4
Ketsuro,0.558,0.561,7,-7.845,1,0.0333,0.0652,4.61e-06,0.151,0.471,145.658,audio_features,7cRyWiNd3SXBx3qWtVAnIu,spotify:track:7cRyWiNd3SXBx3qWtVAnIu,https://api.spotify.com/v1/tracks/7cRyWiNd3SXBx3qWtVAnIu,https://api.spotify.com/v1/audio-analysis/7cRyWiNd3SXBx3qWtVAnIu,286160,4
Irei no Hito,0.705,0.567,7,-8.133,1,0.0276,0.495,8.21e-06,0.172,0.627,117.979,audio_features,5G7sNqij7Q9kgK9JIXMxqe,spotify:track:5G7sNqij7Q9kgK9JIXMxqe,https://api.spotify.com/v1/tracks/5G7sNqij7Q9kgK9JIXMxqe,https://api.spotify.com/v1/audio-analysis/5G7sNqij7Q9kgK9JIXMxqe,284657,4
Hey Boy!,0.646,0.886,9,-2.445,1,0.0359,0.0461,5.05e-06,0.276,0.708,104.997,audio_features,4ZQ8DCMJ6VgK0OeiMxeKdq,spotify:track:4ZQ8DCMJ6VgK0OeiMxeKdq,https://api.spotify.com/v1/tracks/4ZQ8DCMJ6VgK0OeiMxeKdq,https://api.spotify.com/v1/audio-analysis/4ZQ8DCMJ6VgK0OeiMxeKdq,179467,4
Darenidatte Cinderella Story,0.574,0.767,9,-4.822,1,0.0262,0.055,8.37e-06,0.305,0.828,139.992,audio_features,3ExCUou9Z2YFQ3V9z7ND0u,spotify:track:3ExCUou9Z2YFQ3V9z7ND0u,https://api.spotify.com/v1/tracks/3ExCUou9Z2YFQ3V9z7ND0u,https://api.spotify.com/v1/audio-analysis/3ExCUou9Z2YFQ3V9z7ND0u,252933,4
Oh Jane,0.398,0.784,10,-5.57,1,0.0347,0.000996,7.87e-06,0.117,0.528,180.144,audio_features,0G2UxpIFvYU7VYy6LIx6Ok,spotify:track:0G2UxpIFvYU7VYy6LIx6Ok,https://api.spotify.com/v1/tracks/0G2UxpIFvYU7VYy6LIx6Ok,https://api.spotify.com/v1/audio-analysis/0G2UxpIFvYU7VYy6LIx6Ok,232067,4
Come Back Home,0.61,0.68,2,-5.083,1,0.0343,0.308,0,0.11,0.558,90.992,audio_features,35kVv5CmEJ3E9JI6XvBALy,spotify:track:35kVv5CmEJ3E9JI6XvBALy,https://api.spotify.com/v1/tracks/35kVv5CmEJ3E9JI6XvBALy,https://api.spotify.com/v1/audio-analysis/35kVv5CmEJ3E9JI6XvBALy,296400,4
Natsu no Yoru,0.491,0.51,7,-5.177,1,0.0269,0.218,0,0.225,0.353,148.051,audio_features,1s99aiP2LJXeOXwHUz5KKk,spotify:track:1s99aiP2LJXeOXwHUz5KKk,https://api.spotify.com/v1/tracks/1s99aiP2LJXeOXwHUz5KKk,https://api.spotify.com/v1/audio-analysis/1s99aiP2LJXeOXwHUz5KKk,270920,4
Ichinichiju,0.485,0.0753,7,-17.587,1,0.111,0.918,0,0.131,0.443,92.072,audio_features,2bAmAaAhhf9d2j3oR3cLQ7,spotify:track:2bAmAaAhhf9d2j3oR3cLQ7,https://api.spotify.com/v1/tracks/2bAmAaAhhf9d2j3oR3cLQ7,https://api.spotify.com/v1/audio-analysis/2bAmAaAhhf9d2j3oR3cLQ7,131301,3
Raspberry Tart,0.55,0.617,5,-5.113,1,0.0243,0.0586,2.22e-05,0.128,0.541,91.984,audio_features,57BDexilju349zhGPhV5Sf,spotify:track:57BDexilju349zhGPhV5Sf,https://api.spotify.com/v1/tracks/57BDexilju349zhGPhV5Sf,https://api.spotify.com/v1/audio-analysis/57BDexilju349zhGPhV5Sf,300664,4
