name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
あの頃、マリー・ローランサン,0.755,0.329,7,-20.182,1,0.0669,0.069,0.604,0.0682,0.433,102.265,audio_features,4Wt7idyqxbx82rHSlshIxz,spotify:track:4Wt7idyqxbx82rHSlshIxz,https://api.spotify.com/v1/tracks/4Wt7idyqxbx82rHSlshIxz,https://api.spotify.com/v1/audio-analysis/4Wt7idyqxbx82rHSlshIxz,264667,4
AROUND THE WORLD,0.886,0.583,1,-13.113,1,0.0526,0.0492,5.62e-05,0.0554,0.864,108.208,audio_features,3gzEpNkcbwgndcCBgqn77t,spotify:track:3gzEpNkcbwgndcCBgqn77t,https://api.spotify.com/v1/tracks/3gzEpNkcbwgndcCBgqn77t,https://api.spotify.com/v1/audio-analysis/3gzEpNkcbwgndcCBgqn77t,267693,4
L`OPÉRA FRAGILE,0.793,0.475,2,-14.467,0,0.0367,0.291,0.0665,0.141,0.539,117.646,audio_features,1ZzS1OIOps79vbSEFsXklU,spotify:track:1ZzS1OIOps79vbSEFsXklU,https://api.spotify.com/v1/tracks/1ZzS1OIOps79vbSEFsXklU,https://api.spotify.com/v1/audio-analysis/1ZzS1OIOps79vbSEFsXklU,290360,4
RADIO CABARET,0.653,0.507,6,-12.101,0,0.0374,0.0358,0.205,0.114,0.708,115.324,audio_features,6cfHzoLggVcMKTfFwL9jbv,spotify:track:6cfHzoLggVcMKTfFwL9jbv,https://api.spotify.com/v1/tracks/6cfHzoLggVcMKTfFwL9jbv,https://api.spotify.com/v1/audio-analysis/6cfHzoLggVcMKTfFwL9jbv,235200,4
MASQUE ROSE DE Mme M,0.288,0.12,3,-18.815,0,0.0358,0.95,0.154,0.254,0.168,100.569,audio_features,3HMlwxkA5zo12nh0eBDaAL,spotify:track:3HMlwxkA5zo12nh0eBDaAL,https://api.spotify.com/v1/tracks/3HMlwxkA5zo12nh0eBDaAL,https://api.spotify.com/v1/audio-analysis/3HMlwxkA5zo12nh0eBDaAL,179493,4
"GIGI, LA DANSEUSE",0.637,0.82,9,-9.576,0,0.0514,0.14,0.00039,0.525,0.662,115.584,audio_features,5vxxGnMvATBSRXQZqs68RX,spotify:track:5vxxGnMvATBSRXQZqs68RX,https://api.spotify.com/v1/tracks/5vxxGnMvATBSRXQZqs68RX,https://api.spotify.com/v1/audio-analysis/5vxxGnMvATBSRXQZqs68RX,280333,4
SMALL CAFÉ,0.606,0.484,9,-12.077,0,0.0297,0.371,0,0.15,0.825,102.103,audio_features,7hwSZUHxxmda88QligIm4Q,spotify:track:7hwSZUHxxmda88QligIm4Q,https://api.spotify.com/v1/tracks/7hwSZUHxxmda88QligIm4Q,https://api.spotify.com/v1/audio-analysis/7hwSZUHxxmda88QligIm4Q,312933,4
LAZY GIRL,0.729,0.519,7,-12.611,1,0.0256,0.00832,0.0375,0.322,0.768,94.354,audio_features,6feYaPm0kMTb9l49BCMY7n,spotify:track:6feYaPm0kMTb9l49BCMY7n,https://api.spotify.com/v1/tracks/6feYaPm0kMTb9l49BCMY7n,https://api.spotify.com/v1/audio-analysis/6feYaPm0kMTb9l49BCMY7n,306867,4
SAN SALVADOR,0.85,0.7,7,-11.936,1,0.0416,0.201,4.79e-06,0.0784,0.948,124.34,audio_features,1JlYdozsirbmw0uA4hgTt9,spotify:track:1JlYdozsirbmw0uA4hgTt9,https://api.spotify.com/v1/tracks/1JlYdozsirbmw0uA4hgTt9,https://api.spotify.com/v1/audio-analysis/1JlYdozsirbmw0uA4hgTt9,218600,4
猫を抱いてるマドモワゼル,0.809,0.359,0,-19.291,1,0.0349,0.369,0.204,0.137,0.961,108.138,audio_features,0fSniH8SyuWqms22wao77o,spotify:track:0fSniH8SyuWqms22wao77o,https://api.spotify.com/v1/tracks/0fSniH8SyuWqms22wao77o,https://api.spotify.com/v1/audio-analysis/0fSniH8SyuWqms22wao77o,257600,4
七つの影と七つのため息,0.582,0.468,0,-12.4,1,0.0258,0.0284,0.000176,0.105,0.457,104.29,audio_features,5uLiVmpbMvdVDA0QSQHBlf,spotify:track:5uLiVmpbMvdVDA0QSQHBlf,https://api.spotify.com/v1/tracks/5uLiVmpbMvdVDA0QSQHBlf,https://api.spotify.com/v1/audio-analysis/5uLiVmpbMvdVDA0QSQHBlf,322533,4
GEORGETOWN,0.744,0.587,4,-11.71,1,0.0294,0.153,0,0.477,0.661,107.879,audio_features,34Uflc8lusExxFDL1k9Fma,spotify:track:34Uflc8lusExxFDL1k9Fma,https://api.spotify.com/v1/tracks/34Uflc8lusExxFDL1k9Fma,https://api.spotify.com/v1/audio-analysis/34Uflc8lusExxFDL1k9Fma,285173,4
SCANDALE DE Mme ROTHCHILD,0.23,0.485,6,-11.302,0,0.06,0.828,0.0797,0.208,0.436,171.475,audio_features,0vNQb5eMeg5CsM66uBXkeK,spotify:track:0vNQb5eMeg5CsM66uBXkeK,https://api.spotify.com/v1/tracks/0vNQb5eMeg5CsM66uBXkeK,https://api.spotify.com/v1/audio-analysis/0vNQb5eMeg5CsM66uBXkeK,173360,3
