name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
時には昔の話を,0.479,0.0623,5,-15.272,1,0.0384,0.957,0,0.0829,0.306,144.501,audio_features,6doYuv4YLRc5ip4GqMUMnb,spotify:track:6doYuv4YLRc5ip4GqMUMnb,https://api.spotify.com/v1/tracks/6doYuv4YLRc5ip4GqMUMnb,https://api.spotify.com/v1/audio-analysis/6doYuv4YLRc5ip4GqMUMnb,237680,4
さくらんぼの実る頃 (フランス語ヴァージョン),0.336,0.0479,8,-16.06,1,0.0482,0.973,2e-05,0.122,0.254,78.43,audio_features,2wH2fOlKCl0DYBAhmkoiqX,spotify:track:2wH2fOlKCl0DYBAhmkoiqX,https://api.spotify.com/v1/tracks/2wH2fOlKCl0DYBAhmkoiqX,https://api.spotify.com/v1/audio-analysis/2wH2fOlKCl0DYBAhmkoiqX,174000,3
時には昔の話を,0.496,0.134,5,-12.197,1,0.0356,0.986,0.00157,0.109,0.141,73.002,audio_features,3xVrZMLTH6elKUEg97Ex2r,spotify:track:3xVrZMLTH6elKUEg97Ex2r,https://api.spotify.com/v1/tracks/3xVrZMLTH6elKUEg97Ex2r,https://api.spotify.com/v1/audio-analysis/3xVrZMLTH6elKUEg97Ex2r,245200,4
さくらんぼの実る頃,0.429,0.0665,8,-17.44,1,0.0502,0.987,7.85e-06,0.17,0.181,85.287,audio_features,5JpATo8OmRYh9oVT4QXa5k,spotify:track:5JpATo8OmRYh9oVT4QXa5k,https://api.spotify.com/v1/tracks/5JpATo8OmRYh9oVT4QXa5k,https://api.spotify.com/v1/audio-analysis/5JpATo8OmRYh9oVT4QXa5k,278747,3
この空を飛べたら,0.46,0.315,5,-11.391,0,0.0302,0.24,4.05e-06,0.129,0.324,129.681,audio_features,6X3rsSKtUI8K9ofbLIDDws,spotify:track:6X3rsSKtUI8K9ofbLIDDws,https://api.spotify.com/v1/tracks/6X3rsSKtUI8K9ofbLIDDws,https://api.spotify.com/v1/audio-analysis/6X3rsSKtUI8K9ofbLIDDws,231933,3
知床旅情,0.394,0.128,7,-14.148,1,0.0358,0.872,2.21e-05,0.0854,0.166,119.676,audio_features,5UPnRgxdh0uvtYgwedPXhf,spotify:track:5UPnRgxdh0uvtYgwedPXhf,https://api.spotify.com/v1/tracks/5UPnRgxdh0uvtYgwedPXhf,https://api.spotify.com/v1/audio-analysis/5UPnRgxdh0uvtYgwedPXhf,196773,3
時には昔の話を,0.44,0.134,5,-12.165,1,0.0356,0.986,0.0037,0.108,0.145,145.871,audio_features,65PtvyKx4egeRs1aHlQjB4,spotify:track:65PtvyKx4egeRs1aHlQjB4,https://api.spotify.com/v1/tracks/65PtvyKx4egeRs1aHlQjB4,https://api.spotify.com/v1/audio-analysis/65PtvyKx4egeRs1aHlQjB4,245373,4
百万本のバラ,0.638,0.366,6,-12.28,1,0.0315,0.699,0.00024,0.0822,0.315,91.955,audio_features,6G04YyszBElnC5y4WiPY1V,spotify:track:6G04YyszBElnC5y4WiPY1V,https://api.spotify.com/v1/tracks/6G04YyszBElnC5y4WiPY1V,https://api.spotify.com/v1/audio-analysis/6G04YyszBElnC5y4WiPY1V,305893,4
わかれうた,0.463,0.12,9,-14.717,0,0.0503,0.953,0,0.106,0.315,89.914,audio_features,1rt7X7WqbYZY0GIneg8wmp,spotify:track:1rt7X7WqbYZY0GIneg8wmp,https://api.spotify.com/v1/tracks/1rt7X7WqbYZY0GIneg8wmp,https://api.spotify.com/v1/audio-analysis/1rt7X7WqbYZY0GIneg8wmp,271853,4
さくらんぼの実る頃,0.636,0.153,8,-15.962,1,0.0374,0.924,0.000104,0.111,0.313,141.825,audio_features,2EsYnbssnfp0eQw9UGlF8W,spotify:track:2EsYnbssnfp0eQw9UGlF8W,https://api.spotify.com/v1/tracks/2EsYnbssnfp0eQw9UGlF8W,https://api.spotify.com/v1/audio-analysis/2EsYnbssnfp0eQw9UGlF8W,238160,3
