name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
I've been searchin'〜君をさがしてた〜,0.573,0.67,2,-5.347,1,0.0361,0.38,0,0.193,0.317,85.784,audio_features,1mR3dNOaQm2nhrqtCarsZF,spotify:track:1mR3dNOaQm2nhrqtCarsZF,https://api.spotify.com/v1/tracks/1mR3dNOaQm2nhrqtCarsZF,https://api.spotify.com/v1/audio-analysis/1mR3dNOaQm2nhrqtCarsZF,323907,4
Let's Get Together Now,0.699,0.754,9,-6.005,1,0.0463,0.178,2.17e-05,0.205,0.482,125.017,audio_features,05718BazehO6JyFNOB2UKp,spotify:track:05718BazehO6JyFNOB2UKp,https://api.spotify.com/v1/tracks/05718BazehO6JyFNOB2UKp,https://api.spotify.com/v1/audio-analysis/05718BazehO6JyFNOB2UKp,368400,4
砂粒みたいに,0.729,0.703,8,-6.562,1,0.0384,0.196,1.34e-06,0.0649,0.525,140.023,audio_features,1i1G6ctoWUfImivtXwF4q8,spotify:track:1i1G6ctoWUfImivtXwF4q8,https://api.spotify.com/v1/tracks/1i1G6ctoWUfImivtXwF4q8,https://api.spotify.com/v1/audio-analysis/1i1G6ctoWUfImivtXwF4q8,332307,4
STARS,0.69,0.514,4,-6.944,0,0.0528,0.299,0,0.12,0.62,73.019,audio_features,0XnBZGrztvkVCKYuPHNRYX,spotify:track:0XnBZGrztvkVCKYuPHNRYX,https://api.spotify.com/v1/tracks/0XnBZGrztvkVCKYuPHNRYX,https://api.spotify.com/v1/audio-analysis/0XnBZGrztvkVCKYuPHNRYX,416707,4
HIGH CRIME (less vocal),0.69,0.778,11,-10.822,1,0.0364,0.114,0.572,0.0966,0.968,124.825,audio_features,0PU5sErVnr5CYFRWzBrrdl,spotify:track:0PU5sErVnr5CYFRWzBrrdl,https://api.spotify.com/v1/tracks/0PU5sErVnr5CYFRWzBrrdl,https://api.spotify.com/v1/audio-analysis/0PU5sErVnr5CYFRWzBrrdl,265733,4
10月4日のテーマ,0.591,0.952,8,-7.539,1,0.0353,0.17,0.964,0.118,0.938,137.037,audio_features,1BDuSWNsOGz9L1D4RploAE,spotify:track:1BDuSWNsOGz9L1D4RploAE,https://api.spotify.com/v1/tracks/1BDuSWNsOGz9L1D4RploAE,https://api.spotify.com/v1/audio-analysis/1BDuSWNsOGz9L1D4RploAE,115080,4
月夜,0.696,0.0781,1,-14.993,1,0.0329,0.962,0.000416,0.106,0.2,104.892,audio_features,3t0cucZtNbv13wJV18Agfq,spotify:track:3t0cucZtNbv13wJV18Agfq,https://api.spotify.com/v1/tracks/3t0cucZtNbv13wJV18Agfq,https://api.spotify.com/v1/audio-analysis/3t0cucZtNbv13wJV18Agfq,296427,3
"interlude (Oct. 4th, p.m.)",0.495,0.668,1,-16.055,1,0.0551,0.201,0.851,0.116,0.165,136.332,audio_features,7CoOLGXi0ATvOmTgKRnUx8,spotify:track:7CoOLGXi0ATvOmTgKRnUx8,https://api.spotify.com/v1/tracks/7CoOLGXi0ATvOmTgKRnUx8,https://api.spotify.com/v1/audio-analysis/7CoOLGXi0ATvOmTgKRnUx8,67413,4
Rewind,0.419,0.626,8,-6.669,1,0.0425,0.455,0,0.363,0.343,139.849,audio_features,2DRbtSfdT3eyecTxFr4msL,spotify:track:2DRbtSfdT3eyecTxFr4msL,https://api.spotify.com/v1/tracks/2DRbtSfdT3eyecTxFr4msL,https://api.spotify.com/v1/audio-analysis/2DRbtSfdT3eyecTxFr4msL,293253,4
Sundance,0.689,0.795,5,-5.093,0,0.0449,0.0749,0,0.17,0.762,124.636,audio_features,4et9R9iejcZddkmvkxluQ5,spotify:track:4et9R9iejcZddkmvkxluQ5,https://api.spotify.com/v1/tracks/4et9R9iejcZddkmvkxluQ5,https://api.spotify.com/v1/audio-analysis/4et9R9iejcZddkmvkxluQ5,344600,4
Commelina,0.668,0.404,0,-15.164,1,0.0368,0.886,0.414,0.164,0.852,143.896,audio_features,0WDUnJyZFbh3CePr5XusBU,spotify:track:0WDUnJyZFbh3CePr5XusBU,https://api.spotify.com/v1/tracks/0WDUnJyZFbh3CePr5XusBU,https://api.spotify.com/v1/audio-analysis/0WDUnJyZFbh3CePr5XusBU,64687,3
WILL (The Ultimate),0.557,0.197,6,-10.486,0,0.0342,0.956,0,0.102,0.221,135.031,audio_features,25g3ujzDOyqjDomhlNDCa8,spotify:track:25g3ujzDOyqjDomhlNDCa8,https://api.spotify.com/v1/tracks/25g3ujzDOyqjDomhlNDCa8,https://api.spotify.com/v1/audio-analysis/25g3ujzDOyqjDomhlNDCa8,342187,4
Sun Shower,0.635,0.791,10,-4.421,1,0.03,0.0618,0,0.0815,0.702,127.024,audio_features,4INwJ7ujrQnmUFiDQMNtYd,spotify:track:4INwJ7ujrQnmUFiDQMNtYd,https://api.spotify.com/v1/tracks/4INwJ7ujrQnmUFiDQMNtYd,https://api.spotify.com/v1/audio-analysis/4INwJ7ujrQnmUFiDQMNtYd,340120,4
Don't take my heart (away from me),0.815,0.528,9,-7.371,1,0.0295,0.25,0.000565,0.0273,0.762,99.004,audio_features,1H6mDnGC4YRGREvsNdrPSH,spotify:track:1H6mDnGC4YRGREvsNdrPSH,https://api.spotify.com/v1/tracks/1H6mDnGC4YRGREvsNdrPSH,https://api.spotify.com/v1/audio-analysis/1H6mDnGC4YRGREvsNdrPSH,351733,4
星の呼吸,0.671,0.499,9,-6.344,1,0.0284,0.295,0,0.126,0.325,135.728,audio_features,3ZXV0zi9KPLrUp6yF9NabQ,spotify:track:3ZXV0zi9KPLrUp6yF9NabQ,https://api.spotify.com/v1/tracks/3ZXV0zi9KPLrUp6yF9NabQ,https://api.spotify.com/v1/audio-analysis/3ZXV0zi9KPLrUp6yF9NabQ,277160,4
Saturday,0.865,0.811,1,-4.942,1,0.0502,0.124,0,0.0502,0.81,97.99,audio_features,1GsetutrLsR2tWyEX234Gg,spotify:track:1GsetutrLsR2tWyEX234Gg,https://api.spotify.com/v1/tracks/1GsetutrLsR2tWyEX234Gg,https://api.spotify.com/v1/audio-analysis/1GsetutrLsR2tWyEX234Gg,358067,4
Into The Storm,0.487,0.791,8,-3.022,1,0.0723,0.168,0,0.266,0.701,165.019,audio_features,6uf0fD9KtRzM4TYc0ZcZv1,spotify:track:6uf0fD9KtRzM4TYc0ZcZv1,https://api.spotify.com/v1/tracks/6uf0fD9KtRzM4TYc0ZcZv1,https://api.spotify.com/v1/audio-analysis/6uf0fD9KtRzM4TYc0ZcZv1,335453,3
Not Alone,0.63,0.568,1,-6.078,1,0.0349,0.407,0,0.108,0.269,129.903,audio_features,4iEUA0RbWgqE0MrFl4hq0J,spotify:track:4iEUA0RbWgqE0MrFl4hq0J,https://api.spotify.com/v1/tracks/4iEUA0RbWgqE0MrFl4hq0J,https://api.spotify.com/v1/audio-analysis/4iEUA0RbWgqE0MrFl4hq0J,235813,4
星の呼吸,0.676,0.45,9,-8.361,1,0.0304,0.375,1.25e-06,0.137,0.33,135.706,audio_features,3NXIutqPiGG44STwOifu6U,spotify:track:3NXIutqPiGG44STwOifu6U,https://api.spotify.com/v1/tracks/3NXIutqPiGG44STwOifu6U,https://api.spotify.com/v1/audio-analysis/3NXIutqPiGG44STwOifu6U,281080,4
Sun Shower,0.65,0.726,10,-5.688,1,0.029,0.0383,1.26e-06,0.0926,0.64,127.013,audio_features,6sPCF2i5kTl2Mn2IH49Ckq,spotify:track:6sPCF2i5kTl2Mn2IH49Ckq,https://api.spotify.com/v1/tracks/6sPCF2i5kTl2Mn2IH49Ckq,https://api.spotify.com/v1/audio-analysis/6sPCF2i5kTl2Mn2IH49Ckq,341133,4
HIGH CRIME,0.782,0.787,11,-6.061,1,0.0516,0.295,0,0.138,0.962,124.809,audio_features,4kuCVOlrhKBu2sIHmuDqJ2,spotify:track:4kuCVOlrhKBu2sIHmuDqJ2,https://api.spotify.com/v1/tracks/4kuCVOlrhKBu2sIHmuDqJ2,https://api.spotify.com/v1/audio-analysis/4kuCVOlrhKBu2sIHmuDqJ2,264427,4
Memory Lane,0.662,0.916,10,-3.731,0,0.0463,0.0199,3.55e-05,0.256,0.592,114.988,audio_features,51lLapda6OQVTCYR0gAFLQ,spotify:track:51lLapda6OQVTCYR0gAFLQ,https://api.spotify.com/v1/tracks/51lLapda6OQVTCYR0gAFLQ,https://api.spotify.com/v1/audio-analysis/51lLapda6OQVTCYR0gAFLQ,332400,4
Sun Shower (less vocal),0.606,0.744,10,-7.009,1,0.0287,0.000764,0.843,0.0921,0.592,127.008,audio_features,6hQ8O3Jq3C8p6ULyi6leur,spotify:track:6hQ8O3Jq3C8p6ULyi6leur,https://api.spotify.com/v1/tracks/6hQ8O3Jq3C8p6ULyi6leur,https://api.spotify.com/v1/audio-analysis/6hQ8O3Jq3C8p6ULyi6leur,341173,4
Memory Lane (instrumental),0.597,0.936,11,-6.173,1,0.0377,0.00016,0.812,0.0966,0.515,114.991,audio_features,3mSCNrmhGYpExNfnIcWDia,spotify:track:3mSCNrmhGYpExNfnIcWDia,https://api.spotify.com/v1/tracks/3mSCNrmhGYpExNfnIcWDia,https://api.spotify.com/v1/audio-analysis/3mSCNrmhGYpExNfnIcWDia,332533,4
Not Alone (less vocal),0.684,0.411,8,-9.012,1,0.0282,0.0923,0.495,0.0976,0.161,130.007,audio_features,0JREVr1XouNfokGcB75xez,spotify:track:0JREVr1XouNfokGcB75xez,https://api.spotify.com/v1/tracks/0JREVr1XouNfokGcB75xez,https://api.spotify.com/v1/audio-analysis/0JREVr1XouNfokGcB75xez,236533,4
Not Alone (The Two Of Us),0.703,0.12,10,-13.634,0,0.0408,0.937,1.45e-06,0.108,0.368,129.556,audio_features,6SX2VJLOwNVWBUbchBusVZ,spotify:track:6SX2VJLOwNVWBUbchBusVZ,https://api.spotify.com/v1/tracks/6SX2VJLOwNVWBUbchBusVZ,https://api.spotify.com/v1/audio-analysis/6SX2VJLOwNVWBUbchBusVZ,259733,4
Not Alone,0.641,0.515,1,-7.339,1,0.042,0.469,0,0.0998,0.202,129.827,audio_features,4YZxKMSuBwqz9bWrMHasaZ,spotify:track:4YZxKMSuBwqz9bWrMHasaZ,https://api.spotify.com/v1/tracks/4YZxKMSuBwqz9bWrMHasaZ,https://api.spotify.com/v1/audio-analysis/4YZxKMSuBwqz9bWrMHasaZ,238133,4
君を後ろに乗せて,0.745,0.263,9,-13.047,1,0.0358,0.975,9.33e-05,0.0701,0.556,125.797,audio_features,0m8pvYK5vdyQ0eHqkZOtig,spotify:track:0m8pvYK5vdyQ0eHqkZOtig,https://api.spotify.com/v1/tracks/0m8pvYK5vdyQ0eHqkZOtig,https://api.spotify.com/v1/audio-analysis/0m8pvYK5vdyQ0eHqkZOtig,314707,4
出潮,0.493,0.16,1,-11.165,1,0.0396,0.94,0,0.105,0.258,119.554,audio_features,3eUo7UElh2S46w6ZnkGJxr,spotify:track:3eUo7UElh2S46w6ZnkGJxr,https://api.spotify.com/v1/tracks/3eUo7UElh2S46w6ZnkGJxr,https://api.spotify.com/v1/audio-analysis/3eUo7UElh2S46w6ZnkGJxr,232267,4
HIGH CRIME,0.782,0.715,11,-7.956,1,0.0464,0.375,0,0.123,0.961,124.828,audio_features,6kJmFnuiBMU7BIBy4VRdXL,spotify:track:6kJmFnuiBMU7BIBy4VRdXL,https://api.spotify.com/v1/tracks/6kJmFnuiBMU7BIBy4VRdXL,https://api.spotify.com/v1/audio-analysis/6kJmFnuiBMU7BIBy4VRdXL,267400,4
君をさがしてた,0.659,0.187,2,-11.032,1,0.0504,0.945,0,0.0934,0.333,150.075,audio_features,6CJUx8InKflSuv5CYmB1ct,spotify:track:6CJUx8InKflSuv5CYmB1ct,https://api.spotify.com/v1/tracks/6CJUx8InKflSuv5CYmB1ct,https://api.spotify.com/v1/audio-analysis/6CJUx8InKflSuv5CYmB1ct,372907,4
