name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
夜空ノムコウ (Album ver.),0.519,0.537,7,-6.994,1,0.0337,0.772,1.22e-06,0.137,0.316,204.202,audio_features,6MPsQ2mxrM5Q7oOM33WdUz,spotify:track:6MPsQ2mxrM5Q7oOM33WdUz,https://api.spotify.com/v1/tracks/6MPsQ2mxrM5Q7oOM33WdUz,https://api.spotify.com/v1/audio-analysis/6MPsQ2mxrM5Q7oOM33WdUz,292000,4
エチュード,0.466,0.639,7,-7.543,1,0.0294,0.287,3.82e-06,0.093,0.395,148.2,audio_features,7LTNW6xVE175oyYwZZfP4r,spotify:track:7LTNW6xVE175oyYwZZfP4r,https://api.spotify.com/v1/tracks/7LTNW6xVE175oyYwZZfP4r,https://api.spotify.com/v1/audio-analysis/7LTNW6xVE175oyYwZZfP4r,351733,4
Travels,0.582,0.84,1,-6.139,0,0.0299,0.397,5.62e-06,0.165,0.672,95.195,audio_features,5tyBMdJ1KIgsxCGqPViqDa,spotify:track:5tyBMdJ1KIgsxCGqPViqDa,https://api.spotify.com/v1/tracks/5tyBMdJ1KIgsxCGqPViqDa,https://api.spotify.com/v1/audio-analysis/5tyBMdJ1KIgsxCGqPViqDa,301867,4
夜空ノムコウ(福嶋頼秀編),0.367,0.0597,2,-15.882,0,0.0485,0.98,0.343,0.0494,0.135,136.728,audio_features,2GWtDlTCFJ3iDlagAtUAv9,spotify:track:2GWtDlTCFJ3iDlagAtUAv9,https://api.spotify.com/v1/tracks/2GWtDlTCFJ3iDlagAtUAv9,https://api.spotify.com/v1/audio-analysis/2GWtDlTCFJ3iDlagAtUAv9,354840,4
朝焼けの歌,0.437,0.364,3,-9.633,1,0.0343,0.926,1.95e-05,0.0454,0.346,170.946,audio_features,5QxRStmfT7fZif4QHOR36k,spotify:track:5QxRStmfT7fZif4QHOR36k,https://api.spotify.com/v1/tracks/5QxRStmfT7fZif4QHOR36k,https://api.spotify.com/v1/audio-analysis/5QxRStmfT7fZif4QHOR36k,289387,4
いつか来た道,0.446,0.249,9,-12.169,1,0.0368,0.948,1.78e-06,0.0906,0.247,117.413,audio_features,5mHS6WD6hKnJDKQdShRryD,spotify:track:5mHS6WD6hKnJDKQdShRryD,https://api.spotify.com/v1/tracks/5mHS6WD6hKnJDKQdShRryD,https://api.spotify.com/v1/audio-analysis/5mHS6WD6hKnJDKQdShRryD,249000,4
home (Album ver.),0.435,0.693,6,-4.121,1,0.0325,0.389,0,0.0878,0.25,188.165,audio_features,4u2cWTaTGEeq5fN7QUr5t8,spotify:track:4u2cWTaTGEeq5fN7QUr5t8,https://api.spotify.com/v1/tracks/4u2cWTaTGEeq5fN7QUr5t8,https://api.spotify.com/v1/audio-analysis/4u2cWTaTGEeq5fN7QUr5t8,305493,4
知らないままじゃなくてよかった,0.496,0.384,0,-10.273,1,0.0271,0.836,1.84e-05,0.112,0.257,138.069,audio_features,5ZnZlxcgfVvmUOYj68x3bq,spotify:track:5ZnZlxcgfVvmUOYj68x3bq,https://api.spotify.com/v1/tracks/5ZnZlxcgfVvmUOYj68x3bq,https://api.spotify.com/v1/audio-analysis/5ZnZlxcgfVvmUOYj68x3bq,423173,4
アンフォゲタブル,0.621,0.507,0,-7.315,1,0.0307,0.698,1.95e-05,0.0742,0.409,79.077,audio_features,1HDbWRR8FLqQFxsD4PY9Ai,spotify:track:1HDbWRR8FLqQFxsD4PY9Ai,https://api.spotify.com/v1/tracks/1HDbWRR8FLqQFxsD4PY9Ai,https://api.spotify.com/v1/audio-analysis/1HDbWRR8FLqQFxsD4PY9Ai,281933,4
bound,0.668,0.821,9,-7.674,1,0.0334,0.518,0.19,0.134,0.662,122.004,audio_features,5rccOExQNwfTMfGbDTNvB0,spotify:track:5rccOExQNwfTMfGbDTNvB0,https://api.spotify.com/v1/tracks/5rccOExQNwfTMfGbDTNvB0,https://api.spotify.com/v1/audio-analysis/5rccOExQNwfTMfGbDTNvB0,222533,4
