name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
君といつまでも,0.324,0.353,9,-7.856,1,0.0273,0.513,0,0.0456,0.335,100.61,audio_features,3eNnwKfL6mGHgz4F5uYYEl,spotify:track:3eNnwKfL6mGHgz4F5uYYEl,https://api.spotify.com/v1/tracks/3eNnwKfL6mGHgz4F5uYYEl,https://api.spotify.com/v1/audio-analysis/3eNnwKfL6mGHgz4F5uYYEl,201653,3
サライ~若大将50周年!Ver~(With 谷村新司),0.342,0.42,0,-7.547,1,0.0278,0.635,1.61e-05,0.197,0.295,163.677,audio_features,1xybUoiEVpPObjqtucnouL,spotify:track:1xybUoiEVpPObjqtucnouL,https://api.spotify.com/v1/tracks/1xybUoiEVpPObjqtucnouL,https://api.spotify.com/v1/audio-analysis/1xybUoiEVpPObjqtucnouL,398293,4
お嫁においで,0.562,0.355,5,-8.907,1,0.0258,0.551,0,0.264,0.589,104.782,audio_features,41aCdNm0W9H4efEuwuBdxS,spotify:track:41aCdNm0W9H4efEuwuBdxS,https://api.spotify.com/v1/tracks/41aCdNm0W9H4efEuwuBdxS,https://api.spotify.com/v1/audio-analysis/41aCdNm0W9H4efEuwuBdxS,139827,4
海が男にしてくれた,0.433,0.511,0,-6.862,1,0.0251,0.488,0,0.613,0.318,88.095,audio_features,4khd0s2o4vtNhUasOBTXTL,spotify:track:4khd0s2o4vtNhUasOBTXTL,https://api.spotify.com/v1/tracks/4khd0s2o4vtNhUasOBTXTL,https://api.spotify.com/v1/audio-analysis/4khd0s2o4vtNhUasOBTXTL,312745,4
ぼくの妹に,0.464,0.512,7,-9.208,1,0.0293,0.625,0.000145,0.327,0.576,121.343,audio_features,2ZtRLRQBpERgkeK6KDSBd9,spotify:track:2ZtRLRQBpERgkeK6KDSBd9,https://api.spotify.com/v1/tracks/2ZtRLRQBpERgkeK6KDSBd9,https://api.spotify.com/v1/audio-analysis/2ZtRLRQBpERgkeK6KDSBd9,177187,3
蒼い星くず,0.471,0.741,2,-8.852,0,0.0845,0.569,0,0.071,0.857,155.028,audio_features,3EuRoUseSA5afemhkxHJeb,spotify:track:3EuRoUseSA5afemhkxHJeb,https://api.spotify.com/v1/tracks/3EuRoUseSA5afemhkxHJeb,https://api.spotify.com/v1/audio-analysis/3EuRoUseSA5afemhkxHJeb,142347,4
夜空の星,0.534,0.595,2,-8.898,0,0.0587,0.377,0,0.0561,0.739,156.933,audio_features,2xD5qStJa5M3mv0fqjpmUk,spotify:track:2xD5qStJa5M3mv0fqjpmUk,https://api.spotify.com/v1/tracks/2xD5qStJa5M3mv0fqjpmUk,https://api.spotify.com/v1/audio-analysis/2xD5qStJa5M3mv0fqjpmUk,155160,4
いつまでも君を,0.262,0.651,7,-2.93,1,0.0313,0.000117,0.00126,0.103,0.454,107.909,audio_features,2uLTCzXBf8921mkV6NhLOg,spotify:track:2uLTCzXBf8921mkV6NhLOg,https://api.spotify.com/v1/tracks/2uLTCzXBf8921mkV6NhLOg,https://api.spotify.com/v1/audio-analysis/2uLTCzXBf8921mkV6NhLOg,229193,3
海 その愛,0.488,0.544,8,-8.942,1,0.0293,0.0487,0.00166,0.0613,0.389,73.565,audio_features,1tzLnONBqjedyxPzUnuc67,spotify:track:1tzLnONBqjedyxPzUnuc67,https://api.spotify.com/v1/tracks/1tzLnONBqjedyxPzUnuc67,https://api.spotify.com/v1/audio-analysis/1tzLnONBqjedyxPzUnuc67,421520,4
光進丸,0.42,0.679,9,-8.231,1,0.0342,0.571,0,0.347,0.524,110.895,audio_features,1HGD9mX4vM4hzimBPKLaxg,spotify:track:1HGD9mX4vM4hzimBPKLaxg,https://api.spotify.com/v1/tracks/1HGD9mX4vM4hzimBPKLaxg,https://api.spotify.com/v1/audio-analysis/1HGD9mX4vM4hzimBPKLaxg,238933,4
