name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Extra,0.531,0.972,11,-9.453,0,0.0551,0.0338,0.974,0.736,0.519,137.022,audio_features,1eth9TJiZlJmfmeBjazMEF,spotify:track:1eth9TJiZlJmfmeBjazMEF,https://api.spotify.com/v1/tracks/1eth9TJiZlJmfmeBjazMEF,https://api.spotify.com/v1/audio-analysis/1eth9TJiZlJmfmeBjazMEF,222800,4
Stretch - Shogun Remix,0.494,0.917,10,-7.607,0,0.0581,0.000109,0.909,0.0541,0.649,164.864,audio_features,21Ct8LYTc3zKqrhHf2svBe,spotify:track:21Ct8LYTc3zKqrhHf2svBe,https://api.spotify.com/v1/tracks/21Ct8LYTc3zKqrhHf2svBe,https://api.spotify.com/v1/audio-analysis/21Ct8LYTc3zKqrhHf2svBe,464067,4
Take No Prisoners - Original Mix,0.608,0.756,11,-9.117,0,0.0442,5.2e-05,0.913,0.103,0.588,132.583,audio_features,3DboHPRHcpgiMO3jYabfFW,spotify:track:3DboHPRHcpgiMO3jYabfFW,https://api.spotify.com/v1/tracks/3DboHPRHcpgiMO3jYabfFW,https://api.spotify.com/v1/audio-analysis/3DboHPRHcpgiMO3jYabfFW,366758,4
Ocean View,0.422,0.368,10,-22.011,0,0.038,0.601,0.832,0.115,0.907,124.935,audio_features,72Bcye0hXYKm2C6xjyCPin,spotify:track:72Bcye0hXYKm2C6xjyCPin,https://api.spotify.com/v1/tracks/72Bcye0hXYKm2C6xjyCPin,https://api.spotify.com/v1/audio-analysis/72Bcye0hXYKm2C6xjyCPin,431533,4
Cocoa Mousse,0.731,0.802,0,-9.783,1,0.0733,0.127,0.422,0.117,0.715,125.014,audio_features,2oMCvMG9aKe5xs6obfj6Ev,spotify:track:2oMCvMG9aKe5xs6obfj6Ev,https://api.spotify.com/v1/tracks/2oMCvMG9aKe5xs6obfj6Ev,https://api.spotify.com/v1/audio-analysis/2oMCvMG9aKe5xs6obfj6Ev,410773,4
Back Fist,0.725,0.948,0,-4.787,1,0.0573,0.00307,0.921,0.111,0.0473,132.003,audio_features,1oqNFRNkgn2UAK9aljDAV7,spotify:track:1oqNFRNkgn2UAK9aljDAV7,https://api.spotify.com/v1/tracks/1oqNFRNkgn2UAK9aljDAV7,https://api.spotify.com/v1/audio-analysis/1oqNFRNkgn2UAK9aljDAV7,350909,4
Endless Season,0.586,0.701,1,-9.857,1,0.0408,0.445,0.883,0.167,0.574,98.971,audio_features,7z5M7k6HeUPtstDEgPKxAY,spotify:track:7z5M7k6HeUPtstDEgPKxAY,https://api.spotify.com/v1/tracks/7z5M7k6HeUPtstDEgPKxAY,https://api.spotify.com/v1/audio-analysis/7z5M7k6HeUPtstDEgPKxAY,586693,4
Ethos,0.659,0.85,1,-9.807,1,0.0851,0.0351,0.192,0.0938,0.844,151.034,audio_features,7FXSmAXKXChNhRkWMwfUeL,spotify:track:7FXSmAXKXChNhRkWMwfUeL,https://api.spotify.com/v1/tracks/7FXSmAXKXChNhRkWMwfUeL,https://api.spotify.com/v1/audio-analysis/7FXSmAXKXChNhRkWMwfUeL,385440,4
Stretch,0.641,0.966,1,-9.609,0,0.053,0.00851,0.919,0.118,0.457,145.028,audio_features,4hbnbap5KaQKnTMto2sXGW,spotify:track:4hbnbap5KaQKnTMto2sXGW,https://api.spotify.com/v1/tracks/4hbnbap5KaQKnTMto2sXGW,https://api.spotify.com/v1/audio-analysis/4hbnbap5KaQKnTMto2sXGW,444240,4
JOIN THE PAC - Original Mix - Official Theme Song for PAC-MAN 40th Anniversary,0.764,0.865,1,-5.465,1,0.0354,0.00144,0.678,0.0441,0.693,130.018,audio_features,4JPV01bo3EJx5ugz5j4wQv,spotify:track:4JPV01bo3EJx5ugz5j4wQv,https://api.spotify.com/v1/tracks/4JPV01bo3EJx5ugz5j4wQv,https://api.spotify.com/v1/audio-analysis/4JPV01bo3EJx5ugz5j4wQv,186320,4
