name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
友よ 〜 この先もずっと・・・,0.635,0.914,0,-3.84,1,0.0464,0.042,0,0.2,0.674,127.024,audio_features,3A0VFRUxhqpJeOxo0rklqC,spotify:track:3A0VFRUxhqpJeOxo0rklqC,https://api.spotify.com/v1/tracks/3A0VFRUxhqpJeOxo0rklqC,https://api.spotify.com/v1/audio-analysis/3A0VFRUxhqpJeOxo0rklqC,315413,4
スーパースター,0.701,0.955,0,-3.703,1,0.0468,0.0934,0,0.7,0.69,130.022,audio_features,7gArgBSGWsiFrcfZGVBGTg,spotify:track:7gArgBSGWsiFrcfZGVBGTg,https://api.spotify.com/v1/tracks/7gArgBSGWsiFrcfZGVBGTg,https://api.spotify.com/v1/audio-analysis/7gArgBSGWsiFrcfZGVBGTg,222253,4
いい感じ,0.813,0.918,0,-3.719,1,0.074,0.283,0,0.136,0.859,94.009,audio_features,0p2svmk2iuaH5lPpXczm3d,spotify:track:0p2svmk2iuaH5lPpXczm3d,https://api.spotify.com/v1/tracks/0p2svmk2iuaH5lPpXczm3d,https://api.spotify.com/v1/audio-analysis/0p2svmk2iuaH5lPpXczm3d,256747,4
LOVE LOVE Summer,0.562,0.741,9,-4.58,1,0.0351,0.0202,0,0.0857,0.53,137.004,audio_features,3GIPifH8P1U0g69yE5K3Mz,spotify:track:3GIPifH8P1U0g69yE5K3Mz,https://api.spotify.com/v1/tracks/3GIPifH8P1U0g69yE5K3Mz,https://api.spotify.com/v1/audio-analysis/3GIPifH8P1U0g69yE5K3Mz,259213,4
さらば涙,0.69,0.943,7,-3.626,0,0.0343,0.107,0,0.25,0.628,122.48,audio_features,0Z0QXCkQZtE0BvkL8uaZ4v,spotify:track:0Z0QXCkQZtE0BvkL8uaZ4v,https://api.spotify.com/v1/tracks/0Z0QXCkQZtE0BvkL8uaZ4v,https://api.spotify.com/v1/audio-analysis/0Z0QXCkQZtE0BvkL8uaZ4v,326680,4
UTAGE,0.773,0.891,8,-4.501,1,0.0555,0.0773,0,0.348,0.876,129.961,audio_features,6WILz0FrBpjqGbypbVhnQ8,spotify:track:6WILz0FrBpjqGbypbVhnQ8,https://api.spotify.com/v1/tracks/6WILz0FrBpjqGbypbVhnQ8,https://api.spotify.com/v1/audio-analysis/6WILz0FrBpjqGbypbVhnQ8,220729,4
走り続けた日々,0.669,0.935,7,-4.14,1,0.0322,0.162,0,0.397,0.89,137.001,audio_features,73SqpRryPRxcXNDVJQ7UBv,spotify:track:73SqpRryPRxcXNDVJQ7UBv,https://api.spotify.com/v1/tracks/73SqpRryPRxcXNDVJQ7UBv,https://api.spotify.com/v1/audio-analysis/73SqpRryPRxcXNDVJQ7UBv,352600,4
小さな幸せ,0.753,0.605,11,-6.639,1,0.205,0.614,0,0.237,0.558,87.991,audio_features,1Kp7rKemfBPlIgvZG4MZ5e,spotify:track:1Kp7rKemfBPlIgvZG4MZ5e,https://api.spotify.com/v1/tracks/1Kp7rKemfBPlIgvZG4MZ5e,https://api.spotify.com/v1/audio-analysis/1Kp7rKemfBPlIgvZG4MZ5e,279160,4
一等星☆,0.719,0.613,8,-6.349,1,0.0487,0.299,0,0.115,0.599,170.107,audio_features,7pbQNWOEY1XjTkPiU6EvI5,spotify:track:7pbQNWOEY1XjTkPiU6EvI5,https://api.spotify.com/v1/tracks/7pbQNWOEY1XjTkPiU6EvI5,https://api.spotify.com/v1/audio-analysis/7pbQNWOEY1XjTkPiU6EvI5,257467,4
人生劇場,0.505,0.899,1,-3.797,1,0.187,0.0245,0,0.0962,0.592,199.682,audio_features,1Bmer9U1ZkmM7Yb0U0ahll,spotify:track:1Bmer9U1ZkmM7Yb0U0ahll,https://api.spotify.com/v1/tracks/1Bmer9U1ZkmM7Yb0U0ahll,https://api.spotify.com/v1/audio-analysis/1Bmer9U1ZkmM7Yb0U0ahll,271693,4
はじまりの予感,0.664,0.961,10,-3.954,1,0.0661,0.202,0,0.151,0.445,110.022,audio_features,6bqefGcW69npiXgxL5MnLo,spotify:track:6bqefGcW69npiXgxL5MnLo,https://api.spotify.com/v1/tracks/6bqefGcW69npiXgxL5MnLo,https://api.spotify.com/v1/audio-analysis/6bqefGcW69npiXgxL5MnLo,268653,4
青空,0.651,0.84,10,-3.517,1,0.0248,0.391,0,0.17,0.704,93.028,audio_features,2kJw9l5CWH2nSbJnu9HMEa,spotify:track:2kJw9l5CWH2nSbJnu9HMEa,https://api.spotify.com/v1/tracks/2kJw9l5CWH2nSbJnu9HMEa,https://api.spotify.com/v1/audio-analysis/2kJw9l5CWH2nSbJnu9HMEa,309187,4
君と出逢って,0.589,0.735,11,-5.454,1,0.0384,0.142,0,0.157,0.625,79.987,audio_features,7jgxuKIg7gaM2mnywjHN1m,spotify:track:7jgxuKIg7gaM2mnywjHN1m,https://api.spotify.com/v1/tracks/7jgxuKIg7gaM2mnywjHN1m,https://api.spotify.com/v1/audio-analysis/7jgxuKIg7gaM2mnywjHN1m,364973,4
ヤシの木のように,0.637,0.963,8,-4.137,1,0.0445,0.0948,0,0.957,0.899,91.02,audio_features,1aiY2J7kWH5PCWdW9MQvhz,spotify:track:1aiY2J7kWH5PCWdW9MQvhz,https://api.spotify.com/v1/tracks/1aiY2J7kWH5PCWdW9MQvhz,https://api.spotify.com/v1/audio-analysis/1aiY2J7kWH5PCWdW9MQvhz,293987,4
覚悟はいいか,0.703,0.645,10,-5.527,1,0.0335,0.536,6.49e-05,0.257,0.78,84.988,audio_features,3zxRDyYxJVARgtP2JB5l5F,spotify:track:3zxRDyYxJVARgtP2JB5l5F,https://api.spotify.com/v1/tracks/3zxRDyYxJVARgtP2JB5l5F,https://api.spotify.com/v1/audio-analysis/3zxRDyYxJVARgtP2JB5l5F,311848,4
One step,0.526,0.852,7,-5.094,1,0.0494,0.0869,0,0.107,0.636,192.044,audio_features,6hY643awZZ8AZlBWWFVbWU,spotify:track:6hY643awZZ8AZlBWWFVbWU,https://api.spotify.com/v1/tracks/6hY643awZZ8AZlBWWFVbWU,https://api.spotify.com/v1/audio-analysis/6hY643awZZ8AZlBWWFVbWU,272306,4
夢中,0.668,0.934,11,-4.301,1,0.0301,0.106,0,0.189,0.827,125.986,audio_features,2vuQexyvGexKY4WzlguhLC,spotify:track:2vuQexyvGexKY4WzlguhLC,https://api.spotify.com/v1/tracks/2vuQexyvGexKY4WzlguhLC,https://api.spotify.com/v1/audio-analysis/2vuQexyvGexKY4WzlguhLC,344204,4
テイクオフ,0.72,0.966,10,-4.476,1,0.0724,0.242,0,0.132,0.727,100.003,audio_features,4HeAeBch9lYc4IeF4w33fV,spotify:track:4HeAeBch9lYc4IeF4w33fV,https://api.spotify.com/v1/tracks/4HeAeBch9lYc4IeF4w33fV,https://api.spotify.com/v1/audio-analysis/4HeAeBch9lYc4IeF4w33fV,277667,4
譲れない事,0.632,0.626,10,-6.624,1,0.0793,0.355,0,0.128,0.538,83.013,audio_features,3CA52NPaM5RWPUswARF1lw,spotify:track:3CA52NPaM5RWPUswARF1lw,https://api.spotify.com/v1/tracks/3CA52NPaM5RWPUswARF1lw,https://api.spotify.com/v1/audio-analysis/3CA52NPaM5RWPUswARF1lw,290867,4
人生劇場,0.504,0.899,1,-3.796,1,0.193,0.0267,0,0.0864,0.62,199.814,audio_features,7qR6nz6sooXA7fpycKGk3m,spotify:track:7qR6nz6sooXA7fpycKGk3m,https://api.spotify.com/v1/tracks/7qR6nz6sooXA7fpycKGk3m,https://api.spotify.com/v1/audio-analysis/7qR6nz6sooXA7fpycKGk3m,271524,4
僕らのために...,0.589,0.816,10,-4.989,1,0.0405,0.745,0,0.111,0.628,91.018,audio_features,1D82JekfUdVbZGiBCYgUay,spotify:track:1D82JekfUdVbZGiBCYgUay,https://api.spotify.com/v1/tracks/1D82JekfUdVbZGiBCYgUay,https://api.spotify.com/v1/audio-analysis/1D82JekfUdVbZGiBCYgUay,277760,4
ヨクワラエ,0.68,0.716,9,-5.158,1,0.0281,0.394,0,0.0985,0.62,94.985,audio_features,3ihmMXD8ji8VXobCJEYu1I,spotify:track:3ihmMXD8ji8VXobCJEYu1I,https://api.spotify.com/v1/tracks/3ihmMXD8ji8VXobCJEYu1I,https://api.spotify.com/v1/audio-analysis/3ihmMXD8ji8VXobCJEYu1I,323720,4
つながって,0.647,0.923,8,-4.187,1,0.04,0.121,0,0.096,0.82,128.019,audio_features,7Ay4T4Whoi3FRbk8xEwfVt,spotify:track:7Ay4T4Whoi3FRbk8xEwfVt,https://api.spotify.com/v1/tracks/7Ay4T4Whoi3FRbk8xEwfVt,https://api.spotify.com/v1/audio-analysis/7Ay4T4Whoi3FRbk8xEwfVt,263197,4
手紙 〜 あれから,0.511,0.785,9,-5.117,1,0.0531,0.481,0,0.0907,0.72,189.886,audio_features,0saod2TOkES6l5cJyNsRyD,spotify:track:0saod2TOkES6l5cJyNsRyD,https://api.spotify.com/v1/tracks/0saod2TOkES6l5cJyNsRyD,https://api.spotify.com/v1/audio-analysis/0saod2TOkES6l5cJyNsRyD,254453,4
イェイ イェイ イェイ,0.794,0.863,9,-4.134,1,0.0597,0.179,0,0.08,0.503,96.023,audio_features,2qi67fBjxxlMzpUM5dAhn2,spotify:track:2qi67fBjxxlMzpUM5dAhn2,https://api.spotify.com/v1/tracks/2qi67fBjxxlMzpUM5dAhn2,https://api.spotify.com/v1/audio-analysis/2qi67fBjxxlMzpUM5dAhn2,250373,4
お調子者で行こう,0.675,0.875,11,-3.577,1,0.0434,0.44,0,0.296,0.963,130.083,audio_features,0zzuNvDrbWyzjwTj8FIhTl,spotify:track:0zzuNvDrbWyzjwTj8FIhTl,https://api.spotify.com/v1/tracks/0zzuNvDrbWyzjwTj8FIhTl,https://api.spotify.com/v1/audio-analysis/0zzuNvDrbWyzjwTj8FIhTl,185205,4
野に咲く花,0.595,0.635,4,-5.599,0,0.0264,0.752,0,0.142,0.448,80.006,audio_features,5fLlyE0aertmvXluhPjUuj,spotify:track:5fLlyE0aertmvXluhPjUuj,https://api.spotify.com/v1/tracks/5fLlyE0aertmvXluhPjUuj,https://api.spotify.com/v1/audio-analysis/5fLlyE0aertmvXluhPjUuj,349267,4
旅に出よう,0.746,0.816,6,-4.997,1,0.0302,0.131,0,0.102,0.579,115.993,audio_features,5Ufi5al1jBi1bPzUdh2Xhp,spotify:track:5Ufi5al1jBi1bPzUdh2Xhp,https://api.spotify.com/v1/tracks/5Ufi5al1jBi1bPzUdh2Xhp,https://api.spotify.com/v1/audio-analysis/5Ufi5al1jBi1bPzUdh2Xhp,235768,4
小さな幸せ,0.765,0.618,11,-6.736,1,0.158,0.575,0,0.142,0.551,88.004,audio_features,197uUZfCnmhK43HYe4N11O,spotify:track:197uUZfCnmhK43HYe4N11O,https://api.spotify.com/v1/tracks/197uUZfCnmhK43HYe4N11O,https://api.spotify.com/v1/audio-analysis/197uUZfCnmhK43HYe4N11O,278747,4
