name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
愛して 愛して 愛して,0.605,0.842,8,-4.747,1,0.0509,0.0862,3.08e-06,0.106,0.35,115.008,audio_features,3ty4jnVIJ9My8ZnXFMc0Fg,spotify:track:3ty4jnVIJ9My8ZnXFMc0Fg,https://api.spotify.com/v1/tracks/3ty4jnVIJ9My8ZnXFMc0Fg,https://api.spotify.com/v1/audio-analysis/3ty4jnVIJ9My8ZnXFMc0Fg,252000,3
産声,0.347,0.648,0,-12.199,1,0.0412,0.51,0.00179,0.119,0.62,100.03,audio_features,0LYMiGJ29zkDWjzlPq4PhD,spotify:track:0LYMiGJ29zkDWjzlPq4PhD,https://api.spotify.com/v1/tracks/0LYMiGJ29zkDWjzlPq4PhD,https://api.spotify.com/v1/audio-analysis/0LYMiGJ29zkDWjzlPq4PhD,224273,4
君はできない子,0.681,0.839,9,-5.398,1,0.0286,0.0593,1.4e-05,0.119,0.758,128.018,audio_features,7corSqnjU5bX09ZXy3nhVD,spotify:track:7corSqnjU5bX09ZXy3nhVD,https://api.spotify.com/v1/tracks/7corSqnjU5bX09ZXy3nhVD,https://api.spotify.com/v1/audio-analysis/7corSqnjU5bX09ZXy3nhVD,261600,4
しかばねの踊り,0.7,0.834,6,-4.134,0,0.0323,0.259,0,0.0545,0.862,134.979,audio_features,6a0G8hYEyxqvEkebVLU5VK,spotify:track:6a0G8hYEyxqvEkebVLU5VK,https://api.spotify.com/v1/tracks/6a0G8hYEyxqvEkebVLU5VK,https://api.spotify.com/v1/audio-analysis/6a0G8hYEyxqvEkebVLU5VK,228339,4
あなぐらぐらし,0.604,0.676,9,-9.786,1,0.0437,0.0268,0.444,0.365,0.184,96.463,audio_features,3FvzeaesPY35bhhj55u4zJ,spotify:track:3FvzeaesPY35bhhj55u4zJ,https://api.spotify.com/v1/tracks/3FvzeaesPY35bhhj55u4zJ,https://api.spotify.com/v1/audio-analysis/3FvzeaesPY35bhhj55u4zJ,365236,4
ぽっかんカラー,0.741,0.948,5,-3.223,0,0.0415,0.287,1.51e-06,0.161,0.932,140.042,audio_features,0qYjpqxiSJSkHR8jrEi3rH,spotify:track:0qYjpqxiSJSkHR8jrEi3rH,https://api.spotify.com/v1/tracks/0qYjpqxiSJSkHR8jrEi3rH,https://api.spotify.com/v1/audio-analysis/0qYjpqxiSJSkHR8jrEi3rH,202000,4
ごめんね ごめんね,0.606,0.938,6,-2.628,0,0.0622,0.0871,2.97e-05,0.406,0.198,110.01,audio_features,7pKd9l7ef8BoII1NQREB6G,spotify:track:7pKd9l7ef8BoII1NQREB6G,https://api.spotify.com/v1/tracks/7pKd9l7ef8BoII1NQREB6G,https://api.spotify.com/v1/audio-analysis/7pKd9l7ef8BoII1NQREB6G,286000,4
赤ずきんの狼,0.64,0.941,7,-3.77,1,0.0607,0.424,0.000296,0.265,0.447,99.954,audio_features,6T2lJKZceH9Eic5Cp3EPDk,spotify:track:6T2lJKZceH9Eic5Cp3EPDk,https://api.spotify.com/v1/tracks/6T2lJKZceH9Eic5Cp3EPDk,https://api.spotify.com/v1/audio-analysis/6T2lJKZceH9Eic5Cp3EPDk,260000,4
カラカラカラのカラ,0.487,0.794,1,-8.432,1,0.0625,0.0579,0.00123,0.0639,0.355,133.018,audio_features,2LEe6g4jPbwHNDM3dJCyCF,spotify:track:2LEe6g4jPbwHNDM3dJCyCF,https://api.spotify.com/v1/tracks/2LEe6g4jPbwHNDM3dJCyCF,https://api.spotify.com/v1/audio-analysis/2LEe6g4jPbwHNDM3dJCyCF,481668,4
猫の食卓,0.487,0.728,1,-8.794,0,0.173,0.162,2.99e-05,0.0755,0.427,162.034,audio_features,3PJnHjXFubx4RGLGhxiAo5,spotify:track:3PJnHjXFubx4RGLGhxiAo5,https://api.spotify.com/v1/tracks/3PJnHjXFubx4RGLGhxiAo5,https://api.spotify.com/v1/audio-analysis/3PJnHjXFubx4RGLGhxiAo5,271600,4
