name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Don't Call Me on the Phone,0.704,0.831,5,-6.159,0,0.0321,0.28,0.0001,0.0842,0.57,116.168,audio_features,48rhYCVGugL1uTVkSz6bJ9,spotify:track:48rhYCVGugL1uTVkSz6bJ9,https://api.spotify.com/v1/tracks/48rhYCVGugL1uTVkSz6bJ9,https://api.spotify.com/v1/audio-analysis/48rhYCVGugL1uTVkSz6bJ9,312840,4
Good Morning,0.685,0.53,4,-6.858,0,0.0333,0.465,0.0123,0.0307,0.594,172.147,audio_features,4ncgt8TBVtTj5vR81nXiqg,spotify:track:4ncgt8TBVtTj5vR81nXiqg,https://api.spotify.com/v1/tracks/4ncgt8TBVtTj5vR81nXiqg,https://api.spotify.com/v1/audio-analysis/4ncgt8TBVtTj5vR81nXiqg,292520,4
Love Me to Coltrane Music,0.709,0.584,11,-7.993,0,0.0247,0.5,0.0113,0.173,0.512,120.014,audio_features,1Iwka5bjmmR8KUrmDuKHNN,spotify:track:1Iwka5bjmmR8KUrmDuKHNN,https://api.spotify.com/v1/tracks/1Iwka5bjmmR8KUrmDuKHNN,https://api.spotify.com/v1/audio-analysis/1Iwka5bjmmR8KUrmDuKHNN,334547,4
Take Me to the Spring,0.615,0.498,9,-12.179,1,0.0295,0.521,0.1,0.0458,0.623,75.018,audio_features,7qv9VNBrXNg8mem2Nf29G6,spotify:track:7qv9VNBrXNg8mem2Nf29G6,https://api.spotify.com/v1/tracks/7qv9VNBrXNg8mem2Nf29G6,https://api.spotify.com/v1/audio-analysis/7qv9VNBrXNg8mem2Nf29G6,270480,4
Sinjirarenation,0.746,0.703,10,-7.013,0,0.0274,0.369,0.00711,0.336,0.819,134.938,audio_features,408FhCXHLq6bOe2grNMvxF,spotify:track:408FhCXHLq6bOe2grNMvxF,https://api.spotify.com/v1/tracks/408FhCXHLq6bOe2grNMvxF,https://api.spotify.com/v1/audio-analysis/408FhCXHLq6bOe2grNMvxF,214400,4
Summer Antenna,0.702,0.786,0,-5.346,1,0.0298,0.0515,4.69e-05,0.0312,0.814,99.786,audio_features,1btmJfE44jwdK0XOdtUbie,spotify:track:1btmJfE44jwdK0XOdtUbie,https://api.spotify.com/v1/tracks/1btmJfE44jwdK0XOdtUbie,https://api.spotify.com/v1/audio-analysis/1btmJfE44jwdK0XOdtUbie,273653,4
Black Manicure,0.762,0.656,0,-10.601,1,0.0299,0.297,0.192,0.0833,0.62,136.576,audio_features,3z5aEKnDRiq1C0P9GWgEPx,spotify:track:3z5aEKnDRiq1C0P9GWgEPx,https://api.spotify.com/v1/tracks/3z5aEKnDRiq1C0P9GWgEPx,https://api.spotify.com/v1/audio-analysis/3z5aEKnDRiq1C0P9GWgEPx,360507,4
Do You Remember Me,0.668,0.877,9,-5.363,1,0.0268,0.119,0.00152,0.117,0.821,126.022,audio_features,38pcbckNaYEB4mEfVWPDPM,spotify:track:38pcbckNaYEB4mEfVWPDPM,https://api.spotify.com/v1/tracks/38pcbckNaYEB4mEfVWPDPM,https://api.spotify.com/v1/audio-analysis/38pcbckNaYEB4mEfVWPDPM,237733,4
Charade '88,0.734,0.767,6,-6.623,1,0.0302,0.358,0.00834,0.0973,0.796,144.819,audio_features,1Coay42PFbVKmkQK4MRfZf,spotify:track:1Coay42PFbVKmkQK4MRfZf,https://api.spotify.com/v1/tracks/1Coay42PFbVKmkQK4MRfZf,https://api.spotify.com/v1/audio-analysis/1Coay42PFbVKmkQK4MRfZf,208333,4
You Are No. 2,0.734,0.934,0,-3.689,1,0.0395,0.0487,0.00161,0.0385,0.814,108.051,audio_features,5b9SqFykU7wzeUFua4qPbp,spotify:track:5b9SqFykU7wzeUFua4qPbp,https://api.spotify.com/v1/tracks/5b9SqFykU7wzeUFua4qPbp,https://api.spotify.com/v1/audio-analysis/5b9SqFykU7wzeUFua4qPbp,243027,4
City of Water,0.6,0.45,11,-10.199,1,0.0263,0.587,0.00328,0.0771,0.268,75.668,audio_features,0PgPziNHP7bpL0sB38nZFQ,spotify:track:0PgPziNHP7bpL0sB38nZFQ,https://api.spotify.com/v1/tracks/0PgPziNHP7bpL0sB38nZFQ,https://api.spotify.com/v1/audio-analysis/0PgPziNHP7bpL0sB38nZFQ,282280,4
Good Bye Eggman,0.79,0.689,10,-5.942,1,0.0288,0.568,0.00695,0.079,0.721,124.998,audio_features,67L7JZAqegQDoSHUJvOmCC,spotify:track:67L7JZAqegQDoSHUJvOmCC,https://api.spotify.com/v1/tracks/67L7JZAqegQDoSHUJvOmCC,https://api.spotify.com/v1/audio-analysis/67L7JZAqegQDoSHUJvOmCC,293800,4
