name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
君を呼ぶ場所,0.552,0.429,7,-8.272,1,0.0296,0.681,0,0.131,0.446,78.051,audio_features,14N9IvtxGWozP4wxIZkmoC,spotify:track:14N9IvtxGWozP4wxIZkmoC,https://api.spotify.com/v1/tracks/14N9IvtxGWozP4wxIZkmoC,https://api.spotify.com/v1/audio-analysis/14N9IvtxGWozP4wxIZkmoC,368760,4
Dolphin no Natsu,0.582,0.85,7,-3.56,1,0.0296,0.0178,3.89e-05,0.235,0.741,99.252,audio_features,37vUFktlZbE5GEB2dpVV1e,spotify:track:37vUFktlZbE5GEB2dpVV1e,https://api.spotify.com/v1/tracks/37vUFktlZbE5GEB2dpVV1e,https://api.spotify.com/v1/audio-analysis/37vUFktlZbE5GEB2dpVV1e,271400,4
Lullaby for Grandmother - M Version,0.584,0.34,10,-10.848,1,0.0244,0.849,0.0322,0.164,0.231,98.006,audio_features,1K49IzyeaCktpzUPkm6HDO,spotify:track:1K49IzyeaCktpzUPkm6HDO,https://api.spotify.com/v1/tracks/1K49IzyeaCktpzUPkm6HDO,https://api.spotify.com/v1/audio-analysis/1K49IzyeaCktpzUPkm6HDO,165040,4
Lullaby for Grandmother - M version / TV MIX,0.567,0.293,7,-12.891,0,0.0257,0.813,0.793,0.154,0.145,98.031,audio_features,4ROOpt6kk2Xy5At9yFjREn,spotify:track:4ROOpt6kk2Xy5At9yFjREn,https://api.spotify.com/v1/tracks/4ROOpt6kk2Xy5At9yFjREn,https://api.spotify.com/v1/audio-analysis/4ROOpt6kk2Xy5At9yFjREn,165693,4
Clover,0.618,0.598,0,-4.709,1,0.0264,0.207,7.43e-05,0.0878,0.429,140.022,audio_features,58T8TXSMZcXcbm9xmrpzqo,spotify:track:58T8TXSMZcXcbm9xmrpzqo,https://api.spotify.com/v1/tracks/58T8TXSMZcXcbm9xmrpzqo,https://api.spotify.com/v1/audio-analysis/58T8TXSMZcXcbm9xmrpzqo,308040,4
君を呼ぶ場所(映画サイズ),0.574,0.227,2,-10.861,1,0.0307,0.873,0,0.163,0.364,78.023,audio_features,0iRX4dHg0IMZHNeUJMkrmR,spotify:track:0iRX4dHg0IMZHNeUJMkrmR,https://api.spotify.com/v1/tracks/0iRX4dHg0IMZHNeUJMkrmR,https://api.spotify.com/v1/audio-analysis/0iRX4dHg0IMZHNeUJMkrmR,140320,4
Punch! Punch! Punch!,0.644,0.912,7,-3.468,1,0.0653,0.00833,6.95e-05,0.254,0.525,133.125,audio_features,7zW99w4rYgUnm96jJ6PKPm,spotify:track:7zW99w4rYgUnm96jJ6PKPm,https://api.spotify.com/v1/tracks/7zW99w4rYgUnm96jJ6PKPm,https://api.spotify.com/v1/audio-analysis/7zW99w4rYgUnm96jJ6PKPm,362093,4
Golden Town,0.674,0.745,0,-6.162,1,0.0324,0.0495,0.00281,0.174,0.579,121.99,audio_features,1XH6dcZZNigIDATmmsV7x8,spotify:track:1XH6dcZZNigIDATmmsV7x8,https://api.spotify.com/v1/tracks/1XH6dcZZNigIDATmmsV7x8,https://api.spotify.com/v1/audio-analysis/1XH6dcZZNigIDATmmsV7x8,285965,4
Hello Myself - Backtracks,0.48,0.941,2,-4.537,1,0.0386,0.00123,0.875,0.261,0.689,160.965,audio_features,4IgpnKIuWfDx8M8JLz9gVS,spotify:track:4IgpnKIuWfDx8M8JLz9gVS,https://api.spotify.com/v1/tracks/4IgpnKIuWfDx8M8JLz9gVS,https://api.spotify.com/v1/audio-analysis/4IgpnKIuWfDx8M8JLz9gVS,263773,4
Lullaby for Grandmother - Kiiroi Bara wo Anata e -,0.642,0.171,9,-14.303,1,0.0602,0.913,2.55e-06,0.268,0.26,96.072,audio_features,7eK7oPPeFiioG9DEGkjc13,spotify:track:7eK7oPPeFiioG9DEGkjc13,https://api.spotify.com/v1/tracks/7eK7oPPeFiioG9DEGkjc13,https://api.spotify.com/v1/audio-analysis/7eK7oPPeFiioG9DEGkjc13,225880,4
