name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ノックは3回,0.669,0.829,0,-4.371,0,0.038,0.0378,0.000613,0.0766,0.833,118.017,audio_features,5sMO7iy4iB5va7WBGw66Ue,spotify:track:5sMO7iy4iB5va7WBGw66Ue,https://api.spotify.com/v1/tracks/5sMO7iy4iB5va7WBGw66Ue,https://api.spotify.com/v1/audio-analysis/5sMO7iy4iB5va7WBGw66Ue,288560,4
もう戻らない,0.744,0.758,0,-8.3,0,0.0268,0.0849,0,0.0577,0.787,116.868,audio_features,0C6hIR4w1uZL0VkUiCtfuW,spotify:track:0C6hIR4w1uZL0VkUiCtfuW,https://api.spotify.com/v1/tracks/0C6hIR4w1uZL0VkUiCtfuW,https://api.spotify.com/v1/audio-analysis/0C6hIR4w1uZL0VkUiCtfuW,293667,4
ポニーテール,0.223,0.772,0,-4.624,1,0.034,0.11,0,0.174,0.432,76.999,audio_features,2DYVzIfP0CcsQdBCdrQlPb,spotify:track:2DYVzIfP0CcsQdBCdrQlPb,https://api.spotify.com/v1/tracks/2DYVzIfP0CcsQdBCdrQlPb,https://api.spotify.com/v1/audio-analysis/2DYVzIfP0CcsQdBCdrQlPb,268187,4
青空,0.48,0.829,3,-4.746,1,0.0348,0.167,0,0.081,0.556,172.033,audio_features,7jOYceH17FmEklyyZxw8Xx,spotify:track:7jOYceH17FmEklyyZxw8Xx,https://api.spotify.com/v1/tracks/7jOYceH17FmEklyyZxw8Xx,https://api.spotify.com/v1/audio-analysis/7jOYceH17FmEklyyZxw8Xx,303800,4
浮雲,0.517,0.962,2,-2.606,1,0.0507,0.0152,3.35e-06,0.264,0.694,154.981,audio_features,7kY5LbYa7UEGnzuElwPFJ0,spotify:track:7kY5LbYa7UEGnzuElwPFJ0,https://api.spotify.com/v1/tracks/7kY5LbYa7UEGnzuElwPFJ0,https://api.spotify.com/v1/audio-analysis/7kY5LbYa7UEGnzuElwPFJ0,234907,4
桜ケ丘,0.638,0.592,7,-5.735,0,0.0229,0.327,3.72e-05,0.109,0.421,95.989,audio_features,5hevbvF79FfbaIZdDKy1k6,spotify:track:5hevbvF79FfbaIZdDKy1k6,https://api.spotify.com/v1/tracks/5hevbvF79FfbaIZdDKy1k6,https://api.spotify.com/v1/audio-analysis/5hevbvF79FfbaIZdDKy1k6,359733,4
空につづくロマンティック,0.606,0.917,8,-4.39,1,0.0293,0.0655,3.28e-06,0.108,0.738,139.928,audio_features,6QNkKaxDY7HMpV6A6UIW7U,spotify:track:6QNkKaxDY7HMpV6A6UIW7U,https://api.spotify.com/v1/tracks/6QNkKaxDY7HMpV6A6UIW7U,https://api.spotify.com/v1/audio-analysis/6QNkKaxDY7HMpV6A6UIW7U,248373,4
君への道,0.601,0.846,7,-5.296,1,0.0335,0.0741,0.00233,0.0853,0.773,87.977,audio_features,2AXo233RyO7j2M7RsZ1LyF,spotify:track:2AXo233RyO7j2M7RsZ1LyF,https://api.spotify.com/v1/tracks/2AXo233RyO7j2M7RsZ1LyF,https://api.spotify.com/v1/audio-analysis/2AXo233RyO7j2M7RsZ1LyF,296227,4
春を待つ,0.657,0.655,7,-5.45,1,0.0244,0.395,0,0.113,0.633,106.947,audio_features,7y50pa9cIdFtXOrta38u8a,spotify:track:7y50pa9cIdFtXOrta38u8a,https://api.spotify.com/v1/tracks/7y50pa9cIdFtXOrta38u8a,https://api.spotify.com/v1/audio-analysis/7y50pa9cIdFtXOrta38u8a,336000,4
色づく街に(「キネベス」より),0.627,0.502,7,-7.149,1,0.0296,0.428,0.00025,0.0894,0.276,77.045,audio_features,1wnLvLG6YbM6TnxsKmOSYI,spotify:track:1wnLvLG6YbM6TnxsKmOSYI,https://api.spotify.com/v1/tracks/1wnLvLG6YbM6TnxsKmOSYI,https://api.spotify.com/v1/audio-analysis/1wnLvLG6YbM6TnxsKmOSYI,273733,4
