name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
混ぜるな危険,0.381,0.975,9,-2.45,1,0.178,0.00431,8.83e-05,0.134,0.293,178.116,audio_features,4icsCUGIuwTmzx3YcSLTcu,spotify:track:4icsCUGIuwTmzx3YcSLTcu,https://api.spotify.com/v1/tracks/4icsCUGIuwTmzx3YcSLTcu,https://api.spotify.com/v1/audio-analysis/4icsCUGIuwTmzx3YcSLTcu,257693,4
KEEP CHEEP TRICK,0.498,0.713,9,-5.832,1,0.0296,0.00447,0.48,0.0762,0.322,134.929,audio_features,2a2vtCcPFnZXjNjkwCyQPY,spotify:track:2a2vtCcPFnZXjNjkwCyQPY,https://api.spotify.com/v1/tracks/2a2vtCcPFnZXjNjkwCyQPY,https://api.spotify.com/v1/audio-analysis/2a2vtCcPFnZXjNjkwCyQPY,366680,4
愛を撃ち殺せ!,0.288,0.966,4,-2.511,0,0.0937,0.00408,0.517,0.188,0.29,168.255,audio_features,1i5A4UmCD16ZFnAvhuEg4L,spotify:track:1i5A4UmCD16ZFnAvhuEg4L,https://api.spotify.com/v1/tracks/1i5A4UmCD16ZFnAvhuEg4L,https://api.spotify.com/v1/audio-analysis/1i5A4UmCD16ZFnAvhuEg4L,237760,4
労働讃歌,0.584,0.89,0,-3.932,0,0.0997,0.0147,0.000446,0.32,0.783,122.016,audio_features,6A5nrdvAqoDBaHjLKvPeHi,spotify:track:6A5nrdvAqoDBaHjLKvPeHi,https://api.spotify.com/v1/tracks/6A5nrdvAqoDBaHjLKvPeHi,https://api.spotify.com/v1/audio-analysis/6A5nrdvAqoDBaHjLKvPeHi,298333,4
いくぢなし(ナゴムver. サイズ),0.608,0.806,11,-5.182,0,0.136,0.00393,6.52e-06,0.502,0.576,138.997,audio_features,6iwVmVV1juqUQBrVqh9G2f,spotify:track:6iwVmVV1juqUQBrVqh9G2f,https://api.spotify.com/v1/tracks/6iwVmVV1juqUQBrVqh9G2f,https://api.spotify.com/v1/audio-analysis/6iwVmVV1juqUQBrVqh9G2f,236067,4
ペテン,0.565,0.969,11,-3.031,0,0.0855,0.239,8e-06,0.337,0.656,128.66,audio_features,35Mz1uWTGljSa2Y3tVwoXe,spotify:track:35Mz1uWTGljSa2Y3tVwoXe,https://api.spotify.com/v1/tracks/35Mz1uWTGljSa2Y3tVwoXe,https://api.spotify.com/v1/audio-analysis/35Mz1uWTGljSa2Y3tVwoXe,262880,4
混ぜるな危険~TV Mix Version~,0.437,0.938,9,-5.644,1,0.159,0.00466,0.000104,0.187,0.435,178.184,audio_features,36aO3N66z62KVU0ngZ1dgU,spotify:track:36aO3N66z62KVU0ngZ1dgU,https://api.spotify.com/v1/tracks/36aO3N66z62KVU0ngZ1dgU,https://api.spotify.com/v1/audio-analysis/36aO3N66z62KVU0ngZ1dgU,92741,4
7年殺し,0.663,0.945,2,-4.603,1,0.0743,0.0348,0.000178,0.1,0.746,126.082,audio_features,418trwJMTg2rYMX19vXTkv,spotify:track:418trwJMTg2rYMX19vXTkv,https://api.spotify.com/v1/tracks/418trwJMTg2rYMX19vXTkv,https://api.spotify.com/v1/audio-analysis/418trwJMTg2rYMX19vXTkv,258413,4
踊る赤ちゃん人間,0.415,0.996,9,-1.548,0,0.176,0.00259,0.0221,0.328,0.259,79.108,audio_features,14lxwtnM8lckbtSHguOSzR,spotify:track:14lxwtnM8lckbtSHguOSzR,https://api.spotify.com/v1/tracks/14lxwtnM8lckbtSHguOSzR,https://api.spotify.com/v1/audio-analysis/14lxwtnM8lckbtSHguOSzR,247413,4
混ぜるな危険,0.381,0.975,9,-2.45,1,0.178,0.00431,8.83e-05,0.134,0.293,178.116,audio_features,7oKcunQhQI8Q0Q37avp7h5,spotify:track:7oKcunQhQI8Q0Q37avp7h5,https://api.spotify.com/v1/tracks/7oKcunQhQI8Q0Q37avp7h5,https://api.spotify.com/v1/audio-analysis/7oKcunQhQI8Q0Q37avp7h5,257693,4
