name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
私のジャンと呼ばせて,0.578,0.66,9,-7.843,1,0.0396,0.0792,2.71e-06,0.63,0.699,80.751,audio_features,2qtLkmb44TYsJ5FK18Tl6a,spotify:track:2qtLkmb44TYsJ5FK18Tl6a,https://api.spotify.com/v1/tracks/2qtLkmb44TYsJ5FK18Tl6a,https://api.spotify.com/v1/audio-analysis/2qtLkmb44TYsJ5FK18Tl6a,291547,4
"Come Closer, My Angel",0.732,0.399,5,-12.037,1,0.0345,0.144,0.198,0.0936,0.877,135.543,audio_features,2tTo1NWOKkzFojuclDXU5b,spotify:track:2tTo1NWOKkzFojuclDXU5b,https://api.spotify.com/v1/tracks/2tTo1NWOKkzFojuclDXU5b,https://api.spotify.com/v1/audio-analysis/2tTo1NWOKkzFojuclDXU5b,251833,4
朝のひとしずく,0.509,0.215,7,-16.098,1,0.0305,0.914,0.0362,0.132,0.226,113.371,audio_features,22juBXikFkkh8QJZQ7x7ge,spotify:track:22juBXikFkkh8QJZQ7x7ge,https://api.spotify.com/v1/tracks/22juBXikFkkh8QJZQ7x7ge,https://api.spotify.com/v1/audio-analysis/22juBXikFkkh8QJZQ7x7ge,276053,4
East & West,0.773,0.437,2,-10.965,0,0.109,0.435,6.94e-05,0.102,0.529,114.626,audio_features,50R7BQvGms0JMJJdvZL6FF,spotify:track:50R7BQvGms0JMJJdvZL6FF,https://api.spotify.com/v1/tracks/50R7BQvGms0JMJJdvZL6FF,https://api.spotify.com/v1/audio-analysis/50R7BQvGms0JMJJdvZL6FF,214167,4
愛しい遠い人,0.532,0.405,11,-12.02,0,0.0375,0.659,0,0.0925,0.497,153.451,audio_features,1UlsCfE1oz0EBfwJSFdzlq,spotify:track:1UlsCfE1oz0EBfwJSFdzlq,https://api.spotify.com/v1/tracks/1UlsCfE1oz0EBfwJSFdzlq,https://api.spotify.com/v1/audio-analysis/1UlsCfE1oz0EBfwJSFdzlq,330333,4
トンボ天国,0.801,0.835,2,-8.882,1,0.0771,0.59,0.000139,0.079,0.825,109.592,audio_features,0AVZWybmwDbwQyNRwwqU4K,spotify:track:0AVZWybmwDbwQyNRwwqU4K,https://api.spotify.com/v1/tracks/0AVZWybmwDbwQyNRwwqU4K,https://api.spotify.com/v1/audio-analysis/0AVZWybmwDbwQyNRwwqU4K,257233,4
私のそばに,0.328,0.472,7,-10.276,1,0.0646,0.544,0.0237,0.0736,0.611,169.424,audio_features,2pfKTjhMOXEYNw8E6cQxcJ,spotify:track:2pfKTjhMOXEYNw8E6cQxcJ,https://api.spotify.com/v1/tracks/2pfKTjhMOXEYNw8E6cQxcJ,https://api.spotify.com/v1/audio-analysis/2pfKTjhMOXEYNw8E6cQxcJ,438233,4
a・e・i・u,0.729,0.784,6,-9.844,0,0.0657,0.072,0.0175,0.326,0.879,143.399,audio_features,0nVGLfiZjG8ngQzTU6GPo7,spotify:track:0nVGLfiZjG8ngQzTU6GPo7,https://api.spotify.com/v1/tracks/0nVGLfiZjG8ngQzTU6GPo7,https://api.spotify.com/v1/audio-analysis/0nVGLfiZjG8ngQzTU6GPo7,222235,4
白い馬,0.616,0.745,0,-11.49,1,0.0419,0.0548,0.468,0.4,0.596,119.603,audio_features,6r0W2Btf0Lyh7i5Vq0kXtB,spotify:track:6r0W2Btf0Lyh7i5Vq0kXtB,https://api.spotify.com/v1/tracks/6r0W2Btf0Lyh7i5Vq0kXtB,https://api.spotify.com/v1/audio-analysis/6r0W2Btf0Lyh7i5Vq0kXtB,219567,4
愛の静けさ,0.662,0.769,7,-8.778,1,0.0347,0.0195,0.00121,0.17,0.68,139.999,audio_features,7mCjZH7w2kiVkiO9anPmR0,spotify:track:7mCjZH7w2kiVkiO9anPmR0,https://api.spotify.com/v1/tracks/7mCjZH7w2kiVkiO9anPmR0,https://api.spotify.com/v1/audio-analysis/7mCjZH7w2kiVkiO9anPmR0,302965,4
たなばたまつり,0.604,0.497,0,-14.347,0,0.0427,0.863,0.611,0.0826,0.379,91.73,audio_features,5rgSdcBMh4mAG0lGwbjIZi,spotify:track:5rgSdcBMh4mAG0lGwbjIZi,https://api.spotify.com/v1/tracks/5rgSdcBMh4mAG0lGwbjIZi,https://api.spotify.com/v1/audio-analysis/5rgSdcBMh4mAG0lGwbjIZi,231467,4
