name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
スカー,0.411,0.955,1,-3.324,1,0.245,0.00704,0,0.371,0.41,193.021,audio_features,5WQAussByRFjUWYQDowtHE,spotify:track:5WQAussByRFjUWYQDowtHE,https://api.spotify.com/v1/tracks/5WQAussByRFjUWYQDowtHE,https://api.spotify.com/v1/audio-analysis/5WQAussByRFjUWYQDowtHE,259192,4
Rapport,0.574,0.956,6,-4.098,1,0.131,0.00145,0.000249,0.192,0.763,123.955,audio_features,0e4HssKedndIhLoDpkwBNH,spotify:track:0e4HssKedndIhLoDpkwBNH,https://api.spotify.com/v1/tracks/0e4HssKedndIhLoDpkwBNH,https://api.spotify.com/v1/audio-analysis/0e4HssKedndIhLoDpkwBNH,217526,4
化け猫,0.867,0.55,8,-5.614,0,0.105,0.108,3.94e-05,0.179,0.967,119.888,audio_features,3Wnba0vkxR4nmXbaRF9foE,spotify:track:3Wnba0vkxR4nmXbaRF9foE,https://api.spotify.com/v1/tracks/3Wnba0vkxR4nmXbaRF9foE,https://api.spotify.com/v1/audio-analysis/3Wnba0vkxR4nmXbaRF9foE,56022,4
PINK,0.68,0.702,8,-4.536,0,0.115,0.0526,0,0.165,0.858,103.958,audio_features,3KhODlXNFUONL8CdqEmd1d,spotify:track:3KhODlXNFUONL8CdqEmd1d,https://api.spotify.com/v1/tracks/3KhODlXNFUONL8CdqEmd1d,https://api.spotify.com/v1/audio-analysis/3KhODlXNFUONL8CdqEmd1d,176853,4
Rapport,0.565,0.955,6,-4.136,1,0.13,0.00155,0.000197,0.21,0.739,123.997,audio_features,3ahUE8eQPVdrDlEMXYV3Ou,spotify:track:3ahUE8eQPVdrDlEMXYV3Ou,https://api.spotify.com/v1/tracks/3ahUE8eQPVdrDlEMXYV3Ou,https://api.spotify.com/v1/audio-analysis/3ahUE8eQPVdrDlEMXYV3Ou,219027,4
聖者の行進,0.534,0.84,8,-4.798,1,0.112,0.00136,0,0.499,0.539,157.948,audio_features,1bwHUsQwWSWzoxlULC0wwT,spotify:track:1bwHUsQwWSWzoxlULC0wwT,https://api.spotify.com/v1/tracks/1bwHUsQwWSWzoxlULC0wwT,https://api.spotify.com/v1/audio-analysis/1bwHUsQwWSWzoxlULC0wwT,177168,4
聖者の行進,0.532,0.841,8,-4.821,1,0.111,0.00122,0,0.388,0.495,157.983,audio_features,7iz3zy3v6aDiB68zUiJn0U,spotify:track:7iz3zy3v6aDiB68zUiJn0U,https://api.spotify.com/v1/tracks/7iz3zy3v6aDiB68zUiJn0U,https://api.spotify.com/v1/audio-analysis/7iz3zy3v6aDiB68zUiJn0U,177760,4
人間みたいね,0.751,0.804,8,-4.923,0,0.0364,0.0934,8.98e-06,0.121,0.693,118.028,audio_features,5hBlX58IeGFXFJlrsWTCZZ,spotify:track:5hBlX58IeGFXFJlrsWTCZZ,https://api.spotify.com/v1/tracks/5hBlX58IeGFXFJlrsWTCZZ,https://api.spotify.com/v1/audio-analysis/5hBlX58IeGFXFJlrsWTCZZ,240307,4
悪夢,0.699,0.535,0,-6.268,1,0.0714,0.0828,2.29e-05,0.36,0.533,91.961,audio_features,1BdHnIDlrplL2RSMyqOXpV,spotify:track:1BdHnIDlrplL2RSMyqOXpV,https://api.spotify.com/v1/tracks/1BdHnIDlrplL2RSMyqOXpV,https://api.spotify.com/v1/audio-analysis/1BdHnIDlrplL2RSMyqOXpV,203107,4
月光,0.471,0.784,4,-5.567,0,0.156,0.0504,0,0.384,0.684,109.066,audio_features,2Oq8Z7bvZ65dSspYlfexTv,spotify:track:2Oq8Z7bvZ65dSspYlfexTv,https://api.spotify.com/v1/tracks/2Oq8Z7bvZ65dSspYlfexTv,https://api.spotify.com/v1/audio-analysis/2Oq8Z7bvZ65dSspYlfexTv,234559,4
