name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
MI-RA-I miracle circle,0.721,0.849,1,-4.009,1,0.0507,0.0572,5.46e-05,0.126,0.892,130.011,audio_features,3KHqAmHHeTuzWhdVjaJL0k,spotify:track:3KHqAmHHeTuzWhdVjaJL0k,https://api.spotify.com/v1/tracks/3KHqAmHHeTuzWhdVjaJL0k,https://api.spotify.com/v1/audio-analysis/3KHqAmHHeTuzWhdVjaJL0k,243511,4
NO LIFE CODE,0.492,0.947,8,-1.922,1,0.0752,0.0051,0.0853,0.0726,0.843,182.148,audio_features,6dE1dODA05laxJ0V9fOPh1,spotify:track:6dE1dODA05laxJ0V9fOPh1,https://api.spotify.com/v1/tracks/6dE1dODA05laxJ0V9fOPh1,https://api.spotify.com/v1/audio-analysis/6dE1dODA05laxJ0V9fOPh1,246446,4
ゆらゆらら,0.757,0.874,1,-5.007,1,0.0345,0.24,0.00012,0.0383,0.91,125.994,audio_features,110WGwCKUpa1QssuCdBst1,spotify:track:110WGwCKUpa1QssuCdBst1,https://api.spotify.com/v1/tracks/110WGwCKUpa1QssuCdBst1,https://api.spotify.com/v1/audio-analysis/110WGwCKUpa1QssuCdBst1,235074,4
AMBITIOUS GOAL,0.662,0.982,1,-2.45,0,0.0621,0.601,0,0.036,0.771,92.512,audio_features,05guRRGLnEKPhfFs5kZsDi,spotify:track:05guRRGLnEKPhfFs5kZsDi,https://api.spotify.com/v1/tracks/05guRRGLnEKPhfFs5kZsDi,https://api.spotify.com/v1/audio-analysis/05guRRGLnEKPhfFs5kZsDi,215933,4
空は誰かのものじゃない,0.55,0.745,8,-3.946,1,0.0292,0.132,5.01e-05,0.172,0.364,90.013,audio_features,4TFPrxAaq0yZjBgZxqPAVT,spotify:track:4TFPrxAaq0yZjBgZxqPAVT,https://api.spotify.com/v1/tracks/4TFPrxAaq0yZjBgZxqPAVT,https://api.spotify.com/v1/audio-analysis/4TFPrxAaq0yZjBgZxqPAVT,273183,4
Heartache soldier,0.51,0.979,11,-1.574,1,0.0581,0.0281,1.24e-05,0.313,0.851,200.131,audio_features,5tswenkSsUnvpTJbZwNWkF,spotify:track:5tswenkSsUnvpTJbZwNWkF,https://api.spotify.com/v1/tracks/5tswenkSsUnvpTJbZwNWkF,https://api.spotify.com/v1/audio-analysis/5tswenkSsUnvpTJbZwNWkF,226079,4
Can you sing along?,0.527,0.969,8,-1.809,1,0.125,0.00807,2.24e-06,0.298,0.66,185.173,audio_features,4y6qlqqmqwFTdC84yAyvJN,spotify:track:4y6qlqqmqwFTdC84yAyvJN,https://api.spotify.com/v1/tracks/4y6qlqqmqwFTdC84yAyvJN,https://api.spotify.com/v1/audio-analysis/4y6qlqqmqwFTdC84yAyvJN,246885,4
Secret Feeling,0.643,0.86,0,-3.098,0,0.0428,0.0345,0.0262,0.106,0.599,121.06,audio_features,5tK8D2CdaYzo5EGOnKLcKG,spotify:track:5tK8D2CdaYzo5EGOnKLcKG,https://api.spotify.com/v1/tracks/5tK8D2CdaYzo5EGOnKLcKG,https://api.spotify.com/v1/audio-analysis/5tK8D2CdaYzo5EGOnKLcKG,241295,4
Sunset Bicycle,0.747,0.752,10,-6.504,0,0.0371,0.555,0.0241,0.0913,0.89,100.971,audio_features,1tZKX1xTHeGtWSwMWnPz6D,spotify:track:1tZKX1xTHeGtWSwMWnPz6D,https://api.spotify.com/v1/tracks/1tZKX1xTHeGtWSwMWnPz6D,https://api.spotify.com/v1/audio-analysis/1tZKX1xTHeGtWSwMWnPz6D,264787,4
Moonlight Balcony,0.627,0.726,1,-6.65,0,0.0288,0.653,0.000883,0.143,0.732,100.02,audio_features,5vcP3UUY5Xw39H6Ix7j9S7,spotify:track:5vcP3UUY5Xw39H6Ix7j9S7,https://api.spotify.com/v1/tracks/5vcP3UUY5Xw39H6Ix7j9S7,https://api.spotify.com/v1/audio-analysis/5vcP3UUY5Xw39H6Ix7j9S7,244655,4
Tough Heart,0.558,0.992,6,-1.968,1,0.0888,0.0161,0.000566,0.32,0.794,187.055,audio_features,0L9K9LAP1sE58F4Z0v6A01,spotify:track:0L9K9LAP1sE58F4Z0v6A01,https://api.spotify.com/v1/tracks/0L9K9LAP1sE58F4Z0v6A01,https://api.spotify.com/v1/audio-analysis/0L9K9LAP1sE58F4Z0v6A01,237417,4
たたたんばりんりずむ,0.745,0.934,1,-3.248,1,0.0364,0.107,0.0406,0.0876,0.715,110.027,audio_features,1y89av07pW281ooWiGM4W9,spotify:track:1y89av07pW281ooWiGM4W9,https://api.spotify.com/v1/tracks/1y89av07pW281ooWiGM4W9,https://api.spotify.com/v1/audio-analysis/1y89av07pW281ooWiGM4W9,205516,4
Lorem Ipsum,0.554,0.976,11,-2.92,0,0.0856,6.62e-05,0.144,0.0787,0.57,148.023,audio_features,0U59aIyzWn4qwCufzBbUd3,spotify:track:0U59aIyzWn4qwCufzBbUd3,https://api.spotify.com/v1/tracks/0U59aIyzWn4qwCufzBbUd3,https://api.spotify.com/v1/audio-analysis/0U59aIyzWn4qwCufzBbUd3,217237,4
