name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
蛍前線,0.448,0.568,5,-8.558,0,0.0341,0.348,0.00013,0.411,0.25,81.076,audio_features,5ttyVvZhixvWtvTjuEC0Ib,spotify:track:5ttyVvZhixvWtvTjuEC0Ib,https://api.spotify.com/v1/tracks/5ttyVvZhixvWtvTjuEC0Ib,https://api.spotify.com/v1/audio-analysis/5ttyVvZhixvWtvTjuEC0Ib,268307,4
おかあさんへ,0.441,0.204,9,-14.13,1,0.0318,0.743,0.0653,0.106,0.258,140.798,audio_features,32LDGI0VnVbjbPYFQiMCOG,spotify:track:32LDGI0VnVbjbPYFQiMCOG,https://api.spotify.com/v1/tracks/32LDGI0VnVbjbPYFQiMCOG,https://api.spotify.com/v1/audio-analysis/32LDGI0VnVbjbPYFQiMCOG,280173,4
風といっしょに,0.48,0.461,0,-6.744,1,0.0242,0.668,1.31e-06,0.122,0.322,92.994,audio_features,0fjRZspb5DxAnMPk9Yidmi,spotify:track:0fjRZspb5DxAnMPk9Yidmi,https://api.spotify.com/v1/tracks/0fjRZspb5DxAnMPk9Yidmi,https://api.spotify.com/v1/audio-analysis/0fjRZspb5DxAnMPk9Yidmi,298373,4
色々あるけど会いたいよ,0.63,0.675,9,-6.534,1,0.0283,0.61,2.39e-05,0.104,0.698,122.041,audio_features,0zrMRRW48zwNB0x8NEAfFj,spotify:track:0zrMRRW48zwNB0x8NEAfFj,https://api.spotify.com/v1/tracks/0zrMRRW48zwNB0x8NEAfFj,https://api.spotify.com/v1/audio-analysis/0zrMRRW48zwNB0x8NEAfFj,204387,4
嵐嵐嵐がきても,0.322,0.525,5,-6.966,0,0.0343,0.749,4.15e-05,0.0809,0.394,145.365,audio_features,4j0F83Ohip0GmpPZdHhYKT,spotify:track:4j0F83Ohip0GmpPZdHhYKT,https://api.spotify.com/v1/tracks/4j0F83Ohip0GmpPZdHhYKT,https://api.spotify.com/v1/audio-analysis/4j0F83Ohip0GmpPZdHhYKT,249013,4
茨の木,0.469,0.461,10,-6.644,0,0.0267,0.337,2.76e-05,0.146,0.137,105.096,audio_features,2nbRcv4xXHGwvsPKyM8MhH,spotify:track:2nbRcv4xXHGwvsPKyM8MhH,https://api.spotify.com/v1/tracks/2nbRcv4xXHGwvsPKyM8MhH,https://api.spotify.com/v1/audio-analysis/2nbRcv4xXHGwvsPKyM8MhH,297653,4
越後に眠る,0.364,0.548,11,-4.502,0,0.0313,0.685,0,0.314,0.245,80.753,audio_features,1y9SQ6QxvrMKGXCXtXdwnK,spotify:track:1y9SQ6QxvrMKGXCXtXdwnK,https://api.spotify.com/v1/tracks/1y9SQ6QxvrMKGXCXtXdwnK,https://api.spotify.com/v1/audio-analysis/1y9SQ6QxvrMKGXCXtXdwnK,222027,4
ポケットにファンタジー,0.559,0.447,8,-8.165,1,0.13,0.625,0,0.473,0.704,78.148,audio_features,0OIWY3byC6pHrEIwA4ZQDB,spotify:track:0OIWY3byC6pHrEIwA4ZQDB,https://api.spotify.com/v1/tracks/0OIWY3byC6pHrEIwA4ZQDB,https://api.spotify.com/v1/audio-analysis/0OIWY3byC6pHrEIwA4ZQDB,236547,4
星に抱かれて,0.289,0.789,5,-2.857,0,0.0408,0.313,0,0.202,0.22,111.111,audio_features,0zojAGg9vxo6GYaXHy3Bgf,spotify:track:0zojAGg9vxo6GYaXHy3Bgf,https://api.spotify.com/v1/tracks/0zojAGg9vxo6GYaXHy3Bgf,https://api.spotify.com/v1/audio-analysis/0zojAGg9vxo6GYaXHy3Bgf,263147,4
茨の木 プレミアヴァージョン,0.327,0.267,10,-8.602,0,0.0472,0.925,0,0.108,0.174,66.477,audio_features,35MNn2UsjmfNSILS9smMee,spotify:track:35MNn2UsjmfNSILS9smMee,https://api.spotify.com/v1/tracks/35MNn2UsjmfNSILS9smMee,https://api.spotify.com/v1/audio-analysis/35MNn2UsjmfNSILS9smMee,254347,3
道(はないちもんめ),0.362,0.423,7,-6.304,0,0.0292,0.494,4.03e-06,0.109,0.275,108.03,audio_features,1LI7Zaq6FOyoP3GOCQekOv,spotify:track:1LI7Zaq6FOyoP3GOCQekOv,https://api.spotify.com/v1/tracks/1LI7Zaq6FOyoP3GOCQekOv,https://api.spotify.com/v1/audio-analysis/1LI7Zaq6FOyoP3GOCQekOv,289640,4
CITRUS - シトラスボスVer.,0.46,0.586,8,-7.373,0,0.0297,0.343,0,0.158,0.69,143.96,audio_features,3lvFOK6DpW1DLwblfffIZJ,spotify:track:3lvFOK6DpW1DLwblfffIZJ,https://api.spotify.com/v1/tracks/3lvFOK6DpW1DLwblfffIZJ,https://api.spotify.com/v1/audio-analysis/3lvFOK6DpW1DLwblfffIZJ,289460,4
道(はないちもんめ) オリジナルカラオケ,0.508,0.349,7,-10.247,0,0.0288,0.216,0.756,0.0902,0.145,107.993,audio_features,6HNmCQM3NdaekPTW6584wA,spotify:track:6HNmCQM3NdaekPTW6584wA,https://api.spotify.com/v1/tracks/6HNmCQM3NdaekPTW6584wA,https://api.spotify.com/v1/audio-analysis/6HNmCQM3NdaekPTW6584wA,286613,4
越後に眠る(プレミアバージョン),0.446,0.345,11,-8.992,0,0.0407,0.958,0,0.116,0.297,140.218,audio_features,318BfjAI5t0AJqpyS3iJTJ,spotify:track:318BfjAI5t0AJqpyS3iJTJ,https://api.spotify.com/v1/tracks/318BfjAI5t0AJqpyS3iJTJ,https://api.spotify.com/v1/audio-analysis/318BfjAI5t0AJqpyS3iJTJ,212493,4
茨の木 オリジナルカラオケ,0.543,0.398,10,-9.989,0,0.0271,0.0613,0.82,0.172,0.146,104.969,audio_features,0ns1M4Al9pS98KGbdct6Ys,spotify:track:0ns1M4Al9pS98KGbdct6Ys,https://api.spotify.com/v1/tracks/0ns1M4Al9pS98KGbdct6Ys,https://api.spotify.com/v1/audio-analysis/0ns1M4Al9pS98KGbdct6Ys,297667,4
色々あるけど会いたいよ(オリジナル・カラオケ),0.673,0.63,9,-8.002,1,0.0264,0.124,0.828,0.0775,0.717,122.009,audio_features,017Pea3z9mYq95dJfZ7yTH,spotify:track:017Pea3z9mYq95dJfZ7yTH,https://api.spotify.com/v1/tracks/017Pea3z9mYq95dJfZ7yTH,https://api.spotify.com/v1/audio-analysis/017Pea3z9mYq95dJfZ7yTH,204373,4
星に抱かれて(オリジナルカラオケ),0.287,0.751,5,-4.646,0,0.03,0.0278,0.539,0.22,0.125,111.011,audio_features,0KX1tr0FVELZqja5jyQcG9,spotify:track:0KX1tr0FVELZqja5jyQcG9,https://api.spotify.com/v1/tracks/0KX1tr0FVELZqja5jyQcG9,https://api.spotify.com/v1/audio-analysis/0KX1tr0FVELZqja5jyQcG9,264147,4
おかあさんへ オリジナルカラオケ,0.514,0.174,9,-16.569,1,0.0306,0.671,0.72,0.144,0.192,139.998,audio_features,6Is54riNkyKpUSN1h2fB9J,spotify:track:6Is54riNkyKpUSN1h2fB9J,https://api.spotify.com/v1/tracks/6Is54riNkyKpUSN1h2fB9J,https://api.spotify.com/v1/audio-analysis/6Is54riNkyKpUSN1h2fB9J,277680,4
越後に眠る(オリジナルカラオケ),0.438,0.45,11,-7.641,0,0.0243,0.271,0.756,0.175,0.0808,80.96,audio_features,7LNa2mOXlNdJ5di8g1r8oc,spotify:track:7LNa2mOXlNdJ5di8g1r8oc,https://api.spotify.com/v1/tracks/7LNa2mOXlNdJ5di8g1r8oc,https://api.spotify.com/v1/audio-analysis/7LNa2mOXlNdJ5di8g1r8oc,222013,4
嵐嵐嵐がきても(オリジナル・カラオケ),0.48,0.422,5,-8.646,0,0.026,0.477,0.675,0.101,0.261,146.049,audio_features,0KE9UBv5Mc8gsfmRmoZKsK,spotify:track:0KE9UBv5Mc8gsfmRmoZKsK,https://api.spotify.com/v1/tracks/0KE9UBv5Mc8gsfmRmoZKsK,https://api.spotify.com/v1/audio-analysis/0KE9UBv5Mc8gsfmRmoZKsK,247173,4
蛍前線 オリジナルカラオケ,0.475,0.455,8,-11.299,1,0.0268,0.0703,0.833,0.45,0.196,80.995,audio_features,6wQ4xKwvILlXrYROrfP870,spotify:track:6wQ4xKwvILlXrYROrfP870,https://api.spotify.com/v1/tracks/6wQ4xKwvILlXrYROrfP870,https://api.spotify.com/v1/audio-analysis/6wQ4xKwvILlXrYROrfP870,267800,4
