name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
City Hunter 〜愛よ消えないで〜,0.689,0.829,1,-5.435,0,0.0386,0.344,0,0.101,0.888,132.7,audio_features,4c0G3S4tGbwoJrF8Ve662r,spotify:track:4c0G3S4tGbwoJrF8Ve662r,https://api.spotify.com/v1/tracks/4c0G3S4tGbwoJrF8Ve662r,https://api.spotify.com/v1/audio-analysis/4c0G3S4tGbwoJrF8Ve662r,246573,4
City Hunter 〜愛よ消えないで〜,0.671,0.873,1,-3.913,0,0.0394,0.237,0,0.135,0.843,132.499,audio_features,7zkQSbrrrH9Y9GWh3LvYAA,spotify:track:7zkQSbrrrH9Y9GWh3LvYAA,https://api.spotify.com/v1/tracks/7zkQSbrrrH9Y9GWh3LvYAA,https://api.spotify.com/v1/audio-analysis/7zkQSbrrrH9Y9GWh3LvYAA,244053,4
Hold On Me,0.594,0.923,8,-5.66,0,0.0606,0.23,0.00029,0.29,0.834,124.737,audio_features,3vd59NwLAVTbOQhAF7DW42,spotify:track:3vd59NwLAVTbOQhAF7DW42,https://api.spotify.com/v1/tracks/3vd59NwLAVTbOQhAF7DW42,https://api.spotify.com/v1/audio-analysis/3vd59NwLAVTbOQhAF7DW42,286267,4
HOLD ON ME [25th Anniversary Version],0.614,0.901,8,-4.436,0,0.0322,0.0153,3.53e-05,0.581,0.742,128.975,audio_features,4DPOKKu036htLAQsnVWF5C,spotify:track:4DPOKKu036htLAQsnVWF5C,https://api.spotify.com/v1/tracks/4DPOKKu036htLAQsnVWF5C,https://api.spotify.com/v1/audio-analysis/4DPOKKu036htLAQsnVWF5C,263920,4
WHAT'S GOIN' ON,0.732,0.903,10,-6.035,0,0.0818,0.394,4.43e-05,0.061,0.89,130.506,audio_features,49SApzVr7mbLW5DtVZH4m8,spotify:track:49SApzVr7mbLW5DtVZH4m8,https://api.spotify.com/v1/tracks/49SApzVr7mbLW5DtVZH4m8,https://api.spotify.com/v1/audio-analysis/49SApzVr7mbLW5DtVZH4m8,263827,4
NEVER SAY GOOD-BYE,0.61,0.819,5,-5.024,0,0.0348,0.661,1.61e-05,0.717,0.762,142.921,audio_features,7KSyk0ZM5JdaCZk6FhfzqU,spotify:track:7KSyk0ZM5JdaCZk6FhfzqU,https://api.spotify.com/v1/tracks/7KSyk0ZM5JdaCZk6FhfzqU,https://api.spotify.com/v1/audio-analysis/7KSyk0ZM5JdaCZk6FhfzqU,210840,3
両手いっぱいのジョニー,0.664,0.723,4,-6.023,1,0.0297,0.5,0.000537,0.0793,0.465,140.158,audio_features,0Hxf4o3xtZJH63Ib6b3vvP,spotify:track:0Hxf4o3xtZJH63Ib6b3vvP,https://api.spotify.com/v1/tracks/0Hxf4o3xtZJH63Ib6b3vvP,https://api.spotify.com/v1/audio-analysis/0Hxf4o3xtZJH63Ib6b3vvP,244973,4
I'm Here,0.478,0.69,11,-5.993,1,0.0363,0.25,0.000122,0.37,0.28,137.709,audio_features,0M8XrC40zrqdA04t6yegrw,spotify:track:0M8XrC40zrqdA04t6yegrw,https://api.spotify.com/v1/tracks/0M8XrC40zrqdA04t6yegrw,https://api.spotify.com/v1/audio-analysis/0M8XrC40zrqdA04t6yegrw,350080,4
Time goes by,0.437,0.552,0,-6.176,1,0.0304,0.497,0,0.245,0.334,139.928,audio_features,6sgjn58Z4Bz2UhvsxtDSGm,spotify:track:6sgjn58Z4Bz2UhvsxtDSGm,https://api.spotify.com/v1/tracks/6sgjn58Z4Bz2UhvsxtDSGm,https://api.spotify.com/v1/audio-analysis/6sgjn58Z4Bz2UhvsxtDSGm,368573,4
流星,0.596,0.562,9,-6.882,1,0.0251,0.695,0,0.277,0.38,108.927,audio_features,05Me65mNXcSdtp8R2RmTn2,spotify:track:05Me65mNXcSdtp8R2RmTn2,https://api.spotify.com/v1/tracks/05Me65mNXcSdtp8R2RmTn2,https://api.spotify.com/v1/audio-analysis/05Me65mNXcSdtp8R2RmTn2,325413,4
City Hunter 〜愛よ消えないで〜,0.651,0.876,1,-4.106,0,0.0398,0.319,0,0.115,0.85,132.669,audio_features,76X2KY7pDefceL4VDaeCJo,spotify:track:76X2KY7pDefceL4VDaeCJo,https://api.spotify.com/v1/tracks/76X2KY7pDefceL4VDaeCJo,https://api.spotify.com/v1/audio-analysis/76X2KY7pDefceL4VDaeCJo,244720,4
DREAMER [25th Anniversary Version],0.778,0.795,11,-5.248,0,0.0369,0.0471,0,0.142,0.732,120.963,audio_features,5KwMYl3BXooGbEaxvxE5Ak,spotify:track:5KwMYl3BXooGbEaxvxE5Ak,https://api.spotify.com/v1/tracks/5KwMYl3BXooGbEaxvxE5Ak,https://api.spotify.com/v1/audio-analysis/5KwMYl3BXooGbEaxvxE5Ak,343480,4
