name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
あなたに会えてよかった,0.683,0.789,4,-8.242,1,0.0282,0.041,2.76e-06,0.132,0.622,124.862,audio_features,5FJho22sdsYoBFeuov4myw,spotify:track:5FJho22sdsYoBFeuov4myw,https://api.spotify.com/v1/tracks/5FJho22sdsYoBFeuov4myw,https://api.spotify.com/v1/audio-analysis/5FJho22sdsYoBFeuov4myw,245073,4
木枯しに抱かれて,0.688,0.676,2,-8.842,0,0.0286,0.202,0.00116,0.122,0.551,115.048,audio_features,0aJlvHZu68s0a2865Wguep,spotify:track:0aJlvHZu68s0a2865Wguep,https://api.spotify.com/v1/tracks/0aJlvHZu68s0a2865Wguep,https://api.spotify.com/v1/audio-analysis/0aJlvHZu68s0a2865Wguep,222700,4
優しい雨,0.535,0.431,1,-9.81,1,0.0245,0.093,2.77e-05,0.0866,0.172,75.719,audio_features,6sWANgdWPMz8a0VltrYkTZ,spotify:track:6sWANgdWPMz8a0VltrYkTZ,https://api.spotify.com/v1/tracks/6sWANgdWPMz8a0VltrYkTZ,https://api.spotify.com/v1/audio-analysis/6sWANgdWPMz8a0VltrYkTZ,260633,4
夜明けのMEW,0.841,0.611,4,-10.81,0,0.0342,0.571,2.88e-05,0.0622,0.872,115.219,audio_features,41EaBnIuAQTEHjePnBQlk5,spotify:track:41EaBnIuAQTEHjePnBQlk5,https://api.spotify.com/v1/tracks/41EaBnIuAQTEHjePnBQlk5,https://api.spotify.com/v1/audio-analysis/41EaBnIuAQTEHjePnBQlk5,228640,4
The Stardust Memory,0.597,0.741,3,-5.531,1,0.0282,0.0349,0.000172,0.209,0.438,144.666,audio_features,6OfQWjBj7nSUsoI1NOiP7C,spotify:track:6OfQWjBj7nSUsoI1NOiP7C,https://api.spotify.com/v1/tracks/6OfQWjBj7nSUsoI1NOiP7C,https://api.spotify.com/v1/audio-analysis/6OfQWjBj7nSUsoI1NOiP7C,235555,4
小泉今日子はブギウギブギ,0.52,0.702,7,-4.805,1,0.0397,0.249,0,0.325,0.624,139.957,audio_features,2E6LTly2zOR7Um5LclHegr,spotify:track:2E6LTly2zOR7Um5LclHegr,https://api.spotify.com/v1/tracks/2E6LTly2zOR7Um5LclHegr,https://api.spotify.com/v1/audio-analysis/2E6LTly2zOR7Um5LclHegr,185608,3
艶姿ナミダ娘,0.76,0.826,6,-7.248,0,0.0395,0.284,0.000723,0.0664,0.935,147.758,audio_features,1vdOhOjEDqQxKtvAcyyXuA,spotify:track:1vdOhOjEDqQxKtvAcyyXuA,https://api.spotify.com/v1/tracks/1vdOhOjEDqQxKtvAcyyXuA,https://api.spotify.com/v1/audio-analysis/1vdOhOjEDqQxKtvAcyyXuA,257678,4
小泉今日子はブギウギブギ,0.537,0.68,7,-4.82,1,0.0389,0.195,0,0.302,0.602,140.0,audio_features,5oIgb2B8ojMr3jQkYUW8rL,spotify:track:5oIgb2B8ojMr3jQkYUW8rL,https://api.spotify.com/v1/tracks/5oIgb2B8ojMr3jQkYUW8rL,https://api.spotify.com/v1/audio-analysis/5oIgb2B8ojMr3jQkYUW8rL,185427,3
あなたに会えてよかった,0.676,0.856,4,-6.016,1,0.0306,0.0605,0,0.117,0.601,124.857,audio_features,0WyQzeO98cgIDJpXAWH2p7,spotify:track:0WyQzeO98cgIDJpXAWH2p7,https://api.spotify.com/v1/tracks/0WyQzeO98cgIDJpXAWH2p7,https://api.spotify.com/v1/audio-analysis/0WyQzeO98cgIDJpXAWH2p7,245011,4
木枯しに抱かれて,0.64,0.779,9,-6.181,0,0.0301,0.0824,0.00397,0.129,0.641,113.82,audio_features,4dFnkr0vr6HfMVzGbQstrg,spotify:track:4dFnkr0vr6HfMVzGbQstrg,https://api.spotify.com/v1/tracks/4dFnkr0vr6HfMVzGbQstrg,https://api.spotify.com/v1/audio-analysis/4dFnkr0vr6HfMVzGbQstrg,223173,4
なんてったってアイドル,0.588,0.97,7,-8.125,1,0.0751,0.11,0.000553,0.986,0.576,165.855,audio_features,6v7ap2rz80edbctZ75UFd6,spotify:track:6v7ap2rz80edbctZ75UFd6,https://api.spotify.com/v1/tracks/6v7ap2rz80edbctZ75UFd6,https://api.spotify.com/v1/audio-analysis/6v7ap2rz80edbctZ75UFd6,251627,4
