name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
still have us MIDORI,0.631,0.839,1,-7.577,1,0.051,0.00717,0.129,0.329,0.737,144.79,audio_features,2LOvCykYnLq90xaK02H2C2,spotify:track:2LOvCykYnLq90xaK02H2C2,https://api.spotify.com/v1/tracks/2LOvCykYnLq90xaK02H2C2,https://api.spotify.com/v1/audio-analysis/2LOvCykYnLq90xaK02H2C2,252040,4
眠りのうた - Single Edit,0.678,0.368,1,-8.161,1,0.0294,0.526,0.000864,0.0873,0.338,130.075,audio_features,7llpo3I1SzOOvEtWI9FT9H,spotify:track:7llpo3I1SzOOvEtWI9FT9H,https://api.spotify.com/v1/tracks/7llpo3I1SzOOvEtWI9FT9H,https://api.spotify.com/v1/audio-analysis/7llpo3I1SzOOvEtWI9FT9H,302333,4
Recognize,0.534,0.882,10,-6.431,0,0.0495,0.000208,0.498,0.23,0.435,168.052,audio_features,0u39AKuHfEYPoKVqcA4XIZ,spotify:track:0u39AKuHfEYPoKVqcA4XIZ,https://api.spotify.com/v1/tracks/0u39AKuHfEYPoKVqcA4XIZ,https://api.spotify.com/v1/audio-analysis/0u39AKuHfEYPoKVqcA4XIZ,212560,4
眠れない,0.582,0.807,7,-5.764,1,0.0357,0.0129,0.00105,0.245,0.488,139.945,audio_features,3wGXqwM5r5b3UY2upNZ0RZ,spotify:track:3wGXqwM5r5b3UY2upNZ0RZ,https://api.spotify.com/v1/tracks/3wGXqwM5r5b3UY2upNZ0RZ,https://api.spotify.com/v1/audio-analysis/3wGXqwM5r5b3UY2upNZ0RZ,254611,4
嘆きの雪,0.402,0.638,0,-7.822,0,0.0374,0.255,0,0.0893,0.332,76.756,audio_features,1TfJjhbjKuR5KjXSDTv0U1,spotify:track:1TfJjhbjKuR5KjXSDTv0U1,https://api.spotify.com/v1/tracks/1TfJjhbjKuR5KjXSDTv0U1,https://api.spotify.com/v1/audio-analysis/1TfJjhbjKuR5KjXSDTv0U1,247733,4
手紙,0.638,0.117,8,-10.1,1,0.0363,0.933,3.46e-05,0.111,0.173,72.603,audio_features,7jptw3DENO2pWmrfzE1TZs,spotify:track:7jptw3DENO2pWmrfzE1TZs,https://api.spotify.com/v1/tracks/7jptw3DENO2pWmrfzE1TZs,https://api.spotify.com/v1/audio-analysis/7jptw3DENO2pWmrfzE1TZs,435627,4
自分,0.595,0.34,8,-9.823,1,0.0285,0.692,0.000758,0.107,0.144,140.154,audio_features,0iZzc8f763UwNIPPrYsAw2,spotify:track:0iZzc8f763UwNIPPrYsAw2,https://api.spotify.com/v1/tracks/0iZzc8f763UwNIPPrYsAw2,https://api.spotify.com/v1/audio-analysis/0iZzc8f763UwNIPPrYsAw2,270933,4
雪でもいい,0.627,0.56,3,-6.789,1,0.0283,0.163,3.44e-06,0.177,0.304,170.114,audio_features,4xbirzL237YcyyGiSXsoLg,spotify:track:4xbirzL237YcyyGiSXsoLg,https://api.spotify.com/v1/tracks/4xbirzL237YcyyGiSXsoLg,https://api.spotify.com/v1/audio-analysis/4xbirzL237YcyyGiSXsoLg,248147,4
孤独の音が聞こえる,0.78,0.298,2,-13.117,1,0.0406,0.418,0.363,0.0801,0.291,129.949,audio_features,58b3yoz6divbjfjlroSfOz,spotify:track:58b3yoz6divbjfjlroSfOz,https://api.spotify.com/v1/tracks/58b3yoz6divbjfjlroSfOz,https://api.spotify.com/v1/audio-analysis/58b3yoz6divbjfjlroSfOz,286395,4
Off you go,0.624,0.728,3,-4.811,1,0.0241,0.111,2.21e-05,0.212,0.655,96.812,audio_features,6QqgAnPGPTgK7h4dFw7TN7,spotify:track:6QqgAnPGPTgK7h4dFw7TN7,https://api.spotify.com/v1/tracks/6QqgAnPGPTgK7h4dFw7TN7,https://api.spotify.com/v1/audio-analysis/6QqgAnPGPTgK7h4dFw7TN7,305160,4
