name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
異邦人,0.633,0.615,5,-7.839,0,0.029,0.506,0,0.168,0.807,106.685,audio_features,59kcIJpn03CfqFyZRuiRrm,spotify:track:59kcIJpn03CfqFyZRuiRrm,https://api.spotify.com/v1/tracks/59kcIJpn03CfqFyZRuiRrm,https://api.spotify.com/v1/audio-analysis/59kcIJpn03CfqFyZRuiRrm,225973,4
九月の色,0.59,0.654,0,-7.92,0,0.0372,0.321,6.74e-06,0.156,0.818,124.429,audio_features,1EPiIu37qIWWa7wYTqU6B0,spotify:track:1EPiIu37qIWWa7wYTqU6B0,https://api.spotify.com/v1/tracks/1EPiIu37qIWWa7wYTqU6B0,https://api.spotify.com/v1/audio-analysis/1EPiIu37qIWWa7wYTqU6B0,231787,4
ギター弾きを見ませんか,0.712,0.252,2,-11.45,0,0.0347,0.908,3.24e-05,0.111,0.516,131.015,audio_features,7tCraR70ojNZzcSkMG1Cjz,spotify:track:7tCraR70ojNZzcSkMG1Cjz,https://api.spotify.com/v1/tracks/7tCraR70ojNZzcSkMG1Cjz,https://api.spotify.com/v1/audio-analysis/7tCraR70ojNZzcSkMG1Cjz,187027,4
異邦人,0.637,0.591,5,-7.396,0,0.0295,0.562,0,0.207,0.791,106.903,audio_features,2CMyMUrcRrBajrAPUPeBJa,spotify:track:2CMyMUrcRrBajrAPUPeBJa,https://api.spotify.com/v1/tracks/2CMyMUrcRrBajrAPUPeBJa,https://api.spotify.com/v1/audio-analysis/2CMyMUrcRrBajrAPUPeBJa,225413,4
オレンジ・エアメール・スペシャル,0.617,0.665,0,-6.704,1,0.0345,0.262,0.00047,0.168,0.822,142.844,audio_features,35wGrfD9YXq4a087umwWDk,spotify:track:35wGrfD9YXq4a087umwWDk,https://api.spotify.com/v1/tracks/35wGrfD9YXq4a087umwWDk,https://api.spotify.com/v1/audio-analysis/35wGrfD9YXq4a087umwWDk,229427,4
25時,0.646,0.649,7,-7.932,0,0.0353,0.518,0,0.151,0.695,111.598,audio_features,3W8LCsxbIMcLoTr50w9Bca,spotify:track:3W8LCsxbIMcLoTr50w9Bca,https://api.spotify.com/v1/tracks/3W8LCsxbIMcLoTr50w9Bca,https://api.spotify.com/v1/audio-analysis/3W8LCsxbIMcLoTr50w9Bca,236400,4
ねがい,0.647,0.693,2,-8.297,1,0.0328,0.42,9.32e-06,0.19,0.736,129.791,audio_features,3NLh2cqRDLKxdcIVwKO1if,spotify:track:3NLh2cqRDLKxdcIVwKO1if,https://api.spotify.com/v1/tracks/3NLh2cqRDLKxdcIVwKO1if,https://api.spotify.com/v1/audio-analysis/3NLh2cqRDLKxdcIVwKO1if,202173,4
最終便,0.78,0.731,0,-8.513,0,0.0291,0.344,1.03e-05,0.0481,0.884,127.493,audio_features,4OqIWB9CP6HBFiYp5zbgcW,spotify:track:4OqIWB9CP6HBFiYp5zbgcW,https://api.spotify.com/v1/tracks/4OqIWB9CP6HBFiYp5zbgcW,https://api.spotify.com/v1/audio-analysis/4OqIWB9CP6HBFiYp5zbgcW,219707,4
朝,0.286,0.166,2,-12.209,0,0.0339,0.955,0,0.12,0.265,131.42,audio_features,5coBEdQAgaq6hqf1BBtjBS,spotify:track:5coBEdQAgaq6hqf1BBtjBS,https://api.spotify.com/v1/tracks/5coBEdQAgaq6hqf1BBtjBS,https://api.spotify.com/v1/audio-analysis/5coBEdQAgaq6hqf1BBtjBS,128893,4
夢飛行,0.428,0.738,0,-7.603,0,0.041,0.274,0.000159,0.0614,0.623,117.52,audio_features,06euzFVm0gWsrwxiRPlxlA,spotify:track:06euzFVm0gWsrwxiRPlxlA,https://api.spotify.com/v1/tracks/06euzFVm0gWsrwxiRPlxlA,https://api.spotify.com/v1/audio-analysis/06euzFVm0gWsrwxiRPlxlA,254773,4
帰郷,0.444,0.426,0,-8.784,1,0.0287,0.817,8.26e-06,0.0736,0.551,97.545,audio_features,0mBCPPHHPe021zJJqVAPC2,spotify:track:0mBCPPHHPe021zJJqVAPC2,https://api.spotify.com/v1/tracks/0mBCPPHHPe021zJJqVAPC2,https://api.spotify.com/v1/audio-analysis/0mBCPPHHPe021zJJqVAPC2,248600,4
天界,0.601,0.646,0,-7.033,0,0.0307,0.499,0,0.0985,0.545,110.327,audio_features,27R7GCCyMf8UopIfJOf3Xt,spotify:track:27R7GCCyMf8UopIfJOf3Xt,https://api.spotify.com/v1/tracks/27R7GCCyMf8UopIfJOf3Xt,https://api.spotify.com/v1/audio-analysis/27R7GCCyMf8UopIfJOf3Xt,196373,4
アクエリアン・エイジ,0.626,0.75,4,-8.257,0,0.0495,0.487,6.87e-05,0.569,0.724,78.045,audio_features,4BuFQTKQEpgReNHV5LrpB2,spotify:track:4BuFQTKQEpgReNHV5LrpB2,https://api.spotify.com/v1/tracks/4BuFQTKQEpgReNHV5LrpB2,https://api.spotify.com/v1/audio-analysis/4BuFQTKQEpgReNHV5LrpB2,301227,4
夏の夜の10時30分,0.575,0.378,9,-11.915,0,0.0257,0.801,0.000115,0.114,0.369,87.773,audio_features,4QHtDZkfCDZzBnzhakfrXp,spotify:track:4QHtDZkfCDZzBnzhakfrXp,https://api.spotify.com/v1/tracks/4QHtDZkfCDZzBnzhakfrXp,https://api.spotify.com/v1/audio-analysis/4QHtDZkfCDZzBnzhakfrXp,239707,4
最終ページ,0.482,0.334,3,-10.47,1,0.025,0.926,4.15e-06,0.0608,0.218,87.871,audio_features,3FQ6MTt8WFKGChhpX1hSWe,spotify:track:3FQ6MTt8WFKGChhpX1hSWe,https://api.spotify.com/v1/tracks/3FQ6MTt8WFKGChhpX1hSWe,https://api.spotify.com/v1/audio-analysis/3FQ6MTt8WFKGChhpX1hSWe,289240,4
キャンパス街'81,0.707,0.64,0,-7.175,0,0.035,0.371,9.92e-06,0.239,0.85,123.807,audio_features,4kYETilJtjiUbK42nG9HBU,spotify:track:4kYETilJtjiUbK42nG9HBU,https://api.spotify.com/v1/tracks/4kYETilJtjiUbK42nG9HBU,https://api.spotify.com/v1/audio-analysis/4kYETilJtjiUbK42nG9HBU,278640,4
サラーム,0.602,0.559,5,-8.159,0,0.0262,0.629,0.000105,0.148,0.681,103.17,audio_features,7mXYlCzUQ7kbEIF4cGtzW2,spotify:track:7mXYlCzUQ7kbEIF4cGtzW2,https://api.spotify.com/v1/tracks/7mXYlCzUQ7kbEIF4cGtzW2,https://api.spotify.com/v1/audio-analysis/7mXYlCzUQ7kbEIF4cGtzW2,231707,4
異邦人,0.451,0.304,5,-11.839,0,0.0331,0.94,7.86e-05,0.305,0.352,98.711,audio_features,2yuAZy6dPAodcGrjgfSDSm,spotify:track:2yuAZy6dPAodcGrjgfSDSm,https://api.spotify.com/v1/tracks/2yuAZy6dPAodcGrjgfSDSm,https://api.spotify.com/v1/audio-analysis/2yuAZy6dPAodcGrjgfSDSm,296480,4
異邦人 (オリジナル・カラオケ),0.683,0.531,5,-10.787,0,0.0256,0.198,0.707,0.207,0.876,106.521,audio_features,21OFJhysOw2XLiC2pYpK5b,spotify:track:21OFJhysOw2XLiC2pYpK5b,https://api.spotify.com/v1/tracks/21OFJhysOw2XLiC2pYpK5b,https://api.spotify.com/v1/audio-analysis/21OFJhysOw2XLiC2pYpK5b,225267,4
レンズ・アイ,0.59,0.674,1,-7.068,1,0.031,0.43,4.29e-05,0.379,0.846,144.047,audio_features,5D8JhLY8kyIYRnnpEs7i4k,spotify:track:5D8JhLY8kyIYRnnpEs7i4k,https://api.spotify.com/v1/tracks/5D8JhLY8kyIYRnnpEs7i4k,https://api.spotify.com/v1/audio-analysis/5D8JhLY8kyIYRnnpEs7i4k,201067,4
愛の時代,0.618,0.64,7,-6.331,0,0.0289,0.508,0,0.165,0.597,129.113,audio_features,3oUzkpW8UsbDl6KD3OEmFr,spotify:track:3oUzkpW8UsbDl6KD3OEmFr,https://api.spotify.com/v1/tracks/3oUzkpW8UsbDl6KD3OEmFr,https://api.spotify.com/v1/audio-analysis/3oUzkpW8UsbDl6KD3OEmFr,254040,4
