name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Time after time ~花舞う街で~,0.644,0.759,11,-4.492,0,0.0311,0.357,0,0.1,0.294,93.009,audio_features,6p7zWUrMceo4GrJyFQFlGY,spotify:track:6p7zWUrMceo4GrJyFQFlGY,https://api.spotify.com/v1/tracks/6p7zWUrMceo4GrJyFQFlGY,https://api.spotify.com/v1/audio-analysis/6p7zWUrMceo4GrJyFQFlGY,241567,4
Secret of my heart,0.554,0.879,10,-4.153,0,0.0484,0.0341,0,0.133,0.927,169.896,audio_features,1KvU7iXcyRMden0n9krc4k,spotify:track:1KvU7iXcyRMden0n9krc4k,https://api.spotify.com/v1/tracks/1KvU7iXcyRMden0n9krc4k,https://api.spotify.com/v1/audio-analysis/1KvU7iXcyRMden0n9krc4k,265033,4
always,0.671,0.815,7,-5.075,1,0.0339,0.0411,0.000232,0.306,0.59,91.826,audio_features,7BUTvMscLY29cBxspSOsY6,spotify:track:7BUTvMscLY29cBxspSOsY6,https://api.spotify.com/v1/tracks/7BUTvMscLY29cBxspSOsY6,https://api.spotify.com/v1/audio-analysis/7BUTvMscLY29cBxspSOsY6,246900,4
渡月橋 ~君 想ふ~,0.626,0.785,4,-4.976,0,0.0317,0.666,0,0.0619,0.768,94.022,audio_features,1060Rq2jA1jKckSZV67y7H,spotify:track:1060Rq2jA1jKckSZV67y7H,https://api.spotify.com/v1/tracks/1060Rq2jA1jKckSZV67y7H,https://api.spotify.com/v1/audio-analysis/1060Rq2jA1jKckSZV67y7H,245533,4
きみと恋のままで終われない いつも夢のままじゃいられない,0.735,0.609,0,-7.08,1,0.0244,0.709,0,0.201,0.708,100.996,audio_features,3KH2U9KtVuHmeX4BJy9SJY,spotify:track:3KH2U9KtVuHmeX4BJy9SJY,https://api.spotify.com/v1/tracks/3KH2U9KtVuHmeX4BJy9SJY,https://api.spotify.com/v1/audio-analysis/3KH2U9KtVuHmeX4BJy9SJY,273500,4
Your Best Friend,0.591,0.714,8,-2.888,1,0.0262,0.156,0,0.0866,0.494,97.966,audio_features,0tNeMOlMIJwrJaaVOrlAPb,spotify:track:0tNeMOlMIJwrJaaVOrlAPb,https://api.spotify.com/v1/tracks/0tNeMOlMIJwrJaaVOrlAPb,https://api.spotify.com/v1/audio-analysis/0tNeMOlMIJwrJaaVOrlAPb,350233,4
恋に恋して,0.643,0.715,2,-4.486,1,0.0558,0.142,0,0.0811,0.565,94.979,audio_features,1YVNiHqZGO3eK7n4Yw1fVL,spotify:track:1YVNiHqZGO3eK7n4Yw1fVL,https://api.spotify.com/v1/tracks/1YVNiHqZGO3eK7n4Yw1fVL,https://api.spotify.com/v1/audio-analysis/1YVNiHqZGO3eK7n4Yw1fVL,248967,4
DYNAMITE,0.785,0.76,10,-4.67,0,0.0999,0.00513,2.12e-06,0.245,0.755,128.016,audio_features,74krhBSQIhDOG1sx06WCwI,spotify:track:74krhBSQIhDOG1sx06WCwI,https://api.spotify.com/v1/tracks/74krhBSQIhDOG1sx06WCwI,https://api.spotify.com/v1/audio-analysis/74krhBSQIhDOG1sx06WCwI,200500,4
Revive,0.748,0.961,1,-4.245,0,0.0561,0.0285,0.000206,0.0568,0.842,107.959,audio_features,79CD7g7L5GH3vi7ILZG6Xn,spotify:track:79CD7g7L5GH3vi7ILZG6Xn,https://api.spotify.com/v1/tracks/79CD7g7L5GH3vi7ILZG6Xn,https://api.spotify.com/v1/audio-analysis/79CD7g7L5GH3vi7ILZG6Xn,278533,4
SUMMER TIME GONE,0.752,0.822,8,-2.941,0,0.0632,0.603,0,0.34,0.896,119.961,audio_features,12TcqQTR4gdbkJSrlc9qZW,spotify:track:12TcqQTR4gdbkJSrlc9qZW,https://api.spotify.com/v1/tracks/12TcqQTR4gdbkJSrlc9qZW,https://api.spotify.com/v1/audio-analysis/12TcqQTR4gdbkJSrlc9qZW,255200,4
