name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
黒い傷跡のブルース,0.405,0.739,4,-5.749,0,0.0453,0.184,0,0.202,0.456,94.776,audio_features,2vETONR6Cg38Cutr15cm61,spotify:track:2vETONR6Cg38Cutr15cm61,https://api.spotify.com/v1/tracks/2vETONR6Cg38Cutr15cm61,https://api.spotify.com/v1/audio-analysis/2vETONR6Cg38Cutr15cm61,240493,3
タイガー&ドラゴン,0.672,0.749,7,-5.64,0,0.0258,0.114,0.000112,0.0475,0.819,97.437,audio_features,5ujJRhdKsINBzkz0EcEca2,spotify:track:5ujJRhdKsINBzkz0EcEca2,https://api.spotify.com/v1/tracks/5ujJRhdKsINBzkz0EcEca2,https://api.spotify.com/v1/audio-analysis/5ujJRhdKsINBzkz0EcEca2,251173,4
12月17日,0.572,0.541,0,-6.17,0,0.0431,0.534,2.28e-05,0.118,0.48,80.032,audio_features,4mwL32lnMsw2X9RIPqi5jZ,spotify:track:4mwL32lnMsw2X9RIPqi5jZ,https://api.spotify.com/v1/tracks/4mwL32lnMsw2X9RIPqi5jZ,https://api.spotify.com/v1/audio-analysis/4mwL32lnMsw2X9RIPqi5jZ,236360,4
Almond,0.509,0.757,5,-10.369,0,0.278,0.226,2.58e-06,0.121,0.803,200.051,audio_features,0AEx6W2Aju7o0jPTl3O9R8,spotify:track:0AEx6W2Aju7o0jPTl3O9R8,https://api.spotify.com/v1/tracks/0AEx6W2Aju7o0jPTl3O9R8,https://api.spotify.com/v1/audio-analysis/0AEx6W2Aju7o0jPTl3O9R8,209147,4
せぷてんばぁ,0.719,0.704,1,-7.536,0,0.039,0.767,0.00356,0.114,0.694,163.929,audio_features,06US6lIX0Q47rjZR4jO2nt,spotify:track:06US6lIX0Q47rjZR4jO2nt,https://api.spotify.com/v1/tracks/06US6lIX0Q47rjZR4jO2nt,https://api.spotify.com/v1/audio-analysis/06US6lIX0Q47rjZR4jO2nt,243227,4
接吻-kiss-,0.681,0.822,6,-6.794,1,0.13,0.413,0,0.0817,0.655,99.0,audio_features,3DOZ2wVeqigwc6LXPvToiq,spotify:track:3DOZ2wVeqigwc6LXPvToiq,https://api.spotify.com/v1/tracks/3DOZ2wVeqigwc6LXPvToiq,https://api.spotify.com/v1/audio-analysis/3DOZ2wVeqigwc6LXPvToiq,315853,4
秋になっちゃった,0.676,0.828,9,-4.407,1,0.0283,0.0532,0,0.0787,0.909,116.077,audio_features,1L6ElBhaMeoOuRbczG18nq,spotify:track:1L6ElBhaMeoOuRbczG18nq,https://api.spotify.com/v1/tracks/1L6ElBhaMeoOuRbczG18nq,https://api.spotify.com/v1/audio-analysis/1L6ElBhaMeoOuRbczG18nq,246773,4
あ、やるときゃやらなきゃだめなのよ。,0.63,0.898,10,-3.463,1,0.0573,0.332,0.000131,0.44,0.83,110.04,audio_features,1QpM8tHlyYgnNgI0rv9wAt,spotify:track:1QpM8tHlyYgnNgI0rv9wAt,https://api.spotify.com/v1/tracks/1QpM8tHlyYgnNgI0rv9wAt,https://api.spotify.com/v1/audio-analysis/1QpM8tHlyYgnNgI0rv9wAt,239920,4
夕だち,0.69,0.778,8,-9.722,0,0.067,0.297,7.39e-05,0.122,0.93,93.959,audio_features,1ew45xX9ESwKAlAVdS8KW3,spotify:track:1ew45xX9ESwKAlAVdS8KW3,https://api.spotify.com/v1/tracks/1ew45xX9ESwKAlAVdS8KW3,https://api.spotify.com/v1/audio-analysis/1ew45xX9ESwKAlAVdS8KW3,188976,4
タオル,0.581,0.842,8,-3.843,1,0.0398,0.231,0,0.31,0.609,89.03,audio_features,04qaYqfGL8lYP9SRdKGLX6,spotify:track:04qaYqfGL8lYP9SRdKGLX6,https://api.spotify.com/v1/tracks/04qaYqfGL8lYP9SRdKGLX6,https://api.spotify.com/v1/audio-analysis/04qaYqfGL8lYP9SRdKGLX6,274667,4
