name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Bad Bitter,0.236,0.942,11,-2.97,1,0.153,0.000935,0,0.266,0.799,196.389,audio_features,24cxcYH4h0PosmowlNelPZ,spotify:track:24cxcYH4h0PosmowlNelPZ,https://api.spotify.com/v1/tracks/24cxcYH4h0PosmowlNelPZ,https://api.spotify.com/v1/audio-analysis/24cxcYH4h0PosmowlNelPZ,216573,4
甘噛み,0.387,0.917,11,-3.926,0,0.134,0.00574,0,0.134,0.546,164.948,audio_features,5Jx1XBiDQsR8p1UtetnJfH,spotify:track:5Jx1XBiDQsR8p1UtetnJfH,https://api.spotify.com/v1/tracks/5Jx1XBiDQsR8p1UtetnJfH,https://api.spotify.com/v1/audio-analysis/5Jx1XBiDQsR8p1UtetnJfH,240747,4
debauchery,0.488,0.934,7,-2.79,1,0.136,0.00106,0,0.337,0.641,137.974,audio_features,2XhKgN8OZSiPYoWxmpmkmH,spotify:track:2XhKgN8OZSiPYoWxmpmkmH,https://api.spotify.com/v1/tracks/2XhKgN8OZSiPYoWxmpmkmH,https://api.spotify.com/v1/audio-analysis/2XhKgN8OZSiPYoWxmpmkmH,224067,4
Wonder Wanderers,0.456,0.957,4,-4.019,0,0.111,0.000158,0,0.436,0.38,76.057,audio_features,6nTUrvFmBuyvMNZIOBzsa0,spotify:track:6nTUrvFmBuyvMNZIOBzsa0,https://api.spotify.com/v1/tracks/6nTUrvFmBuyvMNZIOBzsa0,https://api.spotify.com/v1/audio-analysis/6nTUrvFmBuyvMNZIOBzsa0,210947,4
Owl Night,0.548,0.779,6,-5.113,1,0.0326,0.0402,0,0.187,0.527,133.005,audio_features,3vTtKnx83An2mZY9DxKK5e,spotify:track:3vTtKnx83An2mZY9DxKK5e,https://api.spotify.com/v1/tracks/3vTtKnx83An2mZY9DxKK5e,https://api.spotify.com/v1/audio-analysis/3vTtKnx83An2mZY9DxKK5e,196040,4
エンドゲーム,0.516,0.964,6,-3.45,0,0.138,0.00105,0,0.33,0.727,133.016,audio_features,2p8sHmRbRR5HoWMjvGVeNU,spotify:track:2p8sHmRbRR5HoWMjvGVeNU,https://api.spotify.com/v1/tracks/2p8sHmRbRR5HoWMjvGVeNU,https://api.spotify.com/v1/audio-analysis/2p8sHmRbRR5HoWMjvGVeNU,235507,4
甘噛み,0.195,0.907,11,-4.257,0,0.193,0.00553,0,0.144,0.524,79.291,audio_features,1htfk4qbEyfLysgUysnghl,spotify:track:1htfk4qbEyfLysgUysnghl,https://api.spotify.com/v1/tracks/1htfk4qbEyfLysgUysnghl,https://api.spotify.com/v1/audio-analysis/1htfk4qbEyfLysgUysnghl,240663,4
Wonder Wanderers - Instrumental,0.451,0.969,0,-6.486,1,0.08,8.64e-06,0.719,0.639,0.456,151.94,audio_features,43ifRGWtq7PNL8ZRjoKmBN,spotify:track:43ifRGWtq7PNL8ZRjoKmBN,https://api.spotify.com/v1/tracks/43ifRGWtq7PNL8ZRjoKmBN,https://api.spotify.com/v1/audio-analysis/43ifRGWtq7PNL8ZRjoKmBN,211400,4
Bad Bitter - Instrumental,0.338,0.956,11,-4.108,1,0.0957,1.64e-05,0.864,0.181,0.777,196.125,audio_features,622jFR4c7edB0WMZIdFYUB,spotify:track:622jFR4c7edB0WMZIdFYUB,https://api.spotify.com/v1/tracks/622jFR4c7edB0WMZIdFYUB,https://api.spotify.com/v1/audio-analysis/622jFR4c7edB0WMZIdFYUB,216307,4
NIJIIRO NO Puddle,0.593,0.823,4,-3.371,1,0.0382,0.0248,0,0.12,0.622,135.974,audio_features,2NSpTiNqee6kwpzzzHTTUC,spotify:track:2NSpTiNqee6kwpzzzHTTUC,https://api.spotify.com/v1/tracks/2NSpTiNqee6kwpzzzHTTUC,https://api.spotify.com/v1/audio-analysis/2NSpTiNqee6kwpzzzHTTUC,278648,4
Owl Night - Instrumental,0.541,0.742,6,-6.777,1,0.0284,0.000232,0.863,0.212,0.508,133.04,audio_features,1V3yW0uWoHJKgkRPUmDeM1,spotify:track:1V3yW0uWoHJKgkRPUmDeM1,https://api.spotify.com/v1/tracks/1V3yW0uWoHJKgkRPUmDeM1,https://api.spotify.com/v1/audio-analysis/1V3yW0uWoHJKgkRPUmDeM1,196000,4
