name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Kanashiki Negai,0.494,0.315,8,-8.019,1,0.0284,0.76,0,0.117,0.36,104.903,audio_features,4TCglTO5rCtcJjFK8FRRQt,spotify:track:4TCglTO5rCtcJjFK8FRRQt,https://api.spotify.com/v1/tracks/4TCglTO5rCtcJjFK8FRRQt,https://api.spotify.com/v1/audio-analysis/4TCglTO5rCtcJjFK8FRRQt,348000,3
Stand By Me,0.408,0.791,2,-3.192,1,0.0447,0.0277,1.48e-05,0.143,0.236,167.937,audio_features,6tUyFeMaYxNSth1ZdxaVP7,spotify:track:6tUyFeMaYxNSth1ZdxaVP7,https://api.spotify.com/v1/tracks/6tUyFeMaYxNSth1ZdxaVP7,https://api.spotify.com/v1/audio-analysis/6tUyFeMaYxNSth1ZdxaVP7,348293,4
I Like,0.69,0.899,7,-2.38,1,0.0396,0.141,0.0315,0.0877,0.927,135.072,audio_features,1W8BAhwlCnUgFTzwKSoaiA,spotify:track:1W8BAhwlCnUgFTzwKSoaiA,https://api.spotify.com/v1/tracks/1W8BAhwlCnUgFTzwKSoaiA,https://api.spotify.com/v1/audio-analysis/1W8BAhwlCnUgFTzwKSoaiA,171533,4
Mashomaro Pie,0.429,0.668,0,-3.974,1,0.0328,0.00869,0,0.0639,0.329,183.816,audio_features,2yVciLCjxP6tyaSI1uAOkL,spotify:track:2yVciLCjxP6tyaSI1uAOkL,https://api.spotify.com/v1/tracks/2yVciLCjxP6tyaSI1uAOkL,https://api.spotify.com/v1/audio-analysis/2yVciLCjxP6tyaSI1uAOkL,191840,4
Heavens,0.413,0.68,6,-2.117,1,0.0327,0.398,0,0.112,0.138,76.032,audio_features,0VSbn1cNZO2ET7V8dNpKSw,spotify:track:0VSbn1cNZO2ET7V8dNpKSw,https://api.spotify.com/v1/tracks/0VSbn1cNZO2ET7V8dNpKSw,https://api.spotify.com/v1/audio-analysis/0VSbn1cNZO2ET7V8dNpKSw,279493,4
E ni Naru Futari,0.563,0.839,2,-1.98,1,0.0309,0.134,0,0.103,0.651,81.955,audio_features,3GX7lD3MiRT4wBMwQcurOO,spotify:track:3GX7lD3MiRT4wBMwQcurOO,https://api.spotify.com/v1/tracks/3GX7lD3MiRT4wBMwQcurOO,https://api.spotify.com/v1/audio-analysis/3GX7lD3MiRT4wBMwQcurOO,274107,4
Yuuutsu na Nettaigyo - Rum Coke Remix,0.71,0.902,6,-4.342,1,0.0514,0.0305,0.00918,0.338,0.879,115.066,audio_features,6WRuDpCo2cZ4fvpI60VxQ5,spotify:track:6WRuDpCo2cZ4fvpI60VxQ5,https://api.spotify.com/v1/tracks/6WRuDpCo2cZ4fvpI60VxQ5,https://api.spotify.com/v1/audio-analysis/6WRuDpCo2cZ4fvpI60VxQ5,257190,4
Natsu no Owari no Yume,0.524,0.127,1,-11.033,1,0.0356,0.874,1.28e-05,0.089,0.265,139.827,audio_features,0yvXEzQpX8fNlaNJAa7afN,spotify:track:0yvXEzQpX8fNlaNJAa7afN,https://api.spotify.com/v1/tracks/0yvXEzQpX8fNlaNJAa7afN,https://api.spotify.com/v1/audio-analysis/0yvXEzQpX8fNlaNJAa7afN,339867,4
One,0.759,0.574,7,-5.282,0,0.0244,0.29,1.28e-05,0.0875,0.703,98.065,audio_features,0j7rsclsCwDBYzNkW7kJG1,spotify:track:0j7rsclsCwDBYzNkW7kJG1,https://api.spotify.com/v1/tracks/0j7rsclsCwDBYzNkW7kJG1,https://api.spotify.com/v1/audio-analysis/0j7rsclsCwDBYzNkW7kJG1,323667,4
Call Me Up,0.63,0.831,5,-4.101,1,0.0372,0.0112,0,0.195,0.816,105.032,audio_features,1EJ4UsXNbfQZNTxkWuLK4k,spotify:track:1EJ4UsXNbfQZNTxkWuLK4k,https://api.spotify.com/v1/tracks/1EJ4UsXNbfQZNTxkWuLK4k,https://api.spotify.com/v1/audio-analysis/1EJ4UsXNbfQZNTxkWuLK4k,274373,4
Harukaze ni Notte,0.282,0.8,7,-2.448,1,0.0414,0.0752,0,0.385,0.482,155.734,audio_features,6xyV1zl4RbfpO7NpXg01cu,spotify:track:6xyV1zl4RbfpO7NpXg01cu,https://api.spotify.com/v1/tracks/6xyV1zl4RbfpO7NpXg01cu,https://api.spotify.com/v1/audio-analysis/6xyV1zl4RbfpO7NpXg01cu,321067,3
Dear Mr. Mainichi,0.565,0.784,6,-3.229,1,0.0309,0.00519,0,0.177,0.352,112.509,audio_features,2qwTRg1JzmtU5h78jqgorZ,spotify:track:2qwTRg1JzmtU5h78jqgorZ,https://api.spotify.com/v1/tracks/2qwTRg1JzmtU5h78jqgorZ,https://api.spotify.com/v1/audio-analysis/2qwTRg1JzmtU5h78jqgorZ,330600,3
UFO Mania,0.593,0.956,1,-2.349,1,0.0459,0.174,0,0.089,0.887,149.941,audio_features,4IJArFFrHnxInfvadliesu,spotify:track:4IJArFFrHnxInfvadliesu,https://api.spotify.com/v1/tracks/4IJArFFrHnxInfvadliesu,https://api.spotify.com/v1/audio-analysis/4IJArFFrHnxInfvadliesu,129107,4
Yuuutsu na Nettaigyo,0.495,0.807,6,-2.227,1,0.0278,0.0334,0,0.149,0.672,99.757,audio_features,2U6KXiDnvbZSQnoTqhxuzc,spotify:track:2U6KXiDnvbZSQnoTqhxuzc,https://api.spotify.com/v1/tracks/2U6KXiDnvbZSQnoTqhxuzc,https://api.spotify.com/v1/audio-analysis/2U6KXiDnvbZSQnoTqhxuzc,240640,4
