name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
エピローグにさようなら,0.764,0.74,5,-7.132,1,0.079,0.0412,0.0679,0.043,0.939,90.166,audio_features,4jHcBWXxyTTJmYUMSfUQsr,spotify:track:4jHcBWXxyTTJmYUMSfUQsr,https://api.spotify.com/v1/tracks/4jHcBWXxyTTJmYUMSfUQsr,https://api.spotify.com/v1/audio-analysis/4jHcBWXxyTTJmYUMSfUQsr,208600,4
エピローグにさようなら - Non Stop Mix ver.,0.743,0.805,5,-7.289,1,0.0707,0.0394,0.239,0.148,0.939,90.442,audio_features,5RLA2U38XMGSRTI3MGaMep,spotify:track:5RLA2U38XMGSRTI3MGaMep,https://api.spotify.com/v1/tracks/5RLA2U38XMGSRTI3MGaMep,https://api.spotify.com/v1/audio-analysis/5RLA2U38XMGSRTI3MGaMep,195341,4
おやすみなさい…と男たちへ,0.642,0.624,6,-5.909,0,0.0244,0.586,0.00449,0.133,0.519,111.093,audio_features,7AfWhDxZqNC0WDZCirbMMl,spotify:track:7AfWhDxZqNC0WDZCirbMMl,https://api.spotify.com/v1/tracks/7AfWhDxZqNC0WDZCirbMMl,https://api.spotify.com/v1/audio-analysis/7AfWhDxZqNC0WDZCirbMMl,234257,4
I Can't Say...,0.769,0.506,6,-12.694,0,0.0288,0.0591,0.00041,0.0685,0.794,122.167,audio_features,3hE1PAOaq1p2mehZvLpYod,spotify:track:3hE1PAOaq1p2mehZvLpYod,https://api.spotify.com/v1/tracks/3hE1PAOaq1p2mehZvLpYod,https://api.spotify.com/v1/audio-analysis/3hE1PAOaq1p2mehZvLpYod,225767,4
Love Is A Tenderness,0.595,0.642,7,-5.816,0,0.027,0.571,0.00202,0.173,0.43,114.065,audio_features,1o04O18bwaN3Vt8AT9oDcS,spotify:track:1o04O18bwaN3Vt8AT9oDcS,https://api.spotify.com/v1/tracks/1o04O18bwaN3Vt8AT9oDcS,https://api.spotify.com/v1/audio-analysis/1o04O18bwaN3Vt8AT9oDcS,224523,4
夜風にBlue,0.758,0.681,5,-6.508,0,0.0274,0.19,0.000601,0.15,0.575,136.424,audio_features,4zXfUD3fz2x6MhuV71W4SZ,spotify:track:4zXfUD3fz2x6MhuV71W4SZ,https://api.spotify.com/v1/tracks/4zXfUD3fz2x6MhuV71W4SZ,https://api.spotify.com/v1/audio-analysis/4zXfUD3fz2x6MhuV71W4SZ,214272,4
トーキョー・ブルー,0.65,0.659,8,-6.249,1,0.0259,0.571,3.27e-05,0.0877,0.432,122.015,audio_features,2jQEknfJVKCl5CFjjs4nnu,spotify:track:2jQEknfJVKCl5CFjjs4nnu,https://api.spotify.com/v1/tracks/2jQEknfJVKCl5CFjjs4nnu,https://api.spotify.com/v1/audio-analysis/2jQEknfJVKCl5CFjjs4nnu,293333,4
Love Is Afternoon,0.572,0.544,5,-7.774,0,0.0247,0.43,0.051,0.119,0.14,90.088,audio_features,6R72Xv1LFDxTONGNDcCm48,spotify:track:6R72Xv1LFDxTONGNDcCm48,https://api.spotify.com/v1/tracks/6R72Xv1LFDxTONGNDcCm48,https://api.spotify.com/v1/audio-analysis/6R72Xv1LFDxTONGNDcCm48,274915,4
どこまでも女になりたい,0.652,0.538,7,-7.234,0,0.0261,0.781,0.0358,0.215,0.415,126.762,audio_features,7eO7ytnle54o6U4XubG8uX,spotify:track:7eO7ytnle54o6U4XubG8uX,https://api.spotify.com/v1/tracks/7eO7ytnle54o6U4XubG8uX,https://api.spotify.com/v1/audio-analysis/7eO7ytnle54o6U4XubG8uX,213732,4
ジンにまぎれて,0.77,0.568,7,-11.181,0,0.0333,0.264,0.00133,0.201,0.973,134.108,audio_features,0hiwX2KRSgDoX4jm1wcJkX,spotify:track:0hiwX2KRSgDoX4jm1wcJkX,https://api.spotify.com/v1/tracks/0hiwX2KRSgDoX4jm1wcJkX,https://api.spotify.com/v1/audio-analysis/0hiwX2KRSgDoX4jm1wcJkX,182880,4
