name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
あなたにあえてよかった,0.329,0.739,4,-5.539,1,0.0568,0.0239,1.13e-06,0.0659,0.568,151.407,audio_features,1TeklZjAITZ7Vach4v1Ij6,spotify:track:1TeklZjAITZ7Vach4v1Ij6,https://api.spotify.com/v1/tracks/1TeklZjAITZ7Vach4v1Ij6,https://api.spotify.com/v1/audio-analysis/1TeklZjAITZ7Vach4v1Ij6,347293,4
頭が腐る,0.493,0.732,10,-3.945,1,0.0796,0.0114,9.71e-06,0.058,0.808,99.22,audio_features,3EewhAlx27n5p3HzQETROg,spotify:track:3EewhAlx27n5p3HzQETROg,https://api.spotify.com/v1/tracks/3EewhAlx27n5p3HzQETROg,https://api.spotify.com/v1/audio-analysis/3EewhAlx27n5p3HzQETROg,277480,4
ひとり盆踊り,0.365,0.49,10,-10.583,1,0.054,0.0801,0.00674,0.12,0.248,92.642,audio_features,3fqQ19dF5CPV8MAetoyoPI,spotify:track:3fqQ19dF5CPV8MAetoyoPI,https://api.spotify.com/v1/tracks/3fqQ19dF5CPV8MAetoyoPI,https://api.spotify.com/v1/audio-analysis/3fqQ19dF5CPV8MAetoyoPI,420600,4
道端のおっさん,0.198,0.907,9,-4.653,1,0.394,0.124,0.00045,0.759,0.539,83.63,audio_features,67OTjt2iagR9qHeuJV3Nd1,spotify:track:67OTjt2iagR9qHeuJV3Nd1,https://api.spotify.com/v1/tracks/67OTjt2iagR9qHeuJV3Nd1,https://api.spotify.com/v1/audio-analysis/67OTjt2iagR9qHeuJV3Nd1,77533,4
俺はいい人,0.497,0.651,7,-4.948,1,0.0295,0.0434,0.0327,0.368,0.459,105.015,audio_features,1cfqaPodfpvNR4jRtGpDLX,spotify:track:1cfqaPodfpvNR4jRtGpDLX,https://api.spotify.com/v1/tracks/1cfqaPodfpvNR4jRtGpDLX,https://api.spotify.com/v1/audio-analysis/1cfqaPodfpvNR4jRtGpDLX,320107,4
爛漫,0.248,0.65,2,-8.951,1,0.0407,0.00149,0.801,0.118,0.208,101.66,audio_features,721dS65xaQwzQaYhnbWyc9,spotify:track:721dS65xaQwzQaYhnbWyc9,https://api.spotify.com/v1/tracks/721dS65xaQwzQaYhnbWyc9,https://api.spotify.com/v1/audio-analysis/721dS65xaQwzQaYhnbWyc9,155360,3
うどんのなかの世界,0.338,0.894,6,-5.508,0,0.131,0.0253,0.000414,0.0832,0.498,100.612,audio_features,65dHpzFURjhgDat5hPhMX1,spotify:track:65dHpzFURjhgDat5hPhMX1,https://api.spotify.com/v1/tracks/65dHpzFURjhgDat5hPhMX1,https://api.spotify.com/v1/audio-analysis/65dHpzFURjhgDat5hPhMX1,288707,4
あなたの終局,0.415,0.165,3,-14.265,1,0.0479,0.962,0.0577,0.0937,0.0816,64.646,audio_features,2NW6ismfSJYsadZoZSJrLc,spotify:track:2NW6ismfSJYsadZoZSJrLc,https://api.spotify.com/v1/tracks/2NW6ismfSJYsadZoZSJrLc,https://api.spotify.com/v1/audio-analysis/2NW6ismfSJYsadZoZSJrLc,289533,4
饂飩出汁,0.386,0.948,9,-3.506,0,0.0772,8.97e-05,8.84e-05,0.152,0.557,115.903,audio_features,6bJCTLGGdDP9Ez4bGo8WR3,spotify:track:6bJCTLGGdDP9Ez4bGo8WR3,https://api.spotify.com/v1/tracks/6bJCTLGGdDP9Ez4bGo8WR3,https://api.spotify.com/v1/audio-analysis/6bJCTLGGdDP9Ez4bGo8WR3,246080,4
I am full.,0.49,0.655,11,-6.872,0,0.0378,0.0112,0.00113,0.0493,0.533,114.686,audio_features,2OdiKt6uREQQnbjHPcgLEA,spotify:track:2OdiKt6uREQQnbjHPcgLEA,https://api.spotify.com/v1/tracks/2OdiKt6uREQQnbjHPcgLEA,https://api.spotify.com/v1/audio-analysis/2OdiKt6uREQQnbjHPcgLEA,321680,4
頭のなかの青い海,0.29,0.691,2,-6.35,1,0.0544,0.00235,0.0017,0.169,0.31,101.136,audio_features,0Dk5R9RQw0Aze5uEYOBl8j,spotify:track:0Dk5R9RQw0Aze5uEYOBl8j,https://api.spotify.com/v1/tracks/0Dk5R9RQw0Aze5uEYOBl8j,https://api.spotify.com/v1/audio-analysis/0Dk5R9RQw0Aze5uEYOBl8j,310467,4
なんで?,0.535,0.581,4,-9.347,1,0.025,0.0222,0.0805,0.191,0.456,104.275,audio_features,3exOUG7hI25gSiEdvJUGy6,spotify:track:3exOUG7hI25gSiEdvJUGy6,https://api.spotify.com/v1/tracks/3exOUG7hI25gSiEdvJUGy6,https://api.spotify.com/v1/audio-analysis/3exOUG7hI25gSiEdvJUGy6,293693,4
