name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
一触即発,0.524,0.904,9,-3.458,1,0.0343,0.0169,1.59e-06,0.112,0.898,134.073,audio_features,5rjg2Ko5FKp9k8i8spC1vQ,spotify:track:5rjg2Ko5FKp9k8i8spC1vQ,https://api.spotify.com/v1/tracks/5rjg2Ko5FKp9k8i8spC1vQ,https://api.spotify.com/v1/audio-analysis/5rjg2Ko5FKp9k8i8spC1vQ,188147,4
サマーヌード,0.629,0.773,11,-5.112,0,0.0369,0.343,0,0.296,0.781,115.021,audio_features,7eNTFaExmnzkud4vCILtEm,spotify:track:7eNTFaExmnzkud4vCILtEm,https://api.spotify.com/v1/tracks/7eNTFaExmnzkud4vCILtEm,https://api.spotify.com/v1/audio-analysis/7eNTFaExmnzkud4vCILtEm,293667,4
ENDLESS SUMMER NUDE,0.653,0.963,7,-4.836,1,0.0454,0.0189,0,0.314,0.64,115.844,audio_features,0yiMxEV6t1oJsDZDQaf7vB,spotify:track:0yiMxEV6t1oJsDZDQaf7vB,https://api.spotify.com/v1/tracks/0yiMxEV6t1oJsDZDQaf7vB,https://api.spotify.com/v1/audio-analysis/0yiMxEV6t1oJsDZDQaf7vB,315867,4
LOVE IS FREE,0.606,0.855,9,-5.018,1,0.0392,0.0646,5.74e-06,0.0504,0.65,112.95,audio_features,7K9Ema8IFPYRCmJNo5R4S4,spotify:track:7K9Ema8IFPYRCmJNo5R4S4,https://api.spotify.com/v1/tracks/7K9Ema8IFPYRCmJNo5R4S4,https://api.spotify.com/v1/audio-analysis/7K9Ema8IFPYRCmJNo5R4S4,245133,4
流れ星,0.487,0.619,5,-5.297,1,0.0277,0.151,2.9e-05,0.113,0.505,76.05,audio_features,4sZzmPLs7xwuMsHiqYlMOE,spotify:track:4sZzmPLs7xwuMsHiqYlMOE,https://api.spotify.com/v1/tracks/4sZzmPLs7xwuMsHiqYlMOE,https://api.spotify.com/v1/audio-analysis/4sZzmPLs7xwuMsHiqYlMOE,292333,4
消えない絵,0.475,0.916,9,-3.688,1,0.038,0.182,0,0.326,0.706,155.968,audio_features,3hrURxnFss5TS3VP6d93WZ,spotify:track:3hrURxnFss5TS3VP6d93WZ,https://api.spotify.com/v1/tracks/3hrURxnFss5TS3VP6d93WZ,https://api.spotify.com/v1/audio-analysis/3hrURxnFss5TS3VP6d93WZ,240467,4
この愛は始まってもいない,0.403,0.78,9,-5.623,1,0.0293,0.133,0.000875,0.0655,0.411,174.013,audio_features,4DpLRBGc9N1dqTOHhdik9h,spotify:track:4DpLRBGc9N1dqTOHhdik9h,https://api.spotify.com/v1/tracks/4DpLRBGc9N1dqTOHhdik9h,https://api.spotify.com/v1/audio-analysis/4DpLRBGc9N1dqTOHhdik9h,398520,4
どかーん,0.534,0.838,7,-5.676,1,0.0574,0.088,0,0.0703,0.888,152.521,audio_features,4s7ylm19khpc4TM98FTAaR,spotify:track:4s7ylm19khpc4TM98FTAaR,https://api.spotify.com/v1/tracks/4s7ylm19khpc4TM98FTAaR,https://api.spotify.com/v1/audio-analysis/4s7ylm19khpc4TM98FTAaR,103227,4
橋の上で,0.468,0.62,4,-7.004,1,0.0327,0.0874,1.48e-05,0.138,0.322,141.868,audio_features,2vO6fP8DYFXn6JIeo6p05t,spotify:track:2vO6fP8DYFXn6JIeo6p05t,https://api.spotify.com/v1/tracks/2vO6fP8DYFXn6JIeo6p05t,https://api.spotify.com/v1/audio-analysis/2vO6fP8DYFXn6JIeo6p05t,299080,4
破壊,0.589,0.631,4,-5.628,1,0.025,0.463,5.46e-05,0.103,0.443,78.074,audio_features,4hoYo70D2FE9GilQ7okRXu,spotify:track:4hoYo70D2FE9GilQ7okRXu,https://api.spotify.com/v1/tracks/4hoYo70D2FE9GilQ7okRXu,https://api.spotify.com/v1/audio-analysis/4hoYo70D2FE9GilQ7okRXu,207880,4
白い紙飛行機,0.498,0.865,4,-2.184,1,0.03,0.00728,0,0.0839,0.728,133.081,audio_features,4jzo48ABs5PnEeQFoCVmtx,spotify:track:4jzo48ABs5PnEeQFoCVmtx,https://api.spotify.com/v1/tracks/4jzo48ABs5PnEeQFoCVmtx,https://api.spotify.com/v1/audio-analysis/4jzo48ABs5PnEeQFoCVmtx,220146,4
