name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
どうぞこのまま,0.442,0.196,10,-12.319,0,0.033,0.928,0.03,0.115,0.224,114.879,audio_features,16UpNnRXpQlBL9SthEyKbF,spotify:track:16UpNnRXpQlBL9SthEyKbF,https://api.spotify.com/v1/tracks/16UpNnRXpQlBL9SthEyKbF,https://api.spotify.com/v1/audio-analysis/16UpNnRXpQlBL9SthEyKbF,240333,4
Mugon,0.436,0.279,2,-12.106,0,0.0356,0.62,1.69e-05,0.102,0.289,133.089,audio_features,7JZWkAClMVK2pliResiMed,spotify:track:7JZWkAClMVK2pliResiMed,https://api.spotify.com/v1/tracks/7JZWkAClMVK2pliResiMed,https://api.spotify.com/v1/audio-analysis/7JZWkAClMVK2pliResiMed,382933,4
VARIETY,0.831,0.683,0,-7.906,1,0.0359,0.139,2.45e-05,0.0767,0.961,121.167,audio_features,0WTp26jwGQgHs2OzNeBHe1,spotify:track:0WTp26jwGQgHs2OzNeBHe1,https://api.spotify.com/v1/tracks/0WTp26jwGQgHs2OzNeBHe1,https://api.spotify.com/v1/audio-analysis/0WTp26jwGQgHs2OzNeBHe1,259815,4
Yurete Futari,0.651,0.386,4,-11.756,0,0.0286,0.475,0,0.103,0.481,127.07,audio_features,0wjl77s8NyAl4TjDzfsKOM,spotify:track:0wjl77s8NyAl4TjDzfsKOM,https://api.spotify.com/v1/tracks/0wjl77s8NyAl4TjDzfsKOM,https://api.spotify.com/v1/audio-analysis/0wjl77s8NyAl4TjDzfsKOM,239518,4
Save our children,0.344,0.257,5,-9.634,1,0.0295,0.93,0,0.123,0.13,129.655,audio_features,4x5eu2OaPAqHpB7JlJSUuj,spotify:track:4x5eu2OaPAqHpB7JlJSUuj,https://api.spotify.com/v1/tracks/4x5eu2OaPAqHpB7JlJSUuj,https://api.spotify.com/v1/audio-analysis/4x5eu2OaPAqHpB7JlJSUuj,321293,4
One True Thing,0.584,0.387,0,-10.72,1,0.0314,0.831,0,0.107,0.198,83.883,audio_features,0PGSHGgHZBlMDMBEwVl6El,spotify:track:0PGSHGgHZBlMDMBEwVl6El,https://api.spotify.com/v1/tracks/0PGSHGgHZBlMDMBEwVl6El,https://api.spotify.com/v1/audio-analysis/0PGSHGgHZBlMDMBEwVl6El,264133,4
Dear My Friend,0.618,0.218,0,-10.548,1,0.0293,0.873,0,0.124,0.152,76.984,audio_features,45mOQB0I24muweeXdE63Rs,spotify:track:45mOQB0I24muweeXdE63Rs,https://api.spotify.com/v1/tracks/45mOQB0I24muweeXdE63Rs,https://api.spotify.com/v1/audio-analysis/45mOQB0I24muweeXdE63Rs,298880,4
Akumachikku na onna,0.667,0.626,9,-9.147,1,0.0313,0.336,2.44e-05,0.087,0.719,126.506,audio_features,3geMeW8sVdgSOQvH6b4fnn,spotify:track:3geMeW8sVdgSOQvH6b4fnn,https://api.spotify.com/v1/tracks/3geMeW8sVdgSOQvH6b4fnn,https://api.spotify.com/v1/audio-analysis/3geMeW8sVdgSOQvH6b4fnn,279235,4
傍らの愛,0.406,0.18,7,-10.519,1,0.0294,0.8,0,0.11,0.164,141.253,audio_features,63wifNkHSnAtScXt9FsIvW,spotify:track:63wifNkHSnAtScXt9FsIvW,https://api.spotify.com/v1/tracks/63wifNkHSnAtScXt9FsIvW,https://api.spotify.com/v1/audio-analysis/63wifNkHSnAtScXt9FsIvW,323587,4
口づけからはじめて,0.45,0.264,7,-9.867,1,0.0294,0.774,7.5e-05,0.239,0.146,129.806,audio_features,36hdDtSgxX9hy1FGiX0ZNO,spotify:track:36hdDtSgxX9hy1FGiX0ZNO,https://api.spotify.com/v1/tracks/36hdDtSgxX9hy1FGiX0ZNO,https://api.spotify.com/v1/audio-analysis/36hdDtSgxX9hy1FGiX0ZNO,394413,4
MY LOVE(2021 REMASTER),0.16,0.112,0,-16.958,1,0.0339,0.771,0.000625,0.133,0.165,101.263,audio_features,5E9Cj90Qa1hXni3fVpVhqH,spotify:track:5E9Cj90Qa1hXni3fVpVhqH,https://api.spotify.com/v1/tracks/5E9Cj90Qa1hXni3fVpVhqH,https://api.spotify.com/v1/audio-analysis/5E9Cj90Qa1hXni3fVpVhqH,66891,4
小さな証,0.504,0.435,0,-8.653,1,0.0257,0.511,7.41e-06,0.135,0.137,76.03,audio_features,1stbUy8YvLmVT1EYoE4S6S,spotify:track:1stbUy8YvLmVT1EYoE4S6S,https://api.spotify.com/v1/tracks/1stbUy8YvLmVT1EYoE4S6S,https://api.spotify.com/v1/audio-analysis/1stbUy8YvLmVT1EYoE4S6S,297093,4
WOMAN IN LOVE(Watashi wa onna)(2021 REMASTER),0.428,0.498,0,-5.464,0,0.031,0.173,8.55e-06,0.132,0.319,182.4,audio_features,4R2kVavVl5oWtH4HCeL9k1,spotify:track:4R2kVavVl5oWtH4HCeL9k1,https://api.spotify.com/v1/tracks/4R2kVavVl5oWtH4HCeL9k1,https://api.spotify.com/v1/audio-analysis/4R2kVavVl5oWtH4HCeL9k1,237067,4
AS TIME GOES BY(2021 REMASTER),0.45,0.444,10,-7.194,1,0.0267,0.138,0.00517,0.335,0.238,135.836,audio_features,0MBxnqWX5suuoXWBvmZbqJ,spotify:track:0MBxnqWX5suuoXWBvmZbqJ,https://api.spotify.com/v1/tracks/0MBxnqWX5suuoXWBvmZbqJ,https://api.spotify.com/v1/audio-analysis/0MBxnqWX5suuoXWBvmZbqJ,285133,4
Akogare no Vaudevillian,0.466,0.695,9,-7.26,1,0.159,0.24,0,0.0528,0.916,191.254,audio_features,4tkz3japWw94m8JMBTED60,spotify:track:4tkz3japWw94m8JMBTED60,https://api.spotify.com/v1/tracks/4tkz3japWw94m8JMBTED60,https://api.spotify.com/v1/audio-analysis/4tkz3japWw94m8JMBTED60,191333,4
Sometime Somewhere〜いつかどこかで〜,0.66,0.587,0,-9.637,1,0.033,0.339,9.89e-05,0.122,0.575,139.903,audio_features,3ado3H4aagqgXl97KUh8PT,spotify:track:3ado3H4aagqgXl97KUh8PT,https://api.spotify.com/v1/tracks/3ado3H4aagqgXl97KUh8PT,https://api.spotify.com/v1/audio-analysis/3ado3H4aagqgXl97KUh8PT,223640,4
Kurashi no 1 page,0.443,0.297,7,-13.078,0,0.0298,0.443,2.92e-06,0.565,0.179,98.377,audio_features,1T7zsqC2A7JfjbL92Xd1aN,spotify:track:1T7zsqC2A7JfjbL92Xd1aN,https://api.spotify.com/v1/tracks/1T7zsqC2A7JfjbL92Xd1aN,https://api.spotify.com/v1/audio-analysis/1T7zsqC2A7JfjbL92Xd1aN,274800,4
MEDITATION(2021 REMASTER),0.153,0.325,2,-11.88,1,0.0379,0.399,0.862,0.0573,0.0649,135.353,audio_features,0ZJu3ERv8lUt80N7LUMdup,spotify:track:0ZJu3ERv8lUt80N7LUMdup,https://api.spotify.com/v1/tracks/0ZJu3ERv8lUt80N7LUMdup,https://api.spotify.com/v1/audio-analysis/0ZJu3ERv8lUt80N7LUMdup,106933,3
艶歌,0.517,0.339,8,-8.138,1,0.0275,0.848,0.000765,0.132,0.0944,137.971,audio_features,57pTmnLPKIlwwv0WLq0GRj,spotify:track:57pTmnLPKIlwwv0WLq0GRj,https://api.spotify.com/v1/tracks/57pTmnLPKIlwwv0WLq0GRj,https://api.spotify.com/v1/audio-analysis/57pTmnLPKIlwwv0WLq0GRj,331707,4
Utakata(2021 REMASTER),0.557,0.395,2,-9.192,0,0.0264,0.667,2.51e-06,0.0921,0.353,77.745,audio_features,4Bb956veskK7GERHzls4RC,spotify:track:4Bb956veskK7GERHzls4RC,https://api.spotify.com/v1/tracks/4Bb956veskK7GERHzls4RC,https://api.spotify.com/v1/audio-analysis/4Bb956veskK7GERHzls4RC,255067,4
ai wa message(2021 REMASTER),0.483,0.665,2,-6.602,0,0.0349,0.607,0,0.0846,0.434,141.414,audio_features,6kFrMA6ByaImMNG4NpEc58,spotify:track:6kFrMA6ByaImMNG4NpEc58,https://api.spotify.com/v1/tracks/6kFrMA6ByaImMNG4NpEc58,https://api.spotify.com/v1/audio-analysis/6kFrMA6ByaImMNG4NpEc58,273067,4
ついていくよ,0.516,0.796,0,-6.932,1,0.0351,0.0581,0,0.0731,0.62,153.937,audio_features,2m2yPiCeiddD8TYWlMH8Cw,spotify:track:2m2yPiCeiddD8TYWlMH8Cw,https://api.spotify.com/v1/tracks/2m2yPiCeiddD8TYWlMH8Cw,https://api.spotify.com/v1/audio-analysis/2m2yPiCeiddD8TYWlMH8Cw,255173,4
MORE(2021 REMASTER),0.669,0.394,4,-11.101,0,0.0299,0.737,0.00226,0.255,0.486,124.297,audio_features,7puM44XA7oXdVQzeAmZwjr,spotify:track:7puM44XA7oXdVQzeAmZwjr,https://api.spotify.com/v1/tracks/7puM44XA7oXdVQzeAmZwjr,https://api.spotify.com/v1/audio-analysis/7puM44XA7oXdVQzeAmZwjr,265800,4
足跡,0.467,0.44,10,-7.926,1,0.0287,0.521,0.0061,0.106,0.215,143.958,audio_features,7y1jdTsqWwxwo9UcYMw3fA,spotify:track:7y1jdTsqWwxwo9UcYMw3fA,https://api.spotify.com/v1/tracks/7y1jdTsqWwxwo9UcYMw3fA,https://api.spotify.com/v1/audio-analysis/7y1jdTsqWwxwo9UcYMw3fA,344387,4
恋に落ちた夜,0.533,0.727,0,-6.774,1,0.0414,0.551,4.67e-06,0.144,0.495,155.946,audio_features,6erqtPCnaqo7i9O6ZuKZTS,spotify:track:6erqtPCnaqo7i9O6ZuKZTS,https://api.spotify.com/v1/tracks/6erqtPCnaqo7i9O6ZuKZTS,https://api.spotify.com/v1/audio-analysis/6erqtPCnaqo7i9O6ZuKZTS,309600,4
飛べない孔雀,0.647,0.802,5,-6.287,1,0.0336,0.00632,3.8e-06,0.09,0.684,117.003,audio_features,4bOqIcigXk1ivhamwOXqNS,spotify:track:4bOqIcigXk1ivhamwOXqNS,https://api.spotify.com/v1/tracks/4bOqIcigXk1ivhamwOXqNS,https://api.spotify.com/v1/audio-analysis/4bOqIcigXk1ivhamwOXqNS,281827,4
Rock'n Roll wo utawasete,0.614,0.749,0,-8.408,0,0.0686,0.0172,0.0105,0.0635,0.525,153.687,audio_features,65JE3YGgyUkb2jTvYd4wlS,spotify:track:65JE3YGgyUkb2jTvYd4wlS,https://api.spotify.com/v1/tracks/65JE3YGgyUkb2jTvYd4wlS,https://api.spotify.com/v1/audio-analysis/65JE3YGgyUkb2jTvYd4wlS,232365,4
Tsubuyaki(2021 REMASTER),0.46,0.266,0,-11.677,1,0.0273,0.134,0.023,0.138,0.0661,87.215,audio_features,5kCfxyOcBhWObP3fzXFCgu,spotify:track:5kCfxyOcBhWObP3fzXFCgu,https://api.spotify.com/v1/tracks/5kCfxyOcBhWObP3fzXFCgu,https://api.spotify.com/v1/audio-analysis/5kCfxyOcBhWObP3fzXFCgu,327333,3
心を揺らす人,0.492,0.141,7,-11.953,1,0.0315,0.956,0.00134,0.105,0.131,127.808,audio_features,2WOfZs9Cu7grvm7U8IDsgN,spotify:track:2WOfZs9Cu7grvm7U8IDsgN,https://api.spotify.com/v1/tracks/2WOfZs9Cu7grvm7U8IDsgN,https://api.spotify.com/v1/audio-analysis/2WOfZs9Cu7grvm7U8IDsgN,290587,4
Run,0.528,0.406,0,-7.79,1,0.0256,0.221,2.5e-05,0.192,0.448,109.514,audio_features,6c7gE5ZkChfPch3tHByjPu,spotify:track:6c7gE5ZkChfPch3tHByjPu,https://api.spotify.com/v1/tracks/6c7gE5ZkChfPch3tHByjPu,https://api.spotify.com/v1/audio-analysis/6c7gE5ZkChfPch3tHByjPu,297293,3
Kokoro no tobira hiraite,0.43,0.264,5,-11.241,1,0.0317,0.793,0,0.147,0.395,141.673,audio_features,1kxSVb3RyXv9FPnoRhSGMp,spotify:track:1kxSVb3RyXv9FPnoRhSGMp,https://api.spotify.com/v1/tracks/1kxSVb3RyXv9FPnoRhSGMp,https://api.spotify.com/v1/audio-analysis/1kxSVb3RyXv9FPnoRhSGMp,236333,4
どうぞこのまま,0.66,0.446,11,-11.169,0,0.0342,0.865,2.14e-05,0.34,0.35,120.028,audio_features,2ez9RI873UhId6kU5JChzj,spotify:track:2ez9RI873UhId6kU5JChzj,https://api.spotify.com/v1/tracks/2ez9RI873UhId6kU5JChzj,https://api.spotify.com/v1/audio-analysis/2ez9RI873UhId6kU5JChzj,291173,4
Yunagi(2021 REMASTER),0.68,0.739,4,-6.135,0,0.0286,0.426,3.38e-05,0.242,0.753,96.034,audio_features,1yu2oJCzNY2idfPjPD5OCP,spotify:track:1yu2oJCzNY2idfPjPD5OCP,https://api.spotify.com/v1/tracks/1yu2oJCzNY2idfPjPD5OCP,https://api.spotify.com/v1/audio-analysis/1yu2oJCzNY2idfPjPD5OCP,206933,4
You're the one,0.591,0.488,0,-7.991,1,0.0276,0.653,0,0.099,0.623,165.912,audio_features,7E7uQs0KzKLHFlVrt2C9Td,spotify:track:7E7uQs0KzKLHFlVrt2C9Td,https://api.spotify.com/v1/tracks/7E7uQs0KzKLHFlVrt2C9Td,https://api.spotify.com/v1/audio-analysis/7E7uQs0KzKLHFlVrt2C9Td,264347,4
