name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
BLACK SUN,0.293,0.438,2,-9.298,1,0.0313,0.00072,0.865,0.116,0.0501,79.991,audio_features,2kexAXtFsyesBSzsXHU42d,spotify:track:2kexAXtFsyesBSzsXHU42d,https://api.spotify.com/v1/tracks/2kexAXtFsyesBSzsXHU42d,https://api.spotify.com/v1/audio-analysis/2kexAXtFsyesBSzsXHU42d,235987,4
SHADOWMOON,0.548,0.609,1,-10.103,0,0.0311,0.00264,0.926,0.222,0.373,106.028,audio_features,0SEvuzB5oa1SbV57uXTxx6,spotify:track:0SEvuzB5oa1SbV57uXTxx6,https://api.spotify.com/v1/tracks/0SEvuzB5oa1SbV57uXTxx6,https://api.spotify.com/v1/audio-analysis/0SEvuzB5oa1SbV57uXTxx6,91013,4
CHILDFOOD,0.411,0.0192,0,-20.127,1,0.0677,0.985,0.893,0.111,0.25,135.656,audio_features,4gTVQVfgwAMWMZdg7nT2Ct,spotify:track:4gTVQVfgwAMWMZdg7nT2Ct,https://api.spotify.com/v1/tracks/4gTVQVfgwAMWMZdg7nT2Ct,https://api.spotify.com/v1/audio-analysis/4gTVQVfgwAMWMZdg7nT2Ct,135240,4
MAIN THEME,0.0978,0.96,2,-3.946,1,0.0662,0.00232,0.738,0.0935,0.21,175.27,audio_features,4DuOYe8oueTrEW6klsm5sl,spotify:track:4DuOYe8oueTrEW6klsm5sl,https://api.spotify.com/v1/tracks/4DuOYe8oueTrEW6klsm5sl,https://api.spotify.com/v1/audio-analysis/4DuOYe8oueTrEW6klsm5sl,50773,4
I do.,0.585,0.0605,9,-21.065,0,0.0465,0.993,0.912,0.105,0.199,139.907,audio_features,1NDoFh7uxMRJBe44hswVnY,spotify:track:1NDoFh7uxMRJBe44hswVnY,https://api.spotify.com/v1/tracks/1NDoFh7uxMRJBe44hswVnY,https://api.spotify.com/v1/audio-analysis/1NDoFh7uxMRJBe44hswVnY,74427,4
MAIN THEME - LONG ver.,0.12,0.703,2,-7.699,1,0.0511,5.67e-05,0.703,0.279,0.144,80.002,audio_features,0R81UXn13By9Vb3DXsmLDD,spotify:track:0R81UXn13By9Vb3DXsmLDD,https://api.spotify.com/v1/tracks/0R81UXn13By9Vb3DXsmLDD,https://api.spotify.com/v1/audio-analysis/0R81UXn13By9Vb3DXsmLDD,244827,4
KOTARO,0.155,0.316,9,-11.232,1,0.0366,0.969,0.842,0.0772,0.161,86.801,audio_features,2PchQGtk4W5wX2mlcZ9tly,spotify:track:2PchQGtk4W5wX2mlcZ9tly,https://api.spotify.com/v1/tracks/2PchQGtk4W5wX2mlcZ9tly,https://api.spotify.com/v1/audio-analysis/2PchQGtk4W5wX2mlcZ9tly,92000,4
Night of the eclipse,0.131,0.102,9,-11.885,1,0.0394,0.248,0.955,0.0931,0.0379,83.534,audio_features,0LGh3Nr0uB2424FR3xxr4o,spotify:track:0LGh3Nr0uB2424FR3xxr4o,https://api.spotify.com/v1/tracks/0LGh3Nr0uB2424FR3xxr4o,https://api.spotify.com/v1/audio-analysis/0LGh3Nr0uB2424FR3xxr4o,166707,4
SADNESS,0.656,0.0102,9,-23.627,0,0.351,0.982,0.785,0.0599,0.757,112.852,audio_features,2YQOI4r2W2CzOraz8592Hb,spotify:track:2YQOI4r2W2CzOraz8592Hb,https://api.spotify.com/v1/tracks/2YQOI4r2W2CzOraz8592Hb,https://api.spotify.com/v1/audio-analysis/2YQOI4r2W2CzOraz8592Hb,148747,4
The world you want,0.552,0.446,5,-16.637,0,0.0341,0.85,0.855,0.171,0.431,120.035,audio_features,6MP1OiG5Bxhym0YegDPb5z,spotify:track:6MP1OiG5Bxhym0YegDPb5z,https://api.spotify.com/v1/tracks/6MP1OiG5Bxhym0YegDPb5z,https://api.spotify.com/v1/audio-analysis/6MP1OiG5Bxhym0YegDPb5z,93240,4
