name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
MUSIC WONDER,0.576,0.807,5,-4.233,1,0.0416,0.27,0,0.205,0.897,93.967,audio_features,1dlSxPEk595euaxQepkfKh,spotify:track:1dlSxPEk595euaxQepkfKh,https://api.spotify.com/v1/tracks/1dlSxPEk595euaxQepkfKh,https://api.spotify.com/v1/audio-analysis/1dlSxPEk595euaxQepkfKh,236188,4
Way You Are,0.725,0.709,2,-4.7,1,0.0805,0.0352,0,0.198,0.82,124.019,audio_features,0u3DxCcgqcdarMlzQZ4uWL,spotify:track:0u3DxCcgqcdarMlzQZ4uWL,https://api.spotify.com/v1/tracks/0u3DxCcgqcdarMlzQZ4uWL,https://api.spotify.com/v1/audio-analysis/0u3DxCcgqcdarMlzQZ4uWL,223800,4
Tsuyogari,0.575,0.536,5,-6.209,1,0.0286,0.0614,0,0.109,0.252,74.97,audio_features,1OxMBxsEQInWVhgheHlrJV,spotify:track:1OxMBxsEQInWVhgheHlrJV,https://api.spotify.com/v1/tracks/1OxMBxsEQInWVhgheHlrJV,https://api.spotify.com/v1/audio-analysis/1OxMBxsEQInWVhgheHlrJV,292083,4
KISS,0.616,0.785,7,-4.782,1,0.0371,0.0142,4.75e-05,0.338,0.559,102.025,audio_features,4VtnNPRMINJbC3EGpHGGlP,spotify:track:4VtnNPRMINJbC3EGpHGGlP,https://api.spotify.com/v1/tracks/4VtnNPRMINJbC3EGpHGGlP,https://api.spotify.com/v1/audio-analysis/4VtnNPRMINJbC3EGpHGGlP,299000,4
Taion,0.561,0.497,3,-6.113,1,0.0261,0.541,0,0.117,0.253,157.871,audio_features,7Bo3MSSMoRAi860q9HJMea,spotify:track:7Bo3MSSMoRAi860q9HJMea,https://api.spotify.com/v1/tracks/7Bo3MSSMoRAi860q9HJMea,https://api.spotify.com/v1/audio-analysis/7Bo3MSSMoRAi860q9HJMea,297937,4
Anata,0.616,0.58,1,-4.383,1,0.0294,0.436,0,0.1,0.344,137.917,audio_features,3cQU3FjJysOI59zm0zvbxY,spotify:track:3cQU3FjJysOI59zm0zvbxY,https://api.spotify.com/v1/tracks/3cQU3FjJysOI59zm0zvbxY,https://api.spotify.com/v1/audio-analysis/3cQU3FjJysOI59zm0zvbxY,285918,4
Tsuyogari,0.468,0.524,5,-6.524,1,0.0363,0.0484,0,0.107,0.259,74.864,audio_features,2MhxqOX1JYVSKjHlUbnOf7,spotify:track:2MhxqOX1JYVSKjHlUbnOf7,https://api.spotify.com/v1/tracks/2MhxqOX1JYVSKjHlUbnOf7,https://api.spotify.com/v1/audio-analysis/2MhxqOX1JYVSKjHlUbnOf7,292133,4
Only you,0.797,0.567,9,-5.743,1,0.035,0.357,0,0.33,0.783,93.047,audio_features,6IgboNCYODYimP0JADe47O,spotify:track:6IgboNCYODYimP0JADe47O,https://api.spotify.com/v1/tracks/6IgboNCYODYimP0JADe47O,https://api.spotify.com/v1/audio-analysis/6IgboNCYODYimP0JADe47O,243600,4
FLY&FLOW,0.432,0.878,7,-2.956,1,0.0413,0.00969,1.39e-06,0.299,0.779,204.041,audio_features,4r5MuLligiibdsuwKmjgQo,spotify:track:4r5MuLligiibdsuwKmjgQo,https://api.spotify.com/v1/tracks/4r5MuLligiibdsuwKmjgQo,https://api.spotify.com/v1/audio-analysis/4r5MuLligiibdsuwKmjgQo,258467,4
STEP!,0.783,0.666,6,-8.098,0,0.0392,0.00938,2.79e-05,0.326,0.816,117.001,audio_features,1rVUhdJ521KHs4Cb0mHFIX,spotify:track:1rVUhdJ521KHs4Cb0mHFIX,https://api.spotify.com/v1/tracks/1rVUhdJ521KHs4Cb0mHFIX,https://api.spotify.com/v1/audio-analysis/1rVUhdJ521KHs4Cb0mHFIX,238333,4
