name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Gta Anthem,0.781,0.507,8,-7.718,1,0.367,0.0237,0,0.495,0.365,155.077,audio_features,6jhnt04xZNZkflqvarh5mz,spotify:track:6jhnt04xZNZkflqvarh5mz,https://api.spotify.com/v1/tracks/6jhnt04xZNZkflqvarh5mz,https://api.spotify.com/v1/audio-analysis/6jhnt04xZNZkflqvarh5mz,168713,4
No Idea,0.843,0.269,4,-15.445,0,0.323,0.273,0,0.0923,0.853,144.027,audio_features,5xuLKivaaSE8CfmBsfiLhI,spotify:track:5xuLKivaaSE8CfmBsfiLhI,https://api.spotify.com/v1/tracks/5xuLKivaaSE8CfmBsfiLhI,https://api.spotify.com/v1/audio-analysis/5xuLKivaaSE8CfmBsfiLhI,146657,3
結ぼれ,0.399,0.52,7,-6.418,1,0.0617,0.247,0,0.0497,0.312,161.498,audio_features,30OUM8Qv8nbQSH2LtfaGyb,spotify:track:30OUM8Qv8nbQSH2LtfaGyb,https://api.spotify.com/v1/tracks/30OUM8Qv8nbQSH2LtfaGyb,https://api.spotify.com/v1/audio-analysis/30OUM8Qv8nbQSH2LtfaGyb,418733,4
Off The Planet,0.764,0.524,10,-10.433,0,0.295,0.026,0.000216,0.106,0.377,151.03,audio_features,6eQur9ccPI6a4uDWOHo7A6,spotify:track:6eQur9ccPI6a4uDWOHo7A6,https://api.spotify.com/v1/tracks/6eQur9ccPI6a4uDWOHo7A6,https://api.spotify.com/v1/audio-analysis/6eQur9ccPI6a4uDWOHo7A6,185154,4
人は歌をうたいます,0.687,0.684,6,-6.386,1,0.0365,0.187,0,0.166,0.694,94.968,audio_features,1oANZLMQMnABLgiO9JJCu7,spotify:track:1oANZLMQMnABLgiO9JJCu7,https://api.spotify.com/v1/tracks/1oANZLMQMnABLgiO9JJCu7,https://api.spotify.com/v1/audio-analysis/1oANZLMQMnABLgiO9JJCu7,270067,4
ありったけの愛,0.57,0.654,7,-5.667,1,0.0274,0.406,0,0.248,0.578,92.049,audio_features,0EH4o5fyDFQl4Rg3RXuO5n,spotify:track:0EH4o5fyDFQl4Rg3RXuO5n,https://api.spotify.com/v1/tracks/0EH4o5fyDFQl4Rg3RXuO5n,https://api.spotify.com/v1/audio-analysis/0EH4o5fyDFQl4Rg3RXuO5n,230404,4
魔法飛行,0.639,0.479,9,-8.653,1,0.0308,0.461,6.61e-05,0.0817,0.701,128.188,audio_features,0UxK2XQKuuG4j1SCPv1We6,spotify:track:0UxK2XQKuuG4j1SCPv1We6,https://api.spotify.com/v1/tracks/0UxK2XQKuuG4j1SCPv1We6,https://api.spotify.com/v1/audio-analysis/0UxK2XQKuuG4j1SCPv1We6,272910,4
悲しみを撃つ手,0.466,0.305,1,-9.613,1,0.0476,0.63,0,0.0827,0.237,151.546,audio_features,4tRQPb3xmMDvv20GsyjMJ0,spotify:track:4tRQPb3xmMDvv20GsyjMJ0,https://api.spotify.com/v1/tracks/4tRQPb3xmMDvv20GsyjMJ0,https://api.spotify.com/v1/audio-analysis/4tRQPb3xmMDvv20GsyjMJ0,244474,4
瞳ヴァイブレイション,0.767,0.922,8,-4.881,1,0.03,0.00807,0.00011,0.112,0.938,132.061,audio_features,1WmKyiJqxrvnbBJKv8QxMS,spotify:track:1WmKyiJqxrvnbBJKv8QxMS,https://api.spotify.com/v1/tracks/1WmKyiJqxrvnbBJKv8QxMS,https://api.spotify.com/v1/audio-analysis/1WmKyiJqxrvnbBJKv8QxMS,290181,4
世界なんか私とあなたでやめればいい,0.53,0.162,11,-11.039,1,0.0323,0.926,1.08e-05,0.145,0.303,75.852,audio_features,789gx230Ft15NMBoT9VQtX,spotify:track:789gx230Ft15NMBoT9VQtX,https://api.spotify.com/v1/tracks/789gx230Ft15NMBoT9VQtX,https://api.spotify.com/v1/audio-analysis/789gx230Ft15NMBoT9VQtX,241312,4
