name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
夢一夜,0.305,0.361,7,-9.201,0,0.032,0.732,0,0.0858,0.273,154.068,audio_features,5laooGcY5SocbZmDmAUaXv,spotify:track:5laooGcY5SocbZmDmAUaXv,https://api.spotify.com/v1/tracks/5laooGcY5SocbZmDmAUaXv,https://api.spotify.com/v1/audio-analysis/5laooGcY5SocbZmDmAUaXv,258383,4
なごり雪,0.365,0.404,5,-10.871,1,0.0384,0.659,0,0.411,0.276,133.737,audio_features,5czp0ElgUfEeMVegpsDae6,spotify:track:5czp0ElgUfEeMVegpsDae6,https://api.spotify.com/v1/tracks/5czp0ElgUfEeMVegpsDae6,https://api.spotify.com/v1/audio-analysis/5czp0ElgUfEeMVegpsDae6,234000,4
夢一夜 (リメイク),0.264,0.339,7,-8.479,0,0.0288,0.501,1.63e-05,0.196,0.248,155.081,audio_features,2JVvyHxtkribquPwBXdNmm,spotify:track:2JVvyHxtkribquPwBXdNmm,https://api.spotify.com/v1/tracks/2JVvyHxtkribquPwBXdNmm,https://api.spotify.com/v1/audio-analysis/2JVvyHxtkribquPwBXdNmm,260627,4
夏の少女 (シングルバージョン),0.704,0.731,7,-5.625,1,0.0296,0.294,1.66e-06,0.081,0.833,120.301,audio_features,0KPPUGRPHeUTJkcaOXmZPt,spotify:track:0KPPUGRPHeUTJkcaOXmZPt,https://api.spotify.com/v1/tracks/0KPPUGRPHeUTJkcaOXmZPt,https://api.spotify.com/v1/audio-analysis/0KPPUGRPHeUTJkcaOXmZPt,224051,4
プライベート・ソングⅡ,0.376,0.379,11,-9.976,1,0.0302,0.129,0.000414,0.287,0.306,104.854,audio_features,0duMUIxW9xXH39xxlLxjgE,spotify:track:0duMUIxW9xXH39xxlLxjgE,https://api.spotify.com/v1/tracks/0duMUIxW9xXH39xxlLxjgE,https://api.spotify.com/v1/audio-analysis/0duMUIxW9xXH39xxlLxjgE,323220,4
国境の風,0.494,0.483,7,-9.089,1,0.0246,0.364,0.0228,0.133,0.31,96.058,audio_features,51z6avS2puTWv2a4QZUpFN,spotify:track:51z6avS2puTWv2a4QZUpFN,https://api.spotify.com/v1/tracks/51z6avS2puTWv2a4QZUpFN,https://api.spotify.com/v1/audio-analysis/51z6avS2puTWv2a4QZUpFN,287520,4
夢一夜,0.3,0.348,7,-9.011,0,0.0313,0.719,0,0.103,0.26,154.376,audio_features,7BW8IktKIEDlizh7wNtZMT,spotify:track:7BW8IktKIEDlizh7wNtZMT,https://api.spotify.com/v1/tracks/7BW8IktKIEDlizh7wNtZMT,https://api.spotify.com/v1/audio-analysis/7BW8IktKIEDlizh7wNtZMT,258320,4
おかえりの唄,0.679,0.511,5,-9.702,1,0.0243,0.506,2.91e-05,0.266,0.904,94.988,audio_features,20Wxybcuor1LkUymvsvpHF,spotify:track:20Wxybcuor1LkUymvsvpHF,https://api.spotify.com/v1/tracks/20Wxybcuor1LkUymvsvpHF,https://api.spotify.com/v1/audio-analysis/20Wxybcuor1LkUymvsvpHF,216787,4
時は流れて風が吹く,0.407,0.413,7,-10.317,1,0.0405,0.591,1.42e-05,0.139,0.369,109.667,audio_features,2LtLBJDYdEHHjCPQKamrbZ,spotify:track:2LtLBJDYdEHHjCPQKamrbZ,https://api.spotify.com/v1/tracks/2LtLBJDYdEHHjCPQKamrbZ,https://api.spotify.com/v1/audio-analysis/2LtLBJDYdEHHjCPQKamrbZ,309718,3
恋 はるか,0.457,0.159,9,-13.505,1,0.0325,0.944,0.103,0.129,0.179,79.206,audio_features,43UcAtR2SqQhpwjJccAoy5,spotify:track:43UcAtR2SqQhpwjJccAoy5,https://api.spotify.com/v1/tracks/43UcAtR2SqQhpwjJccAoy5,https://api.spotify.com/v1/audio-analysis/43UcAtR2SqQhpwjJccAoy5,343347,4
幸せになろう,0.493,0.466,9,-9.72,1,0.0275,0.46,0.0119,0.21,0.43,80.018,audio_features,0qWsd88nQHf3DGBpy4JpEQ,spotify:track:0qWsd88nQHf3DGBpy4JpEQ,https://api.spotify.com/v1/tracks/0qWsd88nQHf3DGBpy4JpEQ,https://api.spotify.com/v1/audio-analysis/0qWsd88nQHf3DGBpy4JpEQ,264200,4
