name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
午前4時10分前,0.419,0.806,4,-6.516,1,0.0467,0.0471,0.00191,0.17,0.715,100.118,audio_features,1W13f9kF0vFUPMhQq9o2SW,spotify:track:1W13f9kF0vFUPMhQq9o2SW,https://api.spotify.com/v1/tracks/1W13f9kF0vFUPMhQq9o2SW,https://api.spotify.com/v1/audio-analysis/1W13f9kF0vFUPMhQq9o2SW,353934,4
家へ帰ろう,0.448,0.409,7,-9.987,1,0.0303,0.317,2.22e-06,0.262,0.327,105.406,audio_features,2k7usLkcbSiSDZc7yMhCkx,spotify:track:2k7usLkcbSiSDZc7yMhCkx,https://api.spotify.com/v1/tracks/2k7usLkcbSiSDZc7yMhCkx,https://api.spotify.com/v1/audio-analysis/2k7usLkcbSiSDZc7yMhCkx,366121,4
いやな長雨,0.538,0.0646,2,-20.923,1,0.0363,0.883,0.267,0.0699,0.0965,110.933,audio_features,00bY19MK5Dv0ztiPycPdhR,spotify:track:00bY19MK5Dv0ztiPycPdhR,https://api.spotify.com/v1/tracks/00bY19MK5Dv0ztiPycPdhR,https://api.spotify.com/v1/audio-analysis/00bY19MK5Dv0ztiPycPdhR,227802,4
ブギ,0.672,0.458,9,-9.994,1,0.0564,0.548,0,0.129,0.862,132.67,audio_features,0FzuhbpI3rsvniq3mHOLaE,spotify:track:0FzuhbpI3rsvniq3mHOLaE,https://api.spotify.com/v1/tracks/0FzuhbpI3rsvniq3mHOLaE,https://api.spotify.com/v1/audio-analysis/0FzuhbpI3rsvniq3mHOLaE,130254,4
LAZY BLUE,0.569,0.0451,9,-21.381,1,0.0373,0.92,0.0104,0.0841,0.213,101.44,audio_features,57JXmi362IK6uecnfh530n,spotify:track:57JXmi362IK6uecnfh530n,https://api.spotify.com/v1/tracks/57JXmi362IK6uecnfh530n,https://api.spotify.com/v1/audio-analysis/57JXmi362IK6uecnfh530n,256441,4
紫陽花,0.445,0.423,7,-10.272,1,0.036,0.364,0,0.129,0.34,119.385,audio_features,5UKZU1cRqid61c38WPYUt5,spotify:track:5UKZU1cRqid61c38WPYUt5,https://api.spotify.com/v1/tracks/5UKZU1cRqid61c38WPYUt5,https://api.spotify.com/v1/audio-analysis/5UKZU1cRqid61c38WPYUt5,425974,4
A WEEK,0.565,0.682,9,-8.813,1,0.0789,0.217,0.655,0.152,0.953,141.611,audio_features,4O63Am6H7cu2idWZoKkGD9,spotify:track:4O63Am6H7cu2idWZoKkGD9,https://api.spotify.com/v1/tracks/4O63Am6H7cu2idWZoKkGD9,https://api.spotify.com/v1/audio-analysis/4O63Am6H7cu2idWZoKkGD9,504681,4
五月の雨,0.616,0.4,0,-11.667,1,0.0274,0.564,0,0.263,0.57,128.444,audio_features,4Cijiw7wNNZZJjtyv5jqck,spotify:track:4Cijiw7wNNZZJjtyv5jqck,https://api.spotify.com/v1/tracks/4Cijiw7wNNZZJjtyv5jqck,https://api.spotify.com/v1/audio-analysis/4Cijiw7wNNZZJjtyv5jqck,185734,4
愛のふきだまり,0.606,0.511,9,-9.931,0,0.033,0.0262,0.00301,0.141,0.405,85.713,audio_features,03ziBHezaU32F5k0xMqzXN,spotify:track:03ziBHezaU32F5k0xMqzXN,https://api.spotify.com/v1/tracks/03ziBHezaU32F5k0xMqzXN,https://api.spotify.com/v1/audio-analysis/03ziBHezaU32F5k0xMqzXN,241948,4
It Can't Be Over,0.386,0.566,9,-7.073,1,0.0282,0.181,0,0.0689,0.258,127.704,audio_features,5vJQaZl1qepSPOQo6QuCif,spotify:track:5vJQaZl1qepSPOQo6QuCif,https://api.spotify.com/v1/tracks/5vJQaZl1qepSPOQo6QuCif,https://api.spotify.com/v1/audio-analysis/5vJQaZl1qepSPOQo6QuCif,423520,4
青春の三叉路,0.506,0.696,7,-7.271,1,0.0677,0.178,0,0.0637,0.426,136.869,audio_features,4PqJeFT1I5ioYxg2tR16Jc,spotify:track:4PqJeFT1I5ioYxg2tR16Jc,https://api.spotify.com/v1/tracks/4PqJeFT1I5ioYxg2tR16Jc,https://api.spotify.com/v1/audio-analysis/4PqJeFT1I5ioYxg2tR16Jc,348160,4
Baby Where Are You?!,0.479,0.594,7,-6.409,1,0.0273,0.225,0.000169,0.683,0.462,77.433,audio_features,1Sd5Jw8jtZiQay05xJApti,spotify:track:1Sd5Jw8jtZiQay05xJApti,https://api.spotify.com/v1/tracks/1Sd5Jw8jtZiQay05xJApti,https://api.spotify.com/v1/audio-analysis/1Sd5Jw8jtZiQay05xJApti,291107,4
RIVER,0.446,0.939,9,-5.084,1,0.104,0.0967,3.82e-05,0.191,0.772,168.452,audio_features,5nd2DISbYG4SWrG3YUXcoC,spotify:track:5nd2DISbYG4SWrG3YUXcoC,https://api.spotify.com/v1/tracks/5nd2DISbYG4SWrG3YUXcoC,https://api.spotify.com/v1/audio-analysis/5nd2DISbYG4SWrG3YUXcoC,357853,4
Lady Let Me Go,0.475,0.853,0,-5.255,1,0.0349,0.0193,2.13e-05,0.0581,0.833,139.454,audio_features,6gxnfYGFua8goPahAASBNk,spotify:track:6gxnfYGFua8goPahAASBNk,https://api.spotify.com/v1/tracks/6gxnfYGFua8goPahAASBNk,https://api.spotify.com/v1/audio-analysis/6gxnfYGFua8goPahAASBNk,313640,4
裸の心,0.517,0.944,7,-4.767,1,0.0629,0.123,0,0.242,0.641,131.865,audio_features,3e5hFhahIFOiWbyMwFX2kK,spotify:track:3e5hFhahIFOiWbyMwFX2kK,https://api.spotify.com/v1/tracks/3e5hFhahIFOiWbyMwFX2kK,https://api.spotify.com/v1/audio-analysis/3e5hFhahIFOiWbyMwFX2kK,306827,4
