name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
道程,0.514,0.571,3,-9.794,1,0.0277,0.454,0.00497,0.0944,0.48,118.614,audio_features,3RvMiuVBAOWaKRiZXQHkYr,spotify:track:3RvMiuVBAOWaKRiZXQHkYr,https://api.spotify.com/v1/tracks/3RvMiuVBAOWaKRiZXQHkYr,https://api.spotify.com/v1/audio-analysis/3RvMiuVBAOWaKRiZXQHkYr,202836,3
通り雨,0.672,0.325,4,-13.592,1,0.0292,0.469,0.421,0.101,0.239,112.756,audio_features,1W2wVffVGfg8MMuiFtuzPJ,spotify:track:1W2wVffVGfg8MMuiFtuzPJ,https://api.spotify.com/v1/tracks/1W2wVffVGfg8MMuiFtuzPJ,https://api.spotify.com/v1/audio-analysis/1W2wVffVGfg8MMuiFtuzPJ,249569,3
ウイスキーの小瓶,0.542,0.726,5,-9.598,1,0.0384,0.468,0.000492,0.0513,0.673,170.157,audio_features,5euAJA6eGnObxDRQ98y0I7,spotify:track:5euAJA6eGnObxDRQ98y0I7,https://api.spotify.com/v1/tracks/5euAJA6eGnObxDRQ98y0I7,https://api.spotify.com/v1/audio-analysis/5euAJA6eGnObxDRQ98y0I7,200238,4
頂,0.521,0.696,2,-9.521,1,0.0293,0.809,0.386,0.168,0.523,100.09,audio_features,6T2KnTW5MqKyHtmp9zE9rF,spotify:track:6T2KnTW5MqKyHtmp9zE9rF,https://api.spotify.com/v1/tracks/6T2KnTW5MqKyHtmp9zE9rF,https://api.spotify.com/v1/audio-analysis/6T2KnTW5MqKyHtmp9zE9rF,272943,4
花紀行,0.615,0.659,6,-9.419,1,0.0327,0.733,0.000543,0.112,0.597,124.151,audio_features,7G6D7hTxTiip78ALxjckU7,spotify:track:7G6D7hTxTiip78ALxjckU7,https://api.spotify.com/v1/tracks/7G6D7hTxTiip78ALxjckU7,https://api.spotify.com/v1/audio-analysis/7G6D7hTxTiip78ALxjckU7,277609,4
もしもある日俺が,0.497,0.426,10,-11.43,1,0.0255,0.572,0.497,0.378,0.237,87.011,audio_features,5ek8dtIQ4kwXwuAMOi9Ecz,spotify:track:5ek8dtIQ4kwXwuAMOi9Ecz,https://api.spotify.com/v1/tracks/5ek8dtIQ4kwXwuAMOi9Ecz,https://api.spotify.com/v1/audio-analysis/5ek8dtIQ4kwXwuAMOi9Ecz,274836,4
コートにスミレを,0.529,0.494,1,-10.116,0,0.031,0.485,0.142,0.107,0.401,111.839,audio_features,2n4IfACV3IaZkFYB6BrtdJ,spotify:track:2n4IfACV3IaZkFYB6BrtdJ,https://api.spotify.com/v1/tracks/2n4IfACV3IaZkFYB6BrtdJ,https://api.spotify.com/v1/audio-analysis/2n4IfACV3IaZkFYB6BrtdJ,210356,4
向こう岸に行きたい,0.435,0.431,3,-10.879,1,0.0284,0.759,0.0383,0.0973,0.492,105.493,audio_features,6UMXIwESTVFrDf3LINpGGS,spotify:track:6UMXIwESTVFrDf3LINpGGS,https://api.spotify.com/v1/tracks/6UMXIwESTVFrDf3LINpGGS,https://api.spotify.com/v1/audio-analysis/6UMXIwESTVFrDf3LINpGGS,280209,4
途上にて,0.357,0.483,11,-9.266,0,0.0285,0.902,0.0844,0.307,0.3,151.533,audio_features,1EdHU0YmkzlWX9sDFFinxF,spotify:track:1EdHU0YmkzlWX9sDFFinxF,https://api.spotify.com/v1/tracks/1EdHU0YmkzlWX9sDFFinxF,https://api.spotify.com/v1/audio-analysis/1EdHU0YmkzlWX9sDFFinxF,262969,3
さらば追憶,0.412,0.16,9,-14.147,1,0.0293,0.933,0.11,0.121,0.158,78.927,audio_features,1ZM1TPTmN6AswIydxp1CZn,spotify:track:1ZM1TPTmN6AswIydxp1CZn,https://api.spotify.com/v1/tracks/1ZM1TPTmN6AswIydxp1CZn,https://api.spotify.com/v1/audio-analysis/1ZM1TPTmN6AswIydxp1CZn,235116,4
ウイスキー・ドリーム,0.681,0.384,2,-10.538,1,0.0338,0.686,0.0751,0.0945,0.697,96.63,audio_features,6doFvkHZXsOQSQ3lv7WhFM,spotify:track:6doFvkHZXsOQSQ3lv7WhFM,https://api.spotify.com/v1/tracks/6doFvkHZXsOQSQ3lv7WhFM,https://api.spotify.com/v1/audio-analysis/6doFvkHZXsOQSQ3lv7WhFM,189276,4
山遊歌,0.423,0.536,0,-9.122,1,0.0277,0.0401,0.111,0.103,0.1,129.837,audio_features,5G9YB1e0P7BSKOkVrTwNpu,spotify:track:5G9YB1e0P7BSKOkVrTwNpu,https://api.spotify.com/v1/tracks/5G9YB1e0P7BSKOkVrTwNpu,https://api.spotify.com/v1/audio-analysis/5G9YB1e0P7BSKOkVrTwNpu,198543,4
嗚呼あけぼの荘,0.596,0.359,0,-10.789,1,0.136,0.82,2.37e-06,0.122,0.438,156.059,audio_features,4T970SbcCV1kV6HBqJ47Zz,spotify:track:4T970SbcCV1kV6HBqJ47Zz,https://api.spotify.com/v1/tracks/4T970SbcCV1kV6HBqJ47Zz,https://api.spotify.com/v1/audio-analysis/4T970SbcCV1kV6HBqJ47Zz,229809,4
