name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
吸血鬼,0.256,0.213,8,-9.889,1,0.0383,0.813,0.0218,0.313,0.111,150.72,audio_features,1TdSODRxm3aEcjAAtW725G,spotify:track:1TdSODRxm3aEcjAAtW725G,https://api.spotify.com/v1/tracks/1TdSODRxm3aEcjAAtW725G,https://api.spotify.com/v1/audio-analysis/1TdSODRxm3aEcjAAtW725G,190667,4
シリニホカケ,0.803,0.678,0,-10.666,1,0.0826,0.0477,0.959,0.0701,0.519,119.994,audio_features,2UueOK2XCmL5cfT4VQeJuQ,spotify:track:2UueOK2XCmL5cfT4VQeJuQ,https://api.spotify.com/v1/tracks/2UueOK2XCmL5cfT4VQeJuQ,https://api.spotify.com/v1/audio-analysis/2UueOK2XCmL5cfT4VQeJuQ,148500,4
Patricious Vamp,0.6,0.528,2,-9.977,1,0.0286,0.435,0.937,0.08,0.606,159.99,audio_features,17VBARZ4ycnrFNV5i8tpNr,spotify:track:17VBARZ4ycnrFNV5i8tpNr,https://api.spotify.com/v1/tracks/17VBARZ4ycnrFNV5i8tpNr,https://api.spotify.com/v1/audio-analysis/17VBARZ4ycnrFNV5i8tpNr,171000,3
フニオチ,0,0.000938,8,-34.557,1,0,0,0.231,0.0939,0,0,audio_features,41o5H6K73hGJ2aFs9McjqM,spotify:track:41o5H6K73hGJ2aFs9McjqM,https://api.spotify.com/v1/tracks/41o5H6K73hGJ2aFs9McjqM,https://api.spotify.com/v1/audio-analysis/41o5H6K73hGJ2aFs9McjqM,8667,0
Vamp in Their Habitate,0.612,0.574,4,-15.91,0,0.0385,0.448,0.806,0.119,0.493,120.021,audio_features,13ezIeMH2PbqUdN7kd4Oc2,spotify:track:13ezIeMH2PbqUdN7kd4Oc2,https://api.spotify.com/v1/tracks/13ezIeMH2PbqUdN7kd4Oc2,https://api.spotify.com/v1/audio-analysis/13ezIeMH2PbqUdN7kd4Oc2,171170,4
ヒトノコドモ,0.773,0.0136,1,-35.627,1,0.302,0.993,0.928,0.103,0.629,180.058,audio_features,0x2Tby4UOg29lrNVkuHEr0,spotify:track:0x2Tby4UOg29lrNVkuHEr0,https://api.spotify.com/v1/tracks/0x2Tby4UOg29lrNVkuHEr0,https://api.spotify.com/v1/audio-analysis/0x2Tby4UOg29lrNVkuHEr0,86667,1
固い握り,0.616,0.828,2,-6.865,1,0.0554,0.063,0.347,0.103,0.694,119.829,audio_features,2kWBkkcXuvDxvLeb0yeOz2,spotify:track:2kWBkkcXuvDxvLeb0yeOz2,https://api.spotify.com/v1/tracks/2kWBkkcXuvDxvLeb0yeOz2,https://api.spotify.com/v1/audio-analysis/2kWBkkcXuvDxvLeb0yeOz2,268500,1
安全なバー,0.611,0.232,6,-15.126,1,0.407,0.966,1.38e-05,0.0943,0.664,180.011,audio_features,3PuXkIiBjLPtdun6ipyAZA,spotify:track:3PuXkIiBjLPtdun6ipyAZA,https://api.spotify.com/v1/tracks/3PuXkIiBjLPtdun6ipyAZA,https://api.spotify.com/v1/audio-analysis/3PuXkIiBjLPtdun6ipyAZA,264667,5
オニノコドモ,0.623,0.00451,9,-33.162,1,0.304,0.995,0.893,0.0904,0.335,150.593,audio_features,1Djw6z7HOmLiXYaOPamceV,spotify:track:1Djw6z7HOmLiXYaOPamceV,https://api.spotify.com/v1/tracks/1Djw6z7HOmLiXYaOPamceV,https://api.spotify.com/v1/audio-analysis/1Djw6z7HOmLiXYaOPamceV,51333,5
パパゲーノ,0.712,0.556,9,-9.356,1,0.0732,0.467,0.00754,0.129,0.725,154.968,audio_features,3WpWvUgBNgNBy027EJqlHG,spotify:track:3WpWvUgBNgNBy027EJqlHG,https://api.spotify.com/v1/tracks/3WpWvUgBNgNBy027EJqlHG,https://api.spotify.com/v1/audio-analysis/3WpWvUgBNgNBy027EJqlHG,257032,4
