name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
桑間濮上,0.323,0.996,7,-0.127,0,0.069,0.00212,0.014,0.28,0.567,104.909,audio_features,0wPoRZUImksejUUqON9lRH,spotify:track:0wPoRZUImksejUUqON9lRH,https://api.spotify.com/v1/tracks/0wPoRZUImksejUUqON9lRH,https://api.spotify.com/v1/audio-analysis/0wPoRZUImksejUUqON9lRH,299886,4
虚と実,0.498,0.987,5,-1.434,1,0.083,0.000463,0.0486,0.135,0.907,140.046,audio_features,7kivNuyBs8nqWX5XxSzQF4,spotify:track:7kivNuyBs8nqWX5XxSzQF4,https://api.spotify.com/v1/tracks/7kivNuyBs8nqWX5XxSzQF4,https://api.spotify.com/v1/audio-analysis/7kivNuyBs8nqWX5XxSzQF4,218619,4
パラドン,0.506,0.98,0,-0.145,1,0.141,0.000483,0.939,0.249,0.653,142.14,audio_features,1OjoRTSfJ4Ezutl1X5KYg0,spotify:track:1OjoRTSfJ4Ezutl1X5KYg0,https://api.spotify.com/v1/tracks/1OjoRTSfJ4Ezutl1X5KYg0,https://api.spotify.com/v1/audio-analysis/1OjoRTSfJ4Ezutl1X5KYg0,112666,4
綻びの這入口,0.446,0.989,10,-0.481,1,0.0541,0.00143,0.498,0.319,0.818,172.011,audio_features,6cGfh7xrTAQK5zfhCMjPDy,spotify:track:6cGfh7xrTAQK5zfhCMjPDy,https://api.spotify.com/v1/tracks/6cGfh7xrTAQK5zfhCMjPDy,https://api.spotify.com/v1/audio-analysis/6cGfh7xrTAQK5zfhCMjPDy,233064,4
ゼピデ,0.624,0.847,11,-4.713,0,0.0377,0.0976,0.43,0.374,0.422,95.054,audio_features,6dUqi4R8wRuz0k9tIMaIeL,spotify:track:6dUqi4R8wRuz0k9tIMaIeL,https://api.spotify.com/v1/tracks/6dUqi4R8wRuz0k9tIMaIeL,https://api.spotify.com/v1/audio-analysis/6dUqi4R8wRuz0k9tIMaIeL,40333,4
自縛自己,0.573,0.981,11,-0.164,1,0.0399,0.00101,0.582,0.257,0.583,96.016,audio_features,2LvCT1n7UpxRxl91wRPPMh,spotify:track:2LvCT1n7UpxRxl91wRPPMh,https://api.spotify.com/v1/tracks/2LvCT1n7UpxRxl91wRPPMh,https://api.spotify.com/v1/audio-analysis/2LvCT1n7UpxRxl91wRPPMh,295967,4
デュクシ,0.405,0.978,0,-0.373,0,0.0823,7.67e-05,0.902,0.346,0.374,95.042,audio_features,1UT6qvRIDXkfhrQDNSFQRm,spotify:track:1UT6qvRIDXkfhrQDNSFQRm,https://api.spotify.com/v1/tracks/1UT6qvRIDXkfhrQDNSFQRm,https://api.spotify.com/v1/audio-analysis/1UT6qvRIDXkfhrQDNSFQRm,123123,4
エクストリーム,0.247,0.99,4,-2.113,0,0.122,0.000825,0.754,0.0566,0.341,95.087,audio_features,7rEezQLjQxYuU6xQHWix1y,spotify:track:7rEezQLjQxYuU6xQHWix1y,https://api.spotify.com/v1/tracks/7rEezQLjQxYuU6xQHWix1y,https://api.spotify.com/v1/audio-analysis/7rEezQLjQxYuU6xQHWix1y,198531,4
“愛情”の対義語は“無関心”,0.482,0.996,3,-0.573,1,0.0888,0.0123,0.253,0.259,0.657,170.071,audio_features,7yeg1B8e2I8xv40PubhjqC,spotify:track:7yeg1B8e2I8xv40PubhjqC,https://api.spotify.com/v1/tracks/7yeg1B8e2I8xv40PubhjqC,https://api.spotify.com/v1/audio-analysis/7yeg1B8e2I8xv40PubhjqC,250932,4
とりあえず,0.529,0.945,1,-2.013,0,0.0329,0.000163,0.0894,0.161,0.706,96.002,audio_features,02DNISuGvjKAbY3Kczqttb,spotify:track:02DNISuGvjKAbY3Kczqttb,https://api.spotify.com/v1/tracks/02DNISuGvjKAbY3Kczqttb,https://api.spotify.com/v1/audio-analysis/02DNISuGvjKAbY3Kczqttb,311171,4
レディネス,0.315,0.694,0,-7.719,0,0.0396,0.64,0.206,0.596,0.254,91.137,audio_features,28FmC7XD7XBWMUOwJz9Dfi,spotify:track:28FmC7XD7XBWMUOwJz9Dfi,https://api.spotify.com/v1/tracks/28FmC7XD7XBWMUOwJz9Dfi,https://api.spotify.com/v1/audio-analysis/28FmC7XD7XBWMUOwJz9Dfi,51775,4
