name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
THE SADNESS OF THINGS,0.693,0.585,8,-12.569,1,0.0386,0.0065,0.0235,0.108,0.403,94.325,audio_features,1wzweQAQhLgG7WhQqvfTGo,spotify:track:1wzweQAQhLgG7WhQqvfTGo,https://api.spotify.com/v1/tracks/1wzweQAQhLgG7WhQqvfTGo,https://api.spotify.com/v1/audio-analysis/1wzweQAQhLgG7WhQqvfTGo,330200,4
LINDA,0.743,0.885,9,-5.706,1,0.0331,0.0247,0.352,0.158,0.919,135.016,audio_features,7he6L6vo6HQDscL9Wdq2PZ,spotify:track:7he6L6vo6HQDscL9Wdq2PZ,https://api.spotify.com/v1/tracks/7he6L6vo6HQDscL9Wdq2PZ,https://api.spotify.com/v1/audio-analysis/7he6L6vo6HQDscL9Wdq2PZ,321733,4
R or J,0.521,0.973,1,-5.506,1,0.0545,0.000902,0.0712,0.196,0.631,143.453,audio_features,0oD7QF73bAhtGPVmcctQnt,spotify:track:0oD7QF73bAhtGPVmcctQnt,https://api.spotify.com/v1/tracks/0oD7QF73bAhtGPVmcctQnt,https://api.spotify.com/v1/audio-analysis/0oD7QF73bAhtGPVmcctQnt,253600,4
Crucified,0.52,0.976,4,-4.912,0,0.121,0.00205,0.00176,0.624,0.422,125.058,audio_features,68NrvVo5lOSUyHkoOtQBwb,spotify:track:68NrvVo5lOSUyHkoOtQBwb,https://api.spotify.com/v1/tracks/68NrvVo5lOSUyHkoOtQBwb,https://api.spotify.com/v1/audio-analysis/68NrvVo5lOSUyHkoOtQBwb,250747,4
No! Body,0.583,0.845,5,-8.123,1,0.0367,0.00137,0.779,0.0762,0.837,128.0,audio_features,2yZ2dHhv3RjUgjRDVWgekv,spotify:track:2yZ2dHhv3RjUgjRDVWgekv,https://api.spotify.com/v1/tracks/2yZ2dHhv3RjUgjRDVWgekv,https://api.spotify.com/v1/audio-analysis/2yZ2dHhv3RjUgjRDVWgekv,257573,4
PULSE (ELECTRO DISCO),0.579,0.692,11,-7.194,1,0.0496,4.44e-05,0.77,0.0676,0.548,125.002,audio_features,5VuerW6elKbipdlRjlKIaD,spotify:track:5VuerW6elKbipdlRjlKIaD,https://api.spotify.com/v1/tracks/5VuerW6elKbipdlRjlKIaD,https://api.spotify.com/v1/audio-analysis/5VuerW6elKbipdlRjlKIaD,473733,4
K.A,0.647,0.843,7,-11.606,1,0.0464,0.0536,0.873,0.147,0.652,90.253,audio_features,77jVNq1mPxjk4nc3Qh69UY,spotify:track:77jVNq1mPxjk4nc3Qh69UY,https://api.spotify.com/v1/tracks/77jVNq1mPxjk4nc3Qh69UY,https://api.spotify.com/v1/audio-analysis/77jVNq1mPxjk4nc3Qh69UY,372200,4
水と油,0.696,0.747,1,-10.506,1,0.0412,0.0113,0.365,0.112,0.668,93.337,audio_features,5tR8I6e7L9hJIRvZL7ZfZx,spotify:track:5tR8I6e7L9hJIRvZL7ZfZx,https://api.spotify.com/v1/tracks/5tR8I6e7L9hJIRvZL7ZfZx,https://api.spotify.com/v1/audio-analysis/5tR8I6e7L9hJIRvZL7ZfZx,288000,4
Sign,0.482,0.989,4,-3.398,0,0.0809,0.00161,8.48e-06,0.108,0.572,153.028,audio_features,3A8mvuGOESY2aGxYcGQHlK,spotify:track:3A8mvuGOESY2aGxYcGQHlK,https://api.spotify.com/v1/tracks/3A8mvuGOESY2aGxYcGQHlK,https://api.spotify.com/v1/audio-analysis/3A8mvuGOESY2aGxYcGQHlK,275400,4
ある朝,0.589,0.763,5,-11.995,1,0.0391,0.0508,0.869,0.173,0.204,122.302,audio_features,5LLvrmfopOK9NIXm7JqZRe,spotify:track:5LLvrmfopOK9NIXm7JqZRe,https://api.spotify.com/v1/tracks/5LLvrmfopOK9NIXm7JqZRe,https://api.spotify.com/v1/audio-analysis/5LLvrmfopOK9NIXm7JqZRe,352767,4
