name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
雨 - 2012 Remaster,0.617,0.366,0,-8.697,1,0.0285,0.719,5.05e-05,0.155,0.206,124.118,audio_features,2MFYdi5qCvamOfvdpEdWqU,spotify:track:2MFYdi5qCvamOfvdpEdWqU,https://api.spotify.com/v1/tracks/2MFYdi5qCvamOfvdpEdWqU,https://api.spotify.com/v1/audio-analysis/2MFYdi5qCvamOfvdpEdWqU,271280,4
私がオバさんになっても - シングル・ヴァージョン; 2012 Remaster,0.635,0.771,2,-5.978,1,0.0309,0.382,1.53e-06,0.365,0.598,125.959,audio_features,60ousxF6dCt8kjVSQCjKFd,spotify:track:60ousxF6dCt8kjVSQCjKFd,https://api.spotify.com/v1/tracks/60ousxF6dCt8kjVSQCjKFd,https://api.spotify.com/v1/audio-analysis/60ousxF6dCt8kjVSQCjKFd,256787,3
17才 - 2012 Remaster,0.563,0.954,7,-6.565,0,0.0345,0.0752,0.313,0.114,0.942,132.973,audio_features,64uDKHVGNqWiuniUewAoH0,spotify:track:64uDKHVGNqWiuniUewAoH0,https://api.spotify.com/v1/tracks/64uDKHVGNqWiuniUewAoH0,https://api.spotify.com/v1/audio-analysis/64uDKHVGNqWiuniUewAoH0,294080,4
ザ・ストレス - ストレス 中近東ヴァージョン; 2012 Remaster,0.641,0.96,5,-6.573,0,0.0612,0.139,0.00126,0.187,0.826,114.15,audio_features,0KZIrEgR4gW4fZMuZhKezp,spotify:track:0KZIrEgR4gW4fZMuZhKezp,https://api.spotify.com/v1/tracks/0KZIrEgR4gW4fZMuZhKezp,https://api.spotify.com/v1/audio-analysis/0KZIrEgR4gW4fZMuZhKezp,293640,4
ザ・ミーハー - スペシャル・ミーハー・ミックス; 2012 Remaster,0.767,0.871,11,-6.603,0,0.0419,0.244,0.247,0.0529,0.951,117.89,audio_features,61GOmOPwAJ5IsJjFwc6zdw,spotify:track:61GOmOPwAJ5IsJjFwc6zdw,https://api.spotify.com/v1/tracks/61GOmOPwAJ5IsJjFwc6zdw,https://api.spotify.com/v1/audio-analysis/61GOmOPwAJ5IsJjFwc6zdw,353693,4
NEW SEASON - 2012 Remaster,0.691,0.864,10,-6.822,1,0.0294,0.196,0.0794,0.0927,0.741,121.93,audio_features,5z5kvRngTC5CfubmGS5ggR,spotify:track:5z5kvRngTC5CfubmGS5ggR,https://api.spotify.com/v1/tracks/5z5kvRngTC5CfubmGS5ggR,https://api.spotify.com/v1/audio-analysis/5z5kvRngTC5CfubmGS5ggR,281373,4
勉強の歌 - 2012 Remaster,0.671,0.968,9,-5.591,1,0.038,0.0841,8.61e-05,0.642,0.963,129.901,audio_features,2rocFO5O0jq0yRNmObthrV,spotify:track:2rocFO5O0jq0yRNmObthrV,https://api.spotify.com/v1/tracks/2rocFO5O0jq0yRNmObthrV,https://api.spotify.com/v1/audio-analysis/2rocFO5O0jq0yRNmObthrV,280027,4
道 - 2012 Remaster,0.688,0.725,2,-6.872,1,0.0256,0.638,0.000135,0.191,0.503,97.987,audio_features,3aPGoZy5le19KhTA2Hh5fo,spotify:track:3aPGoZy5le19KhTA2Hh5fo,https://api.spotify.com/v1/tracks/3aPGoZy5le19KhTA2Hh5fo,https://api.spotify.com/v1/audio-analysis/3aPGoZy5le19KhTA2Hh5fo,294640,4
GET SMILE - 2012 Remaster,0.687,0.806,0,-8.669,1,0.0309,0.102,0.0704,0.114,0.927,133.951,audio_features,4pFjujoh6C5FZ2gG74N5pJ,spotify:track:4pFjujoh6C5FZ2gG74N5pJ,https://api.spotify.com/v1/tracks/4pFjujoh6C5FZ2gG74N5pJ,https://api.spotify.com/v1/audio-analysis/4pFjujoh6C5FZ2gG74N5pJ,258387,4
オーバーヒート・ナイト - 2012 Remaster,0.547,0.887,4,-8.558,0,0.0364,0.0131,0.162,0.0655,0.623,120.392,audio_features,2IV2m9R3955STqhE8QBWyg,spotify:track:2IV2m9R3955STqhE8QBWyg,https://api.spotify.com/v1/tracks/2IV2m9R3955STqhE8QBWyg,https://api.spotify.com/v1/audio-analysis/2IV2m9R3955STqhE8QBWyg,296427,4
ファイト!! - 2012 Remaster,0.729,0.765,2,-5.995,1,0.0352,0.359,0.000248,0.0622,0.623,128.021,audio_features,1Bk8SyO8nopvzl01qkMlTH,spotify:track:1Bk8SyO8nopvzl01qkMlTH,https://api.spotify.com/v1/tracks/1Bk8SyO8nopvzl01qkMlTH,https://api.spotify.com/v1/audio-analysis/1Bk8SyO8nopvzl01qkMlTH,300360,4
ALONE - 2012 Remaster,0.731,0.893,0,-6.439,1,0.0478,0.587,3.89e-05,0.218,0.62,98.125,audio_features,4J17j7QyaS04QK2QYSjaQ2,spotify:track:4J17j7QyaS04QK2QYSjaQ2,https://api.spotify.com/v1/tracks/4J17j7QyaS04QK2QYSjaQ2,https://api.spotify.com/v1/audio-analysis/4J17j7QyaS04QK2QYSjaQ2,263867,4
この街 - HOME MIX; 2012 Remaster,0.616,0.906,1,-4.801,0,0.0388,0.0819,0.0131,0.0221,0.97,132.101,audio_features,5Rq2Zzl9By7KLpCiRli0j9,spotify:track:5Rq2Zzl9By7KLpCiRli0j9,https://api.spotify.com/v1/tracks/5Rq2Zzl9By7KLpCiRli0j9,https://api.spotify.com/v1/audio-analysis/5Rq2Zzl9By7KLpCiRli0j9,287707,4
コンサートの夜 - 2012 Remaster,0.557,0.807,9,-5.5,1,0.0337,0.625,0.000331,0.124,0.538,125.999,audio_features,2n1XjwvQXryvTPSJjnIH97,spotify:track:2n1XjwvQXryvTPSJjnIH97,https://api.spotify.com/v1/tracks/2n1XjwvQXryvTPSJjnIH97,https://api.spotify.com/v1/audio-analysis/2n1XjwvQXryvTPSJjnIH97,287400,4
青春 - 2012 Remaster,0.721,0.683,3,-6.532,1,0.0271,0.6,0.000119,0.545,0.732,128.912,audio_features,52bXGefD38qYdNLPzvLKJW,spotify:track:52bXGefD38qYdNLPzvLKJW,https://api.spotify.com/v1/tracks/52bXGefD38qYdNLPzvLKJW,https://api.spotify.com/v1/audio-analysis/52bXGefD38qYdNLPzvLKJW,271707,4
だいて - ラスベガス・ヴァージョン; 2012 Remaster,0.68,0.866,3,-4.966,1,0.0311,0.461,9.68e-06,0.0851,0.935,129.959,audio_features,4UB2EL1sNtI4CLfKSCvbwG,spotify:track:4UB2EL1sNtI4CLfKSCvbwG,https://api.spotify.com/v1/tracks/4UB2EL1sNtI4CLfKSCvbwG,https://api.spotify.com/v1/audio-analysis/4UB2EL1sNtI4CLfKSCvbwG,300320,4
臭いものにはフタをしろ!! - 2012 Remaster,0.605,0.831,2,-5.239,1,0.0381,0.21,1.56e-06,0.145,0.848,151.941,audio_features,26vD2hs1cIYMQ12qSewYBO,spotify:track:26vD2hs1cIYMQ12qSewYBO,https://api.spotify.com/v1/tracks/26vD2hs1cIYMQ12qSewYBO,https://api.spotify.com/v1/audio-analysis/26vD2hs1cIYMQ12qSewYBO,162520,4
八月の恋 - 2012 Remaster,0.677,0.71,5,-6.869,1,0.0251,0.73,0.00179,0.361,0.591,111.866,audio_features,2PC85VlgdiuTp4SbHvtQfT,spotify:track:2PC85VlgdiuTp4SbHvtQfT,https://api.spotify.com/v1/tracks/2PC85VlgdiuTp4SbHvtQfT,https://api.spotify.com/v1/audio-analysis/2PC85VlgdiuTp4SbHvtQfT,249947,4
Underground Bird Fly,0.799,0.566,1,-8.848,0,0.165,0.0327,0.497,0.145,0.117,125.033,audio_features,33aCYMW6JrUEYUYflwmzpH,spotify:track:33aCYMW6JrUEYUYflwmzpH,https://api.spotify.com/v1/tracks/33aCYMW6JrUEYUYflwmzpH,https://api.spotify.com/v1/audio-analysis/33aCYMW6JrUEYUYflwmzpH,136069,4
