name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
語り継ぐこと,0.479,0.493,5,-4.58,0,0.0261,0.535,5.9e-06,0.114,0.262,78.889,audio_features,0YrAU8vTz5wRfUHSA4AaER,spotify:track:0YrAU8vTz5wRfUHSA4AaER,https://api.spotify.com/v1/tracks/0YrAU8vTz5wRfUHSA4AaER,https://api.spotify.com/v1/audio-analysis/0YrAU8vTz5wRfUHSA4AaER,348787,4
春のかたみ,0.49,0.622,10,-7.42,0,0.0718,0.332,6.17e-06,0.113,0.413,139.581,audio_features,4auSi9C62oFZfQcLCLzq4R,spotify:track:4auSi9C62oFZfQcLCLzq4R,https://api.spotify.com/v1/tracks/4auSi9C62oFZfQcLCLzq4R,https://api.spotify.com/v1/audio-analysis/4auSi9C62oFZfQcLCLzq4R,257360,4
ワダツミの木,0.784,0.368,1,-8.167,1,0.0417,0.041,0.000507,0.123,0.807,133.99,audio_features,20EPdYHB7krC9Yvfy4CHDY,spotify:track:20EPdYHB7krC9Yvfy4CHDY,https://api.spotify.com/v1/tracks/20EPdYHB7krC9Yvfy4CHDY,https://api.spotify.com/v1/audio-analysis/20EPdYHB7krC9Yvfy4CHDY,354733,4
この街,0.54,0.379,1,-7.623,1,0.0272,0.74,8.26e-05,0.128,0.18,106.865,audio_features,3cXEFuMWOAfNANGuZDsiUi,spotify:track:3cXEFuMWOAfNANGuZDsiUi,https://api.spotify.com/v1/tracks/3cXEFuMWOAfNANGuZDsiUi,https://api.spotify.com/v1/audio-analysis/3cXEFuMWOAfNANGuZDsiUi,258360,4
豊年節 - Dorian Concept Remix,0.787,0.558,8,-7.417,0,0.327,0.626,0.102,0.418,0.752,89.498,audio_features,0O0eHO92tSDjlLirEwxad3,spotify:track:0O0eHO92tSDjlLirEwxad3,https://api.spotify.com/v1/tracks/0O0eHO92tSDjlLirEwxad3,https://api.spotify.com/v1/audio-analysis/0O0eHO92tSDjlLirEwxad3,194320,4
ヨイスラ節 - 冥丁REMIX,0.532,0.49,3,-7.697,0,0.0499,0.931,0.00616,0.0917,0.58,139.99,audio_features,3t4tFimdU4tNfKBmnZyfiz,spotify:track:3t4tFimdU4tNfKBmnZyfiz,https://api.spotify.com/v1/tracks/3t4tFimdU4tNfKBmnZyfiz,https://api.spotify.com/v1/audio-analysis/3t4tFimdU4tNfKBmnZyfiz,328627,4
いつか風になる日,0.525,0.36,4,-9.542,1,0.0289,0.893,3.51e-06,0.111,0.153,75.958,audio_features,28WDJ4OQP5BZWExCKx47iS,spotify:track:28WDJ4OQP5BZWExCKx47iS,https://api.spotify.com/v1/tracks/28WDJ4OQP5BZWExCKx47iS,https://api.spotify.com/v1/audio-analysis/28WDJ4OQP5BZWExCKx47iS,291707,4
朝花節 - 坂本慎太郎 Remix,0.609,0.442,1,-11.603,0,0.081,0.0471,0.176,0.113,0.49,176.684,audio_features,0OaITF9HJF2iyQruukA3Ca,spotify:track:0OaITF9HJF2iyQruukA3Ca,https://api.spotify.com/v1/tracks/0OaITF9HJF2iyQruukA3Ca,https://api.spotify.com/v1/audio-analysis/0OaITF9HJF2iyQruukA3Ca,316333,4
雫,0.34,0.729,5,-5.599,1,0.0981,0.607,0,0.322,0.585,170.02,audio_features,1MrFCbzPREvSlyGi4x4eo8,spotify:track:1MrFCbzPREvSlyGi4x4eo8,https://api.spotify.com/v1/tracks/1MrFCbzPREvSlyGi4x4eo8,https://api.spotify.com/v1/audio-analysis/1MrFCbzPREvSlyGi4x4eo8,256547,3
語り継ぐこと,0.451,0.493,0,-5.412,0,0.0259,0.667,1.78e-05,0.12,0.249,78.867,audio_features,4b6UppAgDuN6kHNDR955fX,spotify:track:4b6UppAgDuN6kHNDR955fX,https://api.spotify.com/v1/tracks/4b6UppAgDuN6kHNDR955fX,https://api.spotify.com/v1/audio-analysis/4b6UppAgDuN6kHNDR955fX,350240,4
