name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ウミユリ海底譚,0.6,0.966,0,-3.228,0,0.0431,0.166,2.02e-06,0.324,0.965,120.008,audio_features,7d66NXUtZmUpHKYMgk9Q77,spotify:track:7d66NXUtZmUpHKYMgk9Q77,https://api.spotify.com/v1/tracks/7d66NXUtZmUpHKYMgk9Q77,https://api.spotify.com/v1/audio-analysis/7d66NXUtZmUpHKYMgk9Q77,236068,4
夜明けと蛍,0.819,0.463,7,-6.567,1,0.0555,0.596,0.00601,0.104,0.844,79.97,audio_features,7zzMTPHYh2ntj2PLQyvrng,spotify:track:7zzMTPHYh2ntj2PLQyvrng,https://api.spotify.com/v1/tracks/7zzMTPHYh2ntj2PLQyvrng,https://api.spotify.com/v1/audio-analysis/7zzMTPHYh2ntj2PLQyvrng,308967,4
エピローグ,0.557,0.249,2,-19.439,1,0.035,0.902,0.95,0.106,0.375,120.027,audio_features,6aZcxYWNOT8wPP3UyCNjVQ,spotify:track:6aZcxYWNOT8wPP3UyCNjVQ,https://api.spotify.com/v1/tracks/6aZcxYWNOT8wPP3UyCNjVQ,https://api.spotify.com/v1/audio-analysis/6aZcxYWNOT8wPP3UyCNjVQ,115860,4
Silence,0.372,0.484,11,-12.477,0,0.0418,0.482,0.227,0.0773,0.158,159.948,audio_features,2QNn9sDw39RNNJedma1ZYa,spotify:track:2QNn9sDw39RNNJedma1ZYa,https://api.spotify.com/v1/tracks/2QNn9sDw39RNNJedma1ZYa,https://api.spotify.com/v1/audio-analysis/2QNn9sDw39RNNJedma1ZYa,227057,4
メリュー,0.756,0.614,0,-4.695,1,0.0357,0.331,9.82e-06,0.0809,0.789,129.962,audio_features,6x8iT2f5PiUlWVyV1Y2Wjs,spotify:track:6x8iT2f5PiUlWVyV1Y2Wjs,https://api.spotify.com/v1/tracks/6x8iT2f5PiUlWVyV1Y2Wjs,https://api.spotify.com/v1/audio-analysis/6x8iT2f5PiUlWVyV1Y2Wjs,212583,4
白ゆきの独白,0.517,0.401,11,-20.73,0,0.0354,0.955,0.97,0.204,0.645,130.009,audio_features,3vP9ULNKd5Y9MSjeB7cSw2,spotify:track:3vP9ULNKd5Y9MSjeB7cSw2,https://api.spotify.com/v1/tracks/3vP9ULNKd5Y9MSjeB7cSw2,https://api.spotify.com/v1/audio-analysis/3vP9ULNKd5Y9MSjeB7cSw2,78498,3
透明エレジー,0.636,0.912,2,-3.699,1,0.0398,0.0125,0,0.399,0.93,109.987,audio_features,7wvqz5HnqDkih9MrERtNhz,spotify:track:7wvqz5HnqDkih9MrERtNhz,https://api.spotify.com/v1/tracks/7wvqz5HnqDkih9MrERtNhz,https://api.spotify.com/v1/audio-analysis/7wvqz5HnqDkih9MrERtNhz,222948,4
敬具,0.557,0.596,2,-12.43,1,0.0559,0.955,0.931,0.112,0.901,179.958,audio_features,69khYin75e5Y4EX9g9eLTe,spotify:track:69khYin75e5Y4EX9g9eLTe,https://api.spotify.com/v1/tracks/69khYin75e5Y4EX9g9eLTe,https://api.spotify.com/v1/audio-analysis/69khYin75e5Y4EX9g9eLTe,103982,4
落陽,0.177,0.0615,2,-19.237,1,0.0467,0.982,0.93,0.169,0.42,163.651,audio_features,33BzZdXsG8HuTTvcuXzegm,spotify:track:33BzZdXsG8HuTTvcuXzegm,https://api.spotify.com/v1/tracks/33BzZdXsG8HuTTvcuXzegm,https://api.spotify.com/v1/audio-analysis/33BzZdXsG8HuTTvcuXzegm,39621,5
夜祭前に,0.342,0.369,7,-21.007,1,0.0566,0.991,0.851,0.783,0.115,131.913,audio_features,1fjecvMOCkLDi1CKcM5gBK,spotify:track:1fjecvMOCkLDi1CKcM5gBK,https://api.spotify.com/v1/tracks/1fjecvMOCkLDi1CKcM5gBK,https://api.spotify.com/v1/audio-analysis/1fjecvMOCkLDi1CKcM5gBK,121180,3
