name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
また恋をしてしまったぼく,0.566,0.645,9,-9.585,1,0.0273,0.0721,0.00896,0.0867,0.657,131.631,audio_features,3uITBvhX3jL0T6aCyXedBz,spotify:track:3uITBvhX3jL0T6aCyXedBz,https://api.spotify.com/v1/tracks/3uITBvhX3jL0T6aCyXedBz,https://api.spotify.com/v1/audio-analysis/3uITBvhX3jL0T6aCyXedBz,353681,4
三十歳の子供,0.675,0.362,7,-10.297,1,0.0326,0.408,0.00277,0.0666,0.477,126.754,audio_features,6OoobDrUnmIVaesmfyE39Z,spotify:track:6OoobDrUnmIVaesmfyE39Z,https://api.spotify.com/v1/tracks/6OoobDrUnmIVaesmfyE39Z,https://api.spotify.com/v1/audio-analysis/6OoobDrUnmIVaesmfyE39Z,399715,4
トカゲ,0.536,0.262,11,-13.849,0,0.039,0.556,4e-06,0.788,0.352,122.343,audio_features,6wYRcLBxsYhdd1EqL05QZ8,spotify:track:6wYRcLBxsYhdd1EqL05QZ8,https://api.spotify.com/v1/tracks/6wYRcLBxsYhdd1EqL05QZ8,https://api.spotify.com/v1/audio-analysis/6wYRcLBxsYhdd1EqL05QZ8,265188,3
野盗のように,0.56,0.332,0,-10.425,1,0.03,0.456,0.000785,0.16,0.315,114.19,audio_features,0dWHDG9Q9u9F4Wz59m43y3,spotify:track:0dWHDG9Q9u9F4Wz59m43y3,https://api.spotify.com/v1/tracks/0dWHDG9Q9u9F4Wz59m43y3,https://api.spotify.com/v1/audio-analysis/0dWHDG9Q9u9F4Wz59m43y3,251121,4
娘よ俺はおまえの親父だ,0.59,0.266,2,-11.475,1,0.0308,0.584,0.000357,0.229,0.498,118.929,audio_features,0gmxtpcc3wInxivOHka1FM,spotify:track:0gmxtpcc3wInxivOHka1FM,https://api.spotify.com/v1/tracks/0gmxtpcc3wInxivOHka1FM,https://api.spotify.com/v1/audio-analysis/0gmxtpcc3wInxivOHka1FM,343854,3
十代から十年,0.717,0.312,9,-10.607,0,0.0314,0.445,0.0659,0.0693,0.378,123.699,audio_features,2zcSS8flYAdUGBrQx27Xs7,spotify:track:2zcSS8flYAdUGBrQx27Xs7,https://api.spotify.com/v1/tracks/2zcSS8flYAdUGBrQx27Xs7,https://api.spotify.com/v1/audio-analysis/2zcSS8flYAdUGBrQx27Xs7,363802,4
動物たちの恐しい夢のなかに,0.509,0.143,0,-15.201,1,0.0287,0.185,0.379,0.0992,0.504,80.175,audio_features,61nnWoWkA9NKTgjsKt7yn9,spotify:track:61nnWoWkA9NKTgjsKt7yn9,https://api.spotify.com/v1/tracks/61nnWoWkA9NKTgjsKt7yn9,https://api.spotify.com/v1/audio-analysis/61nnWoWkA9NKTgjsKt7yn9,118108,4
虹の民,0.524,0.146,7,-19.231,1,0.0385,0.703,1.65e-06,0.77,0.333,87.983,audio_features,114cDIST7dhzE2KhelNLAu,spotify:track:114cDIST7dhzE2KhelNLAu,https://api.spotify.com/v1/tracks/114cDIST7dhzE2KhelNLAu,https://api.spotify.com/v1/audio-analysis/114cDIST7dhzE2KhelNLAu,233068,4
祝婚歌,0.414,0.264,0,-18.043,1,0.0324,0.453,0.0366,0.628,0.361,113.617,audio_features,6eowMrfXeFhpJhgUdDxpoO,spotify:track:6eowMrfXeFhpJhgUdDxpoO,https://api.spotify.com/v1/tracks/6eowMrfXeFhpJhgUdDxpoO,https://api.spotify.com/v1/audio-analysis/6eowMrfXeFhpJhgUdDxpoO,236228,4
Come to My Bedside,0.468,0.241,10,-18.549,1,0.0429,0.848,7.94e-05,0.767,0.588,140.334,audio_features,01pjLxx2SWJhvZDE033n2V,spotify:track:01pjLxx2SWJhvZDE033n2V,https://api.spotify.com/v1/tracks/01pjLxx2SWJhvZDE033n2V,https://api.spotify.com/v1/audio-analysis/01pjLxx2SWJhvZDE033n2V,243001,4
