name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Hachijo kariyasu,0.542,0.169,4,-20.503,0,0.0425,0.956,0.909,0.102,0.539,112.522,audio_features,5iXomXedi29RsyuW3aypuZ,spotify:track:5iXomXedi29RsyuW3aypuZ,https://api.spotify.com/v1/tracks/5iXomXedi29RsyuW3aypuZ,https://api.spotify.com/v1/audio-analysis/5iXomXedi29RsyuW3aypuZ,141740,3
Tree Circle,0.444,0.191,0,-19.261,0,0.0547,0.952,0.867,0.115,0.427,114.295,audio_features,03CLghlf8FCjjjhvZg3OjC,spotify:track:03CLghlf8FCjjjhvZg3OjC,https://api.spotify.com/v1/tracks/03CLghlf8FCjjjhvZg3OjC,https://api.spotify.com/v1/audio-analysis/03CLghlf8FCjjjhvZg3OjC,188813,3
Lien-yun st.,0.552,0.204,6,-19.086,1,0.0557,0.921,0.773,0.101,0.323,101.275,audio_features,0DM6vcY11eSbTi9lSjvqjh,spotify:track:0DM6vcY11eSbTi9lSjvqjh,https://api.spotify.com/v1/tracks/0DM6vcY11eSbTi9lSjvqjh,https://api.spotify.com/v1/audio-analysis/0DM6vcY11eSbTi9lSjvqjh,218462,3
All Fruit,0.485,0.145,1,-22.191,1,0.0385,0.985,0.911,0.0942,0.289,87.835,audio_features,1spd5WgVkFrG1O6ZjAVqbJ,spotify:track:1spd5WgVkFrG1O6ZjAVqbJ,https://api.spotify.com/v1/tracks/1spd5WgVkFrG1O6ZjAVqbJ,https://api.spotify.com/v1/audio-analysis/1spd5WgVkFrG1O6ZjAVqbJ,163866,4
Mega Top,0.502,0.267,7,-17.938,1,0.0356,0.943,0.868,0.0974,0.501,114.688,audio_features,592PQAeoaFFbxNJib5szyV,spotify:track:592PQAeoaFFbxNJib5szyV,https://api.spotify.com/v1/tracks/592PQAeoaFFbxNJib5szyV,https://api.spotify.com/v1/audio-analysis/592PQAeoaFFbxNJib5szyV,156996,4
Rainbow Chaser,0.607,0.196,1,-19.705,1,0.0595,0.904,0.727,0.111,0.187,111.031,audio_features,5RVEXH7OR9rcRz7eeviOzc,spotify:track:5RVEXH7OR9rcRz7eeviOzc,https://api.spotify.com/v1/tracks/5RVEXH7OR9rcRz7eeviOzc,https://api.spotify.com/v1/audio-analysis/5RVEXH7OR9rcRz7eeviOzc,223948,4
Sky Scraper,0.44,0.225,1,-17.721,1,0.0345,0.92,0.922,0.104,0.424,82.047,audio_features,7hmfnWD66xxYHXyhG5QyXN,spotify:track:7hmfnWD66xxYHXyhG5QyXN,https://api.spotify.com/v1/tracks/7hmfnWD66xxYHXyhG5QyXN,https://api.spotify.com/v1/audio-analysis/7hmfnWD66xxYHXyhG5QyXN,128758,4
Clocker Land,0.483,0.0543,7,-17.574,1,0.0629,0.963,0.881,0.116,0.228,105.186,audio_features,2uKv2AS8xoJYPgisFIfJqI,spotify:track:2uKv2AS8xoJYPgisFIfJqI,https://api.spotify.com/v1/tracks/2uKv2AS8xoJYPgisFIfJqI,https://api.spotify.com/v1/audio-analysis/2uKv2AS8xoJYPgisFIfJqI,163448,4
Ramon no ki,0.484,0.212,7,-16.666,0,0.0492,0.885,0.879,0.103,0.204,109.885,audio_features,47MvdRV6TXVJNjII4uBH5V,spotify:track:47MvdRV6TXVJNjII4uBH5V,https://api.spotify.com/v1/tracks/47MvdRV6TXVJNjII4uBH5V,https://api.spotify.com/v1/audio-analysis/47MvdRV6TXVJNjII4uBH5V,242704,4
Shishi odori,0.433,0.241,2,-14.365,1,0.0437,0.948,0.896,0.109,0.801,94.345,audio_features,0AXXbcsy7hwrsGO6stfHCg,spotify:track:0AXXbcsy7hwrsGO6stfHCg,https://api.spotify.com/v1/tracks/0AXXbcsy7hwrsGO6stfHCg,https://api.spotify.com/v1/audio-analysis/0AXXbcsy7hwrsGO6stfHCg,113424,4
Chotto Tropical,0.562,0.362,2,-12.373,1,0.0503,0.946,0.951,0.108,0.465,130.657,audio_features,2pjdMA0sIMOaVT2a9tVE8C,spotify:track:2pjdMA0sIMOaVT2a9tVE8C,https://api.spotify.com/v1/tracks/2pjdMA0sIMOaVT2a9tVE8C,https://api.spotify.com/v1/audio-analysis/2pjdMA0sIMOaVT2a9tVE8C,194038,4
Wind Valley,0.358,0.164,0,-21.917,0,0.0579,0.949,0.837,0.11,0.262,129.833,audio_features,75VJ9QUIDBTpT48ixMzxte,spotify:track:75VJ9QUIDBTpT48ixMzxte,https://api.spotify.com/v1/tracks/75VJ9QUIDBTpT48ixMzxte,https://api.spotify.com/v1/audio-analysis/75VJ9QUIDBTpT48ixMzxte,164676,3
Tin tin kyrano,0.302,0.22,5,-20.885,0,0.0436,0.89,0.847,0.108,0.521,174.671,audio_features,6I4JzrPsekSExmr0wfrNlB,spotify:track:6I4JzrPsekSExmr0wfrNlB,https://api.spotify.com/v1/tracks/6I4JzrPsekSExmr0wfrNlB,https://api.spotify.com/v1/audio-analysis/6I4JzrPsekSExmr0wfrNlB,160470,4
The Sprinter,0.485,0.149,10,-22.477,0,0.0538,0.91,0.898,0.107,0.187,104.436,audio_features,4YXpOUsH5n3kRFiQdbFIIP,spotify:track:4YXpOUsH5n3kRFiQdbFIIP,https://api.spotify.com/v1/tracks/4YXpOUsH5n3kRFiQdbFIIP,https://api.spotify.com/v1/audio-analysis/4YXpOUsH5n3kRFiQdbFIIP,233300,4
Asadoya tunta,0.551,0.15,3,-21.775,1,0.0555,0.967,0.928,0.127,0.348,76.988,audio_features,42rJO6NvuBB6wqQgiWVAM4,spotify:track:42rJO6NvuBB6wqQgiWVAM4,https://api.spotify.com/v1/tracks/42rJO6NvuBB6wqQgiWVAM4,https://api.spotify.com/v1/audio-analysis/42rJO6NvuBB6wqQgiWVAM4,154671,4
Bali,0.563,0.18,6,-18.791,1,0.0383,0.956,0.907,0.107,0.362,115.292,audio_features,0gIQviarG5RlZbvCxfpHKL,spotify:track:0gIQviarG5RlZbvCxfpHKL,https://api.spotify.com/v1/tracks/0gIQviarG5RlZbvCxfpHKL,https://api.spotify.com/v1/audio-analysis/0gIQviarG5RlZbvCxfpHKL,348761,4
Kintoun,0.66,0.324,7,-14.873,1,0.0542,0.977,0.904,0.107,0.632,124.888,audio_features,10uKHRCQaU4QKpYngFb6cl,spotify:track:10uKHRCQaU4QKpYngFb6cl,https://api.spotify.com/v1/tracks/10uKHRCQaU4QKpYngFb6cl,https://api.spotify.com/v1/audio-analysis/10uKHRCQaU4QKpYngFb6cl,142759,4
Vella Lavella Island,0.517,0.162,0,-22.077,1,0.0426,0.949,0.883,0.115,0.22,108.504,audio_features,37cqsfs0gjmZp3LaSmroSA,spotify:track:37cqsfs0gjmZp3LaSmroSA,https://api.spotify.com/v1/tracks/37cqsfs0gjmZp3LaSmroSA,https://api.spotify.com/v1/audio-analysis/37cqsfs0gjmZp3LaSmroSA,211122,4
