name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
KISS OF DEATH(Produced by HYDE),0.544,0.908,5,-3.174,1,0.0743,0.000776,0,0.366,0.192,122.037,audio_features,5KAI6nfg3wQRmtwJ0PPaEW,spotify:track:5KAI6nfg3wQRmtwJ0PPaEW,https://api.spotify.com/v1/tracks/5KAI6nfg3wQRmtwJ0PPaEW,https://api.spotify.com/v1/audio-analysis/5KAI6nfg3wQRmtwJ0PPaEW,250200,4
雪の華,0.452,0.293,11,-7.24,1,0.0283,0.74,0,0.153,0.149,143.451,audio_features,6Zyizxfz4NXdCgVLwhuBNw,spotify:track:6Zyizxfz4NXdCgVLwhuBNw,https://api.spotify.com/v1/tracks/6Zyizxfz4NXdCgVLwhuBNw,https://api.spotify.com/v1/audio-analysis/6Zyizxfz4NXdCgVLwhuBNw,341973,4
僕が死のうと思ったのは,0.543,0.578,8,-6.898,1,0.0278,0.0648,1.11e-05,0.0896,0.384,168.042,audio_features,2NOIV90vZjJEzbKiJyGZiS,spotify:track:2NOIV90vZjJEzbKiJyGZiS,https://api.spotify.com/v1/tracks/2NOIV90vZjJEzbKiJyGZiS,https://api.spotify.com/v1/audio-analysis/2NOIV90vZjJEzbKiJyGZiS,382853,4
I,0.79,0.382,9,-7.497,0,0.036,0.599,2.57e-05,0.0993,0.559,78.022,audio_features,52rSYEoe3qcUzU54jD82L3,spotify:track:52rSYEoe3qcUzU54jD82L3,https://api.spotify.com/v1/tracks/52rSYEoe3qcUzU54jD82L3,https://api.spotify.com/v1/audio-analysis/52rSYEoe3qcUzU54jD82L3,275667,4
Wish,0.463,0.537,8,-8.001,1,0.0362,0.306,0,0.228,0.328,151.795,audio_features,6wMnf3VRkhtT8NmJuWNimt,spotify:track:6wMnf3VRkhtT8NmJuWNimt,https://api.spotify.com/v1/tracks/6wMnf3VRkhtT8NmJuWNimt,https://api.spotify.com/v1/audio-analysis/6wMnf3VRkhtT8NmJuWNimt,286384,4
ORION,0.526,0.482,11,-4.642,1,0.0286,0.158,0,0.352,0.44,143.763,audio_features,5qRiFTBYluZppQaxp5bGmK,spotify:track:5qRiFTBYluZppQaxp5bGmK,https://api.spotify.com/v1/tracks/5qRiFTBYluZppQaxp5bGmK,https://api.spotify.com/v1/audio-analysis/5qRiFTBYluZppQaxp5bGmK,292800,4
桜色舞うころ (Album Mix),0.408,0.377,3,-5.775,1,0.0286,0.871,0,0.17,0.287,168.105,audio_features,3mtyprgk9RSzV8a64Zap5O,spotify:track:3mtyprgk9RSzV8a64Zap5O,https://api.spotify.com/v1/tracks/3mtyprgk9RSzV8a64Zap5O,https://api.spotify.com/v1/audio-analysis/3mtyprgk9RSzV8a64Zap5O,296520,4
FIND THE WAY,0.472,0.226,3,-11.653,1,0.0271,0.798,0,0.0992,0.0974,74.736,audio_features,6mj3XXPRbBXUPG2yynVWO3,spotify:track:6mj3XXPRbBXUPG2yynVWO3,https://api.spotify.com/v1/tracks/6mj3XXPRbBXUPG2yynVWO3,https://api.spotify.com/v1/audio-analysis/6mj3XXPRbBXUPG2yynVWO3,326160,4
SYMPHONIA,0.467,0.841,3,-4.457,1,0.0475,0.00385,0,0.174,0.346,137.979,audio_features,5D8kbbSQyvh3oOi0K4SvnT,spotify:track:5D8kbbSQyvh3oOi0K4SvnT,https://api.spotify.com/v1/tracks/5D8kbbSQyvh3oOi0K4SvnT,https://api.spotify.com/v1/audio-analysis/5D8kbbSQyvh3oOi0K4SvnT,271680,4
僕が死のうと思ったのは,0.55,0.555,8,-7.9,1,0.0275,0.0644,2.61e-05,0.0964,0.383,167.871,audio_features,27a8YkCwNUHuD28rmYegHq,spotify:track:27a8YkCwNUHuD28rmYegHq,https://api.spotify.com/v1/tracks/27a8YkCwNUHuD28rmYegHq,https://api.spotify.com/v1/audio-analysis/27a8YkCwNUHuD28rmYegHq,380880,4
LIFE,0.671,0.653,7,-5.007,1,0.0435,0.359,0,0.127,0.44,104.03,audio_features,2mGEQITv0Na4anchcYXl9k,spotify:track:2mGEQITv0Na4anchcYXl9k,https://api.spotify.com/v1/tracks/2mGEQITv0Na4anchcYXl9k,https://api.spotify.com/v1/audio-analysis/2mGEQITv0Na4anchcYXl9k,243427,4
STARS,0.522,0.564,5,-6.222,1,0.0293,0.605,3.58e-06,0.211,0.228,145.516,audio_features,7dfwwngB6YThXZvb27c7Ct,spotify:track:7dfwwngB6YThXZvb27c7Ct,https://api.spotify.com/v1/tracks/7dfwwngB6YThXZvb27c7Ct,https://api.spotify.com/v1/audio-analysis/7dfwwngB6YThXZvb27c7Ct,368533,4
Mirage,0.333,0.347,4,-9.57,0,0.0347,0.0682,0,0.106,0.0703,142.92,audio_features,2WeUXHOVyMTcoeTZTdZbaU,spotify:track:2WeUXHOVyMTcoeTZTdZbaU,https://api.spotify.com/v1/tracks/2WeUXHOVyMTcoeTZTdZbaU,https://api.spotify.com/v1/audio-analysis/2WeUXHOVyMTcoeTZTdZbaU,286200,4
僕が死のうと思ったのは - From THE FIRST TAKE,0.592,0.201,8,-10.817,1,0.0313,0.957,6.44e-05,0.123,0.208,78.296,audio_features,42gpqMK1oKf1Xq8DCGHGuF,spotify:track:42gpqMK1oKf1Xq8DCGHGuF,https://api.spotify.com/v1/tracks/42gpqMK1oKf1Xq8DCGHGuF,https://api.spotify.com/v1/audio-analysis/42gpqMK1oKf1Xq8DCGHGuF,410987,4
KISS OF DEATH (Produced by HYDE) Remix ver.,0.641,0.666,2,-5.572,0,0.0277,0.0284,0.00108,0.161,0.187,121.946,audio_features,3pEfgWIyggNsWuJ38igTLp,spotify:track:3pEfgWIyggNsWuJ38igTLp,https://api.spotify.com/v1/tracks/3pEfgWIyggNsWuJ38igTLp,https://api.spotify.com/v1/audio-analysis/3pEfgWIyggNsWuJ38igTLp,298787,4
ALWAYS,0.536,0.434,6,-4.603,1,0.0251,0.606,0,0.13,0.27,135.926,audio_features,6lxbvKstHbq2grybYA52T8,spotify:track:6lxbvKstHbq2grybYA52T8,https://api.spotify.com/v1/tracks/6lxbvKstHbq2grybYA52T8,https://api.spotify.com/v1/audio-analysis/6lxbvKstHbq2grybYA52T8,313333,4
KISS OF DEATH(Produced by HYDE),0.545,0.908,5,-3.182,1,0.0671,0.000805,0,0.361,0.209,121.972,audio_features,1fgwQ5jQ1y5i06p4DawTAd,spotify:track:1fgwQ5jQ1y5i06p4DawTAd,https://api.spotify.com/v1/tracks/1fgwQ5jQ1y5i06p4DawTAd,https://api.spotify.com/v1/audio-analysis/1fgwQ5jQ1y5i06p4DawTAd,249707,4
愛してる,0.57,0.48,5,-6.959,1,0.0272,0.64,0,0.103,0.436,74.958,audio_features,79EmAAlPc0NnSP5lR4jfRv,spotify:track:79EmAAlPc0NnSP5lR4jfRv,https://api.spotify.com/v1/tracks/79EmAAlPc0NnSP5lR4jfRv,https://api.spotify.com/v1/audio-analysis/79EmAAlPc0NnSP5lR4jfRv,330693,4
僕が死のうと思ったのは Piano & Voice Style,0.454,0.238,5,-10.099,0,0.0314,0.691,9.84e-06,0.123,0.179,149.389,audio_features,4QUVAXcTgs9XFQVQ1tYiNo,spotify:track:4QUVAXcTgs9XFQVQ1tYiNo,https://api.spotify.com/v1/tracks/4QUVAXcTgs9XFQVQ1tYiNo,https://api.spotify.com/v1/audio-analysis/4QUVAXcTgs9XFQVQ1tYiNo,441067,4
明日世界が終わるなら,0.643,0.411,11,-7.993,0,0.0386,0.357,0,0.264,0.162,93.015,audio_features,3LgWsrESNiWcIICqDiFMij,spotify:track:3LgWsrESNiWcIICqDiFMij,https://api.spotify.com/v1/tracks/3LgWsrESNiWcIICqDiFMij,https://api.spotify.com/v1/audio-analysis/3LgWsrESNiWcIICqDiFMij,269240,4
WILL (album version),0.491,0.625,5,-4.371,0,0.0311,0.657,0,0.152,0.231,139.428,audio_features,1ZhwTnaFUqfkSDn8ZWsyHV,spotify:track:1ZhwTnaFUqfkSDn8ZWsyHV,https://api.spotify.com/v1/tracks/1ZhwTnaFUqfkSDn8ZWsyHV,https://api.spotify.com/v1/audio-analysis/1ZhwTnaFUqfkSDn8ZWsyHV,330093,4
Wish,0.463,0.537,8,-8.001,1,0.0362,0.306,0,0.228,0.328,151.795,audio_features,6FKD84N4mVnqIYRruFnnoe,spotify:track:6FKD84N4mVnqIYRruFnnoe,https://api.spotify.com/v1/tracks/6FKD84N4mVnqIYRruFnnoe,https://api.spotify.com/v1/audio-analysis/6FKD84N4mVnqIYRruFnnoe,288707,4
見えない星,0.534,0.383,9,-6.046,1,0.0278,0.692,1.49e-05,0.0868,0.209,145.896,audio_features,2SSz68ObZd7KGWvRilrYdd,spotify:track:2SSz68ObZd7KGWvRilrYdd,https://api.spotify.com/v1/tracks/2SSz68ObZd7KGWvRilrYdd,https://api.spotify.com/v1/audio-analysis/2SSz68ObZd7KGWvRilrYdd,316400,4
雪の華,0.444,0.331,11,-6.325,1,0.0276,0.747,7.99e-06,0.123,0.153,143.926,audio_features,2T7lHRPM7iIiqgcoiQQaak,spotify:track:2T7lHRPM7iIiqgcoiQQaak,https://api.spotify.com/v1/tracks/2T7lHRPM7iIiqgcoiQQaak,https://api.spotify.com/v1/audio-analysis/2T7lHRPM7iIiqgcoiQQaak,340467,4
SAY YES,0.513,0.272,7,-10.719,1,0.0274,0.751,0,0.12,0.184,80.874,audio_features,447GHX8lFbYBfQg4b8mtDK,spotify:track:447GHX8lFbYBfQg4b8mtDK,https://api.spotify.com/v1/tracks/447GHX8lFbYBfQg4b8mtDK,https://api.spotify.com/v1/audio-analysis/447GHX8lFbYBfQg4b8mtDK,303360,4
Dear,0.542,0.528,5,-6.513,1,0.0289,0.523,1.25e-06,0.104,0.204,159.811,audio_features,7qWiKNBPppNZAZ1l8qDGX4,spotify:track:7qWiKNBPppNZAZ1l8qDGX4,https://api.spotify.com/v1/tracks/7qWiKNBPppNZAZ1l8qDGX4,https://api.spotify.com/v1/audio-analysis/7qWiKNBPppNZAZ1l8qDGX4,312280,4
僕が死のうと思ったのは - From THE FIRST TAKE,0.592,0.201,8,-10.817,1,0.0313,0.957,6.44e-05,0.123,0.208,78.296,audio_features,16Plpurbog66F1hpBy9seY,spotify:track:16Plpurbog66F1hpBy9seY,https://api.spotify.com/v1/tracks/16Plpurbog66F1hpBy9seY,https://api.spotify.com/v1/audio-analysis/16Plpurbog66F1hpBy9seY,410987,4
初恋,0.559,0.324,9,-7.083,1,0.0308,0.76,0,0.101,0.215,138.021,audio_features,1sYLYjK8O1J8qcEpCwEulA,spotify:track:1sYLYjK8O1J8qcEpCwEulA,https://api.spotify.com/v1/tracks/1sYLYjK8O1J8qcEpCwEulA,https://api.spotify.com/v1/audio-analysis/1sYLYjK8O1J8qcEpCwEulA,362600,4
一番綺麗な私を,0.473,0.526,6,-5.128,0,0.026,0.279,0,0.219,0.308,170.036,audio_features,5Tv8nERhCI9l4xTusV01zl,spotify:track:5Tv8nERhCI9l4xTusV01zl,https://api.spotify.com/v1/tracks/5Tv8nERhCI9l4xTusV01zl,https://api.spotify.com/v1/audio-analysis/5Tv8nERhCI9l4xTusV01zl,270013,4
接吻,0.658,0.546,1,-7.565,1,0.0234,0.129,1.66e-05,0.0907,0.627,81.996,audio_features,7dU2pLQUzWxXmBXtAFm0YZ,spotify:track:7dU2pLQUzWxXmBXtAFm0YZ,https://api.spotify.com/v1/tracks/7dU2pLQUzWxXmBXtAFm0YZ,https://api.spotify.com/v1/audio-analysis/7dU2pLQUzWxXmBXtAFm0YZ,363373,4
雪の華 - From THE FIRST TAKE,0.495,0.245,11,-9.228,1,0.0448,0.966,0,0.197,0.216,140.976,audio_features,5Fo2CcKssY4SKGWI04i8iV,spotify:track:5Fo2CcKssY4SKGWI04i8iV,https://api.spotify.com/v1/tracks/5Fo2CcKssY4SKGWI04i8iV,https://api.spotify.com/v1/audio-analysis/5Fo2CcKssY4SKGWI04i8iV,360120,4
花束,0.442,0.535,6,-5.365,1,0.0278,0.669,0,0.328,0.189,81.955,audio_features,01XeXWqv81bj6okLrV6eUf,spotify:track:01XeXWqv81bj6okLrV6eUf,https://api.spotify.com/v1/tracks/01XeXWqv81bj6okLrV6eUf,https://api.spotify.com/v1/audio-analysis/01XeXWqv81bj6okLrV6eUf,271200,4
KISS OF DEATH(Produced by HYDE)instrumental,0.454,0.898,5,-5.607,1,0.0406,1.01e-05,0.925,0.37,0.238,122.026,audio_features,4rkpwATXco0ms6oTU8cOoA,spotify:track:4rkpwATXco0ms6oTU8cOoA,https://api.spotify.com/v1/tracks/4rkpwATXco0ms6oTU8cOoA,https://api.spotify.com/v1/audio-analysis/4rkpwATXco0ms6oTU8cOoA,249693,4
CRY NO MORE,0.541,0.502,9,-4.692,1,0.0253,0.382,3.35e-06,0.24,0.36,82.039,audio_features,0MaQiuTumfTdYpy7Hn0ogl,spotify:track:0MaQiuTumfTdYpy7Hn0ogl,https://api.spotify.com/v1/tracks/0MaQiuTumfTdYpy7Hn0ogl,https://api.spotify.com/v1/audio-analysis/0MaQiuTumfTdYpy7Hn0ogl,280413,4
KISS OF DEATH(Produced by HYDE),0.539,0.915,5,-2.858,1,0.0702,0.000717,0,0.363,0.23,121.974,audio_features,2RNlplRuTJU5DRshHvOdFU,spotify:track:2RNlplRuTJU5DRshHvOdFU,https://api.spotify.com/v1/tracks/2RNlplRuTJU5DRshHvOdFU,https://api.spotify.com/v1/audio-analysis/2RNlplRuTJU5DRshHvOdFU,249693,4
僕が死のうと思ったのは(Live at NHK Hall 2016.07.22),0.402,0.261,5,-8.874,0,0.0315,0.818,5.28e-05,0.643,0.214,75.413,audio_features,2iKALqKROorXRgwF296sYp,spotify:track:2iKALqKROorXRgwF296sYp,https://api.spotify.com/v1/tracks/2iKALqKROorXRgwF296sYp,https://api.spotify.com/v1/audio-analysis/2iKALqKROorXRgwF296sYp,432440,4
Wish -Instrumental-,0.476,0.499,5,-11.643,0,0.026,0.0179,0.885,0.232,0.304,75.973,audio_features,0kfhO6s20L4qvo7s1WixOZ,spotify:track:0kfhO6s20L4qvo7s1WixOZ,https://api.spotify.com/v1/tracks/0kfhO6s20L4qvo7s1WixOZ,https://api.spotify.com/v1/audio-analysis/0kfhO6s20L4qvo7s1WixOZ,288720,4
HELLO,0.483,0.873,10,-4.467,1,0.0975,0.00288,0,0.225,0.536,152.997,audio_features,4fbyb2tsyRSrTIuqszy8hg,spotify:track:4fbyb2tsyRSrTIuqszy8hg,https://api.spotify.com/v1/tracks/4fbyb2tsyRSrTIuqszy8hg,https://api.spotify.com/v1/audio-analysis/4fbyb2tsyRSrTIuqszy8hg,280320,4
