name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
スローモーション,0.609,0.679,6,-4.196,0,0.0368,0.52,1.35e-05,0.343,0.507,129.908,audio_features,05Jv77XQY22tgNnLOQqEc5,spotify:track:05Jv77XQY22tgNnLOQqEc5,https://api.spotify.com/v1/tracks/05Jv77XQY22tgNnLOQqEc5,https://api.spotify.com/v1/audio-analysis/05Jv77XQY22tgNnLOQqEc5,246360,4
"OH NO,OH YES! - 2012 Remaster",0.609,0.794,11,-7.096,0,0.0294,0.177,0.0689,0.0521,0.682,138.096,audio_features,2hGPfCRMjK2haWM6ja11XP,spotify:track:2hGPfCRMjK2haWM6ja11XP,https://api.spotify.com/v1/tracks/2hGPfCRMjK2haWM6ja11XP,https://api.spotify.com/v1/audio-analysis/2hGPfCRMjK2haWM6ja11XP,287587,4
トワイライト-夕暮れ便り-,0.522,0.547,8,-6.102,0,0.0238,0.428,0.0181,0.185,0.216,96.663,audio_features,35YQ3A5VudW0GvogeZXkCz,spotify:track:35YQ3A5VudW0GvogeZXkCz,https://api.spotify.com/v1/tracks/35YQ3A5VudW0GvogeZXkCz,https://api.spotify.com/v1/audio-analysis/35YQ3A5VudW0GvogeZXkCz,281400,4
難破船,0.394,0.408,10,-9.538,0,0.0264,0.657,0.188,0.0568,0.276,93.929,audio_features,7twgPijZoTe4AFxGEiWn9S,spotify:track:7twgPijZoTe4AFxGEiWn9S,https://api.spotify.com/v1/tracks/7twgPijZoTe4AFxGEiWn9S,https://api.spotify.com/v1/audio-analysis/7twgPijZoTe4AFxGEiWn9S,267733,4
1/2の神話,0.513,0.783,10,-7.471,0,0.0866,0.00818,0.015,0.237,0.497,164.991,audio_features,1n5TlR7Uve9xxnptvKhRIy,spotify:track:1n5TlR7Uve9xxnptvKhRIy,https://api.spotify.com/v1/tracks/1n5TlR7Uve9xxnptvKhRIy,https://api.spotify.com/v1/audio-analysis/1n5TlR7Uve9xxnptvKhRIy,199267,4
ミ・アモーレ[Meu amor e...] - 30th anniversary mix,0.626,0.924,2,-4.062,0,0.0985,0.111,1.02e-06,0.336,0.581,107.115,audio_features,3sqfq3aIVqXK0Ckq2FqD1s,spotify:track:3sqfq3aIVqXK0Ckq2FqD1s,https://api.spotify.com/v1/tracks/3sqfq3aIVqXK0Ckq2FqD1s,https://api.spotify.com/v1/audio-analysis/3sqfq3aIVqXK0Ckq2FqD1s,232280,4
"OH NO,OH YES!",0.597,0.784,11,-7.558,0,0.0286,0.482,0.36,0.0753,0.711,138.106,audio_features,3VkXmq1QVmTwDzxp3tMcuq,spotify:track:3VkXmq1QVmTwDzxp3tMcuq,https://api.spotify.com/v1/tracks/3VkXmq1QVmTwDzxp3tMcuq,https://api.spotify.com/v1/audio-analysis/3VkXmq1QVmTwDzxp3tMcuq,287533,4
飾りじゃないよの涙は,0.666,0.808,6,-6.372,0,0.0471,0.312,0,0.484,0.84,88.501,audio_features,07aCNKvztkev8NvHWOTp8R,spotify:track:07aCNKvztkev8NvHWOTp8R,https://api.spotify.com/v1/tracks/07aCNKvztkev8NvHWOTp8R,https://api.spotify.com/v1/audio-analysis/07aCNKvztkev8NvHWOTp8R,251093,4
"OH NO,OH YES! - 2012 Remaster",0.606,0.739,11,-8.035,0,0.0291,0.184,0.0582,0.072,0.659,138.064,audio_features,0PXdZbnjSdjy9mzifyx5l0,spotify:track:0PXdZbnjSdjy9mzifyx5l0,https://api.spotify.com/v1/tracks/0PXdZbnjSdjy9mzifyx5l0,https://api.spotify.com/v1/audio-analysis/0PXdZbnjSdjy9mzifyx5l0,286907,4
十戒(1984),0.676,0.711,0,-5.602,1,0.0313,0.258,7.36e-05,0.0614,0.437,148.912,audio_features,7vlFWcQDGcg6M1Q0bb8HsZ,spotify:track:7vlFWcQDGcg6M1Q0bb8HsZ,https://api.spotify.com/v1/tracks/7vlFWcQDGcg6M1Q0bb8HsZ,https://api.spotify.com/v1/audio-analysis/7vlFWcQDGcg6M1Q0bb8HsZ,215600,4
