name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Omoide ga Ippai,0.692,0.444,0,-9.227,1,0.0338,0.759,0.000118,0.106,0.576,139.757,audio_features,6acCba47XubLAJ1D9TOZfh,spotify:track:6acCba47XubLAJ1D9TOZfh,https://api.spotify.com/v1/tracks/6acCba47XubLAJ1D9TOZfh,https://api.spotify.com/v1/audio-analysis/6acCba47XubLAJ1D9TOZfh,239973,4
Koigokoro,0.647,0.238,7,-10.793,1,0.0294,0.984,0.00113,0.117,0.195,73.984,audio_features,6AXkNjbK1psSA1pNTW7Afh,spotify:track:6AXkNjbK1psSA1pNTW7Afh,https://api.spotify.com/v1/tracks/6AXkNjbK1psSA1pNTW7Afh,https://api.spotify.com/v1/audio-analysis/6AXkNjbK1psSA1pNTW7Afh,251320,4
Kitto Hitori ja Irarenai,0.738,0.456,5,-8.967,0,0.0356,0.691,0.00127,0.0958,0.769,97.977,audio_features,5TaKncwvMOm1qLW78hFbaY,spotify:track:5TaKncwvMOm1qLW78hFbaY,https://api.spotify.com/v1/tracks/5TaKncwvMOm1qLW78hFbaY,https://api.spotify.com/v1/audio-analysis/5TaKncwvMOm1qLW78hFbaY,270840,4
Massuguni,0.666,0.508,0,-7.808,1,0.029,0.426,1.29e-06,0.141,0.713,119.925,audio_features,3wU7JwbJVj9VCkPt7aSMrD,spotify:track:3wU7JwbJVj9VCkPt7aSMrD,https://api.spotify.com/v1/tracks/3wU7JwbJVj9VCkPt7aSMrD,https://api.spotify.com/v1/audio-analysis/3wU7JwbJVj9VCkPt7aSMrD,151880,4
Loreley,0.688,0.155,7,-10.432,1,0.0327,0.855,3.63e-06,0.0888,0.444,137.866,audio_features,3HANGSWtc1ydRfDOw4qux5,spotify:track:3HANGSWtc1ydRfDOw4qux5,https://api.spotify.com/v1/tracks/3HANGSWtc1ydRfDOw4qux5,https://api.spotify.com/v1/audio-analysis/3HANGSWtc1ydRfDOw4qux5,192093,4
Nakanaide,0.7,0.26,5,-9.515,1,0.0272,0.828,0,0.153,0.389,107.971,audio_features,68L8ZT27ugP46lxQm80zw9,spotify:track:68L8ZT27ugP46lxQm80zw9,https://api.spotify.com/v1/tracks/68L8ZT27ugP46lxQm80zw9,https://api.spotify.com/v1/audio-analysis/68L8ZT27ugP46lxQm80zw9,238307,4
I Go Crazy,0.668,0.695,4,-6.9,1,0.0348,0.205,0.00634,0.288,0.934,117.857,audio_features,1MNdoPh4NMF3LgJgHK8Wzx,spotify:track:1MNdoPh4NMF3LgJgHK8Wzx,https://api.spotify.com/v1/tracks/1MNdoPh4NMF3LgJgHK8Wzx,https://api.spotify.com/v1/audio-analysis/1MNdoPh4NMF3LgJgHK8Wzx,167213,4
Shiawase wa Hora Soko ni,0.611,0.532,2,-7.86,1,0.0315,0.698,0,0.3,0.588,120.931,audio_features,5kbmEx2iZug5cb6Jd3lkw4,spotify:track:5kbmEx2iZug5cb6Jd3lkw4,https://api.spotify.com/v1/tracks/5kbmEx2iZug5cb6Jd3lkw4,https://api.spotify.com/v1/audio-analysis/5kbmEx2iZug5cb6Jd3lkw4,253307,4
Happy Birthday,0.721,0.417,0,-7.458,1,0.0293,0.732,0,0.215,0.573,94.988,audio_features,45ML25GcUuLtM3u8Q6t8Xp,spotify:track:45ML25GcUuLtM3u8Q6t8Xp,https://api.spotify.com/v1/tracks/45ML25GcUuLtM3u8Q6t8Xp,https://api.spotify.com/v1/audio-analysis/45ML25GcUuLtM3u8Q6t8Xp,208160,4
Let Me in Your Eyes,0.769,0.331,0,-9.375,1,0.0328,0.798,0.00856,0.0784,0.614,84.01,audio_features,1rJ9ZUvodLlaJ8C8E7kvAi,spotify:track:1rJ9ZUvodLlaJ8C8E7kvAi,https://api.spotify.com/v1/tracks/1rJ9ZUvodLlaJ8C8E7kvAi,https://api.spotify.com/v1/audio-analysis/1rJ9ZUvodLlaJ8C8E7kvAi,273227,4
Think About the Good Time,0.688,0.344,9,-10.851,1,0.0285,0.921,0.00925,0.0743,0.395,87.934,audio_features,6uQWyLYFxdoJR8YCbJnERT,spotify:track:6uQWyLYFxdoJR8YCbJnERT,https://api.spotify.com/v1/tracks/6uQWyLYFxdoJR8YCbJnERT,https://api.spotify.com/v1/audio-analysis/6uQWyLYFxdoJR8YCbJnERT,319293,4
Ame no Wednesday,0.556,0.396,8,-11.602,1,0.0315,0.85,0.00266,0.19,0.38,107.732,audio_features,4ybwLVVnoSH7o6pr0Doo6S,spotify:track:4ybwLVVnoSH7o6pr0Doo6S,https://api.spotify.com/v1/tracks/4ybwLVVnoSH7o6pr0Doo6S,https://api.spotify.com/v1/audio-analysis/4ybwLVVnoSH7o6pr0Doo6S,277613,4
Mamorenai Yakusoku,0.781,0.272,0,-8.744,0,0.029,0.875,0,0.114,0.389,104.951,audio_features,0NosjZlCIZ7d8DzUuK48Qr,spotify:track:0NosjZlCIZ7d8DzUuK48Qr,https://api.spotify.com/v1/tracks/0NosjZlCIZ7d8DzUuK48Qr,https://api.spotify.com/v1/audio-analysis/0NosjZlCIZ7d8DzUuK48Qr,238560,4
