name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Can I friend you on Bassbook? lol,0.634,0.974,1,-2.279,0,0.26,0.067,3.58e-06,0.602,0.658,127.997,audio_features,5wEy787VwmAnA7GGhEzjHR,spotify:track:5wEy787VwmAnA7GGhEzjHR,https://api.spotify.com/v1/tracks/5wEy787VwmAnA7GGhEzjHR,https://api.spotify.com/v1/audio-analysis/5wEy787VwmAnA7GGhEzjHR,286947,4
Bassdrop Freaks - Long Ver.,0.447,0.977,4,-3.058,0,0.135,0.000411,0.0117,0.24,0.224,178.992,audio_features,2PZW9axL9ycEUGycWITnZD,spotify:track:2PZW9axL9ycEUGycWITnZD,https://api.spotify.com/v1/tracks/2PZW9axL9ycEUGycWITnZD,https://api.spotify.com/v1/audio-analysis/2PZW9axL9ycEUGycWITnZD,289093,4
Jikuchoetsu net idol monogatari,0.599,0.928,7,-2.698,1,0.356,0.18,0,0.0736,0.474,179.918,audio_features,2PxBjfK7R66jgdgtuCNF3x,spotify:track:2PxBjfK7R66jgdgtuCNF3x,https://api.spotify.com/v1/tracks/2PxBjfK7R66jgdgtuCNF3x,https://api.spotify.com/v1/audio-analysis/2PxBjfK7R66jgdgtuCNF3x,486087,4
Ange du Blanc Pur,0.325,0.904,0,-3.271,0,0.0817,0.129,0.000329,0.326,0.228,182.18,audio_features,1YEjSNhzKDgf31km8Qpmnz,spotify:track:1YEjSNhzKDgf31km8Qpmnz,https://api.spotify.com/v1/tracks/1YEjSNhzKDgf31km8Qpmnz,https://api.spotify.com/v1/audio-analysis/1YEjSNhzKDgf31km8Qpmnz,243319,4
"senpai, notice me!",0.503,0.988,8,-2.845,1,0.287,0.00115,0.379,0.113,0.14,154.937,audio_features,3q6fwV911vTYbOq7CbdeVG,spotify:track:3q6fwV911vTYbOq7CbdeVG,https://api.spotify.com/v1/tracks/3q6fwV911vTYbOq7CbdeVG,https://api.spotify.com/v1/audio-analysis/3q6fwV911vTYbOq7CbdeVG,280547,4
You Make My Life 1UP - x127 Long ver.,0.347,0.978,5,-1.731,1,0.112,0.00877,0.000972,0.354,0.483,180.007,audio_features,6Qx6YCgkFnxemNPlS7fyEA,spotify:track:6Qx6YCgkFnxemNPlS7fyEA,https://api.spotify.com/v1/tracks/6Qx6YCgkFnxemNPlS7fyEA,https://api.spotify.com/v1/audio-analysis/6Qx6YCgkFnxemNPlS7fyEA,280507,4
Onegai!Kon kon Oinarisama,0.563,0.992,11,-2.736,0,0.29,0.0258,0.131,0.136,0.553,174.932,audio_features,5oiw0307mDr46CIJeBnHO0,spotify:track:5oiw0307mDr46CIJeBnHO0,https://api.spotify.com/v1/tracks/5oiw0307mDr46CIJeBnHO0,https://api.spotify.com/v1/audio-analysis/5oiw0307mDr46CIJeBnHO0,244536,4
seashore on the moon,0.626,0.975,7,-3.396,1,0.202,0.0422,0.0506,0.126,0.442,128.065,audio_features,72YqoGVJq1g1V9xlBImQFl,spotify:track:72YqoGVJq1g1V9xlBImQFl,https://api.spotify.com/v1/tracks/72YqoGVJq1g1V9xlBImQFl,https://api.spotify.com/v1/audio-analysis/72YqoGVJq1g1V9xlBImQFl,253500,4
"Midnight, Starlight",0.71,0.897,9,-3.269,1,0.0797,0.0907,0.503,0.161,0.573,139.987,audio_features,7tQJxwhc299gXjAvjxxwsi,spotify:track:7tQJxwhc299gXjAvjxxwsi,https://api.spotify.com/v1/tracks/7tQJxwhc299gXjAvjxxwsi,https://api.spotify.com/v1/audio-analysis/7tQJxwhc299gXjAvjxxwsi,195413,4
Kansoku-eisei,0.468,0.943,6,-2.201,0,0.0699,0.114,0,0.187,0.552,91.531,audio_features,57n7x9GnxhF9UmeAUMkOUV,spotify:track:57n7x9GnxhF9UmeAUMkOUV,https://api.spotify.com/v1/tracks/57n7x9GnxhF9UmeAUMkOUV,https://api.spotify.com/v1/audio-analysis/57n7x9GnxhF9UmeAUMkOUV,283013,4
Petals,0.433,0.862,4,-4.282,0,0.0571,0.254,0.000376,0.0773,0.168,95.97,audio_features,0ix4vljkvwu8zRZvpGmrB9,spotify:track:0ix4vljkvwu8zRZvpGmrB9,https://api.spotify.com/v1/tracks/0ix4vljkvwu8zRZvpGmrB9,https://api.spotify.com/v1/audio-analysis/0ix4vljkvwu8zRZvpGmrB9,346119,4
