name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
きみとぼくのレゾナンス (feat. MEIKO),0.421,0.654,11,-4.584,1,0.0399,0.00155,0,0.105,0.614,80.001,audio_features,5GLh1duuHfa5aasWRtB6Y8,spotify:track:5GLh1duuHfa5aasWRtB6Y8,https://api.spotify.com/v1/tracks/5GLh1duuHfa5aasWRtB6Y8,https://api.spotify.com/v1/audio-analysis/5GLh1duuHfa5aasWRtB6Y8,269181,4
きとんて~る☆ -コネコノキモチ-,0.741,0.813,10,-2.115,1,0.063,0.11,0.00865,0.05,0.78,89.999,audio_features,6sDuJlJWB6M02mReyVAm3s,spotify:track:6sDuJlJWB6M02mReyVAm3s,https://api.spotify.com/v1/tracks/6sDuJlJWB6M02mReyVAm3s,https://api.spotify.com/v1/audio-analysis/6sDuJlJWB6M02mReyVAm3s,255573,4
花咲音 -ハナサクオト-,0.571,0.68,11,-4.556,0,0.0439,0.115,0,0.366,0.615,132.007,audio_features,1cPvPmctst6PFnTj4bQ0T0,spotify:track:1cPvPmctst6PFnTj4bQ0T0,https://api.spotify.com/v1/tracks/1cPvPmctst6PFnTj4bQ0T0,https://api.spotify.com/v1/audio-analysis/1cPvPmctst6PFnTj4bQ0T0,230909,4
Double Mē ~私が二人いたら~,0.686,0.815,8,-4.157,1,0.0315,0.121,0.0235,0.0626,0.737,128.025,audio_features,4HftV4601V7wwuPyZA7LdA,spotify:track:4HftV4601V7wwuPyZA7LdA,https://api.spotify.com/v1/tracks/4HftV4601V7wwuPyZA7LdA,https://api.spotify.com/v1/audio-analysis/4HftV4601V7wwuPyZA7LdA,318750,4
ココノコエ,0.293,0.806,1,-4.546,0,0.0482,0.00397,0,0.343,0.435,90.859,audio_features,7FxL5eG8t5YOA9HaMJPdcv,spotify:track:7FxL5eG8t5YOA9HaMJPdcv,https://api.spotify.com/v1/tracks/7FxL5eG8t5YOA9HaMJPdcv,https://api.spotify.com/v1/audio-analysis/7FxL5eG8t5YOA9HaMJPdcv,249749,4
ありふれたラブソング - An Ordinary Love Song -,0.702,0.471,7,-7.119,1,0.0291,0.606,0,0.067,0.813,138.022,audio_features,7s84A3whPJmz2oZ3vV7bPf,spotify:track:7s84A3whPJmz2oZ3vV7bPf,https://api.spotify.com/v1/tracks/7s84A3whPJmz2oZ3vV7bPf,https://api.spotify.com/v1/audio-analysis/7s84A3whPJmz2oZ3vV7bPf,233288,4
きとんて~る☆ -コネコノキモチ- 鏡音リンver.,0.598,0.823,10,-2.845,1,0.0512,0.124,0.00521,0.045,0.826,89.114,audio_features,2b9ATKqVYRYcjmDaDeoTeL,spotify:track:2b9ATKqVYRYcjmDaDeoTeL,https://api.spotify.com/v1/tracks/2b9ATKqVYRYcjmDaDeoTeL,https://api.spotify.com/v1/audio-analysis/2b9ATKqVYRYcjmDaDeoTeL,255573,4
ココノコエ (off vocal),0.435,0.727,1,-6.194,0,0.0351,0.000185,0.757,0.157,0.454,91.968,audio_features,6SYdhZvhb74ZkGO9LSXcoe,spotify:track:6SYdhZvhb74ZkGO9LSXcoe,https://api.spotify.com/v1/tracks/6SYdhZvhb74ZkGO9LSXcoe,https://api.spotify.com/v1/audio-analysis/6SYdhZvhb74ZkGO9LSXcoe,249749,4
アメイジング・グレイス -Vocaloid Gospel Version-,0.232,0.285,1,-4.007,1,0.0456,0.898,0.000282,0.132,0.149,177.778,audio_features,4mxGtktvYRkpsHh2c4PpC9,spotify:track:4mxGtktvYRkpsHh2c4PpC9,https://api.spotify.com/v1/tracks/4mxGtktvYRkpsHh2c4PpC9,https://api.spotify.com/v1/audio-analysis/4mxGtktvYRkpsHh2c4PpC9,204433,4
きみとぼくのレゾナンス (off vocal),0.462,0.626,11,-6.435,1,0.0385,3.49e-05,0.897,0.105,0.634,80.027,audio_features,0hwst2DIRcS8bXB55GXH9N,spotify:track:0hwst2DIRcS8bXB55GXH9N,https://api.spotify.com/v1/tracks/0hwst2DIRcS8bXB55GXH9N,https://api.spotify.com/v1/audio-analysis/0hwst2DIRcS8bXB55GXH9N,269181,4
マルゲリータ! -Three Girls Make a Market!-,0.574,0.824,1,-3.177,1,0.0378,0.123,0.0198,0.305,0.737,132.387,audio_features,2G2LgAQGTxYSu9lthtqwOf,spotify:track:2G2LgAQGTxYSu9lthtqwOf,https://api.spotify.com/v1/tracks/2G2LgAQGTxYSu9lthtqwOf,https://api.spotify.com/v1/audio-analysis/2G2LgAQGTxYSu9lthtqwOf,251235,4
夢は靴下の中に,0.595,0.621,6,-6.423,0,0.026,0.0366,9.66e-06,0.0921,0.482,138.012,audio_features,7bEGh5tw1IbRo2OSNEJInJ,spotify:track:7bEGh5tw1IbRo2OSNEJInJ,https://api.spotify.com/v1/tracks/7bEGh5tw1IbRo2OSNEJInJ,https://api.spotify.com/v1/audio-analysis/7bEGh5tw1IbRo2OSNEJInJ,269480,4
きとんて~る☆ -コネコノキモチ- (off vocal),0.723,0.887,10,-3.963,1,0.0464,0.0207,0.377,0.0652,0.78,89.976,audio_features,5ZIi5cmNHuHsy3j9pgU6pn,spotify:track:5ZIi5cmNHuHsy3j9pgU6pn,https://api.spotify.com/v1/tracks/5ZIi5cmNHuHsy3j9pgU6pn,https://api.spotify.com/v1/audio-analysis/5ZIi5cmNHuHsy3j9pgU6pn,255573,4
きみとぼくのレゾナンス-初音ミク「マジカルミライ 2020」Live- (feat. MEIKO),0.461,0.665,11,-13.352,1,0.0398,0.000256,0.448,0.278,0.701,160.0,audio_features,4JNhGlbXWqhXnmk8ZC001n,spotify:track:4JNhGlbXWqhXnmk8ZC001n,https://api.spotify.com/v1/tracks/4JNhGlbXWqhXnmk8ZC001n,https://api.spotify.com/v1/audio-analysis/4JNhGlbXWqhXnmk8ZC001n,247463,4
Memories in Amber -琥珀色の追憶-,0.403,0.746,2,-2.658,0,0.0435,0.275,2.15e-05,0.15,0.808,103.929,audio_features,1jkSNMo191Aak56qeAsNkZ,spotify:track:1jkSNMo191Aak56qeAsNkZ,https://api.spotify.com/v1/tracks/1jkSNMo191Aak56qeAsNkZ,https://api.spotify.com/v1/audio-analysis/1jkSNMo191Aak56qeAsNkZ,295385,4
