name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
君が笑む夕暮れ,0.358,0.485,9,-7.435,1,0.0389,0.609,0,0.204,0.222,165.9,audio_features,6xoeHus2kq0kpDwB8M2xR2,spotify:track:6xoeHus2kq0kpDwB8M2xR2,https://api.spotify.com/v1/tracks/6xoeHus2kq0kpDwB8M2xR2,https://api.spotify.com/v1/audio-analysis/6xoeHus2kq0kpDwB8M2xR2,321533,4
黄昏のスタアライト,0.493,0.957,6,-4.707,0,0.113,0.0502,2.5e-06,0.241,0.534,151.946,audio_features,0tSJvHLPwKiRjSTzRyHGUW,spotify:track:0tSJvHLPwKiRjSTzRyHGUW,https://api.spotify.com/v1/tracks/0tSJvHLPwKiRjSTzRyHGUW,https://api.spotify.com/v1/audio-analysis/0tSJvHLPwKiRjSTzRyHGUW,244240,4
"みんなの""好きな言葉""で書いた歌",0.697,0.763,1,-7.121,1,0.0333,0.129,0,0.213,0.886,136.031,audio_features,6wH0MbJMNEW4mK4x8wsvvZ,spotify:track:6wH0MbJMNEW4mK4x8wsvvZ,https://api.spotify.com/v1/tracks/6wH0MbJMNEW4mK4x8wsvvZ,https://api.spotify.com/v1/audio-analysis/6wH0MbJMNEW4mK4x8wsvvZ,279400,4
EVOLUTiON:,0.521,0.957,4,-3.522,0,0.0916,0.0174,0,0.0903,0.489,130.994,audio_features,7MCYLw2nHOgvA8cRbI1Cme,spotify:track:7MCYLw2nHOgvA8cRbI1Cme,https://api.spotify.com/v1/tracks/7MCYLw2nHOgvA8cRbI1Cme,https://api.spotify.com/v1/audio-analysis/7MCYLw2nHOgvA8cRbI1Cme,254373,4
ヒトリとキミと,0.686,0.851,4,-5.306,1,0.0304,0.158,0,0.224,0.738,131.993,audio_features,7Lr6zxhUdO5mwu5pGItYAu,spotify:track:7Lr6zxhUdO5mwu5pGItYAu,https://api.spotify.com/v1/tracks/7Lr6zxhUdO5mwu5pGItYAu,https://api.spotify.com/v1/audio-analysis/7Lr6zxhUdO5mwu5pGItYAu,261547,4
ゼロイチキセキ,0.417,0.915,5,-4.548,1,0.0567,0.0845,0,0.115,0.522,161.016,audio_features,0ospi1onFb8lX26brjGs8Y,spotify:track:0ospi1onFb8lX26brjGs8Y,https://api.spotify.com/v1/tracks/0ospi1onFb8lX26brjGs8Y,https://api.spotify.com/v1/audio-analysis/0ospi1onFb8lX26brjGs8Y,258613,4
黄昏のスタアライト,0.428,0.969,6,-3.495,0,0.161,0.0363,5.73e-06,0.202,0.547,152.042,audio_features,2GZMmzBWHp5MOwlFrKjSHA,spotify:track:2GZMmzBWHp5MOwlFrKjSHA,https://api.spotify.com/v1/tracks/2GZMmzBWHp5MOwlFrKjSHA,https://api.spotify.com/v1/audio-analysis/2GZMmzBWHp5MOwlFrKjSHA,246040,4
藪の中のジンテーゼ,0.554,0.74,9,-5.391,0,0.0272,0.405,8.62e-06,0.327,0.478,100.964,audio_features,1Cs4tzBwJLdGAtc42CGWev,spotify:track:1Cs4tzBwJLdGAtc42CGWev,https://api.spotify.com/v1/tracks/1Cs4tzBwJLdGAtc42CGWev,https://api.spotify.com/v1/audio-analysis/1Cs4tzBwJLdGAtc42CGWev,234813,4
あなたの愛した世界,0.505,0.91,8,-3.863,1,0.098,0.554,1.05e-05,0.0291,0.74,172.017,audio_features,0PVqLn1ODy4rhlYp6bThFj,spotify:track:0PVqLn1ODy4rhlYp6bThFj,https://api.spotify.com/v1/tracks/0PVqLn1ODy4rhlYp6bThFj,https://api.spotify.com/v1/audio-analysis/0PVqLn1ODy4rhlYp6bThFj,225853,4
君が笑む夕暮れ,0.351,0.509,9,-6.949,1,0.0407,0.593,0,0.163,0.237,82.983,audio_features,6pKBz20VmD2ad2UinThFk0,spotify:track:6pKBz20VmD2ad2UinThFk0,https://api.spotify.com/v1/tracks/6pKBz20VmD2ad2UinThFk0,https://api.spotify.com/v1/audio-analysis/6pKBz20VmD2ad2UinThFk0,323480,4
サヨナラの惑星,0.378,0.906,10,-2.561,1,0.0448,0.0201,0,0.0776,0.467,172.064,audio_features,3iIW4q4L51vo0oaaKqIAHI,spotify:track:3iIW4q4L51vo0oaaKqIAHI,https://api.spotify.com/v1/tracks/3iIW4q4L51vo0oaaKqIAHI,https://api.spotify.com/v1/audio-analysis/3iIW4q4L51vo0oaaKqIAHI,227400,5
あなたの愛した世界,0.396,0.95,8,-2.264,1,0.189,0.457,8.25e-06,0.0302,0.706,172.061,audio_features,2suEF38keu71czvZw9j2pa,spotify:track:2suEF38keu71czvZw9j2pa,https://api.spotify.com/v1/tracks/2suEF38keu71czvZw9j2pa,https://api.spotify.com/v1/audio-analysis/2suEF38keu71czvZw9j2pa,227853,4
君のとなり わたしの場所,0.466,0.704,2,-3.93,1,0.0342,0.261,0,0.0848,0.713,203.652,audio_features,4nzeWv6od31dte9gtqMRve,spotify:track:4nzeWv6od31dte9gtqMRve,https://api.spotify.com/v1/tracks/4nzeWv6od31dte9gtqMRve,https://api.spotify.com/v1/audio-analysis/4nzeWv6od31dte9gtqMRve,261413,4
小さな恋の花,0.787,0.68,2,-5.727,1,0.0334,0.263,0,0.212,0.787,122.009,audio_features,3uuOITJ1Nn0kZHivyrkdBu,spotify:track:3uuOITJ1Nn0kZHivyrkdBu,https://api.spotify.com/v1/tracks/3uuOITJ1Nn0kZHivyrkdBu,https://api.spotify.com/v1/audio-analysis/3uuOITJ1Nn0kZHivyrkdBu,269000,4
believe in myself,0.547,0.899,8,-3.682,1,0.0428,0.0424,1.19e-06,0.301,0.893,175.982,audio_features,6ldyvocdDjvBN82P95QyG8,spotify:track:6ldyvocdDjvBN82P95QyG8,https://api.spotify.com/v1/tracks/6ldyvocdDjvBN82P95QyG8,https://api.spotify.com/v1/audio-analysis/6ldyvocdDjvBN82P95QyG8,235640,4
今日もいい天気だよ,0.727,0.5,1,-8.349,1,0.0241,0.369,0,0.31,0.63,97.944,audio_features,6yuj1QHQbpjrZJfEl2sNRg,spotify:track:6yuj1QHQbpjrZJfEl2sNRg,https://api.spotify.com/v1/tracks/6yuj1QHQbpjrZJfEl2sNRg,https://api.spotify.com/v1/audio-analysis/6yuj1QHQbpjrZJfEl2sNRg,264387,4
・R・i・n・g・,0.448,0.944,7,-3.916,0,0.082,0.0185,0,0.322,0.666,166.116,audio_features,6oZ38lt3LlLDhr7f5AUM2c,spotify:track:6oZ38lt3LlLDhr7f5AUM2c,https://api.spotify.com/v1/tracks/6oZ38lt3LlLDhr7f5AUM2c,https://api.spotify.com/v1/audio-analysis/6oZ38lt3LlLDhr7f5AUM2c,258987,4
きみを探しに,0.371,0.874,5,-2.642,1,0.0555,0.0352,6.9e-06,0.136,0.332,174.821,audio_features,35D2xRikxRR5O1BtudKY6C,spotify:track:35D2xRikxRR5O1BtudKY6C,https://api.spotify.com/v1/tracks/35D2xRikxRR5O1BtudKY6C,https://api.spotify.com/v1/audio-analysis/35D2xRikxRR5O1BtudKY6C,223560,4
君のとなり わたしの場所,0.666,0.642,2,-5.686,1,0.0266,0.337,0,0.0868,0.757,101.746,audio_features,3vPj4ZOj3XdEGb11V2KEDr,spotify:track:3vPj4ZOj3XdEGb11V2KEDr,https://api.spotify.com/v1/tracks/3vPj4ZOj3XdEGb11V2KEDr,https://api.spotify.com/v1/audio-analysis/3vPj4ZOj3XdEGb11V2KEDr,260640,4
新世界,0.4,0.912,4,-4.38,0,0.0452,0.0789,0,0.337,0.717,175.008,audio_features,1VbhYYbGV6bl1cIDvaH5vK,spotify:track:1VbhYYbGV6bl1cIDvaH5vK,https://api.spotify.com/v1/tracks/1VbhYYbGV6bl1cIDvaH5vK,https://api.spotify.com/v1/audio-analysis/1VbhYYbGV6bl1cIDvaH5vK,220133,4
THE MEMORIES APARTMENT,0.62,0.978,10,-4.41,1,0.112,0.122,0,0.34,0.463,148.934,audio_features,2jAuYXh0gPbflqlgQzopOh,spotify:track:2jAuYXh0gPbflqlgQzopOh,https://api.spotify.com/v1/tracks/2jAuYXh0gPbflqlgQzopOh,https://api.spotify.com/v1/audio-analysis/2jAuYXh0gPbflqlgQzopOh,291440,4
君が笑む夕暮れ,0.579,0.562,9,-5.127,1,0.029,0.612,0,0.29,0.237,82.998,audio_features,1t99QDhXJfBGcYo7ppXG6R,spotify:track:1t99QDhXJfBGcYo7ppXG6R,https://api.spotify.com/v1/tracks/1t99QDhXJfBGcYo7ppXG6R,https://api.spotify.com/v1/audio-analysis/1t99QDhXJfBGcYo7ppXG6R,324467,4
ゼロイチキセキ,0.389,0.938,5,-2.377,1,0.0593,0.229,0,0.108,0.447,160.986,audio_features,0gkzlTz001CFy5DWIYDp7j,spotify:track:0gkzlTz001CFy5DWIYDp7j,https://api.spotify.com/v1/tracks/0gkzlTz001CFy5DWIYDp7j,https://api.spotify.com/v1/audio-analysis/0gkzlTz001CFy5DWIYDp7j,257227,4
ゼロイチキセキ,0.424,0.927,5,-3.758,1,0.0539,0.0651,0,0.118,0.53,161.01,audio_features,5SS4vv4u6H54fIZmzLSCbn,spotify:track:5SS4vv4u6H54fIZmzLSCbn,https://api.spotify.com/v1/tracks/5SS4vv4u6H54fIZmzLSCbn,https://api.spotify.com/v1/audio-analysis/5SS4vv4u6H54fIZmzLSCbn,258107,4
believe in myself,0.53,0.868,8,-5.101,1,0.0448,0.0325,2.21e-06,0.289,0.878,176.023,audio_features,5Rs3le5oOK3ptnDNLxxKzS,spotify:track:5Rs3le5oOK3ptnDNLxxKzS,https://api.spotify.com/v1/tracks/5Rs3le5oOK3ptnDNLxxKzS,https://api.spotify.com/v1/audio-analysis/5Rs3le5oOK3ptnDNLxxKzS,234133,4
idc,0.696,0.99,8,-5.966,1,0.0975,0.0486,0,0.03,0.578,126.955,audio_features,7flCzrjZVqNlQeMnIq6mr0,spotify:track:7flCzrjZVqNlQeMnIq6mr0,https://api.spotify.com/v1/tracks/7flCzrjZVqNlQeMnIq6mr0,https://api.spotify.com/v1/audio-analysis/7flCzrjZVqNlQeMnIq6mr0,262387,4
涙流るるまま,0.574,0.6,4,-6.041,1,0.0307,0.536,0,0.198,0.423,109.953,audio_features,3uf8s26VLRhyAnZ2MgOyBl,spotify:track:3uf8s26VLRhyAnZ2MgOyBl,https://api.spotify.com/v1/tracks/3uf8s26VLRhyAnZ2MgOyBl,https://api.spotify.com/v1/audio-analysis/3uf8s26VLRhyAnZ2MgOyBl,209093,4
一切は物語,0.703,0.483,4,-10.724,0,0.0943,0.536,3.91e-06,0.118,0.222,117.858,audio_features,3MmLCJnVJef4zoDzqrOtsM,spotify:track:3MmLCJnVJef4zoDzqrOtsM,https://api.spotify.com/v1/tracks/3MmLCJnVJef4zoDzqrOtsM,https://api.spotify.com/v1/audio-analysis/3MmLCJnVJef4zoDzqrOtsM,351133,4
きみを探しに,0.363,0.762,5,-5.225,1,0.0577,0.0463,1.31e-05,0.0889,0.398,174.802,audio_features,3ejJKOvVvaArOHGwG4NyFR,spotify:track:3ejJKOvVvaArOHGwG4NyFR,https://api.spotify.com/v1/tracks/3ejJKOvVvaArOHGwG4NyFR,https://api.spotify.com/v1/audio-analysis/3ejJKOvVvaArOHGwG4NyFR,222013,4
and I,0.611,0.492,2,-8.103,1,0.0256,0.671,6.08e-05,0.116,0.149,102.993,audio_features,4Klvgv6iOaR4HgQA9IrAJP,spotify:track:4Klvgv6iOaR4HgQA9IrAJP,https://api.spotify.com/v1/tracks/4Klvgv6iOaR4HgQA9IrAJP,https://api.spotify.com/v1/audio-analysis/4Klvgv6iOaR4HgQA9IrAJP,314960,4
飛ぶサカナ,0.488,0.851,5,-5.414,1,0.0387,0.00369,0,0.072,0.659,164.008,audio_features,6wqteb7KlW544Nc95yHuMw,spotify:track:6wqteb7KlW544Nc95yHuMw,https://api.spotify.com/v1/tracks/6wqteb7KlW544Nc95yHuMw,https://api.spotify.com/v1/audio-analysis/6wqteb7KlW544Nc95yHuMw,246747,4
Gerbera,0.61,0.884,1,-4.524,1,0.0377,0.0273,0,0.108,0.75,124.997,audio_features,0VKSZHSDqPMQjCoSwL68Ea,spotify:track:0VKSZHSDqPMQjCoSwL68Ea,https://api.spotify.com/v1/tracks/0VKSZHSDqPMQjCoSwL68Ea,https://api.spotify.com/v1/audio-analysis/0VKSZHSDqPMQjCoSwL68Ea,293667,4
カタルモア,0.704,0.172,7,-11.846,1,0.0499,0.968,9.89e-06,0.112,0.384,76.019,audio_features,2beGc7b9qkZqrlk0V3fK0J,spotify:track:2beGc7b9qkZqrlk0V3fK0J,https://api.spotify.com/v1/tracks/2beGc7b9qkZqrlk0V3fK0J,https://api.spotify.com/v1/audio-analysis/2beGc7b9qkZqrlk0V3fK0J,243307,4
あなたの愛した世界,0.524,0.936,8,-2.317,1,0.0851,0.46,1.47e-05,0.0293,0.8,172.071,audio_features,1tQFs9IRzrKiusetwLqPnz,spotify:track:1tQFs9IRzrKiusetwLqPnz,https://api.spotify.com/v1/tracks/1tQFs9IRzrKiusetwLqPnz,https://api.spotify.com/v1/audio-analysis/1tQFs9IRzrKiusetwLqPnz,227947,4
blessing symphony,0.468,0.896,11,-3.806,1,0.0859,0.461,0,0.26,0.498,162.418,audio_features,2r6rKDqgRkhaSzy3P4h8xs,spotify:track:2r6rKDqgRkhaSzy3P4h8xs,https://api.spotify.com/v1/tracks/2r6rKDqgRkhaSzy3P4h8xs,https://api.spotify.com/v1/audio-analysis/2r6rKDqgRkhaSzy3P4h8xs,297013,4
Recording.,0.692,0.705,5,-5.711,1,0.0403,0.0959,0,0.14,0.514,133.949,audio_features,2CZBLC7W1HqrWLQ01cAyTI,spotify:track:2CZBLC7W1HqrWLQ01cAyTI,https://api.spotify.com/v1/tracks/2CZBLC7W1HqrWLQ01cAyTI,https://api.spotify.com/v1/audio-analysis/2CZBLC7W1HqrWLQ01cAyTI,320773,4
リトル・メモリー,0.715,0.659,3,-7.087,1,0.0256,0.228,0,0.277,0.779,121.046,audio_features,5TigjOqQ5MMz4QYqC0HAx5,spotify:track:5TigjOqQ5MMz4QYqC0HAx5,https://api.spotify.com/v1/tracks/5TigjOqQ5MMz4QYqC0HAx5,https://api.spotify.com/v1/audio-analysis/5TigjOqQ5MMz4QYqC0HAx5,276947,4
Simple feelings,0.521,0.918,7,-4.766,1,0.0801,0.119,0,0.142,0.548,159.945,audio_features,0s7kdMbO9gHnyMGHBGvJRS,spotify:track:0s7kdMbO9gHnyMGHBGvJRS,https://api.spotify.com/v1/tracks/0s7kdMbO9gHnyMGHBGvJRS,https://api.spotify.com/v1/audio-analysis/0s7kdMbO9gHnyMGHBGvJRS,253987,4
+ 1day,0.695,0.745,8,-4.837,1,0.0269,0.0584,2.06e-06,0.151,0.875,122.012,audio_features,2nyked0ASO490YHrOrh5nu,spotify:track:2nyked0ASO490YHrOrh5nu,https://api.spotify.com/v1/tracks/2nyked0ASO490YHrOrh5nu,https://api.spotify.com/v1/audio-analysis/2nyked0ASO490YHrOrh5nu,318147,4
光のはじまり,0.544,0.856,9,-3.234,1,0.0572,0.152,0,0.108,0.606,161.924,audio_features,626hrifIua5ah0X1jNUhsQ,spotify:track:626hrifIua5ah0X1jNUhsQ,https://api.spotify.com/v1/tracks/626hrifIua5ah0X1jNUhsQ,https://api.spotify.com/v1/audio-analysis/626hrifIua5ah0X1jNUhsQ,253387,4
FIND THE WAY,0.5,0.475,2,-7.508,1,0.0332,0.762,0.0014,0.0595,0.201,150.077,audio_features,3PTjNHFbtkaoEMoNuWAsdt,spotify:track:3PTjNHFbtkaoEMoNuWAsdt,https://api.spotify.com/v1/tracks/3PTjNHFbtkaoEMoNuWAsdt,https://api.spotify.com/v1/audio-analysis/3PTjNHFbtkaoEMoNuWAsdt,320893,4
ナチュラルカラー,0.563,0.702,6,-6.525,1,0.0428,0.362,0,0.312,0.572,151.855,audio_features,4Sj5fG95heqHqRgCdNQAlr,spotify:track:4Sj5fG95heqHqRgCdNQAlr,https://api.spotify.com/v1/tracks/4Sj5fG95heqHqRgCdNQAlr,https://api.spotify.com/v1/audio-analysis/4Sj5fG95heqHqRgCdNQAlr,264960,4
スキップトラベル,0.532,0.629,8,-5.726,1,0.0328,0.611,0,0.116,0.651,172.015,audio_features,4ac60sTu2R3M1RPSVcBfLT,spotify:track:4ac60sTu2R3M1RPSVcBfLT,https://api.spotify.com/v1/tracks/4ac60sTu2R3M1RPSVcBfLT,https://api.spotify.com/v1/audio-analysis/4ac60sTu2R3M1RPSVcBfLT,269547,4
Silly-Go-Round,0.541,0.941,5,-5.246,0,0.0858,0.0778,0,0.0862,0.541,163.059,audio_features,2kHzI75sadhbEwWQLzxSrQ,spotify:track:2kHzI75sadhbEwWQLzxSrQ,https://api.spotify.com/v1/tracks/2kHzI75sadhbEwWQLzxSrQ,https://api.spotify.com/v1/audio-analysis/2kHzI75sadhbEwWQLzxSrQ,261253,4
黄昏のスタアライト,0.505,0.97,6,-3.024,0,0.114,0.0607,3.53e-06,0.176,0.542,151.993,audio_features,1Irv5jTZIvPShAJVPMAZla,spotify:track:1Irv5jTZIvPShAJVPMAZla,https://api.spotify.com/v1/tracks/1Irv5jTZIvPShAJVPMAZla,https://api.spotify.com/v1/audio-analysis/1Irv5jTZIvPShAJVPMAZla,246440,4
7月25日,0.495,0.592,5,-7.337,0,0.0336,0.444,0,0.174,0.344,182.057,audio_features,6D2J4EpXjTJfuYzziyeGmx,spotify:track:6D2J4EpXjTJfuYzziyeGmx,https://api.spotify.com/v1/tracks/6D2J4EpXjTJfuYzziyeGmx,https://api.spotify.com/v1/audio-analysis/6D2J4EpXjTJfuYzziyeGmx,359253,4
きみを探しに,0.381,0.813,5,-3.978,1,0.0591,0.0495,8.69e-05,0.0737,0.38,174.871,audio_features,1P5uJZLk17FNBNfIEmAWyH,spotify:track:1P5uJZLk17FNBNfIEmAWyH,https://api.spotify.com/v1/tracks/1P5uJZLk17FNBNfIEmAWyH,https://api.spotify.com/v1/audio-analysis/1P5uJZLk17FNBNfIEmAWyH,223080,4
サヨナラの惑星,0.498,0.132,10,-16.759,1,0.0501,0.955,1.68e-05,0.141,0.292,129.903,audio_features,4k45P7SwKUzkPYdsLvaJQV,spotify:track:4k45P7SwKUzkPYdsLvaJQV,https://api.spotify.com/v1/tracks/4k45P7SwKUzkPYdsLvaJQV,https://api.spotify.com/v1/audio-analysis/4k45P7SwKUzkPYdsLvaJQV,346053,4
今日もいい天気だよ 【名古屋国際会議場 センチュリーホール 2018.9.29】,0.658,0.53,1,-7.532,1,0.0255,0.704,0.000453,0.743,0.514,97.953,audio_features,25j90HltF4cI0L9LqInySX,spotify:track:25j90HltF4cI0L9LqInySX,https://api.spotify.com/v1/tracks/25j90HltF4cI0L9LqInySX,https://api.spotify.com/v1/audio-analysis/25j90HltF4cI0L9LqInySX,264160,4
夜、静かな夢 【市川市文化会館 Day2 2018.9.23】,0.662,0.0734,4,-17.718,1,0.0436,0.969,0.00312,0.0821,0.357,143.883,audio_features,4ElRPFOxCE9hPt2sq1MevL,spotify:track:4ElRPFOxCE9hPt2sq1MevL,https://api.spotify.com/v1/tracks/4ElRPFOxCE9hPt2sq1MevL,https://api.spotify.com/v1/audio-analysis/4ElRPFOxCE9hPt2sq1MevL,172520,4
飛ぶサカナ,0.481,0.942,5,-1.358,1,0.0613,0.0952,0,0.0775,0.493,163.983,audio_features,5zjh2tLwhJuVbgUU9RB8l1,spotify:track:5zjh2tLwhJuVbgUU9RB8l1,https://api.spotify.com/v1/tracks/5zjh2tLwhJuVbgUU9RB8l1,https://api.spotify.com/v1/audio-analysis/5zjh2tLwhJuVbgUU9RB8l1,245027,4
Recording. 【市川市文化会館 Day2 2018.9.23】,0.652,0.873,5,-4.218,1,0.0433,0.523,0,0.95,0.681,134.011,audio_features,4HvnE8pN82SI8EqDdd9AGF,spotify:track:4HvnE8pN82SI8EqDdd9AGF,https://api.spotify.com/v1/tracks/4HvnE8pN82SI8EqDdd9AGF,https://api.spotify.com/v1/audio-analysis/4HvnE8pN82SI8EqDdd9AGF,312467,4
Dear..,0.495,0.554,5,-5.252,1,0.0273,0.213,0,0.107,0.471,79.777,audio_features,2P2frWkpJpgEkNQfwf2nnc,spotify:track:2P2frWkpJpgEkNQfwf2nnc,https://api.spotify.com/v1/tracks/2P2frWkpJpgEkNQfwf2nnc,https://api.spotify.com/v1/audio-analysis/2P2frWkpJpgEkNQfwf2nnc,348587,4
ゼロイチキセキ 【静岡市民文化会館 大ホール 2018.10.14】,0.417,0.878,2,-4.119,0,0.04,0.216,0,0.964,0.649,161.007,audio_features,3d8UoBpLWS1gyYWBsd47go,spotify:track:3d8UoBpLWS1gyYWBsd47go,https://api.spotify.com/v1/tracks/3d8UoBpLWS1gyYWBsd47go,https://api.spotify.com/v1/audio-analysis/3d8UoBpLWS1gyYWBsd47go,267067,4
believe in myself 【市川市文化会館 Day2 2018.9.23】,0.468,0.917,8,-3.34,1,0.0446,0.304,0,0.725,0.765,176.027,audio_features,1DP1BLR3RxWiZaSFduVioh,spotify:track:1DP1BLR3RxWiZaSFduVioh,https://api.spotify.com/v1/tracks/1DP1BLR3RxWiZaSFduVioh,https://api.spotify.com/v1/audio-analysis/1DP1BLR3RxWiZaSFduVioh,234107,4
ヒトリとキミと<instrumental>,0.654,0.835,4,-7.267,1,0.0289,0.000658,0.9,0.133,0.762,132.006,audio_features,3AbukyBXKoWZxLGh3AtpvE,spotify:track:3AbukyBXKoWZxLGh3AtpvE,https://api.spotify.com/v1/tracks/3AbukyBXKoWZxLGh3AtpvE,https://api.spotify.com/v1/audio-analysis/3AbukyBXKoWZxLGh3AtpvE,261560,4
and I,0.499,0.277,2,-14.174,1,0.048,0.862,4.64e-06,0.146,0.162,182.138,audio_features,6lNWjdPdwTByYHDJTMiSb9,spotify:track:6lNWjdPdwTByYHDJTMiSb9,https://api.spotify.com/v1/tracks/6lNWjdPdwTByYHDJTMiSb9,https://api.spotify.com/v1/audio-analysis/6lNWjdPdwTByYHDJTMiSb9,365333,4
待ち合わせはあのカフェで!!! (店長とのかけあいVer.),0.422,0.891,2,-5.092,1,0.0718,0.00552,3.83e-05,0.173,0.695,159.983,audio_features,1k0wMl2JdG875ZBhxlmYjx,spotify:track:1k0wMl2JdG875ZBhxlmYjx,https://api.spotify.com/v1/tracks/1k0wMl2JdG875ZBhxlmYjx,https://api.spotify.com/v1/audio-analysis/1k0wMl2JdG875ZBhxlmYjx,286940,4
青星,0.401,0.932,5,-3.96,0,0.0905,0.0617,0,0.187,0.595,173.994,audio_features,4GVC2H727LbjuDMq6V1ibO,spotify:track:4GVC2H727LbjuDMq6V1ibO,https://api.spotify.com/v1/tracks/4GVC2H727LbjuDMq6V1ibO,https://api.spotify.com/v1/audio-analysis/4GVC2H727LbjuDMq6V1ibO,227200,4
灰色ノ街ヘ告グ 【名古屋国際会議場 センチュリーホール 2018.9.29】,0.456,0.877,2,-3.128,1,0.044,0.0838,0,0.914,0.552,153.904,audio_features,3VFfSq7ZEX5pZGMV34MNm3,spotify:track:3VFfSq7ZEX5pZGMV34MNm3,https://api.spotify.com/v1/tracks/3VFfSq7ZEX5pZGMV34MNm3,https://api.spotify.com/v1/audio-analysis/3VFfSq7ZEX5pZGMV34MNm3,264187,4
サクラタイマー,0.64,0.87,5,-3.454,1,0.0289,0.137,0,0.116,0.745,115.021,audio_features,3CryUV4jcvohYwlrOEyE7x,spotify:track:3CryUV4jcvohYwlrOEyE7x,https://api.spotify.com/v1/tracks/3CryUV4jcvohYwlrOEyE7x,https://api.spotify.com/v1/audio-analysis/3CryUV4jcvohYwlrOEyE7x,245880,4
光のはじまり<instrumental>,0.443,0.754,9,-8.213,1,0.0406,0.000122,0.836,0.106,0.427,161.976,audio_features,7EU4i52kS58nB8VtlpHt7B,spotify:track:7EU4i52kS58nB8VtlpHt7B,https://api.spotify.com/v1/tracks/7EU4i52kS58nB8VtlpHt7B,https://api.spotify.com/v1/audio-analysis/7EU4i52kS58nB8VtlpHt7B,254747,4
サクラタイマー,0.617,0.325,5,-13.813,1,0.0354,0.887,0.00181,0.105,0.557,188.07,audio_features,5C4sJsPFi0uJKtAEKsIqO6,spotify:track:5C4sJsPFi0uJKtAEKsIqO6,https://api.spotify.com/v1/tracks/5C4sJsPFi0uJKtAEKsIqO6,https://api.spotify.com/v1/audio-analysis/5C4sJsPFi0uJKtAEKsIqO6,296200,4
Simple feelings,0.496,0.938,7,-3.889,1,0.181,0.0778,0,0.226,0.379,159.985,audio_features,0s4w32PTEkUVfC87u29Ahl,spotify:track:0s4w32PTEkUVfC87u29Ahl,https://api.spotify.com/v1/tracks/0s4w32PTEkUVfC87u29Ahl,https://api.spotify.com/v1/audio-analysis/0s4w32PTEkUVfC87u29Ahl,253240,4
ゼリーな女,0.562,0.975,2,-4.811,1,0.0607,0.104,1.49e-05,0.299,0.656,163.092,audio_features,1CoQ51ypEqFyxlggzfKdQX,spotify:track:1CoQ51ypEqFyxlggzfKdQX,https://api.spotify.com/v1/tracks/1CoQ51ypEqFyxlggzfKdQX,https://api.spotify.com/v1/audio-analysis/1CoQ51ypEqFyxlggzfKdQX,227227,4
pledge,0.508,0.986,11,-3.624,0,0.0735,0.000392,0.000487,0.196,0.441,100.041,audio_features,7sN6XEAcqidXubrLdPTRpv,spotify:track:7sN6XEAcqidXubrLdPTRpv,https://api.spotify.com/v1/tracks/7sN6XEAcqidXubrLdPTRpv,https://api.spotify.com/v1/audio-analysis/7sN6XEAcqidXubrLdPTRpv,247640,4
そらほしひとつ,0.706,0.604,2,-6.545,0,0.0282,0.401,1.11e-05,0.056,0.428,100.995,audio_features,4gzNqnTPr4MNE5g3JRhmeW,spotify:track:4gzNqnTPr4MNE5g3JRhmeW,https://api.spotify.com/v1/tracks/4gzNqnTPr4MNE5g3JRhmeW,https://api.spotify.com/v1/audio-analysis/4gzNqnTPr4MNE5g3JRhmeW,331373,4
光のはじまり,0.486,0.773,9,-5.043,1,0.0665,0.0586,1.36e-06,0.105,0.566,161.88,audio_features,2AEXMFgop1Tzr3WkumwftV,spotify:track:2AEXMFgop1Tzr3WkumwftV,https://api.spotify.com/v1/tracks/2AEXMFgop1Tzr3WkumwftV,https://api.spotify.com/v1/audio-analysis/2AEXMFgop1Tzr3WkumwftV,255027,4
