name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
El Japonés,0.724,0.921,9,-0.505,0,0.0517,0.0251,0,0.0803,0.659,96.959,audio_features,2c5yGH3mKVU9zICPMllZer,spotify:track:2c5yGH3mKVU9zICPMllZer,https://api.spotify.com/v1/tracks/2c5yGH3mKVU9zICPMllZer,https://api.spotify.com/v1/audio-analysis/2c5yGH3mKVU9zICPMllZer,186587,4
タカラモノ~この声がなくなるまで~,0.577,0.852,0,-5.24,1,0.0662,0.041,0,0.131,0.48,127.888,audio_features,7FSUSqI5Ea1z9XmcMoMGSu,spotify:track:7FSUSqI5Ea1z9XmcMoMGSu,https://api.spotify.com/v1/tracks/7FSUSqI5Ea1z9XmcMoMGSu,https://api.spotify.com/v1/audio-analysis/7FSUSqI5Ea1z9XmcMoMGSu,260907,4
恋する季節,0.538,0.888,7,-2.9,0,0.0488,0.0117,0,0.079,0.591,98.049,audio_features,25eQea2tq7ELnlcdCEqkJA,spotify:track:25eQea2tq7ELnlcdCEqkJA,https://api.spotify.com/v1/tracks/25eQea2tq7ELnlcdCEqkJA,https://api.spotify.com/v1/audio-analysis/25eQea2tq7ELnlcdCEqkJA,269760,4
Brave,0.635,0.84,7,-3.627,1,0.0325,0.00704,0,0.3,0.567,113.042,audio_features,4xELzY0yXfAqH07CUwJlct,spotify:track:4xELzY0yXfAqH07CUwJlct,https://api.spotify.com/v1/tracks/4xELzY0yXfAqH07CUwJlct,https://api.spotify.com/v1/audio-analysis/4xELzY0yXfAqH07CUwJlct,256933,4
ありったけのLove Song,0.479,0.889,5,-3.207,1,0.0978,0.0772,0,0.106,0.724,80.039,audio_features,46AAGbHgQsjRdfte19OEtL,spotify:track:46AAGbHgQsjRdfte19OEtL,https://api.spotify.com/v1/tracks/46AAGbHgQsjRdfte19OEtL,https://api.spotify.com/v1/audio-analysis/46AAGbHgQsjRdfte19OEtL,292173,4
まんげつの夜,0.342,0.669,10,-4.0,1,0.0402,0.213,1.48e-06,0.245,0.525,81.777,audio_features,7pYpxMiJxygzZ4DovJsMfm,spotify:track:7pYpxMiJxygzZ4DovJsMfm,https://api.spotify.com/v1/tracks/7pYpxMiJxygzZ4DovJsMfm,https://api.spotify.com/v1/audio-analysis/7pYpxMiJxygzZ4DovJsMfm,254520,4
Overflows~言葉にできなくて~,0.48,0.63,3,-3.749,1,0.0289,0.237,0,0.228,0.54,77.316,audio_features,60QO7SvW5aaFgMLvltlr6E,spotify:track:60QO7SvW5aaFgMLvltlr6E,https://api.spotify.com/v1/tracks/60QO7SvW5aaFgMLvltlr6E,https://api.spotify.com/v1/audio-analysis/60QO7SvW5aaFgMLvltlr6E,250547,4
タカラモノ~この声がなくなるまで~,0.577,0.934,0,-2.485,1,0.126,0.0859,0,0.221,0.403,127.923,audio_features,7kURrWPXpXtpf8A4lOJV4V,spotify:track:7kURrWPXpXtpf8A4lOJV4V,https://api.spotify.com/v1/tracks/7kURrWPXpXtpf8A4lOJV4V,https://api.spotify.com/v1/audio-analysis/7kURrWPXpXtpf8A4lOJV4V,260080,4
Two Oruguitas,0.378,0.389,0,-8.743,1,0.0655,0.762,0,0.0925,0.562,80.005,audio_features,1sEaewPCEzD98sy2cdD8eA,spotify:track:1sEaewPCEzD98sy2cdD8eA,https://api.spotify.com/v1/tracks/1sEaewPCEzD98sy2cdD8eA,https://api.spotify.com/v1/audio-analysis/1sEaewPCEzD98sy2cdD8eA,214600,1
The World is ours !,0.474,0.961,2,-1.939,1,0.0914,0.00653,0,0.152,0.52,130.054,audio_features,6jpUb1H7kneKqK2Gwx7n5v,spotify:track:6jpUb1H7kneKqK2Gwx7n5v,https://api.spotify.com/v1/tracks/6jpUb1H7kneKqK2Gwx7n5v,https://api.spotify.com/v1/audio-analysis/6jpUb1H7kneKqK2Gwx7n5v,254667,4
