name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
すーぱーだーりー - 夏川椎菜 2nd Live Tour 2022 MAKEOVER Live at 中野サンプラザ,0.464,0.941,8,-5.528,1,0.113,0.0225,0.777,0.145,0.623,175.884,audio_features,64QfHcbk3EvqeGLREIo5IW,spotify:track:64QfHcbk3EvqeGLREIo5IW,https://api.spotify.com/v1/tracks/64QfHcbk3EvqeGLREIo5IW,https://api.spotify.com/v1/audio-analysis/64QfHcbk3EvqeGLREIo5IW,213769,4
アンチテーゼ,0.572,0.933,8,-2.5,0,0.0916,0.00434,0.00695,0.0952,0.701,147.992,audio_features,0iYcAKYOqCNANOsER7wp0o,spotify:track:0iYcAKYOqCNANOsER7wp0o,https://api.spotify.com/v1/tracks/0iYcAKYOqCNANOsER7wp0o,https://api.spotify.com/v1/audio-analysis/0iYcAKYOqCNANOsER7wp0o,259213,4
アンチテーゼ,0.577,0.932,1,-2.659,0,0.0925,0.00852,0.0177,0.108,0.71,147.998,audio_features,6gaTXvxDp4auqdGnAbE8tQ,spotify:track:6gaTXvxDp4auqdGnAbE8tQ,https://api.spotify.com/v1/tracks/6gaTXvxDp4auqdGnAbE8tQ,https://api.spotify.com/v1/audio-analysis/6gaTXvxDp4auqdGnAbE8tQ,258147,4
ササクレ,0.47,0.819,9,-3.843,1,0.0592,0.0546,0.207,0.404,0.293,166.012,audio_features,004Q7TsEI92sZ2r5iEiZGt,spotify:track:004Q7TsEI92sZ2r5iEiZGt,https://api.spotify.com/v1/tracks/004Q7TsEI92sZ2r5iEiZGt,https://api.spotify.com/v1/audio-analysis/004Q7TsEI92sZ2r5iEiZGt,245773,4
すーぱーだーりー - 夏川椎菜 2nd Live Tour 2022 MAKEOVER Live at 中野サンプラザ,0.464,0.941,8,-5.528,1,0.113,0.0225,0.777,0.145,0.623,175.884,audio_features,0Nypa5da6P3gVRLmHkgCiN,spotify:track:0Nypa5da6P3gVRLmHkgCiN,https://api.spotify.com/v1/tracks/0Nypa5da6P3gVRLmHkgCiN,https://api.spotify.com/v1/audio-analysis/0Nypa5da6P3gVRLmHkgCiN,213769,4
キタイダイ - 夏川椎菜 2nd Live Tour 2022 MAKEOVER Live at 中野サンプラザ,0.274,0.985,1,-3.272,1,0.286,0.000542,0.0474,0.156,0.176,199.878,audio_features,2PC4Jongd6jXjD5URLQ4Gn,spotify:track:2PC4Jongd6jXjD5URLQ4Gn,https://api.spotify.com/v1/tracks/2PC4Jongd6jXjD5URLQ4Gn,https://api.spotify.com/v1/audio-analysis/2PC4Jongd6jXjD5URLQ4Gn,236693,4
ステテクレバー,0.453,0.977,2,-2.549,1,0.209,0.00194,0.157,0.87,0.536,149.937,audio_features,7KGxZMxvauuHlWVtPy2yFF,spotify:track:7KGxZMxvauuHlWVtPy2yFF,https://api.spotify.com/v1/tracks/7KGxZMxvauuHlWVtPy2yFF,https://api.spotify.com/v1/audio-analysis/7KGxZMxvauuHlWVtPy2yFF,241187,4
パレイド,0.591,0.902,10,-3.194,1,0.0499,0.0157,0.448,0.319,0.576,115.986,audio_features,76XJBA3jg1up02NEUlNz6I,spotify:track:76XJBA3jg1up02NEUlNz6I,https://api.spotify.com/v1/tracks/76XJBA3jg1up02NEUlNz6I,https://api.spotify.com/v1/audio-analysis/76XJBA3jg1up02NEUlNz6I,249267,4
ササクレ - 夏川椎菜 2nd Live Tour 2022 MAKEOVER Live at 中野サンプラザ,0.456,0.815,9,-3.991,1,0.0495,0.0178,0.494,0.899,0.332,82.894,audio_features,7szNCpnxKl6JpbpufCdFFn,spotify:track:7szNCpnxKl6JpbpufCdFFn,https://api.spotify.com/v1/tracks/7szNCpnxKl6JpbpufCdFFn,https://api.spotify.com/v1/audio-analysis/7szNCpnxKl6JpbpufCdFFn,254360,4
クラクトリトルプライド,0.501,0.955,7,-3.051,1,0.104,0.00304,0.538,0.427,0.479,89.997,audio_features,0mets41dO01qRjHkOIxnzP,spotify:track:0mets41dO01qRjHkOIxnzP,https://api.spotify.com/v1/tracks/0mets41dO01qRjHkOIxnzP,https://api.spotify.com/v1/audio-analysis/0mets41dO01qRjHkOIxnzP,283667,4
