name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Ice breaker,0.594,0.874,5,-2.67,0,0.0694,0.0107,0,0.324,0.899,126.161,audio_features,0FEXG9Fj3lhH2g5eVwvNJ4,spotify:track:0FEXG9Fj3lhH2g5eVwvNJ4,https://api.spotify.com/v1/tracks/0FEXG9Fj3lhH2g5eVwvNJ4,https://api.spotify.com/v1/audio-analysis/0FEXG9Fj3lhH2g5eVwvNJ4,241000,4
フリィダムロリィタ,0.516,0.934,1,-3.228,0,0.0674,0.113,0,0.332,0.669,150.082,audio_features,3RQcsfD2CT4ldupQsjgvc0,spotify:track:3RQcsfD2CT4ldupQsjgvc0,https://api.spotify.com/v1/tracks/3RQcsfD2CT4ldupQsjgvc0,https://api.spotify.com/v1/audio-analysis/3RQcsfD2CT4ldupQsjgvc0,221483,4
ダリアダリア,0.548,0.958,11,-2.407,0,0.105,0.0187,0,0.171,0.885,140.014,audio_features,6trRFQLjI1XpE3Ex8Zp4Gm,spotify:track:6trRFQLjI1XpE3Ex8Zp4Gm,https://api.spotify.com/v1/tracks/6trRFQLjI1XpE3Ex8Zp4Gm,https://api.spotify.com/v1/audio-analysis/6trRFQLjI1XpE3Ex8Zp4Gm,130600,4
ピニャコラーダ,0.465,0.876,7,-2.94,0,0.0401,0.00353,0,0.342,0.636,135.038,audio_features,2lhevQG8CBo3diyk3ojjiR,spotify:track:2lhevQG8CBo3diyk3ojjiR,https://api.spotify.com/v1/tracks/2lhevQG8CBo3diyk3ojjiR,https://api.spotify.com/v1/audio-analysis/2lhevQG8CBo3diyk3ojjiR,221471,4
灰に潜れ,0.605,0.82,11,-4.306,0,0.0355,0.00889,1.93e-05,0.273,0.526,124.022,audio_features,1tctM5C7pYqJSicwTpIebq,spotify:track:1tctM5C7pYqJSicwTpIebq,https://api.spotify.com/v1/tracks/1tctM5C7pYqJSicwTpIebq,https://api.spotify.com/v1/audio-analysis/1tctM5C7pYqJSicwTpIebq,212000,4
パライソ・パライソ,0.628,0.923,11,-4.416,0,0.0381,0.0194,0,0.413,0.851,127.01,audio_features,47i8DT8oZl2KlIVsPDbIdr,spotify:track:47i8DT8oZl2KlIVsPDbIdr,https://api.spotify.com/v1/tracks/47i8DT8oZl2KlIVsPDbIdr,https://api.spotify.com/v1/audio-analysis/47i8DT8oZl2KlIVsPDbIdr,200300,4
Cruel and pure,0.535,0.96,9,-2.544,0,0.149,0.0231,0,0.108,0.728,150.061,audio_features,2tApWaCjblgWtUUA5xYGAw,spotify:track:2tApWaCjblgWtUUA5xYGAw,https://api.spotify.com/v1/tracks/2tApWaCjblgWtUUA5xYGAw,https://api.spotify.com/v1/audio-analysis/2tApWaCjblgWtUUA5xYGAw,231600,4
紫陽花の夜,0.494,0.917,1,-2.926,1,0.0372,0.106,0,0.159,0.725,159.978,audio_features,43W1nbrCZTEitWGerEbDR7,spotify:track:43W1nbrCZTEitWGerEbDR7,https://api.spotify.com/v1/tracks/43W1nbrCZTEitWGerEbDR7,https://api.spotify.com/v1/audio-analysis/43W1nbrCZTEitWGerEbDR7,203907,4
七草夢物語,0.516,0.957,9,-3.622,0,0.0578,0.0242,0,0.129,0.78,146.01,audio_features,2kuQYdVHVYdrxLHDIOLfsf,spotify:track:2kuQYdVHVYdrxLHDIOLfsf,https://api.spotify.com/v1/tracks/2kuQYdVHVYdrxLHDIOLfsf,https://api.spotify.com/v1/audio-analysis/2kuQYdVHVYdrxLHDIOLfsf,226707,4
噛んだっていいよ,0.688,0.892,7,-2.237,0,0.0335,0.343,0,0.0786,0.924,119.985,audio_features,3lnIWbge58tw4OLGw8Y1X9,spotify:track:3lnIWbge58tw4OLGw8Y1X9,https://api.spotify.com/v1/tracks/3lnIWbge58tw4OLGw8Y1X9,https://api.spotify.com/v1/audio-analysis/3lnIWbge58tw4OLGw8Y1X9,286800,4
ブラッディ グラビティ,0.513,0.953,9,-2.396,1,0.124,0.00146,0,0.0505,0.655,149.962,audio_features,6qQyHDWYVoBuOjxCRKc6xr,spotify:track:6qQyHDWYVoBuOjxCRKc6xr,https://api.spotify.com/v1/tracks/6qQyHDWYVoBuOjxCRKc6xr,https://api.spotify.com/v1/audio-analysis/6qQyHDWYVoBuOjxCRKc6xr,213507,4
イカサマジュリエット,0.513,0.638,11,-3.877,0,0.0318,0.00315,2.88e-06,0.185,0.835,115.019,audio_features,1jMg3XIzBH5Mi35crQbado,spotify:track:1jMg3XIzBH5Mi35crQbado,https://api.spotify.com/v1/tracks/1jMg3XIzBH5Mi35crQbado,https://api.spotify.com/v1/audio-analysis/1jMg3XIzBH5Mi35crQbado,233739,4
アッシュなミルクティー,0.515,0.874,11,-2.325,0,0.0396,0.00234,0.00469,0.358,0.845,120.079,audio_features,3jdxNm5IvFa6yNMxGixTY0,spotify:track:3jdxNm5IvFa6yNMxGixTY0,https://api.spotify.com/v1/tracks/3jdxNm5IvFa6yNMxGixTY0,https://api.spotify.com/v1/audio-analysis/3jdxNm5IvFa6yNMxGixTY0,182508,4
ダチュラと林檎,0.373,0.825,9,-1.695,0,0.0442,0.0268,0,0.115,0.879,199.903,audio_features,4sGtVigHM1Cy6lCbDR4k6E,spotify:track:4sGtVigHM1Cy6lCbDR4k6E,https://api.spotify.com/v1/tracks/4sGtVigHM1Cy6lCbDR4k6E,https://api.spotify.com/v1/audio-analysis/4sGtVigHM1Cy6lCbDR4k6E,243907,4
メカクシンデレラ (feat. 初音ミク&鏡音リン&巡音ルカ&MEIKO),0.541,0.947,9,-4.053,1,0.0448,0.00206,0,0.342,0.499,100.924,audio_features,19OoITQVL2GlLk4L8xt67s,spotify:track:19OoITQVL2GlLk4L8xt67s,https://api.spotify.com/v1/tracks/19OoITQVL2GlLk4L8xt67s,https://api.spotify.com/v1/audio-analysis/19OoITQVL2GlLk4L8xt67s,249802,4
エンドレスクレーム,0.484,0.955,8,-2.029,1,0.0609,0.0192,8.25e-05,0.31,0.643,132.976,audio_features,1CkEccD6O4gYGdnVzX5hjW,spotify:track:1CkEccD6O4gYGdnVzX5hjW,https://api.spotify.com/v1/tracks/1CkEccD6O4gYGdnVzX5hjW,https://api.spotify.com/v1/audio-analysis/1CkEccD6O4gYGdnVzX5hjW,209824,4
アリウム,0.503,0.967,0,-3.909,0,0.0461,0.00373,0,0.345,0.951,144.966,audio_features,6nXkMkoCDnf4B39pha2QCe,spotify:track:6nXkMkoCDnf4B39pha2QCe,https://api.spotify.com/v1/tracks/6nXkMkoCDnf4B39pha2QCe,https://api.spotify.com/v1/audio-analysis/6nXkMkoCDnf4B39pha2QCe,192400,4
ルティエ,0.312,0.941,2,-2.114,1,0.0376,0.00985,7.91e-06,0.263,0.401,190.096,audio_features,3KI7WjRCHX7xeDZRH1D3IX,spotify:track:3KI7WjRCHX7xeDZRH1D3IX,https://api.spotify.com/v1/tracks/3KI7WjRCHX7xeDZRH1D3IX,https://api.spotify.com/v1/audio-analysis/3KI7WjRCHX7xeDZRH1D3IX,259472,4
絶叫ジャッジメント,0.502,0.971,6,-1.473,0,0.0625,0.0193,0,0.347,0.821,150.019,audio_features,30MH3gPDlyQ0ceCirNbpwe,spotify:track:30MH3gPDlyQ0ceCirNbpwe,https://api.spotify.com/v1/tracks/30MH3gPDlyQ0ceCirNbpwe,https://api.spotify.com/v1/audio-analysis/30MH3gPDlyQ0ceCirNbpwe,226482,4
ふたご座流星群,0.496,0.881,6,-1.823,1,0.0292,0.62,0.000553,0.0757,0.595,70.969,audio_features,0320jrePYQMJ8zP3U49dd6,spotify:track:0320jrePYQMJ8zP3U49dd6,https://api.spotify.com/v1/tracks/0320jrePYQMJ8zP3U49dd6,https://api.spotify.com/v1/audio-analysis/0320jrePYQMJ8zP3U49dd6,225307,4
ピアノデイズ,0.307,0.98,9,-1.179,1,0.0832,0.0467,0,0.331,0.418,169.965,audio_features,1g3b6dPeJktUe1yfoVj2IO,spotify:track:1g3b6dPeJktUe1yfoVj2IO,https://api.spotify.com/v1/tracks/1g3b6dPeJktUe1yfoVj2IO,https://api.spotify.com/v1/audio-analysis/1g3b6dPeJktUe1yfoVj2IO,214128,4
サクラ、トキドキナミダ,0.359,0.779,2,-3.354,1,0.0333,0.0581,0,0.114,0.779,180.014,audio_features,1BwsFlA4ykzwtKHiUvb9ni,spotify:track:1BwsFlA4ykzwtKHiUvb9ni,https://api.spotify.com/v1/tracks/1BwsFlA4ykzwtKHiUvb9ni,https://api.spotify.com/v1/audio-analysis/1BwsFlA4ykzwtKHiUvb9ni,267500,3
造花の笑顔,0.422,0.882,2,-3.134,1,0.0917,0.000458,0,0.0482,0.229,170.135,audio_features,2udusYXOAt2lPeXqEfEWkK,spotify:track:2udusYXOAt2lPeXqEfEWkK,https://api.spotify.com/v1/tracks/2udusYXOAt2lPeXqEfEWkK,https://api.spotify.com/v1/audio-analysis/2udusYXOAt2lPeXqEfEWkK,229971,4
夢幻幽霊船,0.525,0.952,6,-2.756,0,0.0797,0.0459,0,0.298,0.435,89.983,audio_features,7utCNfljXmwds2Moy4Tucl,spotify:track:7utCNfljXmwds2Moy4Tucl,https://api.spotify.com/v1/tracks/7utCNfljXmwds2Moy4Tucl,https://api.spotify.com/v1/audio-analysis/7utCNfljXmwds2Moy4Tucl,236307,4
絶叫ジャッジメント,0.516,0.977,6,-1.642,0,0.0783,0.0316,0,0.336,0.881,150.049,audio_features,4svmpnwYT0jVLm1Iw9mHOB,spotify:track:4svmpnwYT0jVLm1Iw9mHOB,https://api.spotify.com/v1/tracks/4svmpnwYT0jVLm1Iw9mHOB,https://api.spotify.com/v1/audio-analysis/4svmpnwYT0jVLm1Iw9mHOB,224907,4
六等星の夜,0.36,0.94,2,-2.723,0,0.0707,0.0114,5.15e-05,0.279,0.525,180.106,audio_features,3RjThxDINnMy7DAJ7XJLuO,spotify:track:3RjThxDINnMy7DAJ7XJLuO,https://api.spotify.com/v1/tracks/3RjThxDINnMy7DAJ7XJLuO,https://api.spotify.com/v1/audio-analysis/3RjThxDINnMy7DAJ7XJLuO,217567,4
オルタナティブオーケストラ,0.344,0.962,9,-1.747,1,0.0856,0.00152,0,0.169,0.791,179.939,audio_features,541FtlhBYF8rnNqL2akatd,spotify:track:541FtlhBYF8rnNqL2akatd,https://api.spotify.com/v1/tracks/541FtlhBYF8rnNqL2akatd,https://api.spotify.com/v1/audio-analysis/541FtlhBYF8rnNqL2akatd,217992,4
インターネットゾンビ,0.514,0.926,1,-1.762,0,0.0852,0.092,0,0.419,0.609,131.941,audio_features,4Sfys9IlXnifYJI488x8s8,spotify:track:4Sfys9IlXnifYJI488x8s8,https://api.spotify.com/v1/tracks/4Sfys9IlXnifYJI488x8s8,https://api.spotify.com/v1/audio-analysis/4Sfys9IlXnifYJI488x8s8,191907,4
ダンシングダイス,0.373,0.92,5,-3.488,1,0.0722,0.000127,1.94e-06,0.236,0.605,160.01,audio_features,3VX6RMKsyES0QHQmkjy1Cv,spotify:track:3VX6RMKsyES0QHQmkjy1Cv,https://api.spotify.com/v1/tracks/3VX6RMKsyES0QHQmkjy1Cv,https://api.spotify.com/v1/audio-analysis/3VX6RMKsyES0QHQmkjy1Cv,218487,4
