name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Seishun Iroha Zoushi,0.454,0.486,0,-11.066,0,0.034,0.619,0.00196,0.38,0.185,97.249,audio_features,6nCqDwyUoRUHSTfAKUv44e,spotify:track:6nCqDwyUoRUHSTfAKUv44e,https://api.spotify.com/v1/tracks/6nCqDwyUoRUHSTfAKUv44e,https://api.spotify.com/v1/audio-analysis/6nCqDwyUoRUHSTfAKUv44e,278880,4
Waga Mune no Soko no Mizuumi,0.217,0.175,11,-13.781,0,0.0372,0.977,0.0256,0.109,0.0977,179.838,audio_features,7xhiEHLr3NZ3knMMRA56PQ,spotify:track:7xhiEHLr3NZ3knMMRA56PQ,https://api.spotify.com/v1/tracks/7xhiEHLr3NZ3knMMRA56PQ,https://api.spotify.com/v1/audio-analysis/7xhiEHLr3NZ3knMMRA56PQ,329427,3
Kawa wa Nagareru,0.418,0.281,9,-11.964,0,0.0296,0.871,0.000366,0.0998,0.192,132.833,audio_features,2V1rLW89EkhqyAOREqfn2A,spotify:track:2V1rLW89EkhqyAOREqfn2A,https://api.spotify.com/v1/tracks/2V1rLW89EkhqyAOREqfn2A,https://api.spotify.com/v1/audio-analysis/2V1rLW89EkhqyAOREqfn2A,258200,3
Gozen 0 Ji no Cinderella,0.726,0.251,7,-15.958,0,0.0343,0.429,0.00338,0.103,0.5,111.02,audio_features,3rYEcD6k6S8ZJg4yRjl2gW,spotify:track:3rYEcD6k6S8ZJg4yRjl2gW,https://api.spotify.com/v1/tracks/3rYEcD6k6S8ZJg4yRjl2gW,https://api.spotify.com/v1/audio-analysis/3rYEcD6k6S8ZJg4yRjl2gW,209573,4
Sankan Shion,0.73,0.341,9,-14.772,0,0.0356,0.751,0.333,0.105,0.613,140.015,audio_features,7dpBjiIorZuqiFdI9UmSLq,spotify:track:7dpBjiIorZuqiFdI9UmSLq,https://api.spotify.com/v1/tracks/7dpBjiIorZuqiFdI9UmSLq,https://api.spotify.com/v1/audio-analysis/7dpBjiIorZuqiFdI9UmSLq,231813,4
Shadow,0.202,0.172,0,-13.277,1,0.0352,0.845,0.00299,0.113,0.292,75.056,audio_features,6ZtKVMDbwvt7LbuUZjQFAi,spotify:track:6ZtKVMDbwvt7LbuUZjQFAi,https://api.spotify.com/v1/tracks/6ZtKVMDbwvt7LbuUZjQFAi,https://api.spotify.com/v1/audio-analysis/6ZtKVMDbwvt7LbuUZjQFAi,246213,5
Tatoeba Ai ga,0.604,0.279,2,-13.216,0,0.0363,0.491,0.00367,0.126,0.286,119.979,audio_features,7iC0xw8aZnlaUyzfAmwHc1,spotify:track:7iC0xw8aZnlaUyzfAmwHc1,https://api.spotify.com/v1/tracks/7iC0xw8aZnlaUyzfAmwHc1,https://api.spotify.com/v1/audio-analysis/7iC0xw8aZnlaUyzfAmwHc1,210707,3
Unubore Waltz,0.526,0.321,7,-11.641,0,0.034,0.452,0.00016,0.122,0.565,150.012,audio_features,0FlWKwRnOFUZOuh3ch6Uc5,spotify:track:0FlWKwRnOFUZOuh3ch6Uc5,https://api.spotify.com/v1/tracks/0FlWKwRnOFUZOuh3ch6Uc5,https://api.spotify.com/v1/audio-analysis/0FlWKwRnOFUZOuh3ch6Uc5,217920,3
Asuka Zaka,0.316,0.409,11,-10.488,0,0.0379,0.762,0.000258,0.104,0.217,171.591,audio_features,7JrDS0i5sIbvclpaNtBSlV,spotify:track:7JrDS0i5sIbvclpaNtBSlV,https://api.spotify.com/v1/tracks/7JrDS0i5sIbvclpaNtBSlV,https://api.spotify.com/v1/audio-analysis/7JrDS0i5sIbvclpaNtBSlV,239827,4
Love Song,0.566,0.287,10,-12.055,1,0.0248,0.909,0.0018,0.174,0.218,81.032,audio_features,7Iurv2feefFo1tcLvGIVPD,spotify:track:7Iurv2feefFo1tcLvGIVPD,https://api.spotify.com/v1/tracks/7Iurv2feefFo1tcLvGIVPD,https://api.spotify.com/v1/audio-analysis/7Iurv2feefFo1tcLvGIVPD,209987,4
Ikegamisen,0.389,0.359,9,-13.173,0,0.0387,0.28,0.00156,0.263,0.23,130.222,audio_features,22cwqGNp4D3s9SOFvFMZTf,spotify:track:22cwqGNp4D3s9SOFvFMZTf,https://api.spotify.com/v1/tracks/22cwqGNp4D3s9SOFvFMZTf,https://api.spotify.com/v1/audio-analysis/22cwqGNp4D3s9SOFvFMZTf,207173,3
Don't Disturb,0.418,0.37,0,-12.17,1,0.0289,0.909,0.0132,0.157,0.13,77.679,audio_features,2x5DGtzw8kRKTaaLx5ERWi,spotify:track:2x5DGtzw8kRKTaaLx5ERWi,https://api.spotify.com/v1/tracks/2x5DGtzw8kRKTaaLx5ERWi,https://api.spotify.com/v1/audio-analysis/2x5DGtzw8kRKTaaLx5ERWi,224373,4
Souyo Smile Again,0.311,0.204,0,-13.768,1,0.0322,0.958,0.00414,0.324,0.147,71.693,audio_features,48zNQnyzGjIbBziy0EvBGC,spotify:track:48zNQnyzGjIbBziy0EvBGC,https://api.spotify.com/v1/tracks/48zNQnyzGjIbBziy0EvBGC,https://api.spotify.com/v1/audio-analysis/48zNQnyzGjIbBziy0EvBGC,324933,4
