name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
青藍遊泳,0.515,0.395,2,-8.171,1,0.0256,0.537,0.000245,0.111,0.223,139.823,audio_features,2197fRE2IBsnja9r18RejV,spotify:track:2197fRE2IBsnja9r18RejV,https://api.spotify.com/v1/tracks/2197fRE2IBsnja9r18RejV,https://api.spotify.com/v1/audio-analysis/2197fRE2IBsnja9r18RejV,228013,4
アイニコイ,0.422,0.968,1,-4.652,0,0.124,0.000782,0.0035,0.0687,0.762,166.822,audio_features,2MlVAmvH2Kp5RwJkejZ3yu,spotify:track:2MlVAmvH2Kp5RwJkejZ3yu,https://api.spotify.com/v1/tracks/2MlVAmvH2Kp5RwJkejZ3yu,https://api.spotify.com/v1/audio-analysis/2MlVAmvH2Kp5RwJkejZ3yu,116880,4
ケダモノのフレンズ,0.763,0.663,7,-5.668,1,0.033,0.243,3.61e-05,0.0733,0.681,96.002,audio_features,6WUytTGUVFHTVGOqty1UPs,spotify:track:6WUytTGUVFHTVGOqty1UPs,https://api.spotify.com/v1/tracks/6WUytTGUVFHTVGOqty1UPs,https://api.spotify.com/v1/audio-analysis/6WUytTGUVFHTVGOqty1UPs,217048,4
夜になって,0.418,0.686,9,-7.257,1,0.0426,0.00649,0,0.0861,0.504,157.966,audio_features,0FEv7hqfEcVSf02wMogOgd,spotify:track:0FEv7hqfEcVSf02wMogOgd,https://api.spotify.com/v1/tracks/0FEv7hqfEcVSf02wMogOgd,https://api.spotify.com/v1/audio-analysis/0FEv7hqfEcVSf02wMogOgd,251553,4
U+,0.69,0.656,9,-6.159,1,0.0328,0.305,0,0.343,0.356,101.061,audio_features,0MGLjahQGLLVCNRw7bWPE8,spotify:track:0MGLjahQGLLVCNRw7bWPE8,https://api.spotify.com/v1/tracks/0MGLjahQGLLVCNRw7bWPE8,https://api.spotify.com/v1/audio-analysis/0MGLjahQGLLVCNRw7bWPE8,158075,4
ケダモノのフレンズ,0.763,0.663,7,-5.668,1,0.033,0.243,3.61e-05,0.0733,0.681,96.002,audio_features,2gmCLWALb2enQ1jQO37bdP,spotify:track:2gmCLWALb2enQ1jQO37bdP,https://api.spotify.com/v1/tracks/2gmCLWALb2enQ1jQO37bdP,https://api.spotify.com/v1/audio-analysis/2gmCLWALb2enQ1jQO37bdP,217048,4
ヘビースモーク,0.419,0.637,10,-4.537,1,0.0311,0.00362,0.00049,0.286,0.487,138.045,audio_features,2RYRnaB7ekhnBpRFl3nZdG,spotify:track:2RYRnaB7ekhnBpRFl3nZdG,https://api.spotify.com/v1/tracks/2RYRnaB7ekhnBpRFl3nZdG,https://api.spotify.com/v1/audio-analysis/2RYRnaB7ekhnBpRFl3nZdG,302142,4
夜間飛行,0.695,0.754,6,-6.645,1,0.0415,0.245,3.8e-05,0.179,0.598,99.009,audio_features,7aPziZhNZovnme182KPZJL,spotify:track:7aPziZhNZovnme182KPZJL,https://api.spotify.com/v1/tracks/7aPziZhNZovnme182KPZJL,https://api.spotify.com/v1/audio-analysis/7aPziZhNZovnme182KPZJL,218554,4
東京マーブル,0.756,0.817,11,-3.742,0,0.0457,0.45,0,0.0849,0.492,106.025,audio_features,1pa3HLcst2XUYkJzz59LKG,spotify:track:1pa3HLcst2XUYkJzz59LKG,https://api.spotify.com/v1/tracks/1pa3HLcst2XUYkJzz59LKG,https://api.spotify.com/v1/audio-analysis/1pa3HLcst2XUYkJzz59LKG,242852,4
ダーリン,0.549,0.396,8,-7.261,1,0.0297,0.593,0.000696,0.11,0.333,120.814,audio_features,2VLRgHoJlks958XLoLBdDM,spotify:track:2VLRgHoJlks958XLoLBdDM,https://api.spotify.com/v1/tracks/2VLRgHoJlks958XLoLBdDM,https://api.spotify.com/v1/audio-analysis/2VLRgHoJlks958XLoLBdDM,237995,4
ホットミルク,0.561,0.416,4,-8.579,1,0.0271,0.245,0,0.302,0.306,79.998,audio_features,3KbEfn3HkRdKAenSdpzfdj,spotify:track:3KbEfn3HkRdKAenSdpzfdj,https://api.spotify.com/v1/tracks/3KbEfn3HkRdKAenSdpzfdj,https://api.spotify.com/v1/audio-analysis/3KbEfn3HkRdKAenSdpzfdj,260115,4
centi,0.694,0.54,5,-8.193,0,0.03,0.268,1.1e-05,0.104,0.525,98.0,audio_features,1AorwUT6M2SKheXVdTlm1m,spotify:track:1AorwUT6M2SKheXVdTlm1m,https://api.spotify.com/v1/tracks/1AorwUT6M2SKheXVdTlm1m,https://api.spotify.com/v1/audio-analysis/1AorwUT6M2SKheXVdTlm1m,243818,4
透明な黒と鉄分のある赤,0.589,0.608,6,-5.756,0,0.0296,0.0127,0,0.346,0.404,126.952,audio_features,5qeNKKzm2GAA4bkTlUdg8T,spotify:track:5qeNKKzm2GAA4bkTlUdg8T,https://api.spotify.com/v1/tracks/5qeNKKzm2GAA4bkTlUdg8T,https://api.spotify.com/v1/audio-analysis/5qeNKKzm2GAA4bkTlUdg8T,226391,4
真白,0.492,0.903,4,-5.018,0,0.0353,0.00142,0,0.314,0.622,98.005,audio_features,56BgcC7pRHWuHtLJhYrpKA,spotify:track:56BgcC7pRHWuHtLJhYrpKA,https://api.spotify.com/v1/tracks/56BgcC7pRHWuHtLJhYrpKA,https://api.spotify.com/v1/audio-analysis/56BgcC7pRHWuHtLJhYrpKA,249424,4
1999,0.548,0.569,6,-5.908,1,0.0291,0.597,5.14e-06,0.106,0.523,169.83,audio_features,2pUMDJAZrM2qKx4tCJD1jK,spotify:track:2pUMDJAZrM2qKx4tCJD1jK,https://api.spotify.com/v1/tracks/2pUMDJAZrM2qKx4tCJD1jK,https://api.spotify.com/v1/audio-analysis/2pUMDJAZrM2qKx4tCJD1jK,244465,4
FRIDAY KIDS CHINA TOWN,0.67,0.741,6,-5.628,0,0.035,0.407,0.000791,0.116,0.618,101.994,audio_features,2lc5VZ3ERShrXY9mz7mU83,spotify:track:2lc5VZ3ERShrXY9mz7mU83,https://api.spotify.com/v1/tracks/2lc5VZ3ERShrXY9mz7mU83,https://api.spotify.com/v1/audio-analysis/2lc5VZ3ERShrXY9mz7mU83,187964,4
青藍遊泳 - From THE FIRST TAKE,0.589,0.219,2,-8.341,1,0.0353,0.95,0,0.115,0.443,130.552,audio_features,59HgCwjIaxVbJs860xnVtT,spotify:track:59HgCwjIaxVbJs860xnVtT,https://api.spotify.com/v1/tracks/59HgCwjIaxVbJs860xnVtT,https://api.spotify.com/v1/audio-analysis/59HgCwjIaxVbJs860xnVtT,238333,4
ヘビースモーク - From THE FIRST TAKE,0.505,0.813,10,-2.516,1,0.0433,0.657,2.41e-06,0.296,0.662,137.956,audio_features,2Z4V3cyo65LfpB1z3wfdSN,spotify:track:2Z4V3cyo65LfpB1z3wfdSN,https://api.spotify.com/v1/tracks/2Z4V3cyo65LfpB1z3wfdSN,https://api.spotify.com/v1/audio-analysis/2Z4V3cyo65LfpB1z3wfdSN,278467,4
debbie,0.569,0.509,7,-6.283,1,0.0466,0.129,1.11e-06,0.0985,0.254,130.297,audio_features,4Nz3rcsMoe7SVKZ98Frt5E,spotify:track:4Nz3rcsMoe7SVKZ98Frt5E,https://api.spotify.com/v1/tracks/4Nz3rcsMoe7SVKZ98Frt5E,https://api.spotify.com/v1/audio-analysis/4Nz3rcsMoe7SVKZ98Frt5E,223909,4
